year,subject_name,question_html,option_a,option_b,option_c,option_d,correct_option
2016,Science and Technology," <p>India is an important member of the ""International Thermonuclear Experimental Reactor"". If this experiment succeeds, what is the immediate advantage for India?</p>",(a)  It can use thorium in place of uranium for power generation,(b)  It attain a global role in satellite-navigation,(c)  It can drastically improve the efficiency of its fission reactors in power generation,(d)  It can build fusion reactors for power generation,d
2016,Ancient and Medieval History," <p>In the context of the history of India, consider the following pairs:</p><p><strong>Term             Description</strong></p><p>1. Eripatti : Land, revenue from which was set apart for the maintenance of the village tank</p><p>2. Taniyurs : Villages donated to a single Brahmin or a group of Brahmins</p><p>3. Ghatikas : Colleges generally attached to the temples</p><p>Which of the pairs given above correctly matched?</p>",(a)  1 and 2,(b)  3 only,(c)  2 and 3,(d)  1 and 3,d
2016,Current Affairs,<p>Consider the following statements:</p><p>1. The International Solar Alliance was launched at the United Nations Climate Change Conference in 2015.</p><p>2. The Alliance includes all the member countries of the United Nations.</p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,a
2016,Current Affairs," <p>""European Stability Mechanism"", sometimes seen in the"" news, is an</p>",(a)  agency created by EU to deal with the impact of millions of refugees arriving from Middle East,(b)  agency of EU that provides financial assistance to eurozone countries,(c)  agency of EU to deal with all the bilateral and multilateral agreements on trade,(d)  agency of EU to deal with the conflicts arising among the member countries,b
2016,Geography,"         <p>Which of the following is/are the advantage/advantages of practicing drip irrigation?</p><p>1. Reduction in weed</p><p>2. Reduction in soil salinity</p><p>3. Reduction"" in-soil erosion</p><p>Select the correct answer using the code given below.</p>
      ",(a)  1 and 2 only,(b)  3 only,(c)  1 and 3 only,(d)  None of the above is an advantage of practising drip irrigation,c
2016,Current Affairs," <p>Regarding ""DigiLocker"", sometimes seen in the news, which of the following statements is/are correct?</p><p>1. It is a digital locker system offered by the Government under Digital India Programme.</p><p>2. It allows you to access your e-documents irrespective of your physical location.</p><p>Select the correct answer using the code given below.</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,c
2016,Current Affairs," <p>Recently, linking of which of the following rivers was undertaken?</p>",(a) Cauvery and Tungabhadra,(b) Godavari and Krishna,(c) Mahanadi and Son,(d) Narmada and Tapti,b
2016,Environment," <p>In the cities of our country, which among the following atmospheric gases are normally considered in calculating the value of Air Quality Index?</p><p>1. Carbon dioxide</p><p>2. Carbon monoxide</p><p>3. Nitrogen dioxide</p><p>4. Sulfur dioxide</p><p>5. Methane</p><p>Select the correct answer using the code given below.</p>","(a) 1, 2 and 3 only","(b) 2, 3 and 4 only","(c) 1, 4 and 5 only","(d) 1, 2, 3, 4 and 5",b
2016,Science and Technology," <p>With reference to ""Astrosat"","" the astronomical observatory launched by India, which of the following statements is/are correct?</p><p>1. Other than USA and Russia, India is the only country to have launched a similar observatory into space.</p><p>2. Astrosat is a 2000 kg satellite placed in an orbit at 1650 km above the surface of the Earth.</p><p>Select the correct answer using the code given below.</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,d
2016,Ancient and Medieval History," <p>With reference to the economic history of medieval India, the term ""Araghatta"" refers to</p>",(a)  bonded labour,(b)  land grant made to military officers,(c)  waterwheel used in the irrigation of land,(d)  wasteland converted to cultivated land,c
2016,Ancient and Medieval History," <p>With reference to the cultural history of India, the memorizing of chronicles, dynastic histories and epic tales was the profession of who of the following?</p>",(a)  Shramana,(b)  Parivraajaka,(c)  Agrahaarika,(d)  Maagadha,d
2016,Current Affairs," <p>Recently, for the first time in our country, which of the following States has declared a particular butterfly as ‘State Butterfly’?</p>","(a)  Arunachal Pradesh,",(b)  Himachal Pradesh,(c)  Karnataka,(d)  Maharashtra,d
2016,Science and Technology,<p>Consider the following statements: The Mangalyaan launched by ISRO</p><p>1. is also called the Mars Orbiter Mission</p><p>2. made India the second country to have a spacecraft orbit the Mars after USA</p><p>3. made India the only country to be successful in making its spacecraft orbit the Mars in its very first attempt</p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",c
2016,History of Modern India,"        <p>What was the main reason for the split in the Indian National Congress at Surat in 1907?</p>
      ",(a)  Introduction of communalism into Indian politics b Lord Minto,(b)  Extremists’ lack of faith in the capacity of the moderates to negotiate with the British Government,(c)  Foundation of Muslim League,(d)  Aurobindo Ghosh’s inability to the elected as the President of the Indian National Congress,b
2016,History of Modern India,"        <p>The plan of Sir Stafford Cripps envisaged that after the Second World War</p>
      ",(a)  India should be granted complete independence,(b)  India should be partitioned into two before granting independence,(c)  India should be made a republic with the condition that she will join the Commonwealth,(d)  India should be given Dominion status,d
2016,Geography,"        <p>Consider the following pairs:</p><p><strong>Famous Place         Region</strong></p><p>1. Bodhgaya         :   Baghelkhand</p><p>2. Khajuraho        :   Bundelkhand</p><p>3. Shirdi                 :  Vidarbha</p><p>4. Nasik (Nashik) :  Malwa</p><p>5. Tirupati             :  Rayalaseema</p><p>Which of the pairs given above are correctly matched?</p>
      ","(a)  1, 2 and 4","(b)  2, 3, 4 and 5",(c)  2 and 5 only,"(d)  1, 3, 4 and 5",c
2016,Polity and Governance,"        <p>The Parliament of India acquires the power to legislate on any item in the State List in the national interest if a resolution to that effect is passed by the</p>
      ",(a)  Lok Sabha by a simple majority of its total membership,(b)  Lok Sabha by a majority of not less than two-thirds of its total membership,(c)  Rajya Sabha by a simple majority of its total membership,(d)  Rajya Sabha by a majority of not less than two-thirds of its members present and voting,d
2016,Current Affairs," <p>Recently, which of the following States has explored the possibility of constructing an artificial inland port to be connected to sea by a long navigational channel?</p>",(a)  Andhra Pradesh,(b)  Chhattisgarh,(c)  Karnataka,(d)  Rajasthan,d
2016,Environment," <p>With reference to the Agreement at the UNFCCC Meeting in Paris in 2015, which of the following statements is/are correct?</p><p>1. The Agreement was signed by all the member countries of the UN and it will go into effect in 2017.</p><p>2. The Agreement aims to limit the greenhouse gas emissions so that the rise in average global temperature by the end of this century does not exceed 2<sup>o</sup>C or even 1.5<sup>0</sup>C above pre-industrial levels.</p><p>3. Developed countries acknowledged their historical responsibility in global warming and committed to donate $ 1000 billion a year from 2020 to help developing countries to cope with climate change.</p><p>Select the correct answer using the code given below.</p>",(a)  1 and 3 only,(b)  2 only,(c)  2 and 3 only,"(d)  1, 2 and 3",b
2016,Environment,<p>Consider the following statements:</p><p>1. The Sustainable Development Goals were first proposed in 1972 by a global think tank called the ‘Club of Rome’.</p><p>2. The Sustainable Development Goals have to be achieved by 2030.</p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,b
2016,Current Affairs,<p>A recent movie titled The Man Who Knew Infinity is based on the biography of</p>,(a)  S. Ramanujan,(b)  S. Chandhrashekhar,(c)  S. N. Bose,(d)  C. V. Raman,a
2016,Polity and Governance,"        <p>Consider the following statements:</p><p>1. The minimum age prescribed for any person to be a member of Panchayat is 25 years.</p><p>2. A Panchayat reconstituted after premature dessolution continues only for the remainder period.</p><p>Which of the statements given above is/are correct?</p>
      ",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,b
2016,Polity and Governance,"<p>Which of the following statements is/are correct?</p><p>1. A Bill pending in the Lok Sabha lapses on its prorogation.</p><p>2. A Bill pending in the Rajya Sabha, which was not been passed by the Lok Sabha, shall not lapse on dissolution of the Lok Sabha.</p><p>Select the correct answer using the code given below.</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,b
2016,Current Affairs,<p>Which of the following is/are the indicator/ indicators used by IFPRI to compute the Global Hunger Index Report?</p><p>1. Undernourishment</p><p>2. Child stunting</p><p>3. Child mortality</p><p>Select the correct answer using the code given below.</p>,(a)  1 only,(b)  2 and 3 only,"(c)  1, 2 and 3",(d)  1 and 3 only,c
2016,Economics,<p>There has been a persistent deficit budget year after year. Which action/actions of the following can be taken by the Government to reduce the deficit?</p><p>1. Reducing revenue expenditure</p><p>2. Introducing new welfare schemes</p><p>3. Rationalizing subsidies</p><p>4. Reducing import duty</p><p>Select the correct answer using the code given below.</p>,(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2, 3 and 4",c
2016,Economics,<p>The establishment of ‘Payment Banks’ is being allowed in India to promote financial inclusion. Which of the following statements is/are correct in this context?</p><p>1. Mobile telephone companies and supermarket chains that are owned and controlled by residents are eligible to be promoters of Payment Banks.</p><p>2. Payment Banks can issue both credit cards and debit cards.</p><p>3. Payment Banks cannot undertake lending activities.</p><p>Select the correct answer using the code given below.</p>,(a)  1 and 2 only,(b)  1 and 3 only,(c)  2 only,"(d)  1, 2 and 3",b
2016,Science and Technology," <p>With reference to ‘LiFi’, recently in the news, which of the following statements is/are correct? </p><ol><li>It uses light as the medium for high-speed data transmission.</li><li>It is a wireless technology and is several times faster than ‘WiFi’. Select the correct answer using the code given below.</li></ol>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,c
2016,Environment,<p>The term ‘Intended Nationally Determined Contributions’ is sometimes seen in the news in the context of</p>,(a)  pledges made by the European countries to rehabilitate refugees from the war-affected Middle East,(b)  plan of action outlined by the countries of the world to combat climate change,(c)  capital contributed by the member countries in the establishment of Asian Infrastructure Investment Bank,(d)  plan of action outlined by the countries of the world regarding Sustainable Development Goals,b
2016,Current Affairs," <p>Which one of the following is a purpose of ‘UDAY’, a scheme of the Government?</p>",(a)  Providing technical and financial assistance to start-up entrepreneurs in the field of renewable sources of energy,(b)  Providing electricity to every household in the countries by 2018,"(c)  Replacing the coal-based power plants with natural gas, nuclear, solar, wind and tidal power plants over a period of time",(d)  Providing for financial turnaround and revival of power distribution companies,d
2016,Current Affairs," <p>With reference to ‘IFC Masala Bonds’, sometimes seen in the news, which of the statements given below is/are correct?</p><p>1. The International Finance Corporation, which offers these bonds, is an arm of the World Bank.</p><p>2. They are the rupee-denominated bonds and are a source of debt financing for the public and private sector,</p><p>Select the correct answer using the code given below.</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,c
2016,Ancient and Medieval History," <p>Regarding the taxation system of Krishna Deva, the ruler of Vijayanagar, consider the following statements:</p><p>1. The tax rate on land was fixed depending on the quality of the land.</p><p>2. Private owners of workshops paid an industries tax.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,c
2016,Art and Culture,<p>Which one of the following books of ancient India has the love story of the son of the founder of Sunga dynasty?</p>,(a)  Swapnavasavadatta,(b)  Malavikagnimitra,(c)  Meghadoota,(d)  Ratnavali,b
2016,Economics," <p>In the context of which of the following do you sometimes find the terms ‘amber box, blue box and green box’ in the news?</p>",(a)  WTO affairs,(b)  SAARC affairs,(c)  UNFCCC affairs,(d)  India-EU negotiations on FTA,a
2016,Economics," <p>Which of the following is/are included in the capital budget of the Government of India?</p><p>1. Expenditure on acquisition of assets like roads, buildings, machinery, etc.</p><p>2. Loans received from foreign governments</p><p>3. Loans and advances granted to the States and Union Territories</p><p>Select the correct answer using the code given below.</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",d
2016,Environment," <p>What is/are the importance/ importances of the ‘United Convention to Combat Desertification’?</p><p>1. It aims to promote effective action through innovative national programmes and supportive international partnerships</p><p>2. It has a special/particular focus on South Asia and North Africa regions, and its Secretariat facilitates the allocation of major portion of financial resources to these regions.</p><p>3. It is committed to bottom-up approach, encouraging the participation of local people in combating the desertification.</p><p>Select the correct answer using the code given below.</p>",(a) 1 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",c
2016,Current Affairs," <p>Recently, which one of the following currencies has been proposed to be added to the basket of IMF’s SDR?</p>",(a) Rouble,(b) Rand,(c) Indian Rupee,(d) Renminbi,d
2016,Economics," <p>With reference to the International Monetary and Financial Committee (IMFC), consider the following statements:</p><p>1. IMFC discusses matters of concern affecting the global economy, and advises the International Monetary Fund (IMF) on the direction of its work.</p><p>2. The World Bank participates as observer in IMFC’s meetings.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,c
2016,Current Affairs,<p>‘Rashtriya Garima Abhiyaan’ is a national campaign to</p>,(a)  rehabilitate the homeless and destitute persons and provide them with suitable sources of livelihood,(b)  release the sex workers from their practice and provide them with alternative sources of livelihood,(c)  eradicate the practice of manual scavenging and rehabilitate the manual scavengers,(d)  release the bonded labourers from their bondage and rehabilitate them,c
2016,Ancient and Medieval History," <p>With reference to the cultural history of medieval India, consider the following statements:</p><p>1. Siddhas (Sittars) of Tamil region were monotheistic and condemned idolatry.</p><p>2. Lingayats of Kannada region questioned the theory of rebirth and rejected the caste hierarchy.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,c
2016,Economics," <p>Which of the following best describes the term ‘import cover’, sometimes seen in the news?</p>",(a)  It is the ratio of value of imports to the Gross Domestic Product of a country,(b)  It is the total value of imports of a country in a year,(c)  It is the ratio between the value of exports and that of imports between two countries,(d)  It is the number of months of imports that could be paid for by a country’s international reserves,d
2016,Current Affairs,<p>Consider the following pairs: Community sometimes mentioned in the news In the affairs of</p><p>1. Kurd : Bangladesh</p><p>2. Madhesi : Nepal</p><p>3. Rohingya : Myanmar</p><p>Which of the pairs given above is/are correctly matched?</p>,(a)  1 and 2,(b)  2 only,(c)  2 and 3,(d)  3 only,c
2016,Current Affairs," <p>With reference to ‘Organiation for the Prohibition of Chemical Weapons (OPCW)’, consider the following statements:</p><p>1. It is an organization of European Union in working relation with NATO and WHO.</p><p>2. It monitors chemical industry to prevent new weapons from emerging.</p><p>3. It provides assistance and protection to States (Parties) against chemical weapons threats.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",b
2016,Current Affairs," <p>With referene to ‘Pradhan Mantri Fasal Bima Yojana’, consider the following statements:</p><p>1. Under this scheme, farmers will have to pay a uniform premium of two percent for any crop they cultivate in any reason of the year.</p><p>2. This scheme covers post-harvest losses arising out of cyclones and unseasonal rains.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,b
2016,Environment,<p>In which of the following regions of India are you most likely to come across the ‘Great Indian Hornbill’ in its natural habitat?</p>,(a)  Sand deserts of northwet India,(b)  Higher Himalayas of Jammu and Kashmir,(c)  Salt marshes of western Gujarat,(d)  Western Ghats,d
2016,Current Affairs,<p>Which of the following are the key features of ‘National Ganga River Basin Authority (NGRBA)?</p><p>1. River basin is the unit of planning and management.</p><p>2. It spearheads the river conservation efforts at the national level.</p><p>3. One of the Chief Ministers of the States through which the Ganga flows becoms the Chairman of NGRBA on rotation basis.</p><p>Select the correct answer using the code given below.</p>,(a)  1 and 2 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",a
2016,Current Affairs,<p>Why does the Government of India promote the use of ‘Neem-coated Urea’ in agriculture?</p>,(a)  Release of Neem oil in the soil increases nitrogen fixation by the soil microorganisms,(b)  Neem coating slows down the rate of dissolution of urea in the soil,"(c)  Nitrous oxide, which is a greenhouse gas, is not at all released into atmosphere by crop fields",(d)  It is a combination of a weedicide and a fertilizer for particular crops,b
2016,Polity and Governance,"        <p>Consider the following statements:</p><p>1. The Chief Secretary in a State is appointed by the Governor of that State.</p><p>2. The Chief Secretary in a State has a fixed tenure.</p><p>Which of the statements given above is/are correct?</p>
      ",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,d
2016,Current Affairs," <p>With reference to ‘Stand Up India Scheme’, which of the following statements is/are correct?</p><p>1. Its purpose is to promote entrepreneurship among SC/ST and women entrepreneurs.</p><p>2. It provides for refinance through SIDBI.</p><p>Select the correct answer using the code given below.</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,c
2016,Environment," <p>The FAO accords the status of ‘Globally Important Agricultural Heritage System (GIAHS)’ to traditional agricultural systems. What is the overall goal of this initiative?</p><p>1. To provide modern technology, training in modern farming methods and financial support to local communities of identified GIAHS so as to greatly enhance their agricultural productivity.</p><p>2. To identify and safeguard eco-friendly traditional farm practices and their associated landscapes, agricultural biodiversity and knowledge systems of the local communities</p><p>3. The provide Geographical Indication status to all the varieties of agricultural produce in such identifies GIAHS</p><p>Select the correct answer using the code given below.</p>",(a)  1 and 3 only,(b)  2 only,(c)  2 and 3 only,"(d)  1, 2 and 3",b
2016,Geography,"        <p>Which of the following is/are tributary/ tributaries of Brahmaputra?</p><p>1. Dibang</p><p>2. Kameng</p><p>3. Lohit</p><p>Select the correct answer using the code given below.</p>
      ",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",d
2016,Economics,<p>The term ‘Core Banking Solution’ is sometimes seen in the news. Which of the following statements best describes/describe this term?</p><p>1. It is a networking of a bank’s branches which enables customers to operate their accounts from any branch of the bank on its network regardless of where they open their accounts.</p><p>2. It is an effort to increase RBI’s control over commercial banks through computerization.</p><p>3. It is a detailed procedure by which a bank with huge non-performing assets is taken over by another bank.</p><p>Select the correct answer using the code given below.</p>,(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",a
2016,Environment,<p>Consider the following pairs:</p><p><strong>Terms sometimes seen in the news               Their origin</strong></p><p>1. Annex-I Countries : Cartagena Protocol</p><p>2. Certified Emissions Reductions : Nagoya Protocol</p><p>3. Clean Development Mechanisms : Kyoto Protocol</p><p>Which of the pairs given above is/are correctly matched?</p>,(a)  1 and 2 only,(b)  2 and 3 only,(c)  3 only,"(d)  1, 2 and 3",c
2016,Science and Technology," <p>In the context of the developments in Bioinformatics, the term ‘transcriptome’, sometimes seen in the news, refers to</p>",(a)  a range of enzymes used in genome editing,(b)  the full range of mRNA molecules expressed by an organism,(c)  the description of the mechanism of gene expression,(d)  a mechanism of genetic mutations taking place in cells,b
2016,Current Affairs,<p>‘Mission Indradhanush’ launched by the Government of India pertains to</p>,(a)  immunization of children and pregnant women,(b)  construction of smart cities across the country,(c)  India’s own search for the Earth-like planets in outer space,(d)  New Educational Policy,a
2016,Environment,<p>Which of the following best describes/ describe the aim of ‘Green India Mission’ of the Government of India?</p><p>1. Incorporating environmental benefits and costs into the Union and State Budgets thereby implementing the ‘green accounting’</p><p>2. Launching the second green revolution to enhance agricultural output so as to ensure food security to one and all in the future</p><p>3. Restoring and enhancing forest cover and responding to climate change by a combination of adaptation and mitigation measures</p><p>Select the correct answer using the code given below.</p>,(a)  1 only,(b)  2 and 3 only,(c)  3 only,"(d)  1, 2 and 3",c
2016,Science and Technology," <p>With reference to pre-packaged items in India, it is mandatory to the manufacturer to put which of the following information on the main label, as per the Food Safety and Standards (Packaging and Labelling) Regulations, 2011?</p><p>1. List of ingredients including additives</p><p>2. Nutrition information</p><p>3. Recommendation, if any, made by the medical profession about the possibility of any allergic reactions</p><p>4. Vegetarian/non-vegetarian</p><p>Select the correct answer using the code given below.</p>","(a) 1, 2 and 3","(b) 2, 3 and 4","(c) 1, 2 and 4",(d) 1 and 4 only,c
2016,Current Affairs," <p>‘Project Loon’, sometimes seen in the news, is related to</p>",(a) waste management technology,(b) wireless communication technology,(c) solar power production technology,(d) water conservation technology,b
2016,Current Affairs,<p>‘Net metering’ is sometimes seen in the news in the context of promoting the</p>,(a)  production and use of solar energy by the households/consumers,(b)  use of piped natural gas in the kitchens of houeholds,(c)  installation of CNG kits in motor-cars,(d)  installation of water meters in urban households,a
2016,Economics,<p>India’s ranking in the ‘Ease of Doing Business Index’ is sometimes seen in the news. Which of the following has declared that ranking?</p>,(a)  Organization for Economic Cooperation and Development (OECD),(b)  World Economic Forum,(c)  World Bank,(d)  World Trade Organization (WTO),c
2016,Ancient and Medieval History,<p>Banjaras during the medieval period of Indian history were generally</p>,(a)  agriculturists,(b)  warriors,(c)  weavers,(d)  traders,d
2016,History of Modern India,<p>Who of the following had first deciphered the edicts of Emperor Ashoka?</p>,(a) Georg Buhler,(b) James Prinsep,(c) Max Muller,(d) William Jones,b
2016,Polity and Governance,"         <p>With reference to the ‘Gram Nyayalaya Act’, which of the following statements is/are corect?</p><p>1. As per the Act, Gram Nyayalayas can hear only civil cases and not criminal cases.</p><p>2. The Act allows local social activists as mediators/reconciliators. Select the correct answer using the code given below.</p>
      ",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,b
2016,Current Affairs," <p>With reference to the ‘Trans-Pacific Partnership’, consider the following statements:</p><p>1. It is an agreement among all the Pacific Rim countries except China and Russia.</p><p>2. It is a strategic alliance for the purpose of maritime security only.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,d
2016,Current Affairs,<p>Consider the following statements:</p><p>The India-Africa Summit</p><p>1. held in 2015 was the third such Summit</p><p>2. was actually initiated by Jawaharlal Nehru in 1951</p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,a
2016,Economics,<p>What is/are the purpose/purposes of the ‘Marginal Cost of Funds based Lending Rate (MCLR)’ announced by RBI?</p><p>1. These guidelines help improve the transparency in the methodology followed by banks for determining the interest rates on advances.</p><p>2. These guidelines help ensure availability of bank credit at interest rates which are fair to the borrowers as well as the banks.</p><p>Select the correct answer using the code given below.</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,c
2016,Environment," <p>What is/are unique about ‘Kharai camel’, a breed found in India?</p><p>1. It is capable of swimming up to three kilometres in seawater.</p><p>2. It survives by grazing on mangroves.</p><p>3. It lives in the wild and cannot be domesticated.</p><p>Select the correct answer using the code given below.</p>",(a)  1 and 2 only,(b)  3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",a
2016,Current Affairs," <p>Recently, our scientists have discovered a new and distinct species of banana plant which attains a height of about 11 metres and has orange-coloured fruit pulp. In which part of India has it been discovered?</p>",(a)  Andaman Islands,(b)  Anaimalai Forests,(c)  Maikala Hills,(d)  Tropical rain forests of northeast,a
2016,Current Affairs," <p>Which one of the following is the best description of ‘INS Astradharini’, that was in the news recently?</p>",(a)  Amphibious warfare ship,(b)  Nuclear-powered submarine,(c)  Torpedo launch and recovery vessel,(d)  Nuclear-powered aircraft carrier,c
2016,Current Affairs," <p>What is ‘Greased Lightning-10 (GL-10)’, recently in the news?</p>",(a)  Electric plane tested by NASA,(b)  Solar-powered two-seater aircraft designed by Japan,(c)  Space observatory launched by China,(d)  Reusable rocket designed by ISRO,a
2016,Current Affairs," <p>With reference to ‘Initiative for Nutritional Security through Intestive Millets Promotion’, which of the following statements is/are correct?</p><p>1. This initiative aims to demonstrate the improved production and post-harvest technologies, and to demonstrate value addition techniques, in an integrated manner, with cluster approach.</p><p>2. Poor, small, marginal and tribal farmers have larger stake in this scheme.</p><p>3. An important objective of the scheme isto encourage farmers of commercial crops to shift to millet cultivation by offering them free kits of critical inputs of nutrients and microirrigation equipment.</p><p>Select the the correct answer using the code given below.</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 2 only,"(d)  1, 2 and 3",c
2016,History of Modern India,"        <p>The ‘Swadeshi’ and ‘Boycott’ were adopted as methods of struggle for the first time during the</p>
      ",(a)  agitation against the Partition of Bengal,(b)  Home Rule Movement,(c)  Non-Cooperation Movement,(d)  visit of the Simon Commission to India,a
2016,Ancient and Medieval History," <p>With reference to the religious history of India, consider the following statements:</p><p> 1. The concept of Bodhisattva is central to Hinayana sect of Buddhism.</p><p>2. Bodhisattva is a compassionate one on his way to enlightenment.</p><p>3. Bodhisattva delays achieving his own salvation to help all sentinent beings on their path to it.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 and 3 only,(c)  2 only,"(d)  1, 2 and 3",b
2016,Current Affairs," <p>‘Doctors Without Borders (Medecins Sans Frontieres)’, often in the news, is</p>",(a) a division of World Health Organization,(b) a non-governmental international organization,(c) an inter-governmental agency sponsored by European Union,(d) a specialized agency of the United Nations,b
2016,Environment," <p>With reference to an initiative called ‘The Economics of Ecosystems and Biodiversity (TEEB)’, which of the following statements is/are correct?</p><p>1. It is an initiative hosted by UNEP, IMF and World Economic Forum.</p><p>2. It is a global initiative that focuses on drawing attention to the economic benefits of biodiversity.</p><p>3. It presents an approach that can help decision-makers recognize, demonstrate and capture the value of ecosystems and biodiversity.</p><p>Select the correct answer using the code given below.</p>",(a)  1 and 2 only,(b)  3 only,(c)  2 and 3 only,"(d)  1, 2 and 3",c
2016,Environment," <p>With reference to ‘Red Sanders’, sometimes seen in the news, consider the following statements:</p><p>1. It is a tree species found in a part of South India.</p><p>2. It is one of the most important trees in the tropical rain forest areas of South India.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,a
2016,Environment,<p>Which of the following statements is/are correct? Proper design and effective implementation of UN-REDD+ Programme can significantly contribute to</p><p>1. protection of biodiversity</p><p>2. resilience of forest ecosystems</p><p>3. poverty reduction</p><p>Select the correct answer using the code given below.</p>,(a)  1 and 2 only,(b)  3 only,(c)  2 and 3 only,"(d)  1, 2 and 3",d
2016,Economics," <p>With reference to ‘Financial Stability and Development Council’, consider the following statements:</p><p>1. It is an organ of NITI Aayog.</p><p>2. It is headed by the Union Finance Minister.</p><p>3. It monitors macroprudential supervision of the economy.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 and 2 only,(b)  3 only,(c)  2 and 3 only,"(d)  1, 2 and 3",c
2016,Environment," <p>With reference to ‘Agenda 21’, sometimes seen in the news, consider the following statements:</p><p>1. It is a global action plan for sustainable development.</p><p>2. It originated in the World Summit on Sustainable Development held in Johannesburg in 2002.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,a
2016,History of Modern India,"        <p>Satya Shodhak Samaj organized</p>
      ",(a)  a movement for upliftment of tribals in Bihar,(b)  a temple-entry movement in Gujarat,(c)  an anti-caste movement in Maharashtra,(d)  a peasant movement in Punjab,c
2016,Science and Technology,<p>Which of the following statements is/are correct? Viruses can infect</p><p>1. bacteria</p><p>2. fungi</p><p>3. plants</p><p>Select the correct answer using the code given below.</p>,(a)  1 and 2 only,(b)  3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",d
2016,Current Affairs,<p>The term ‘Base Erosion and Profit Shifting’ is sometimes seen in the news in the context of</p>,(a)  mining operation by multinational companies in resource-rich but backward areas,(b)  curbing of the tax evasion by multinational companies,(c)  exploitation of genetic resources of a country by multinational companies,(d)  lack of consideration of environmental costs in the planning and implementation of developmental projects.,b
2016,Current Affairs," <p>Recently, India’s first ‘National Investment and Manufacturing Zone’ was proposed to be set up in</p>",(a)  Andhra Pradesh,(b)  Gujarat,(c)  Maharashtra,(d)  Uttar Pradesh,a
2016,Economics,<p>What is/are the purpose/purposes of ‘District Mineral Foundations’ in India?</p><p>1. Promoting mineral exploration activities in mineral-rich districts</p><p>2. Protecting the interests of the persons affected by mining operations</p><p>3. Authorizing State Governments to issue licenses for mineral exploration</p><p>Select the correct answer using the code given below.</p>,(a)  1 and 2 only,(b)  2 only,(c)  1 and 3 only,"(d)  1, 2 and 3",b
