year,subject_name,subject_id,topic,subtopic,question_html,option_a,option_b,option_c,option_d,correct_option,difficulty_level,nature,explanation_html
2000,Geography,5,,, <p>Match List I with List II and select the correct answer using the codes given below the lists :</p><p>      List I                                                            List II</p><p>(Minerals)                                               (Major producer)</p><p>A. Mineral Oil                                  1. Zambia</p><p>B. Copper                                         2. Guyana</p><p>C. Manganese                                 3. Venezuela</p><p>D. Bauxite                                        4. Gabon</p>,"(a) A-3, B-1, C-4, D-2","(b) A-3, B-1, C-2, D-4","(c) A-1, B-3, C-2, D-4","(d) A-1, B-3, C-4, D-2",a,Difficult,tFundamental(F),"<p>The major producer of Mineral oil is Venezuela. The major producer of Copper is Zambia in Africa, (also Chile in South America). The major producer of Manganese is Gabon. The major producer of Bauxite is Guyana.</p>"
2000,Geography,5,,, <p>Which one of the following lakes forms an international boundary between Tanzania and Uganda ?</p>,(a)  Chad,(b)  Malawi,(c)  Victoria,(d)  Zambezi,c,Difficult,tFundamental(F),<p>Lake Victoria (Biggest lake in Africa) forms the international boundary between Tanzania (South) and Uganda (North).</p>
2000,Geography,5,,, <p>The correct sequence in decreasing order of the four sugarcane producing States in India is :</p>,"(a)  Maharashtra, U.P., Tamil Nadu, Andhra Pradesh","(b)  U.P., Maharashtra, Tamil Nadu, Andhra Pradesh","(c)  Maharashtra, U.P., Andhra Pradesh, Tamil Nadu","(d)  U.P., Maharashtra, Andhra Pradesh, Tamil Nadu",b,Medium,Fundamental(F),<p>The correct sequence in decreasing order of the Sugarcane producing states is U.P. &gt; Maharashtra &gt; Tamil Nadu &gt; Andhra Pradesh. U.P. is the largest producing state of Sugarcane in India.</p>
2000,Geography,5,,, <p>Consider the following statements:</p><p>1. Maharashtra has the highest acreage under jawar in India.</p><p>2. Gujarat is the largest producer of groundnut in India.</p><p>3. Rajasthan has the largest area of cultivable wasteland in India.</p><p>4. Andhra Pradesh has the highest per hectare yield of maize in India.</p><p>Which of the statements given above are correct?            </p>,(a)  1 and 4,(b)  2 and 3,(c)  1 and 3,(d)  2 and 4,c,Difficult,tFundamental(F),"<ul><li>1, 3 statements are correct. Because Andhra Pradesh is the largest producer of Groundnut in India.</li></ul>"
2000,Geography,5,,," <p>Assertion (A): In Australia, cattle rearing is done more for meat than for milk. </p><p>Reason (R): Australians are traditionally non-vegetarians.</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,b,Medium,Applied(A),"<p>Both A and R are correct. But R is not the correct reason for A. Though they are traditionally non-vegetarian, they rear cattle for meat, for exporting.</p>"
2000,Geography,5,,, <p>Which one of the following is knows as the “Coffee port” of the world ?</p>,(a)  Sao Paulo,(b)  Santos,(c)  Rio de Janeiro,(d)  Buenos Aires,b,Medium,Fundamental(F),<p>‘Santos’ is considered as the “Coffee port” of the world. It is in Brazil. It is also an out port of Sao Paulo.</p>
2000,Geography,5,,, <p>A ‘black hole’ is a body in space which does not allow any radiation to come out. This properly is due to its</p>,(a)  Very small size,(b)  Very large size,(c)  Very high density,(d)  Very low density,c,Medium,Applied(A),"<p>Because of its high density, a black hole has very high gravitational force. So no object, whether it is particle or light, can escape from it.</p>"
2000,Ancient and Medieval History,8,,, <p>Assertion (A): The origin of Feudal system in Ancient India can be traced to Military campaigns. </p><p>Reason (R): There was considerable expansion of the Feudal system during the Gupta period.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,d,Difficult,tApplied(A),The origin of feudal system can be traced back to landgrants given by Satavahanas. The feudal system considerably expanded during the Gupta period.
2000,Ancient and Medieval History,8,,, <p>Assertion (A): Ashoka annexed Kalinga to the Mauryan Empire.</p><p>Reason (R): Kalinga controlled land and sea routes to South India.</p>,(a) Both A and R are individually true and R is the correct explanation of A,(b) Both A and R are individually true but R is not the correct explanation of A,(c) A is true but R is false,(d) A is false but R is true,a,Medium,Fundamental(F),Kalinga controlled land and sea routes to South India hence it was annexed to Mauryan empire by Ashoka.
2000,Indian Art and Culture,9,,, <p>Assertion (A): The emphasis of Jainism on non-violence (ahimsa) prevented agriculturalists from embracing Jainism.</p><p>Reason (R): Cultivation involved killing of insects and pests.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,a,Medium,Applied(A),Agriculturalists were prevented from embracing Jainism as cultivation involves killing of insects and pests which is against the principle of non-violence (ahimsa) of Jainism.
2000,Ancient and Medieval History,8,,, <p>The practice of military governorship was first introduced in India by the</p>,(a)  Greeks,(b)  Shakas,(c)  Parthians,(d)  Mughals,a,Easy,Fundamental(F),"The practice of military governorship was first introduced in India by Greeks. Alexander in his return journey from India, distributed his possessions among his military generals. The military governors are called ‘strategos’."
2000,Ancient and Medieval History,8,,, <p>Which one of the following dynasties was ruling over North India at the time of Alexander’s invasion?</p>,(a)  Nanda,(b)  Maurya,(c)  Sunga,(d)  Kanva,a,Easy,Fundamental(F),Nanda dynasty was ruling over North India at the time of Alexander’s invasion. Nanda’s were later deposed by Chandragupta Maurya with the help of Kautilya.
2000,Economics,4,,, <p>The Swarna Jayanti Shahari Rozgar Yojana which came into operation from 1-12-1997 aims to provide gainful employment to the urban unemployment or underemployment poor but does <em><strong>not</strong></em> include</p>,(a)  Nehru Rozgar Yojana,(b)  Urban Basic Services Programme,(c)  Prime Minister’s Integrate Urban Poverty Eradication Programme,(d)  Prime Minister’s Rozgar Yojana,a,Medium,Fundamental(F),<p>The Swarna Jayanti Shahari Rozgar Yojana doesn’t include ‘Nehru Rozgar Yojana’.</p>
2000,Economics,4,,, <p>Consider the following statements:</p><p>The Indian rupee is fully convertible</p><p></p><ol><li>In respect of Current Account of Balance of Payment</li><li>In respect of Capital Account of Balance of Payment</li><li>Into gold</li></ol><p></p><p>Which of the statements is/are correct?</p>,(a)  1 only,(b)  3 only,(c)  1 and 2 only,"(d)  1, 2 and 3",a,Difficult,tApplied(A),"<ul>
<li>The Indian rupee is fully convertible in respect of current account of Balance of payment. Tarapore Committee recommended for full convertibility of rupee i.e. both current and capital account convertibility.</li>
</ul>"
2000,Economics,4,,," <p>Resurgent India Bonds was issued in US Dollar, Pound, Sterling and</p>",(a)  Japanese Yen,(b)  Deutsche Mark,(c)  Euro,(d)  French Franc,a,Medium,Fundamental(F),"<p>The Resurgent Bonds were issued in US Dollar, Pound, Sterling and Japanese Yen.</p>"
2000,Economics,4,,, <p>Consider the following statements: The Ministerial Meeting of WTO held in December 1999 was unsuccessful because it attempted to link trade with </p><p>1. Labour related issues.</p><p>2. Environment related issues.</p><p>3. Terrorism related issues.</p><p>4. Debt related issues.</p><p>Which of these statements are correct ?</p>,"(a)  1, 3 and 4",(b)  1 and 2,(c)  2 and 3,(d)  2 and 4,b,Medium,Fundamental(F),"<ul>
<li>The Ministerial Meeting of WTO (1999) was unsuccessful because it attempted to link trade with labour related issues and environment related issues.</li>
</ul>"
2000,Economics,4,,," <p>The growth rate of per capita income at current prices is higher than that of per capita income at constant prices, because the latter takes into account the rate of</p>",(a)  Growth of population,(b)  Increase in price level,(c)  Growth of money supply,(d)  Increase in the wage rate,b,Medium,Applied(A),<p>The growth rate of per capita income at current prices is higher than that of PCI at constant prices because the latter takes into account the rate of increase in price level.</p>
2000,Economics,4,,, <p>A rise in ‘SENSEX’ means </p>,(a)  A rise in prices of states of all companies registered with Bombay Stock Exchange,(b)  A rise in prices of shares of all companies registered with National Stock Exchange,(c)  An overall rise in prices of shares of group of companies registered with Bombay Stock Exchange,(d)  A rise in prices of shares of all companies belonging to a group of companies registered with Bombay Stock Exchange,c,Medium,Fundamental(F),<p>A rise in ‘SENSEX’ means an overall rise in prices of shares of group of companies registered with Bombay Stock Exchange.</p>
2000,Economics,4,,," <p>Match List I with List II and select correct answer using the codes given below the lists:                                                                                                                                             List I                                                                 List II</p><p>A. Boom.                1. Business activity at high level with increasing income, output and employment at macro level</p><p>B. Recession          2. Gradual fall of income, output and employment with business activity in a low gear</p><p>C. Depression        3. Unprecedented level of under employment and unemployment, drastic fall in income, output and employment</p><p>D. Recovery           4. Steady rise in the general level of prices, income, output and employment</p>","(a) A-1, B-2, C-3, D-4","(b) A-1, B-2, C-4, D-3","(c) A-2, B-1, C-4, D-3","(d) A-2, B-1, C-3, D-4",a,Difficult,tApplied(A),"<p>A. Boom – Business activity at high level with increasing income, output and employment at macro level.                                  </p><p> B. Recession – Gradual fall of income, output and employment with business activity in a low gear.                                            </p><p>C. Depression – Unprecedented level of under employment and unemployment, drastic fall in income, output and employment.                                                                                                                                                                                                  </p><p>D. Recovery – Steady rise in the general level of prices, income, output and employment.</p><p><br/></p>"
2000,Economics,4,,, <p>Assertion (A): The rate of growth of India’s exports has shown an appreciable increase after 1991.                                                           Reason (R): The Govt. of India has resorted to devaluation.</p>,(a)  Both A and R are true and R is the correct explanation of A,(b)  Both A and R are true but R is NOT the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,a,Medium,Applied(A),<p>The Government of India resorted to devaluation in the year 1991 which led to increase in exports. Devaluation lowers the prices of domestic goods in the international market. Along with this some export promotion schemes were initiated to enhance the export growth rate in India.</p>
2000,Economics,4,,," <p>“instill into the vast millions of workers, men and women, who actually do the job, a sense of partnership and of cooperative performance………………” The above passage related to</p>",(a)  Planned Development,(b)  Community Development,(c)  Panchayati Raj System,(d)  Integrated Development Programme,b,Medium,Fundamental(F),<p>The above passage relates to Community Development Programme. It was started in 1952 with an aim of overall development of rural areas.</p>
2000,Economics,4,,, <p>Indian Human Development Report does not give for each sample village </p>,(a)  Infrastructure and Amenities Index,(b)  Education Related Index,(c)  Health Related Index,(d)  Unemployment Related Index,d,Medium,Fundamental(F),"<p>Indian Human Development Report was first initiated in 2001 by the former Deputy Chairman of Planning Commission ‘K.C. Pant’ which includes indicators on Education, Health, Economic well being and access to amenities.</p>"
2000,Indian Art and Culture,9,,, <p>Consider the following statements regarding the Chakiarkoothu form of dance :</p><ol><li>It is performed by Chakiar caste.</li><li>It cannot be traditionally witnessed by the higher caste Hindus.</li><li>Mizhavu is the accompanying instrument.</li><li> Its theatre form is called koothambalam.</li></ol><p>Which of the statements given above is/are correct ?</p>,"(a) 1, 3 and 4","(b) 1, 2 and 3","(c) 2, 3 and 4","(d) 1, 2 and 4",d,Difficult,tFundamental(F),"<ul style=""list-style-type: disc;""><li>Chakiarkoothu is a famous folk dance of Kerala performed by Chakiar caste. Mizhavu is not associated with this dance.</li></ul>"
2000,Indian Art and Culture,9,,," <p><strong>Assertion (A):</strong> The Aham and Puram poems of the Padinen Kulukanakku group formed a continuation of the Sangam composition.</p><p><strong>Reason (R):</strong> They were included under the Post-Sangam works as against the Sangam works proper.</p><b>Assertion (A):</b> The Aham and Puram poems of the Padinen Kulukanakku group formed a continuation of the Sangam composition.

<b>Reason (R):</b> They were included under the Post-Sangam works as against the Sangam works proper.",(a) Both A and R are individually true and R is the correct explanation of A,(b) Both A and R are individually true but R is not the correct explanation of A,(c) A is true but R is false,(d) A is false but R is true,c,Medium,Fundamental(F),"<ul style=""list-style-type: disc;""><li>Kilukanakku forms the didactic group of Sangam literature.</li></ul>"
2000,Indian Art and Culture,9,,," <p>Match List-I with List-II and select the correct answer using the codes given below the lists:</p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""mceItemTable mce-item-table"" width=""266""><tbody><tr><td valign=""top"" width=""115""><p><strong>List-I (Artist)</strong></p></td><td valign=""top"" width=""24""><p> </p></td><td valign=""top"" width=""132""><p><strong>List-II (Medium of music delivery)</strong></p></td></tr><tr><td valign=""top"" width=""115""><p>A. Balamurali Krishna</p></td><td valign=""top"" width=""24""><p>:</p></td><td valign=""top"" width=""132""><p>1. Hindustani vocal</p></td></tr><tr><td valign=""top"" width=""115""><p>B. Mita Pandit</p></td><td valign=""top"" width=""24""><p>:</p></td><td valign=""top"" width=""132""><p>2. Ghatam</p></td></tr><tr><td valign=""top"" width=""115""><p>C. Kanyakumari</p></td><td valign=""top"" width=""24""><p>:</p></td><td valign=""top"" width=""132""><p>3. Sitar</p></td></tr><tr><td valign=""top"" width=""115""><p>D. Nikhil Bannerjee</p></td><td valign=""top"" width=""24""><p>:</p></td><td valign=""top"" width=""132""><p>4. Violin</p></td></tr><tr><td valign=""top"" width=""115""><p> </p></td><td valign=""top"" width=""24""><p>:</p></td><td valign=""top"" width=""132""><p>5. Carnatic vocal</p></td></tr></tbody></table><p><br/></p>","(a) A-5, B-1, C-2, D-3","(b) A-4, B-3, C-1, D-5","(c) A-3, B-1, C-5, D-2","(d) A-5, B-4, C-1, D-3",a,Difficult,tFundamental(F),<p>A. Balamurali Krishna - Carnatic vocal</p><p>B. Mita Pandit - Hindustani vocal</p><p>C. Kanyakumari - Ghatam</p><p>D. Nikhil Bannerjee - Sitar</p>
2000,Indian Art and Culture,9,,, <p>Which one of the following pairs is<em><strong> not</strong></em> correctly matched?</p>,(a) Bakti Itihar         :     Badal Sarkar,(b)  Sita Swayamvar:      Vishnu Das Bhave,(c) Yayati                  :      Girish Karnad,(d)  Giddha               :      Jabbar Patel,d,Difficult,tFundamental(F),<ul><li>'Giddha' is written by 'Vijay Tendulkar'.</li></ul>
2000,Indian Art and Culture,9,,, <p>The Raga which is sung early in the morning is</p>,(a)  Todi,(b)  Darbari,(c)  Bhopali,(d)  Bhimpalasi,a,Difficult,tFundamental(F),<ul><li>Togo is the Raga which is sung early in the morning.</li></ul>
2000,Ancient and Medieval History,8,,, <p>Which one of the following Muslim rulers was hailed as the ‘Jagadguru’ by his Muslim subjects because of his belief in secularism?</p>,(a)  Husain Shah,(b)  Zain-ul-Abidin,(c)  Ibrahim Adil Shah,(d)  Mahmud II,c,Medium,Fundamental(F),Ibrahim Adil Shah was called ‘Jagadguru’ and ‘Adilbaba’ by his people because of his belief in Secularism.
2000,History of Modern India,7,,, <p>Who among the following streamlined the Maratha administration after Sambhaji ?</p>,(a)  Raja Ram,(b)  Balaji Viswanath,(c)  Ganga Bai,(d)  Nanaji Deshmukh,b,Medium,Fundamental(F),Peshwa Balaji Viswanah streamlined the Maratha administration after Sambhaji.
2000,Ancient and Medieval History,8,,, <p>Match List-I with List-II and select the correct answer using the codes given the lists :</p><p>List-I                           List-II</p><p>A. Iqta.                   1. Marathas</p><p>B. Jagir.                   2. Delhi Sultans</p><p>C. Amaram.            3. Mughals</p><p>D. Mokasa.             4. Vijayanagara</p>,"(a) A-3, B-2, C-1, D-4","(b) A-2, B-3, C-4, D-1","(c) A-2, B-3, C-1, D-4","(d) A-3, B-2, C-4, D-1",b,Difficult,tFundamental(F),"<p>These were all land grants.<br/> Iqta – Delhi Sultans, Jagir – Mughals<br/> Amaram – Vijayanagara rulers, Mokasa – Marathas</p>"
2000,History of Modern India,7,,, <p>“In this instance we could not play off the Mohammedans against the Hindus.” To which one of the following events did this remark of Aitchison relate ?</p>,(a)  Revolt of 1857,(b)  Champaran Satyagraha (1917),(c)  Khilafat and Non-Cooperation Movement (1919-22),(d)  August Movement of 1942,c,Medium,Fundamental(F),"During the Khilafat and Non-Cooperation Movement period, Muslims joined with Hindus to struggle against the common enemy British. This period had seen unprecedented unity between these two religions. This forced Aitchison to make the above statement."
2000,History of Modern India,7,,, <p>The Indian National Army (I.N.A.) came into existence in 1943 in </p>,(a)  Japan,(b)  Then Burma,(c)  Singapore,(d)  The Malays,c,Medium,Fundamental(F),"Though INA was formed by Captain Mohan Singh, on 1 September 1942, it was failed and came into existence again on 2 July 1943, when Subhash Chandra Bose reached Singapore and gave the rousing war cry of “Dilli Chalo”."
2000,History of Modern India,7,,, <p>The last major extension of British Indian territory took place during the time of</p>,(a)  Dufferin,(b)  Dalhousie,(c)  Lytton,(d)  Curzon,b,Medium,Fundamental(F),"Dalhousie (1849-56) introduced the ‘Doctrine of Lapse’ which proved fatal for the princely states. Based on this, he annexed a lot of States and expanded the British Indian territory to a large extent."
2000,History of Modern India,7,,," <p>As an alternative to the partition of India, Gandhiji suggested to Mountbatten that he</p>",(a)  Postpone granting of independence,(b)  Invite Jinnah to form the government,(c)  Invite Nehru and Jinnah to form the government together,(d)  Invite the army to take over for some time,b,Medium,Fundamental(F),"Gandhiji, as an alternative to the partition of India, suggested to Mountbatten to invite Jinnah to form the Government. But it was opposed by Congress as well as Muslim League."
