year,subject_name,topic_name
2015,Environment,Aquatic Ecosystem
2015,History of Modern India,Early Political Organizations
2015,Polity and Governance,Indian Polity — Parliament
2015,History of Modern India,Constitutional Reforms
2015,Economics,Inflation
2015,Science and Technology,Physics
2015,Economics,International Relations — International Organizations
2015,Science and Technology,Information Technology and Communication
2015,Current Affairs,International Relations — Regional Conflicts
2015,Economics,Foreign Exchange
2015,Ancient and Medieval History,Dynasties of the North
2015,Geography,Indian Drainage System
2015,Polity and Governance,Indian Polity — Parliament
2015,Geography,Natural Vegetation
2015,Ancient and Medieval History,Mahajanpada
2015,Environment,Ozone Depletion
2015,Ancient and Medieval History,Mughals
2015,Current Affairs,Indian Polity — Governance
2015,Environment,Global Efforts
2015,Polity and Governance,Union Executive
2015,Science and Technology,Science & Tech — Space
2015,History of Modern India,Civil Disobedience Movement (1930–1934)
2015,Ancient and Medieval History,Dynasties of the Deccan and South India
2015,History of Modern India,Early Political Organizations
2015,Environment,Mitigation and Adaptation
2015,Current Affairs,Art & Culture — Awards
2015,History of Modern India,Constitutional Reforms
2015,Environment,Indian Biodiversity
2015,Current Affairs,International Relations — International Organizations
2015,Art and Culture,Temples
2015,Ancient and Medieval History,Dynasties of the North
2015,Current Affairs,International Relations — International Organizations
2015,Current Affairs,International Relations — International Organizations
2015,Geography,Industries
2015,Polity and Governance,Indian Polity — Scheduled Tribes
2015,Polity and Governance,Union and Its Territory (Part I: Articles 1–4)
2015,Polity and Governance,Indian Polity — Constitution
2015,Economics,Government Schemes
2015,Environment,Acts and Initiatives
2015,Current Affairs,International Relations — Regional Cooperation
2015,Economics,Banking System
2015,Geography,Atmospheric Circulation/Pressure Belts and Wind Systems
2015,Current Affairs,International Relations — Regional Organizations
2015,History of Modern India,Early Extremism and Swadeshi
2015,Geography,Natural Vegetation
2015,Geography,Ocean Currents
2015,Science and Technology,Space Technology
2015,Geography,Natural Vegetation
2015,Current Affairs,Science & Tech — Research Institutions
2015,Current Affairs,Environment — Climate Change
2015,Current Affairs,Art & Culture — Languages
2015,Environment,Biodiversity initiatives and legislations
2015,Geography,Political boundaries and Geopolitical issues
2015,Geography,Natural Vegetation
2015,Current Affairs,International Relations — International Organizations
2015,Geography,Climatic Regions of the World and Vegetation
2015,Economics,Economic Growth and Development
2015,Polity and Governance,Indian Polity — State Legislature
2015,Polity and Governance,Fundamental Duties (Part IVA: Article 51A)
2015,Environment,Ecosystem Basics and Functions
2015,Polity and Governance,Panchayats
2015,Economics,Monetary Policy in India
2015,Economics,Inflation
2015,Current Affairs,International Relations — Nuclear Non-Proliferation
2015,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2015,Economics,Basics of Agriculture
2015,Polity and Governance,The Union Legislature (Parliament)
2015,Current Affairs,Science & Tech — Health
2015,Current Affairs,Science & Tech — Waste Management
2015,Economics,Foreign Exchange
2015,Science and Technology,Energy Technologies
2015,Art and Culture,Indian Paintings
2015,Economics,Agriculture Inputs
2015,Economics,Government Fiscal Policies
2015,Current Affairs,Economy — Intellectual Property Rights
2015,Current Affairs,Economy — Renewable Energy
2016,Current Affairs,Economy — Social Security Schemes
2016,Current Affairs,International Relations — Regional Trade Agreements
2016,Current Affairs,Science & Tech — Energy Efficiency
2016,Environment,Greenhouse and Global Warming
2016,Science and Technology,Nuclear Technology
2016,Ancient and Medieval History,Dynasties of the Deccan and South India
2016,Current Affairs,International Relations — International Organizations
2016,Current Affairs,International Relations — International Organizations
2016,Geography,Agriculture
2016,Current Affairs,Science & Tech — Digital Initiatives
2016,Current Affairs,Geography — Rivers
2016,Environment,Sources of Pollution
2016,Science and Technology,Space Technology
2016,Ancient and Medieval History,DELHI SULTANATE
2016,Ancient and Medieval History,Dynasties of the North
2016,Current Affairs,Environment — Biodiversity
2016,Science and Technology,Space Technology
2016,History of Modern India,Moderate Phase (1885–1905)
2016,History of Modern India,Constitutional Reforms
2016,Geography,Indian Physiographic Divisions
2016,Polity and Governance,Union–State Relations
2016,Current Affairs,Economy — Infrastructure
2016,Environment,Global Efforts
2016,Environment,Global Efforts
2016,Current Affairs,Art & Culture — Literature
2016,Polity and Governance,Panchayats
2016,Polity and Governance,Indian Polity — Parliament
2016,Current Affairs,Economy — Hunger and Nutrition
2016,Economics,Government Fiscal Policies
2016,Economics,Banking System
2016,Science and Technology,Information Technology and Communication
2016,Environment,Mitigation and Adaptation
2016,Current Affairs,Economy — Power Sector
2016,Current Affairs,Economy — International Finance
2016,Ancient and Medieval History,Vijayanagara Empire
2016,Art and Culture,Ancient Period Literature(300BC-700AD)
2016,Economics,International Relations — International Organizations
2016,Economics,Budget and its Concept
2016,Environment,Global Efforts
2016,Current Affairs,International Relations — International Organizations
2016,Economics,International  Institutions
2016,Current Affairs,Social Issues — Manual Scavenging
2016,Ancient and Medieval History,Other Regional Kingdoms
2016,Economics,Foreign Exchange
2016,Current Affairs,International Relations — Refugees and Displacement
2016,Current Affairs,International Relations — International Organizations
2016,Current Affairs,
2016,Environment,Indian Biodiversity
2016,Current Affairs,
2016,Current Affairs,
2016,Polity and Governance,Services Commission (Part XIV: Articles 308–323)
2016,Current Affairs,
2016,Environment,Biodiversity initiatives and legislations
2016,Geography,Indian Drainage System
2016,Economics,Banking System
2016,Environment,Global Efforts
2016,Science and Technology,Biotechnology
2016,Current Affairs,
2016,Environment,Greenhouse and Global Warming
2016,Science and Technology,Healthcare Technology
2016,Current Affairs,
2016,Current Affairs,
2016,Economics,Economic Growth and Development
2016,Ancient and Medieval History,Other Regional Kingdoms
2016,History of Modern India,Famous Personalities
2016,Polity and Governance,Tribunals (Part XIVA: Articles 323A–323B)
2016,Current Affairs,
2016,Current Affairs,
2016,Economics,Banking System
2016,Environment,Indian Biodiversity
2016,Current Affairs,
2016,Current Affairs,
2016,Current Affairs,
2016,Current Affairs,
2016,History of Modern India,Early Extremism and Swadeshi
2016,Ancient and Medieval History,Other Regional Kingdoms
2016,Current Affairs,
2016,Environment,Biodiversity initiatives and legislations
2016,Environment,Indian Biodiversity
2016,Environment,Biodiversity initiatives and legislations
2016,Economics,
2016,Environment,Global Efforts
2016,History of Modern India,Socio-Religious Reform Movements
2016,Science and Technology,Biology
2016,Current Affairs,
2016,Current Affairs,
2016,Economics,
2016,Current Affairs,
2016,History of Modern India,Constitutional Reforms
2016,Art and Culture,Indian Paintings
2016,Economics,Concept of Money
2016,Current Affairs,
2016,Environment,Biodiversity initiatives and legislations
2016,History of Modern India,Socio-Religious Reform Movements
2016,Current Affairs,
2016,Economics,Government Schemes
2016,Current Affairs,
2016,Current Affairs,
2016,Geography,"Mineral, Energy and Resources"
2016,Current Affairs,
2017,Ancient and Medieval History,Dynasties of the Deccan and South India
2017,Environment,Global Efforts
2017,Art and Culture,Buddhist and Jain
2017,Geography,Location of important physical features
2017,Current Affairs,
2017,Current Affairs,
2017,Polity and Governance,Elections Commission (Part XV: Articles 324–329)
2017,Geography,Indian Physiographic Divisions
2017,Environment,Aquatic Ecosystem
2017,Current Affairs,
2017,Current Affairs,
2017,History of Modern India,Constitutional Reforms
2017,Current Affairs,
2017,Current Affairs,
2017,Environment,Global Efforts
2017,Geography,Indian Climate
2017,Environment,Indian Biodiversity
2017,Current Affairs,
2017,Art and Culture,Buddhist Literature
2017,Art and Culture,Fair and Festivals
2017,Environment,Biodiversity initiatives and legislations
2017,Current Affairs,
2017,Current Affairs,
2017,Science and Technology,Information Technology and Communication
2017,Art and Culture,Temples
2017,Polity and Governance,Miscellaneous (Part XIX: Articles 361–367)
2017,Economics,Economic Growth and Development
2017,Science and Technology,Biotechnology
2017,Current Affairs,
2017,Environment,Indian Biodiversity
2017,Economics,
2017,Current Affairs,
2017,Current Affairs,
2017,Current Affairs,
2017,Current Affairs,
2017,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2017,Current Affairs,
2017,Current Affairs,
2017,Current Affairs,
2017,Polity and Governance,Elections Commission (Part XV: Articles 324–329)
2017,Environment,Biodiversity initiatives and legislations
2017,Polity and Governance,Basic Structure and other Doctrines
2017,History of Modern India,Quit India Movement (1942)
2017,Economics,Government Fiscal Policies
2017,Current Affairs,
2017,Polity and Governance,Union–State Relations
2017,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2017,Geography,Location of important physical features
2017,Polity and Governance,Union Executive
2017,Polity and Governance,Union–State Relations
2017,History of Modern India,Constitutional Reforms
2017,Current Affairs,
2017,Current Affairs,
2017,Current Affairs,
2017,Geography,Indian Drainage System
2017,Current Affairs,
2017,Current Affairs,
2017,Economics,
2017,Economics,
2017,Environment,Biodiversity initiatives and legislations
2017,Polity and Governance,Fundamental Duties (Part IVA: Article 51A)
2017,History of Modern India,Early Political Organizations
2017,Polity and Governance,Preamble
2017,Current Affairs,
2017,Current Affairs,
2017,Current Affairs,
2017,Polity and Governance,Philosophical and Ideological Foundations
2017,Current Affairs,
2017,Current Affairs,
2017,Science and Technology,Biotechnology
2017,Polity and Governance,Union Executive
2017,Polity and Governance,Fundamental Duties (Part IVA: Article 51A)
2017,Polity and Governance,Preamble
2017,Geography,Location of India
2017,Polity and Governance,The Union Legislature (Parliament)
2017,Polity and Governance,The Union Legislature (Parliament)
2017,Ancient and Medieval History,Vedic Age
2017,Current Affairs,
2017,Geography,Indian Physiographic Divisions
2017,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2017,Environment,Biodiversity initiatives and legislations
2017,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2017,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2017,Current Affairs,
2017,Current Affairs,
2017,Economics,Monetary Policy in India
2017,Art and Culture,Music
2017,History of Modern India,British Administrative Policies
2017,Environment,Sources of Pollution
2017,History of Modern India,British Administrative Policies
2017,Polity and Governance,Panchayats
2017,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2017,Current Affairs,
2017,Geography,Indian Drainage System
2017,Current Affairs,
2017,Environment,Biodiversity Concepts
2017,Environment,Renewable Energy
2017,Current Affairs,
2017,History of Modern India,Economic and Social Policies
2017,Environment,Mitigation and Adaptation
2018,Polity and Governance,Elections Commission (Part XV: Articles 324–329)
2018,Science and Technology,Biology
2018,Current Affairs,
2018,Polity and Governance,Non-Constitutional Bodies
2018,Polity and Governance,Miscellaneous (Part XIX: Articles 361–367)
2018,Current Affairs,
2018,Current Affairs,
2018,Current Affairs,
2018,Current Affairs,
2018,Economics,Agriculture Inputs
2018,History of Modern India,Famous Personalities
2018,Current Affairs,
2018,Geography,Natural Vegetation
2018,Current Affairs,
2018,Current Affairs,
2018,Economics,Banking System
2018,Current Affairs,
2018,Current Affairs,
2018,History of Modern India,Education Policies
2018,Polity and Governance,Non-Constitutional Bodies
2018,Current Affairs,
2018,Art and Culture,Fair and Festivals
2018,Current Affairs,
2018,Current Affairs,
2018,Current Affairs,
2018,Economics,
2018,Geography,"Mineral, Energy and Resources"
2018,Current Affairs,
2018,Geography,Latitude and Longitude/Time and Time Zone
2018,Current Affairs,
2018,Polity and Governance,Miscellaneous (Part XIX: Articles 361–367)
2018,Polity and Governance,Elections Commission (Part XV: Articles 324–329)
2018,Current Affairs,
2018,Current Affairs,
2018,Environment,Global Efforts
2018,Current Affairs,
2018,Geography,Political boundaries and Geopolitical issues
2018,History of Modern India,Constitutional Reforms
2018,Polity and Governance,State Legislature
2018,Polity and Governance,"Justice, Liberty, Equality, Fraternity (from Preamble)"
2018,Polity and Governance,Special Provisions for Certain Classes (Part XVI: Articles 330–342A)
2018,Art and Culture,Indian Paintings
2018,Current Affairs,
2018,Ancient and Medieval History,Other Regional Kingdoms
2018,Polity and Governance,Basic Structure and other Doctrines
2018,Economics,Concept of Money
2018,Economics,Government Fiscal Policies
2018,Economics,Economic Growth and Development
2018,Economics,
2018,Economics,Economic Growth and Development
2018,History of Modern India,Tribal and Peasant Uprisings
2018,History of Modern India,Economic and Social Policies
2018,Polity and Governance,Emergency Provisions (Part XVIII: Articles 352–360)
2018,Current Affairs,
2018,Science and Technology,Information Technology and Communication
2018,Economics,Banking System
2018,Geography,Earth's interior: Structure and composition
2018,Current Affairs,
2018,Environment,Ecology Basics
2018,Current Affairs,
2018,Current Affairs,
2018,Science and Technology,Physics
2018,Current Affairs,
2018,Current Affairs,
2018,Environment,Greenhouse and Global Warming
2018,Science and Technology,Information Technology and Communication
2018,Current Affairs,
2018,History of Modern India,Rise of British East India Company
2018,History of Modern India,Civil Disobedience Movement (1930–1934)
2018,History of Modern India,Famous Personalities
2018,Art and Culture,Jainism
2018,Art and Culture,Indo-Islamic
2018,Ancient and Medieval History,Mughals
2018,Art and Culture,Buddhism
2018,History of Modern India,British Policies for Consolidation
2018,History of Modern India,Education Policies
2018,Geography,Indian Drainage System
2018,Current Affairs,
2018,History of Modern India,Early Political Organizations
2018,History of Modern India,Socio-Religious Reform Movements
2018,Environment,Sources of Pollution
2018,Environment,Ecology Basics
2018,Environment,Global Efforts
2018,Science and Technology,Biotechnology
2018,Geography,Volcanism
2018,Environment,Biodiversity Concepts
2018,Geography,Natural Vegetation
2018,Environment,
2018,History of Modern India,Education Policies
2018,Geography,Political boundaries and Geopolitical issues
2018,Current Affairs,
2018,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2018,Economics,Agriculture Inputs
2018,Environment,Indian Biodiversity
2018,Science and Technology,Space Technology
2018,Economics,Banking System
2018,Current Affairs,
2018,Current Affairs,
2018,Science and Technology,Biology
2018,Environment,Acts and Initiatives
2019,Current Affairs,
2019,Current Affairs,
2019,Economics,Banking System
2019,Current Affairs,
2019,Science and Technology,Information Technology and Communication
2019,Current Affairs,
2019,Current Affairs,
2019,Environment,Acts and Initiatives
2019,Economics,Agriculture Inputs
2019,Polity and Governance,Miscellaneous Provisions
2019,Economics,Banking System
2019,Geography,"Mineral, Energy and Resources"
2019,Economics,Foreign Exchange
2019,Economics,Banking System
2019,Economics,Foreign Exchange
2019,Polity and Governance,Non-Constitutional Bodies
2019,Economics,Banking System
2019,Environment,Acts and Initiatives
2019,Polity and Governance,Non-Constitutional Bodies
2019,Economics,Planning in India
2019,Polity and Governance,High Courts and Subordinate Courts
2019,Economics,Foreign Exchange
2019,Geography,Agriculture
2019,Economics,"Major Crops, Agri Production and Agri Export"
2019,Polity and Governance,"Justice, Liberty, Equality, Fraternity (from Preamble)"
2019,Economics,Foreign Exchange
2019,Current Affairs,
2019,Current Affairs,
2019,Current Affairs,
2019,Economics,Concept of Money
2019,Current Affairs,
2019,Polity and Governance,Supreme Court 
2019,Polity and Governance,State Legislature
2019,Current Affairs,
2019,Environment,Acts and Initiatives
2019,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2019,Science and Technology,Biotechnology
2019,Environment,Acts and Initiatives
2019,Environment,Acts and Initiatives
2019,Current Affairs,
2019,Science and Technology,Information Technology and Communication
2019,Current Affairs,
2019,Science and Technology,Biotechnology
2019,Science and Technology,Information Technology and Communication
2019,Science and Technology,Healthcare Technology
2019,Science and Technology,Biotechnology
2019,Science and Technology,Physics
2019,Science and Technology,Healthcare Technology
2019,Science and Technology,Biotechnology
2019,Science and Technology,Healthcare Technology
2019,Ancient and Medieval History,Mughals
2019,Economics,
2019,Current Affairs,
2019,History of Modern India,Constitutional Reforms
2019,History of Modern India,Early Extremism and Swadeshi
2019,History of Modern India,Socio-Religious Reform Movements
2019,Ancient and Medieval History,Indus Valley Civilization
2019,Ancient and Medieval History,Maurya Empire
2019,Art and Culture,Buddhism
2019,Ancient and Medieval History,Gupta Empire
2019,History of Modern India,Economic and Social Policies
2019,Environment,Indian Biodiversity
2019,Geography,Indian Drainage System
2019,Economics,Poverty
2019,Environment,Mitigation and Adaptation
2019,Environment,Renewable Energy
2019,Environment,Indian Biodiversity
2019,Environment,Biodiversity Concepts
2019,Environment,Indian Biodiversity
2019,Environment,Aquatic Ecosystem
2019,Art and Culture,Temples
2019,Ancient and Medieval History,DELHI SULTANATE
2019,Ancient and Medieval History,Mughals
2019,History of Modern India,Gandhian Movements
2019,History of Modern India,Famous Personalities
2019,Ancient and Medieval History,Mughals
2019,Ancient and Medieval History,Mughals
2019,Environment,Indian Biodiversity
2019,Current Affairs,
2019,Geography,Earth Movement/Season and Days
2019,Environment,Sources of Pollution
2019,Geography,Indian Drainage System
2019,Environment,Renewable Energy
2019,Geography,Humidity and Rainfall
2019,Polity and Governance,Amendment of the Constitution (Part XX: Article 368)
2019,Polity and Governance,Tribunals (Part XIVA: Articles 323A–323B)
2019,Polity and Governance,Schedules (12 Schedules)
2019,Economics,
2019,Polity and Governance,Non-Constitutional Bodies
2019,Polity and Governance,Schedules (12 Schedules)
2019,Current Affairs,
2019,Science and Technology,Biotechnology
2019,Environment,Indian Biodiversity
2019,Environment,Global Efforts
2019,Environment,Sources of Pollution
2019,Geography,Location of important physical features
2019,Economics,"Major Crops, Agri Production and Agri Export"
2019,Geography,Indian Drainage System
2019,Environment,Sources of Pollution
2019,Environment,Acts and Initiatives
2020,Science and Technology,Nanotechnology
2020,Science and Technology,Biotechnology
2020,Science and Technology,Space Technology
2020,Science and Technology,Biotechnology
2020,Science and Technology,Healthcare Technology
2020,Science and Technology,Information Technology and Communication
2020,Science and Technology,Biology
2020,Environment,Sources of Pollution
2020,Economics,Banking System
2020,Economics,Concept of Money
2020,Ancient and Medieval History,Other Regional Kingdoms
2020,History of Modern India,Women and Marginalized Groups
2020,History of Modern India,Economic and Social Policies
2020,History of Modern India,British Administrative Policies
2020,History of Modern India,Tribal and Peasant Uprisings
2020,Ancient and Medieval History,Gupta Empire
2020,Science and Technology,Biotechnology
2020,Science and Technology,Robotics and Automation
2020,Science and Technology,Information Technology and Communication
2020,Science and Technology,Information Technology and Communication
2020,Polity and Governance,The Union Legislature (Parliament)
2020,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2020,Polity and Governance,Basic Structure and other Doctrines
2020,Polity and Governance,Philosophical and Ideological Foundations
2020,Polity and Governance,
2020,Polity and Governance,Preamble
2020,Economics,International  Institutions
2020,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2020,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2020,Polity and Governance,The Union Legislature (Parliament)
2020,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2020,Polity and Governance,The Union Legislature (Parliament)
2020,Current Affairs,
2020,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2020,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2020,Polity and Governance,Miscellaneous Provisions
2020,Polity and Governance,Basic Structure and other Doctrines
2020,Polity and Governance,Preamble
2020,Polity and Governance,Non-Constitutional Bodies
2020,Geography,Political boundaries and Geopolitical issues
2020,History of Modern India,Economic and Social Policies
2020,Ancient and Medieval History,
2020,History of Modern India,Economic and Social Policies
2020,Ancient and Medieval History,Pratiharas-Palas-Rashtrakutas
2020,Ancient and Medieval History,Post-Gupta
2020,History of Modern India,Gandhian Movements
2020,History of Modern India,Civil Disobedience Movement (1930–1934)
2020,History of Modern India,Socio-Religious Reform Movements
2020,Ancient and Medieval History,Dynasties of the North
2020,Ancient and Medieval History,Maurya Empire
2020,Environment,Acts and Initiatives
2020,Geography,"Mineral, Energy and Resources"
2020,Geography,Ocean Currents
2020,Economics,Agriculture Inputs
2020,Environment,Indian Biodiversity
2020,Geography,Location of important physical features
2020,Art and Culture,Ancient Period Literature(300BC-700AD)
2020,Environment,Acts and Initiatives
2020,Geography,Atmospheric Circulation/Pressure Belts and Wind Systems
2020,Environment,
2020,Environment,Acts and Initiatives
2020,Ancient and Medieval History,Gupta Empire
2020,Environment,Ecology Basics
2020,Environment,Acts and Initiatives
2020,Environment,Mitigation and Adaptation
2020,Geography,Agriculture
2020,Geography,Agriculture
