Question no,solution,,,,,,,,,
519,c,,,,,,,,,
520,c,,,,,,,,,
521,b,,,,,,,,,
522,b,,,,,,,,,
523,b,,,,,,,,,
524,a,,,,,,,,,
525,d,,,,,,,,,
526,a,,,,,,,,,
527,d,,,,,,,,,
528,b,,,,,,,,,
529,c,,,,,,,,,
530,c,,,,,,,,,
531,c,,,,,,,,,
532,b,,,,,,,,,
533,d,,,,,,,,,
534,b,,,,,,,,,
535,d,,,,,,,,,
536,c,,,,,,,,,
537,a,,,,,,,,,
538,c,,,,,,,,,
539,d,,,,,,,,,
540,c,,,,,,,,,
541,d,,,,,,,,,
542,a,,,,,,,,,
543,b,,,,,,,,,
544,c,,,,,,,,,
545,c,,,,,,,,,
546,d,,,,,,,,,
547,a,,,,,,,,,
548,c,,,,,,,,,
549,d,,,,,,,,,
550,a,,,,,,,,,
551,b,,,,,,,,,
552,b,,,,,,,,,
553,a,,,,,,,,,
554,b,,,,,,,,,
555,b,,,,,,,,,
556,c,,,,,,,,,
557,b,,,,,,,,,
558,c,,,,,,,,,
559,d,,,,,,,,,
560,b,,,,,,,,,
561,a,,,,,,,,,
562,c,,,,,,,,,
563,d,,,,,,,,,
564,d,,,,,,,,,
565,d,,,,,,,,,
566,d,,,,,,,,,
567,a,,,,,,,,,
568,a,,,,,,,,,
569,c,,,,,,,,,
570,d,,,,,,,,,
571,a,,,,,,,,,
572,c,,,,,,,,,
573,d,,,,,,,,,
574,a,,,,,,,,,
575,b,,,,,,,,,
576,a,,,,,,,,,
577,b,,,,,,,,,
578,b,,,,,,,,,
579,d,,,,,,,,,
580,c,,,,,,,,,
581,d,,,,,,,,,
582,d,,,,,,,,,
583,a,,,,,,,,,
584,d,,,,,,,,,
585,d,,,,,,,,,
586,c,,,,,,,,,
587,c,,,,,,,,,
588,d,,,,,,,,,
589,c,,,,,,,,,
590,d,,,,,,,,,
591,b,,,,,,,,,
592,b,,,,,,,,,
593,d,,,,,,,,,
594,d,,,,,,,,,
595,a,,,,,,,,,
596,b,,,,,,,,,
597,d,,,,,,,,,
598,d,,,,,,,,,
599,b,,,,,,,,,
600,d,,,,,,,,,
601,c,,,,,,,,,
602,d,,,,,,,,,
603,c,,,,,,,,,
604,b,,,,,,,,,
605,b,,,,,,,,,
606,c,,,,,,,,,
607,a,,,,,,,,,
608,d,,,,,,,,,
609,b,,,,,,,,,
610,b,,,,,,,,,
611,b,,,,,,,,,
612,b,,,,,,,,,
613,c,,,,,,,,,
614,b,,,,,,,,,
615,c,,,,,,,,,
616,a,,,,,,,,,
617,b,,,,,,,,,
618,b,,,,,,,,,
619,b,,,,,,,,,
620,b,,,,,,,,,
621,c,,,,,,,,,
622,c,,,,,,,,,
623,c,,,,,,,,,
624,a,,,,,,,,,
625,a,,,,,,,,,
626,b,,,,,,,,,
627,d,,,,,,,,,
628,b,,,,,,,,,
629,a,,,,,,,,,
630,c,,,,,,,,,
631,a,,,,,,,,,
632,b,,,,,,,,,
633,d,,,,,,,,,
634,c,,,,,,,,,
635,c,,,,,,,,,
636,c,,,,,,,,,
637,a,,,,,,,,,
638,a,,,,,,,,,
639,d,,,,,,,,,
640,d,,,,,,,,,
641,d,,,,,,,,,
642,c,,,,,,,,,
643,a,,,,,,,,,
644,c,,,,,,,,,
645,b,,,,,,,,,
646,d,,,,,,,,,
647,c,,,,,,,,,
648,b,,,,,,,,,
649,c,,,,,,,,,
650,d,,,,,,,,,
651,b,,,,,,,,,
652,c,,,,,,,,,
653,c,,,,,,,,,
654,a,,,,,,,,,
655,d,,,,,,,,,
656,d,,,,,,,,,
657,b,,,,,,,,,
658,a,,,,,,,,,
659,a,,,,,,,,,
660,d,,,,,,,,,
661,d,,,,,,,,,
662,a,,,,,,,,,
663,c,,,,,,,,,
664,c,,,,,,,,,
665,d,,,,,,,,,
666,b,,,,,,,,,
667,d,,,,,,,,,
668,c,,,,,,,,,
669,a,,,,,,,,,
670,a,,,,,,,,,
671,c,,,,,,,,,
672,d,,,,,,,,,
673,d,,,,,,,,,
674,b,,,,,,,,,
675,b,,,,,,,,,
676,b,,,,,,,,,
677,c,,,,,,,,,
678,b,,,,,,,,,
679,c,,,,,,,,,
680,b,,,,,,,,,
681,c,,,,,,,,,
682,c,,,,,,,,,
683,c,,,,,,,,,
684,a,,,,,,,,,
685,d,,,,,,,,,
686,d,,,,,,,,,
687,a,,,,,,,,,
688,b,,,,,,,,,
689,c,,,,,,,,,
690,c,,,,,,,,,
691,b,,,,,,,,,
692,a,,,,,,,,,
693,b,,,,,,,,,
694,a,,,,,,,,,
695,b,,,,,,,,,
696,c,,,,,,,,,
697,b,,,,,,,,,
698,d,,,,,,,,,
699,d,,,,,,,,,
700,a,,,,,,,,,
701,c,,,,,,,,,
702,a,,,,,,,,,
703,b,,,,,,,,,
704,a,,,,,,,,,
705,d,,,,,,,,,
706,c,,,,,,,,,
707,d,,,,,,,,,
708,d,,,,,,,,,
709,a,,,,,,,,,
710,d,,,,,,,,,
711,b,,,,,,,,,
712,d,,,,,,,,,
713,c,,,,,,,,,
714,c,,,,,,,,,
715,d,,,,,,,,,
716,c,,,,,,,,,
717,c,,,,,,,,,
718,b,,,,,,,,,
719,a,,,,,,,,,
720,c,,,,,,,,,
721,c,,,,,,,,,
722,a,,,,,,,,,
723,c,,,,,,,,,
724,c,,,,,,,,,
725,b,,,,,,,,,
726,d,,,,,,,,,
727,b,,,,,,,,,
728,a,,,,,,,,,
729,a,,,,,,,,,
730,c,,,,,,,,,
731,b,,,,,,,,,
732,b,,,,,,,,,
733,d,,,,,,,,,
734,d,,,,,,,,,
735,c,,,,,,,,,
736,c,,,,,,,,,
737,d,,,,,,,,,
738,d,,,,,,,,,
739,d,,,,,,,,,
740,a,,,,,,,,,
741,b,,,,,,,,,
742,c,,,,,,,,,
743,c,,,,,,,,,
744,a,,,,,,,,,
745,c,,,,,,,,,
746,b,,,,,,,,,
747,a,,,,,,,,,
748,b,,,,,,,,,
749,c,,,,,,,,,
750,a,,,,,,,,,
751, c,,,,,,,,,
752,b,,,,,,,,,
753,c,,,,,,,,,
754,b,,,,,,,,,
755,d,,,,,,,,,
756,b,,,,,,,,,
757,a,,,,,,,,,
758,a,,,,,,,,,
759,c,,,,,,,,,
760,b,,,,,,,,,
761,a,,,,,,,,,
762,b,,,,,,,,,
763,b,,,,,,,,,
764,c,,,,,,,,,
765,a,,,,,,,,,
766,a,,,,,,,,,
767,b,,,,,,,,,
768,a,,,,,,,,,
769,c,,,,,,,,,
770,d,,,,,,,,,
771,c,,,,,,,,,
772,d,,,,,,,,,
773,a,,,,,,,,,
774,b,,,,,,,,,
775,b,,,,,,,,,
776,d,,,,,,,,,
777,b,,,,,,,,,
778,a,,,,,,,,,
779,d,,,,,,,,,
780,c,,,,,,,,,
781,b,,,,,,,,,
782,d,,,,,,,,,
783,b,,,,,,,,,
784,b,,,,,,,,,
785,c,,,,,,,,,
786,b,,,,,,,,,
787,b,,,,,,,,,
788,d,,,,,,,,,
789,a,,,,,,,,,
790,c,,,,,,,,,
791,a,,,,,,,,,
792,d,,,,,,,,,
793,b,,,,,,,,,
794,b,,,,,,,,,
795,d,,,,,,,,,
796,c,,,,,,,,,
797,a,,,,,,,,,
798,a,,,,,,,,,
799,d,,,,,,,,,
800,c,,,,,,,,,
801,a,,,,,,,,,
802,b,,,,,,,,,
803,d,,,,,,,,,
804,b,,,,,,,,,
805,b,,,,,,,,,
806,b,,,,,,,,,
807,a,,,,,,,,,
808,c,,,,,,,,,
809,d,,,,,,,,,
810,d,,,,,,,,,
811,d,,,,,,,,,
812,b,,,,,,,,,
813,c,,,,,,,,,
814,a,,,,,,,,,
815,b,,,,,,,,,
816,b,,,,,,,,,
817,d,,,,,,,,,
818,d,,,,,,,,,
819,c,,,,,,,,,
820,a,,,,,,,,,
821,c,,,,,,,,,
822,a,,,,,,,,,
823,a,,,,,,,,,
824,d,,,,,,,,,
825,a,,,,,,,,,
826,c,,,,,,,,,
827,c,,,,,,,,,
828,c,,,,,,,,,
829,b,,,,,,,,,
830,b,,,,,,,,,
831,e,,,,,,,,,
832,b,,,,,,,,,
833,b,,,,,,,,,
834,c,,,,,,,,,
835,e,,,,,,,,,
836,a,,,,,,,,,
837,c,,,,,,,,,
838,c,,,,,,,,,
839,b,,,,,,,,,
840,d,,,,,,,,,
841,b,,,,,,,,,
842,c,,,,,,,,,
843,a,,,,,,,,,
844,a,,,,,,,,,
845,d,,,,,,,,,
846,c,,,,,,,,,
847,b,,,,,,,,,
848,b,,,,,,,,,
849,d,,,,,,,,,
850,d,,,,,,,,,
851,c,,,,,,,,,
852,c,,,,,,,,,
853,c,,,,,,,,,
854,c,,,,,,,,,
855,c,,,,,,,,,
856,c,,,,,,,,,
857,d,,,,,,,,,
858,b,,,,,,,,,
859,b,,,,,,,,,
