q_no,q_statement,a,b,c,d,exam,year
54,Postmasburg and Ils adjacent areas of South Africa is major producer of which of the following minerals? (U.P.P.C.S. (Pre) 2020),Uranium,Bauxite,Manganese,Mica,,
55,"Match lst-I with list-IF and select the correct answer using the codes given below the Hsts:
(Coal Fields) ""+. | (Located) 
A. Talcher 
B. Karnapura 
[D.singrent 4. Mahanadi Valle 
Code: (UPPCS (Pre) 2019)
ABCD",4 1 2 3,3 2 1 4,2 4 3 1,1 3 2 4,,
56,Which of the following is not correctly matched?  [Tribe [Place,Pygm: Congo basin,Angami Nagaland,Japan,Khirghiz Sudan,UPPCS (Pre),2019.0
57,"Given below are two statements, One labelled as Assertion and the other as Reason (R): (U.P. P.C.S. (Mains) 2017)
Assertion (A): Gondwana System of Rocks provides about 95% of the coal of India.
Reason (R): Most of the ferrous and non- ferrous minerals are associated with the Dharwar system of rocks.
Select the correct answer from the codesgiven below:","Both (A) and (R) are correct, and (R) is the correct explanation of (A).","Both (A) and (R) are correct, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false,","(A) is false, but (R) is true.",,
58,"Match Hst-I with iist-I1 and select the correct answer asing the codes given below the lists:
List-T List-Mo' fo:
(Mineral) . (Country) 4. .

[C.tron Ore [3 Mexico
D. Copper 4, India
Code: 
ABCD",3 4 2 1,2 3 4 1,3 2 1 4,3 1 4 2,"B. Mica 2, Russian Federation",
59,"Match [ist-I with list-Il and select the correct answer using the codes given below the lists:
List-I List-h oe
(Coalfields) (States) son
8. Sohagpur 2, Chhattisgarh
C. Bisrampur 3._Madhya Pradesh
D, Ranigan; 4. Jharkhand
Code: 
ABCD :",l 2.3 4,4 3 2 1,1 4 3 2,3 2 4 1,UPPCS (Mains),2017.0
60,What is meant by the term ‘Umiand'?,The heart area of a town,A satellite town,Area surrounding a town,Residentiat area of a town,U.P.P.C.S. (Mains),2017.0
61,"Match list-I with list-If and select the Correct answer using the codes given below the lists:
List-I 5 [Liste Ot
(Industrial) (Country) :-:552..° Reglon  2. fo eae
A. Kinki
[B. Canton [2 Fapan
[C-Lorraine 3. Brazil |
[D. Belo Horizonte [4 France |
Code: 
ABCD",2 1 4 3,2 1 3 4,3 2 4 4,4 3 2 1,UPPCS (Pre),2016.0
62,Which of the following states has Immense Tin Ore reserves?,Assam,Jammu and Kashmir,Chhattisgarh,West Bengal,U.P.P.C.S. (Pre) (Re-Exam),2015.0
63,Which of the following states is the largest producer of asbestos in India?,Madhya Pradesh,Bihar,Karnataka,Rajasthan,"U.P, Lower Sub. (Pre)",2015.0
64,The‘Rice Gene Bank’ of the world is situated in-,China,Philippines,Japan,India,U.P. Lower Sub. (Pre),2015.0
65,"For the location of which one of the
following industries, the avallabillty of raw material is not the primary consideration? U.P.P.C.S. (Pre) 2085",Iron and Steel,Sugar,Electronics,Cement,,
66,Which one of the following is not correctly matched? [UPPCS (Pre) (Re-Exam) 2015 [industry [Location,erPaper [Ontario |,Cotton Textiles [Detroit _*|,Chemical,MotorCar____ | Nagoya,,
67,"To which of the following racial groups, the natives of North America belong? (U.P.P.C.S. (Pre) 2015)",Austric,Caycasoid,Mongoloid,Negroid,,
68,Which of the following Is the correct sequence of States of India in descending order in terms of reserves of coal?,"Odisha, Chhattisgarh, Jharkhand, Madhya Pradesh","Chhattisgarh, Odisha, Madhya Pradesh, Jharkhand","Jharkhand, — Odisha, Chhattisgarh, Madhya Pradesh
(5) Madhya Pradesh, Chhattisgarh, Jharkhand, Odisha",,U.P.P.C.S. (Mains),2014.0
69,Rajasthan has near monopoly in-,Copper,Mica,Zine,Dolomite,U.P.P.C.S. (Mains),2013.0
70,"Match list-1 with [st-Il and select the correct answer using the codes given below the llets:
List-1 List-ll 0 - * (Industry) 5 (Place)’ te 1. Ambala Mukul D. Mineral Oit| 4. Lakheri Refiner: Code: UPPCS (Mains) 2013.
ABCD",2 4 3 1,3 4 2 1,4 2 1 3,2 3 1 4,,
71,"Match Hst-I with list-Ii and select the correct answer using the codes given below the lists:
List. (EMIT (Indastry) - (Centre) .° . -
1. Malanjkhand c Zine |S LK Nager D. Jute 4. Bhatpare Code: 
ABCD",3 1 4 2,3 1 2 4,1 4 2 3,1 2 3 4,UPPCS (Pre),2013.0
72,": Match list-l with list-II and select the correct answer using the codes given below the lists:
List-Il
3. South Africa
D. Sugarcane 4 Ghana |
Code: 
ABCD",3 2 1 4,4 1 2 3,1 4 3 2,2 3 4 1,UP Lower Sub. (Pre),2013.0
73,"Match Hist-I with Ust-If and seclect the correct answer using the codes given below the lists:
Lis-l..... (Liter (Crop) (Region/Country) a 3, Columbia
4. Malaysia Code: 
ABCD",1 2 3 4,4 3 2 1,4 3 1 2,3 4 2 1,"b, Sugarcane _",
74,"Match Ist-I with fist-II and select the correct answer using the codes given below the lists:
List-I.* + | List-H -: a  (Crop fields) —’ - (Country) ©;  C.tancashire 3. Russia |
Code: UPPCS (Pre) 2013! ABCD",l 2 3 4,4 3 2 1,3 4 1 2,1 3 2 4,,
75,"Match list-I with list-II and select the correct answer using the codes given below the lists:
(Coal fields) ""| (Location) ""** *-
A. Kuzbas
B.RedBasin  Russia | Wales
Code: (UPPCS (Mains) 2013)
ABCD",1 3 2 4,2 4 1 3,3 2 4 1,4 3 1 2,2,
76,Which one of the following pairs is not correctly matched? (U.P.P.C.S. (Mains) 2013),Cleveland - Iron and Steel,Detroit - Motor Vehicle,Mesabl Range - Coal field,Philadelphia ~ Ship Building,,
77,"Which of the following 1s correctly matched? (U.P.P.C.S, (Mains) 2012)",Eskimo - Amazon Basin,Pigmy - Irrawadi Basip,Bundu - Sahara,Bushman - Kalahari,,
78,"Match Mst-I with Mst-H and select the correct answer using the codes given below the sts: (Mining Areas) ~ (Minerals)~ /... 2:
A. Gurumahisani C.Jaduguda 3. tronOre | D.Zawar 4 Coal Code: (UPPCS (Pre) 2012) ABCD",3 4 2 1,3 2 2 4,,2 1 3 4,,
79,Which of the following palrs is not correctly matched?,Fulani - West Africa,Bantu - Sahara,Masai - East Africa,Nuba - Sudan,U.P.P.C.S. (Pre),2012.0
80,"Match list-I with Hst-I] and select the correct answer using the codes given below the lists: 
List-I Liste.  
ABCD",l 4.2 3,2 3 4 2,4 2 3 1,3 1 2 4,"B. Hasan __|2. Andhra Pradesh _| 4, Karnataka Code: [UPPCS (Mains)",2011.0
81,"Match list-I with list-I] and select the correct answer using the codes given below the lists: 
List-r List-Il . B. Birmingham Code: 
ABCD",4 3 1 2,2 1 4 3,2 3 4 1,3 4 2 1,UPPCS (Pre),2011.0
82,"Match list-I with list-Il and sclect the correct answer using the codes given below the lists:
[C. Belgaum 3. Ogisha
[D.Korba 4. Karnataka
Code: 
ABCD",4 2 3 1,2 3 4 1,l 3 4 2,2 1 3 4,UPPCS (Mains),2010.0
83,"Match list-I with list-Il and sclect the correct answer using the codes given below the Ilsts: .
A. Mineral Oil
C. Gold
D. Bauxite 4. Rajasthan
Code: 
ABCD",3 2 1 4,2 8 4 3,4 3 1 2,3 4 2 1,UP Lower Sub. (Spl) (Pre),2010.0
84,Which one of the following pairs is notv correctly matched?,Berber - Morocco,Inuits - Canada,Semangs - Indonesia,Veddas - Sri Lanka,"U.P.P.C.S, (Mains)",2010.0
85,The Ruhr basin is the famous industrial region of-,China,Germany,Japan,United Kingdom,U.P.P.C.S (Pre),2010.0
86,"Match list-I with Ist-If and select the correct answer using the codes given below the lists: [Minerals Important Centers _ |
A. Copper [1 Butte
B. Diamond [2 Katangs
C. Gold 3. Kimberley
Code: 
ABCD",2 4 3 1,2 3 4 1,1 3 2 4,3 1 4 2,UPPCS (Mains),2030.0
87,In which of the following districts in India the largest ‘Mica Belt’ 1s found? (U.P. Lowes Sub. (Pre) 2009),Balaghat and Chhindwada,"Udaipur, Ajmer and Alwar","Hazaribagh, Gaya and Munger",Salem and Dharampuri,,
88,"Match list-I with list-II and select the correct answer using the codes given below the lists:
List-1 we. [Ltet-
(Tribe) . (Country) ;
A. Eskimo |. Botswana |
[B. Maasai =| 2. Saudi Arabia
4. Kenya
ode: 
ABCD",1 2 3 4,4 3 2 2,3 4 2 1,2 4 1 3,UPPCS (Pre),2009.0
89,Which of the following pairs !s not correctly matched? (U.P. Lower Sub. (Pre) 2009),Maori - New Zealand,Maasai - Zambia,Mayas - Guatemala,Bushman - Kalahari,,
90,The Inuit people are not found in-,Alaska,Greenland,Canada,Sweden,U.P.P.C.S. (Mains),2009.0
91,"Match Hst-I with list-11 and select the correct answer using the codes given below the lists:
List-¥ ;
(Reglon) '
A. Badam Pahar
|B. Kodarma [2 Iron Ore |
G.Mosabani_ (3, Petroleum |
4 Mica
Code: (UPPCs (Pre) 2008)
ABCD",4 3 1 2,2 4 3 1,"1 2 4 3
(3) 2 4 1 3",,,
92,The largest producer of coconut in the world is: (U.P.P.C.S. (Spl) (Mains) 2008),Brazil,India,Indonesia,Philippines,,
93,Heroin is obtained from: . (U.P.P.C.S. (Mains) 2007),Hemp,Opium,Tobacco .,Betelnut,,
94,"Which of the following countries are included in the ‘Golden Crescent’? 
1. Afghanistan
2, Iran
3. Iraq
4. Pakistan
Sclect the correct answer from the codes given below:",Land 2,"3and4
(s) 1,2and3",,"2, 2and4",U.P.P.C.S. (Mains),2007.0
95,Which one of the following pairs is correctly matched?,,Coal Karatzas |,"tron Ore | Rasatnoora
(ayPewoleum Donbas",,UPPCS (Mains),2007.0
96,The most mineralized rock system of Indla is-,Cuddapah System,Dharwar System,Gondwana System,Vindhyan System,U.P.P.C.S. (Pre),2005.0
97,"Match list-1 with list-Ii and select the correct answer using the codes given below the lists: List-I : Liste oss
(Oil Refinery) (States) . C. Kochi D. Numatigach _4. West Bengal Code:
ABCD",4 3 1 2,4 3 2 1,1 2 3 4,3 4 2 1,UPPCS (Pre),2005.0
98,Rourkela Steel Plant gets its supplies of ironv ore from-,Keonjhar,Dalli-Rajhara,"Kamangundi
(4) Mayurbhanj",,U.P.P.C.S. (Mains),2005.0
99,"Consider the following statements:  (U.P.P.C.S, (Mains) 2005)
Assertion (A): Commercial Viticulture is specific to the Mediterranean Region of Europe.
Reason (R): 85% of its grapes go to wine making. Select the correct answer from the code given below:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) és true, but (R) is false.
(4) (A) is false, but (R) is true.",,,
100,"Match list-I with fist-H and select the correct answer using the codes given below the lists: ;
Liste 2+.) [Lier
(Centre) °--""'- | (industry) ""|:
1, Ship Building
B. Shanghal |2. iron & Steet
C. Dundee
D, Leningrad
Code: UPPCS (Mains) 2005, UPPCS
(Pre) 2005]
ABCD",1 2 3 4,4 3 2 1,2 3 4 1,4 3 1 2,,
101,"Metch list-I with Wst-If and select the correct answer using the codes given below the Istsz
Dist-Do sey. Ulett Whey .
(Centre) 823 | industry). °~
|B. Glasgow ""2. Paper
3, Ship building
Code: 
ABCD :",1 2 3 4,4 3 2 1,3 4 1 2,2 3 1  4,UPPCS (Mains),2005.0
102,A huge amount of soarces found tn the Vindhya rocks are of-,Limestone,Basalt,Lignite,Iron-ore,U.P Lower Sub. (Pre),2004.0
103,Which one of the following Is not correctly matched?,Bhilai: Madhya Pradesh,Durgapur: West Bengal .,Jamshedpur: Jharkhand,Rourkela: Odisha,U.P.P.C.S. (Spl) (Mains),2004.0
104,Which one of the following is not correctly matched?,Ramagundam ~ Fertilizer,Chittacanjan - Locomotive,Korba = Aluminium,Pipri - Pesticides,"U.P.P.C.S, (Matns)",2004.0
105,Which one of the following fs not correctly matched? =,Central Asia - Alpine,Congo basin - Negrito,Kalahari - Bushmen,Scandinavia - Nordic,U.P.P.C.S. (Sp!) (Mains),2004.0
106,Which one of the following is aot correctly matched?,Donbas Basin - Coal,Mesabi Range - Copper,"Mosul - Petroleum
(4) Transvaal - Gold",,U.P.P.C.S. (Mains),2004.0
107,"Match fist-I with list-If and select the
correct answer using the codes given betow
the lists:
Liste 00 .-  PEistIE Ss
(Crop) “ | (Production zone)
i. Prairtes Plains
2. Yangtze Plains
3. Sao Paulo Plateau
4. Ganges Delia
Code: (UPPCS (Mains) 2003.
ABCD",3 1 4 2,2 4 1 3,3 4 2 1,4 3 2 4,,
108,"Match flst-I with list-II and select the correct answer using the codes given below
the lists:
[ister [tise
|A. Copper 1, Kochi
B. Gas Plant
fe. Aluminio | 3. Korba |
[D. Petroleum [4 Khetri__—_|
Code: UPPCS (Pre) 2002
ABCD",4 2 3 1,1 2 3 4,4 3 2 1,3 4 1 2,,
109,"Match list-I with list-II and select the correct answer using the codes given below
the lists:  (Cities) 20 2-2"" | adustry) 97-2 7.
2. Cigar
3. Automobile
ABCD",1 2 3 4,4 3 2 1,3 4 8 2,2 4 1 3,UP Lower (Sub) (Pre),2002.0
110,Which of the following is correctly matched?,Eskimo - Canada,Oraon - Japan,Lapps - India,Gonds - Africa,U.P.P.C.S. (Pre),2001.0
111,"Match Ilst-E with list-Il and select the correct answer using the codes given below the Hsts: 
© Lett arian Pb |
C. Copper [3 Bako
ode:
ABCD",4 3 2 1,3 4 1 2,1 2 3 4,1 3 2 4,UPPCS (Pre),1999.0
112,Which of the following is not correct: matched?,"Detroit - Automobiles
(bd) Magnitogorsk - Iron and Steel",,"Johannesburg - Gold Mining
(4) Birmingham - Shipbuilding",,U.B.P.C.S. (Pre),1998.0
113,Bauxite Js an ore of-,Lead,Aluminium,Zinc,Copper,U.P.P.CS. (Pre),1997.0
114,The largest producer of Silver in the world Is:,Chile,China,Mexico,Peru,U.P.P.C.S. (Pre),1993.0
115,‘Kalgoorlie’ situated in Australia is famous for-,Gold production,Good Climate,Education,Poultry,"U.P.P.C.S, (Pre)",1991.0
116,Which frult Is not Tropical?,Walout,Coconut,Apple,Cashewnut,U.P.P.C.S. (Pre),1990.0
117,Combustion of underground coal occurs In the State of:,West Bengal,Bihar,Jharkhand,"Odisha
(e) None of the above/More than one of the above",BPSC (Pre),2022.0
118,Which State of India is the largest producer of copper?,Madhya Pradesh,Rajasthan,Jharkhand,"Chhattisgarh
(e) None of the above/More than one of the above",66th B.P.S.C. (Pre) (Re-Exam),2020.0
119,"Among the following countries, which one is the largest peoducer of saffron in the
world?",Spain,ceeece,New Zealand,"fran
(e) None of the above/More than one of the
above",65th B.P.S.C. (Pre),2019.0
120,Kaimur Plateau is famous for: -,Copper,Limestone,Lithium,"Bauxite
(e) None of the above/More than one of the above",63rd BPSC (Pre),2017.0
121,‘Rust Bow? of the USA 1s associated with which one of the following regions?,Great Lakes region,Alabama region,California region,"Piltsbueg region
(e) None of the above/More than one of the above",63rd B.P.C.S. (Pre),2017.0
122,"Match list-I with list-Il and select the correct answer using the codes given below the lists:
List-I “| List-I eT
(Place) (industry) 5
A. Bengaluru [1, tron & Steel |
RB, Korba 2. Copper
C. Jamshedpur 3. Aircraft
D. Malajkhand 4. Aluminium
ode: 
ABCD",1 2 3 4,2 1 4 3,4 3 2 1,"3 4 1 2
(e) None of the above/More than one of the above",60th to 62nd BPSC (Pre),2016.0
123,The oldest oil fictd in India is-,"Digboi, Assam",Anklestwae Gujarat,"Navgam, Gujarat",,56th to 59th B.P.S.C. (Pre),2015.0
124,"In which of the following states of India,silver is not found?",Odisha,Andhra Pradesh,Gujarat,Jharkhand,43rd B.P.S.C. (Pre),1999.0
125,Johannesburg is famous for-,Gold mining,‘Fin mining,Mica mining,Ivon-ore mining,42nd B.P.S.C. (Pre),1997.0
126,"Most attractive, warmest and lightest wool of the world ‘Shahtoosb’ Is produced in-",Nepal,Uzbekistan,China,Bangladesh,"39th B.P.S.C, (Pre)",1994.0
127,Tin is found-,in all these,in Metamorphic rocks,in little silica Igneous rocks,,39th 8.P.S.C. (Pre),1994.0
128,Radium is extractcd from the mines of-,Limestone,Pitchblende,Rutile,Hematite,"39th B.PS.C, (Pre)",1994.0
129,"Consider the following statements about the seaports in India:
1.There are 4 major and 25 minor seaports in India.
2.The major ports are under the administrative control of the Ministry of Ports, Shipping and Waterways.  
3.The minor ports are under the jurisdictionof respective State Maritime Board/State Government,
Which of the statements given above is/are correct? ICAPF 2022]","1,2 and 3",3 only,l and 2 only,2 and 3 only,,
130,"Which of the following main types of tronores are found in India?
1. Hacmatite
2. Magnetite
3. Limonite
4. Siderite
Select the correct answer using the codes given below,",1 and 2,"1,2 and4",2 and 4,l and 3,CAPF,2021.0
131,Which one of the following is the only riverine major port in India?,Mormugao,Dendayal,Kolkata,Paradip,CAPF,2021.0
132,Natural Population Change is calculated by,subtracting the death rate from the birth rate,multiplying the death rate with the birth rate,adding the death rate with the birth rate,subtracting the birth rate from the death rate,CAPF,2020.0
133,2012 Census has divided the working population of India into four major categories. Which one of the following is NOT one of them?,Cultivators,Domestic workers,Household industrial workers,Agricultural labourers,CAPF,2020.0
134,Which one of the following is the correct descending order of Indian States in terms of their density of population (as per 2011 Census)?,Bihar-Kerala-Uttar Pradesh- West Bengal,West Bengal-Bihar-Kerala-Uttar Pradesh,Bihar- West Bengal-Kerala- Uttar Pradesh,Kerala- West Bengal-Bihar-Uttae Pradesh,CAPF,2018.0
135,"Match List F with List II and select the correct answer using the code given below
the Lists:
List 1 (Mineral) List 11 (Mine)
2, Sukinda
3. Zawar
D, Pyrite 4. Hutti
Codes: \CAPF 2017,
ABCD",1 2 4 3,3 2 4 1,3 4 2 1,1 4 2 3,,
136,"Which of the following are the necessary conditions for the growth of coral reefs?
1. Photie conditions
2. Clean and sediment-free water
3. SEA salinity of 6%
4. Tropical Sea water with temperature of 200C 210 C Setect the correct answer using the code given below:","1,2 and 4",2 and 4,1 and 3,"1,2, 3 and 4",CAPF,2017.0
137,"Which of the following statements related to tribes in India are correct?
1, Tharw tribes are found in Uttar Pradesh and Uttarkhand,
2. Irula, Chanchu and Sumali tribes arefound in Kerala, 
3. Garasia tribes are found in Goa.
4. Gaddi tribes are nomadic herders ofJammu & Kashmir and Himachal Pradesh
Select the correct answer using the code given below: (CAPF 2017)",l and 3,2 and 4,"1,2 and 4","1,2, 3 and 4",,
138,"Which of the following statements acecorrect? 
1. Kolkata port is the only riverine major port of india.
2. The port of Cochin is located on ‘Willington Istand.
3. Maharashtra has three major ports.
4. Mundra port is India’s major port in private sector.
Select the correct answer using the code givenbelow.",1 and 2 only,3 and 4 only,"2,3 and 4","1,2 and 4",CAPF,2016.0
139,Which one among the following States is  the leading producer of salt in India?,Rajasthan,Gujarat,Tamil Nadu,Andhra Pradesh,CAPF,2015.0
140,"According to the Census 2011, which of the following statements is/are correct?

1. A person who can only read but cannot write, is not literate.
2. A person aged seven years and above, who can both read and write with understanding in any language is treated as literate.
Select the correct answer using the code given below.",1 only,2only,Both 1 and 2,Neither 1 nor 2,CDS-,2023.0
141,"Consider the following statements and identify the correct answer using the code given below:
1. In a thermal power station, fuels such as oil, coal or natural gas are used to  generate electricity.
2. Fuels are burned to heat water and turn it into steam, which goes through a turbine,which spins and turns, generating electricity.
Code:",Statement 1 is correct but statement 2 is hot correct.,Statement 2 is correct but statement 2 is not correct.,Both the statements 1 and 2 are correct and statement 2 explains statement L.,"Both the statements 1 and 2 are correct but
statement 2 does not explain statement 1.",CDs-,2023.0
142,"Which of the following statements is/are correct? 
1. Visakhapatnam Port ts a land- locked harbour
2. Deendayal Port is a tidal port.
Select the correct answer using the code given below.",l only,2  only,Both 1 and 2,Neither 1 noc 2,CDS-,2023.0
143,"Which of the following variable(s) is/are displayed in population pyramids?

1. Age-groups
2. Sex indicators (male and female)
Select the correct answer using the code given below:",l only,2 only,Both 1 and 2,Neither 1 nor 2,CDS-,2022.0
144,Which one of the following is an exhaustible but renewable natural resource?,Solar energy,Water in usable condition,Soil,Landscape in its natural condition,CDS-,2022.0
145,Which one of the following is the largest lingulstle group of India?,Sino-Tibetan,Austric,Indo-Aryan,Dravidian,CDS,2021.0
146,"Match List I with Ltst II and select the correct answer using the codes given below the lists. List Litt se
(Ethnic Territorial /(Retated °° .
Segment)... .- Occupational |
pot tt | Pattern)
A: Maruta Makkal (1. Pastoralists |
B. Kuravan Makkal_ | 2. Fishing people _|
C. Mullai Makkal 3. Ploughmen
D. Neytal Makkal 4. Hill people
Codes (CDS 2021 (t))
ABCD",3 1 4 2,2 1 4 3,"4 1 2 3
(4)2 4 2 3",,,
147,"Match List I with List I and select the correct answer using the codes given below
the lists.
List (City) © -.-'- | List 1 (Product)
A, Detroit (USA)
B. Antwerp 2Diamond
(Belgium) Cutting
C. Tokyo (Japan) 3 Steel_ |
D. Harbin (China) | 4, Ship building
Codes (CDS 2019 (1))
ABCD",4 2 0 1,3 2 4 1,1 4 2 3,2 4 3,,
148,"Match List ¥ with List If and sclect the correct answer using the codes given below the lists
List ¥ (Classification | List II (Example) _
oftown) | eee ee
A, Industrial Town
C. Mining Towa [3. Singravli |
D. Garrison 4. Ambala
Cantonment Town

Code: 
ABCD",2 1 3 4,2 3 1 4,4 3 1 2,4 1 3 2,CDS,2018.0
149,"Which one of the following Indian States has the highest percentage of Scheduled
Tribe population to its total population?",Mizoram,Nagaland,Meghalaya,Arunachal Pradesh,CDS,2018.0
150,Which one of the following tribal groups is dominantly found in the ‘blue mountains’?,Lambadas,Gonds,Jarawas,Todas,CDS,2017.0
151,"Match List I with List II and select the correct answer ustng the codes given below the lists
Region on ee
[C.Lorraine 3, France |
4. German
Code; 
ABCD",2 1 3 4,4 3 1 2,"4 1 3 2
(4)2 3 1 4",,CDS,2017.0
152,Which one of the following statements with regard to the Indlan Railways is not correct?,The fndian rail network have been developed throughout the Konkan coast.,"There 1s very low density of railway lines in the Himalayan region,",The North Indian Plain has a dense network of railway.,"At present, India has the largest railway network in the world.",CDs,2017.0
153,Which one of the following about sugar industry of Peninsular India 1s not correct?,High yield per hectare of sugarcane.,Higher sucrose content.,Long crushing season.,Most of the mills in the Peninsula are located mainly long the East coast.,CDS  (1),2017.0
154,"Which one of the following statements concerning research centres in India is not
correct?",Rajiv Gandhi Centre for Biotechnology is tocated at Kolkata,Central Arid Zone Research Institute is located at Jodhpur,Centre for Social Forestry and Eco-Rehabilitation is located at Allahabad,Institute of Forest Productivity ts located at Ranchi,CDS,2016.0
155,"With regard to water transportation in India, which of the following statements are correct? 
1. Headquarters of Central Inland Water Transport Corporation is located at Delhi.
2. Headquarters of Inland Waterways Authority of India is located at Noida,
3. National Inland Navigation Institute Is located at Kolkata.
4. First National Intand Waterway was between Haldia and Allahabad.
Select the correct answer using the codes given below.",l and 2,2 and 3,2 and 4,"1,2and4",CDS,2016.0
156,"Consider the following statements:
1, Most of the coal and the ferrous group of minerals in India occur in the peninsular
India, South of the Vindhyas.
2. The peninsular India once formed part of the super-continent which included Australia, Antarctica, Africa and South America.
Which of the statement(s) given above is/are correct?",Only,Only 2,Both 1 and2,Neither 1 nor 2,CDS,2016.0
157,"Which of the following statement(s) regarding chemlcal Industry In India isface
correct? (CDS 2016 (1))
1. Chemical industry ts one of the oldest industries in India.
2. Dyestuff sector is one of the important segments of chemical industry.
3. Textile industry accounts for the largest consumption of dyestuffs.
Select the correct answer using the codes given below:","1,2and3",2 and 3,1 and 3,,,
158,"Match the following. 
List 11 (Industries)
A. Bongaigaon 3, Paper
B. Koraput 2. Machine
C. Pinjore 3. Aircraft
D. Sirpur 4. Petrochemicals
Codes
ABCD",4 2 3 1,4 3 2 3,"2 3 4
(D)3 2 4",,CDS  (11),2016.0
159,"Match the following:
List I (Steel mill) List II (State)
 2, Tamil Nadu
[c.Selem 3. Onicha
D. Durgapur 4. Karnataka
Codes 
ABCD",1 4 2 3,1 2 4 3,3 4 2 1,3 2 4 1,CDS,2015.0
160,"Which of the following is/are the reason (s) behind Gujarat being the leading producer of Salt in India? 
1. The tong length of coastline.
2. Long duration of hot and dry conditions.
3. Presence of gulf areas.
Select the correct answer using the codes given below:",1 and2,Only 2,"1,2 and 3",Yand3,CDS,2015.0
161,Arrange the locations of four oil refincries of India from West to an East.,"Koyali, Kochi, Panipat, Mathura","Kochi, Koyali, Panipat, Mathura","Koyali, Panipat, Kochi, Mathura","Koyali, Panipat, Mathura, Kochi",CDS,2014.0
162,"Which of the following is/are the stage(s) of demographic transition? 
1. High death rate and birthrate, low growth Fate.
2. Rapid decline in death rate, continued low birthrate, very low growth rate,
3. Rapid decline in birthrate, continued decline in death rate.
4. Low death rate and bicthrate, low growth rate,
Select the correct answer using the codes given below:",Only 1,"1,2 and 3",3 and 4,1 and 4,CDS,2014.0
