q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
40,Solar energy is due to-,Ionization,Nuclear Fusion,Nuclear Fission,Oxidation,U.P.P.C.S. (Pre),2006,,
41,When any object is taken from the Earth to the Moon? (U.P.P.C.S. (Pre) 2006),Its weight increases,Its weight decreases,There is no change in its weight,It becomes totally weightless,,,,
42,"Q42, On the surface of the moon, two persons cannot listen to each other as~",Their ears stop working at the Moon.,There is no atmosphere on the Moon.,They wear special types of space suits on the Moon.,Sound travels very slowly on the Moon.,U.P.P.C.S. (Pre),2003,,
43,"Consider the following statements;  Assertion (A); A black hole js an astronomical entity that cannot be seen by telescope. Reason (R): The gravitational field on a black hole is so strong that it does not allow even light to escape. In the context of the above statements, which one of the following is correct:","Both (A) and (R) are true, and (R) Is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) is true, but R is false,","(A) is false, but R is true,",U.PP.C.S. (Pre),2003,,
44,Which of the following planets takes the least time to orbit the sun?,Pluto,Mercury,Earth,Saturn,U.P.P.C.S. (Pre),2002,,
45,The milky way is classified as-,Spiral Galaxy,Elliptical Galaxy,Irregular Galaxy,Round Galaxy,U.P.P.C.S. (Pre),2002,,
46,"Which one of the following longitudes
slong with the Prime Meridian forms a
great circle on the globe?",0°,90° E,0° W,180°,U.P.P.C.S.Pre,2000,,
47,The limit beyond which stars suffer internal collapse is called: —,Chandrashekhar limit,Eddington limit,Hoyle limit,Fowler limit,U.P.P.C.S. (Pre),1997,,
48,A Ball throwa outside from an artificial satellite revolving round the Earth will-,Go to the Sun,Go to the Moon,Fallon the Earth,Revolve around the Earth in the same orbit with the same time period as satellite,U.P.P.C.S. (Pre),1995,,
49,Which is true about planets?,Planets are non-luminous bodies and don’t shine,Planets shine though they are non- luminous bodies,Planets do not shine though they are the luminous body,Planets are the luminous body and also shine,"UP.P.C.S, (Pre)",1992,,
50,The solar eclipse occurs on-,Quarter Moon Day,New Moon Day,Any day,Full Moon Day (Poornima),U.P.P.C.S. (Pre),1992,,
51,"Which of the following groups of planets is termed as ‘gas planets’ as they are composed primarily of lighter ice, liquids and gases?","Mars, Jupiter, Neptune, Uranus","Jupiter, Uranus, Neptune, Saturn","Saturn, Mars, fupiter, Neptune","Neptune, Saturn, Mars, Uranus",CDS(1),2023,,
52,"Ozone layer, which absorbs the ultra-violet radiation, is found in which one of the following layers of the atmosphere?
(CDS(1) 2021)",lonosphere,Troposphere.,Mesosphere,Stratosphere,,,,
53,The four planets closest to the Sun are called,Terrestrial planets,Giant planets,Dwarf planets,Gas planets,CDS  (11),2020,,
54,Which one among the following stars is nearest to the Earth? (CDS 2019 (1)),Sirius,Arcturus,Spica,Proxima Centauri,,,,
55,"Match List I with List II and select the correct answer using the codes given below the lists. 
(Propounder) - A, Planetesimal 1, Kober Hypothesis . |B. Thermal 2, Chamberline Contraction Theory Orogen theor: D. Hypothesis of 4, Jeffrey Sliding Continent Code:  

ABCD",2 4 1 3,2 1 4 3,3 1 4 2,3 4 1 2,CDS  (1),2018,,
56,Which one of the following statements with regard to the winter solstice is correct? ICDS 2017 (1),The South Pole experiences 24 hours of darkness.,St occurs on 21st June.,"The North Pole experiences 24 hours of darkness,",The Sun is at aphelion.,,,,
57,"Which of the following statements concerning atmosphere of the Earth are correct? (CDS 2016 (11)) 

1. In stratosphere, temperature increases with altitude.
2. In mesosphere, temperature decreases with altitude.
3. The lowest temperature of the atmosphere is recorded in the upper part of mesosphere.  
4. Tropopausc is an isothermal zone.  
Which of the statements given above are  correct?",l and 2,"1, 2 and 3",3 and 4,All of these,,,,
58,Which one of the following statement are not correct?,"Position of the Sun, Earth and Moon in a straight line of 180° angle is known as Syzysy",Syzygy conjunction causes solar eclipse,Syzygy opposition causes lunar eclipse,Syzygy conjunction occurs at the time of perihelion only,CDS  (11),2016,,
59,"Which of the following statement(s) is/are correct? 
1. The Earth is nearest to the Sun at Perihelion, which generally occurs on 3rd January.
2. The Earth is farthest away from the Sun at Perihelion, which generally occurs on 4th July,
3. The Earth is farthese away from the Sun at Aphelion, which generally occurs on 4thc July.
4. The Earth is nearest to the Sun at Aphelion, which generally occurs on 3rd January. Select the correct answer using the codes given below:",Only 1,2 and 4,2 Land 3,1 Land 2,CDS  (1),2016,,
60,Which one of the following statements about the atmosphere is correct?,"The atmosphere has definite upper limits, but gradually thins until it becomes imperceptible","The atmosphere has no definite upper . limits, but gradually thins until it becomes imperceptible","The atmosphere has no definite upper limits, but gradually thickens until it becomes imperceptible","The atmosphere has definite upper limits, but gradually thickens until it becomes imperceptible",CDs  (11),2015,,
61,"182° 30° East longitude (Allahabad) shows 6:00 am of Sunday (local time), what would de the local time of Florida (USA) located at 82° West longitude?",6:58 pm of Saturday,7:02 pm of Sunday,6:58 am of Sunday,7:02 am of Saturday,CDS  (1)j,2015,,
62,"The following item consist of two statements, Statement I and Statement II. You have to examine these two statements carefully and sclect the answers from these items using the codes given below; Statement I: Sidereal day is shorter than Solar day. Statement Il: The motion of the Earth in its orbit around the Sun is termed as revolution, Codes",Both the statements are individually true and statement II Is the correct explanation of statement I,"Both the statements are individually true, but statement IL is not the correct explanation of statement I","Statement I is true, but statement II is false","Statement I fs false, but statement II is true",CDs  (1),2015,,
63,"The Earth without rotational movement would result into 
1. no Sun-rise and Sun-set,
2. no occurrence of day and night cycle.
3. only one season. Select the correct answer using the codes given below:",Only 1,1 and 2,2and 3 :,All of these,CDS  (1),2015,,
64,"Match List I with List I and select the correct answer using the codes given below the lists:
[A. Summer Solstice [1. 2istJune |
C. Vernal Equinox
D. Autumnal Equinox [4. 2istmarch |
Code: (CDS 2014 (11))
ABCD",l 4 2 3,1 2 4 3,3 2 4 1,3 4 2 2,,,,
65,Which of the following statements regarding the duration of day and night is correct?,Difference is least near the Equator and progressively increases away from it,Difference is maximum at the Equator and progressively decreases away from it,Difference is least at the Tropics and progressively increases towards the Equator and Poles,Difference is maximum at the Tropics and progressively decreases towards the Equator and Poles,CDS  (D),2014,,
66,Which one of the following statements Is correct with reference to normal lapse rate?,Temperature is highest at ground level and decreases with increasing altitude.,Temperature is lowest at ground level and increases with increasing altitude.,Temperature remains stable — with increasing altitude.,Temperature first increases with increasing altitude and gradually starts decreasing.,(CAPF ),2022,,
67,Which one of the following geologic time periods is associated with the first appearance of the marsupials?,Lower Cretaceous,Upper Cretaceous,Early Jurassic,Middle Jurassic,(CAPF ),2022,,
68,"In order to find out the absolute location of a place on the map, which of the following will be required?",Latitude of the place alone,Longitude of the place alone,Both latitude and longitude of the place,Neither latitude nor longitude of the place,CAPF,2021,,
69,Which one of the following represents an inner planet?,Planets between the Sun and the Earth,Planets between the Sun and the belt of asteroids,Planets near the Earth,Planets around the Sun,CAPF,2019,,
70,"If the equatorial plane of Earth is not inclined to its orbit, then",duration of the year would be longer,summer would be warmer,"there would be no change of seasons
(8) winter would be longer",,CAPF,2019,,
71,Which one of the following processes is not a part of long-wave radiation? (CAPF 2018),Conduction,Scattering,Convection,Radiation,,,,
72,The lowest temperature ts observed/ recorded in which one of the following layers of the atmosphere?,Stratosphere,Mesosphere,Thermosphere,Troposphere,CAPF,2018,,
73,Presence of ozone in the atmosphere Is important because it absorbs,ultraviolet-A and ultraviolet-B radiations,ultraviolet-B radiations only,infrared-B radiations only,outgoing ultraviolet-B radiations and incoming ultraviolet-A radiations,CAPF,2017,,
74,Which one of the following layers of atmosphere has a high concentration of lons?,Stratosphere,Exosphere,Thermosphere,Troposphere,CAPF,2016,,
75,"Which of the following statements relating to the solar system is/are correct?
1. Venus and Uranus rotate opposite to the direction of rotation of Earth.
2. Venus is the nearest planet to Earth, Select the correct answer using the code given below.",1 only,2 onl,Both l and 2,Neither 1 nor 2,CAPF,2016,,
76,"Intertropical Convergence Zone (ITCZ), a low-pressure zone, 1s located:",between trade winds and westerlies belt,between westerlies and polar winds belt,nearby the poles,at the equator,M.PP.C.S. (Pre),2018,,
77,India was the part of ancient Gondwana land Supercontinent. It includes the foltowing landmass of the present: (M.P.P.C.S. (Pre) 2008),South America,Africa,Australia,All of above,,,,
78,The “Sea of Tranquility” lies on-,Earth,Sun,Jupiter,Moon,[M.P.P.C.S. (Pre),1995,,
79,“Light Year” is the unit of-,Time,Distance,Luminosity,None of these,"MLP.B.C.S, (Pre)",1994,,
80,The earth is nearest to the sun on-,3rd January,4th July,22nd March,21st September,"Uttarakhand P.C.S, (Mains)",2006,,
81,"Q81, Zero-degree latitude and zcro-degree longitude lies in the-",Atlantic Ocean,Arctic Ocean,Indian Ocean,Pacific Ocean,Uttarakhand P.C.S. (Pr),2005,,
82,When the length of day and night is equal the Sunrays falls perpendicular at-,North pole,Equator,South pole,Tropic of cancer,"Uttarakhand P.C.S, (Pre)",2002,,
83,"The causes of Day and Night is- (R.A.S./R.T.S, (Pre) 2000)",Earth-rotation,Rotation of Earth on its axis,Tilt of Earth's axis,Moon's rotation,,,,
84,The latitude at which ‘Annual Range of Temperature’ remains minimum is-,Equator,Tropic of Cancer,Tropic of Capricorn,North Pole Circle,R.A.S./R.T.S. (Pre),1999,,
85,"Ifthe distance between the sun and the earth is reduced by quarter to present distance, then probability of which one will increase-","Earth would fall into the Sun.
(8) Earth shall be burned.",,The duration of our year will be decreased.,Earth will fly into space.,R.A.S./R.T.S. (Pre),1993,,
86,Seasonal changes are caused by which one of the special characteristics of Earth's motion?,and,,Both,Rotation on its axis,R.A.S./R.T.S. (Pre),1992,,
87,The country which has the longest north- south (latitudinal) extension of its territory is:,Russia,Chile,China,"Brazil
(e) None of the above/More than one of the above",6Sth B.P.S.C. (Pre),2019,,
88,Which of the following does not belong to the solar system?,Asteroids “,Comets,Planets,Nebula,53d to 55th B.P.S.C. (Pre),2011,,
89,Continents have drifted apart because of-,Volcanic eruptions,Tectonic activities,Folding and faulting of rocks,All of the above,53rd to 5Sth B.P.S.C. (Pre),2011,,
90,Which planet is known as the ‘Evening Star’?,Mars,Jupiter,Venus,Saturna,"44th B.P.S.C, (Pre)",2000,,
91,The possibility of a desert on earth is more-,Nearby 0° latitude,Nearby 23° latitude,Nearby 50° latitude,Nearby 70° latitude,41st B.P.S.C. (Pre),1996,,
92,"Which of the following statements are correct regarding the solar system? I, Mercury is the hottest planet in the solar system IL Ganymede, satellite of Saturn, is the largest satellite in the solar system IIL. Neptune is surrounded by methane gas rings of sub-zero temperature IV. Phobos and Deimos are two satellites of Mars Code: (Chhattisgarh P.C.S. (Pre) 2020)",Only I and I are correct,Only II and III are correct,"Only IL and IV are correct
(4) I, IL, M1 and IV all are correct",,,,,
93,Which of the following phenomenon happens in India when the sun-shines vertically over the Tropic of Capricorn?,High pressure develops over North-West India,Low pressure develops over North-West India,No change in pressure occurs over North-‘West India,"Temperature increases in North-West India
(e) None of these","Chhattisgarh P.C.S, (Pre)",2015,,
94,"Which of the following statements Is true regarding carth movement?\
1. Earth rotates on its axis from west to east resulting in seasonal changes.
2. Earth revolution around sun results in occurrence of day and night on earth. Code: (Uharkhand P.C.S. (Pre) 2021)",Both U and 2 are true,Only 2 is truc,Both 1 and 2 are false,Only 1 is true,,,,
95,"Equinox, the two periods In the year when day and oight are equal, occurs on: ..",21 Macch and 23 September,22 February and 23 August,15 October and 23 April,22 July and 22 December,U.P. Lower Sub. (Spl) (Pre),2004,,
