q_no,q_statement,a,b,c,d,exam,year
68,Which one of the following statements about primary waves of earthquakes is not correct?,They are similar to sound waves.,They can travel only through solid materials.,"They travel through gaseous, liquid and solid materials,",They move faster and are the first toarrive at the surface.,CDS,2021.0
69,The extent of damage caused by earthquake is not influenced by which one of the following?,Strength of earthquake,Population density,"Type of building
(4) Climate of the area",,CDS,2021.0
70,Geomorphic factors influencing plant and animal distributionsare =,slope angle and relief only,slope aspect and relative relief,"slope angle, slope aspect and relief","slope angle, slope aspect and relative relief",CDS,2020.0
71,"Match List-] with List-I1 and select the correct answer using the codes given below the Lists.

Voleano) 3). ee te

[C.Mount Vesuvius [3 Japan|


Codes: 
ABCD",1 2 3 4,1 3 2 4,4 2 3 2,4 3 2 1,A Mount Merapi [1 Hawai,
72,Which one of the following is not a major tectonic plate?,Saudi Arabian plate,Antarctica and the surrounding oceanic plate,India-Australia-New Zealand plate,Pacific plate,CDS,2020.0
73,Which one of the following is not a fluvial landform?,Cirque,Gorge,Braids,Canyon,CDS,2020.0
74,"Statement I: By far the most common topographic form in a Karst terrain is the sinkhole,Statement IJ: Topographically, a sinkhole is a depression that varies in depth from less than a meter to few hundred meters,
Codes:",Both the statements are individually true and statement II is the correct explanation of statement I,"Both the statements are individually true, but statement II is not the correct explanation of statement I","Statement I is true, but statement I is false","Statement I is false, but statement If is true",CDS,2018.0
75,"Extrusive volcanoes are not found in, which one of the following mountalas?",Alaska,Rocky,Andes,Himalayas,CDS,2018.0
76,"Statement I: Portions of glacial troughs may exhibit remarkably flat floors.
Statement II: The fale floor in a glacial trough is produced by uniform glacial erosion,
Codes:",Both the statements are individually true and statement I is the correct explanation of statement I,"Both the statements are individually true, but statement If is not the correct explanation of statement I","Statement 1 is true, but statement I is false","Statement I is false, but statement IE is true",CDS,2018.0
77,"Statement I: Incised meanders are formed in the mature stage of a river.
Statement Il: Incised meanders are characterised by rejuvenation and upliftment of land.
Codes:",Both the statements are individually true and statement II is the correct explanation of statement I,"Both the statements are individually true, but statement Ii is not the correct explanation of statement I","Statement I is true, but statement J is false","Statement I fs false, but statement II is true",CDS,2018.0
78,Which one of the following statements with regard to volcanoes is not correct?,Stratovolcanoes produce lava flows that initially follow valleys but are highly resistant to erosion.,"The surrounding areas can remain highlands, lava ridges or mesas.",Hawatiian shield volcanoes are eroded by streams that form deeply carved valleys with steeply sloping heads.,The system of streams on a dissected volcano cone is not a radial drainage pattern.,CDS,2017.0
79,"With reference to earthquakes, which of the following statements are correct?
1, Earthquakes largely occur along the converging plate boundaries.
2. Point of origin of earthquake in lithosphere is known as focus/hypocentre,
3. Intensity of earthquake decreases with distance from the epicentre.
4. Epicentre of earthquake always remains over continents only.

Select the correct answer using the code given below:",1 and 2,"1,2 and 3",2 and 3,l and 4,CDS,2016.0
80,Which one of the following is not related to wind erosion?,Wind gap,Zeugen,Dreikanter,Demoiselle,CDS,2016.0
81,Stalactites and stalagmites are features of,glacial topography,volcanic topography,karst topography,fluvial topography,CDS,2016.0
82,Which of the following elements are found in highest and lowest quantities respectively in the crust of the Earth?,Oxygen and silicon,Calcium and sodium,Sodium and magnesium,Oxygen and magnesium,CDS,2015.0
83,"Match List I with List II and select the correct answer using the codes given below the lists,
List I (Weathering
Type) . | Process) . :
weathering
B. Mechanical 2, Oxidation
weathering
Le Glacial deposits |[3. Plantroots |
ground water
Codes: 
ABCD",2 3 1 4,2 1 3 4,4 1 3 2,3 2 4 2,CDS,2015.0
84,Seismic gaps are,parts of plate boundaries in oceans where tsunamis occur frequently,sections of plate boundaries that have ruptured repeatedly in the recent past,sections of plate boundaries that have not ruptured in the recent past,plate boundaries having no volcanic activity.,CDS,2015.0
85,Plate tectonics is a sclentific theory that describes the large scale motions of Earth'slithosphere. Which one among the following statements regarding plate tectonics Js not correct?,Tectonic plates are composed of oceanic lithosphere and thicker Continental lithosphere.,Tectonic plates are able to move because the Earth's lithosphere has a higher strength than the underlying asthenosphere.,The Earth's lithosphere is broken up into tectonic plates.,"Along divergent plate boundaries,subduction carries plates into the mantle.",CDS,2014.0
86,"Arrange the following features formed by rivers in its course starting from upstream:
1. Meanders
2. Falls
3. Delta
4. Oxbow Lake
Select the correct answer using the codes given below:",2.1.3.4,"2,1,4,3","1,2,3,4","1, 4,2,3",CDS,2014.0
87,"Which of the following statement(s) relating to Earthquakes is/are correct?
1, The point of origin of Earthquake is called epicenter.
2. The lines joining the places which were affected Earthquake at the same point of time are called homoseismal lines.
Select the correct answer using the codes given below:",Only 1,Only 2,Both 1and2,Neither 1 nor2,CDS,2014.0
88,Trough and ridge are,clongated area of low pressure and of high pressure respectively,clongated areas of low pressure,elongated areas of high pressure,elongated area of high pressure and oflow pressure respectively,CAPF,2022.0
89,Solifluction Is s geomorphic process involving a special type of soil Mow that is noticed in,desert regions,karst regions,permafrost regions,savanna regions,CAPF,2022.0
90,Whatisthe depression at the top ofa volcano following a volcanic eruption called?,Chamber,Vent,Cinder,Crater,CAPR,2021.0
91,"Caves, arches, stacks and stumps are the landscape features of which one of the following?",River,Wave,Limestone,Wind,CAPF,2021.0
92,"The heaviest rocks, which are rolled along the riverbed in river transport, come under which type of load?",Solution load,Suspension load,Saltation load,Traction load,CAPF,2021.0
93,"Convection currents, which move the teclonic plates, are found in which layer of the Earth?",Crust,Mantle,Outer core,Inner core,CAPF,2028.0
94,"In India, Cardamom Hills are regarded asa continuation of the",Eastern Ghats,Mizo Hills,Naga Hills,Western Ghats,CAPF,2021.0
95,Along narrow stretch of sand and/or shingle with one end attached to the mainland is called,Sand spit,Sand bar,Sand dune,Tombolo,CAPF,2020.0
96,Which one of the following karst landforms is the largest in size?,Polje,Uvala,Swallow Hole,Sink Hole,CAPF,2020.0
97,"Match List I with List 11 and select the correct answer using the code given below the lists.

c. Point bars | 3. River Deposted |
D: Moraines | 4 Sea deposited |
Codes: 
ABCD",1 4 3 2,1 3 4 2,2 3 4 1,2 4 3 1,CAPF,2019.0
98,The gently sloping accumulation of coarse alluvium deposits by a braided stream is known as,sand bar,alluvial fan,bajada,diaras,CAPF,2019.0
99,"Springs are common in which of the foliowing areas?
1. Well jointed rocks
2. Arid areas with underlying rocks
3. Karst topography
4. Tilted strata
Select the correct answer using the codes given below.",1 and 3 only,"1,3 and 4",2and 4 only,3 and 4 only,CAPF,2018.0
100,Which one of the following is not an Igneous rock?,Granite,Gneiss,Pumice,Basale,CAPF,2018.0
101,"Consider the following statements about ‘Ring of Fire’:
1, It is also known as Circum-Pacific belt of volcanoes
2. Itis an active seismic zone
3. It is a zone of divergent place margin
Select the correct answer using the code given below: (CAPE 2017)",Only 4,"1 and 2
(C) 2 and 3",,"1,2 and 3",,
102,"Q102, Which of the following statements concerning clrcum-pacific belt are correct?
1. It is an active volcanic realm.
2. Itis an active seismic realm.
3. It is a divergent plate boundary.
4. Itis prone to Tsunami.
Select the correct answer using the code given
below.",l and 2 only,3 and 4 only,"1,2 and 4 only","1,2,3,4",CAPE,2016.0
103,"Q103, Various landforms observed on the surface of the Earth are due to the
1. differences in the type and structure ofnthe crustal material,
2. differences in the land forming processes.
3. differential rates of the processes at different places on the Earth's surface,
Select the correct answer using the code given below.",only,1 and 2 only,2 and 3 only,"1,2 and 3",CAPF,2015.0
104,"Match List E with List I] and select the correct answer using the code given below the lists.
A. Shield Volcano 1. Indonesia 
Volcano
C. Caldera 3, Hawaii
Provinces
Codes: 
ABCD",2 4 1 3,2 1 4 3,3 1 4 2,3 4 1 2,CAPF,2015.0
105,"Match List I with List II and select the correct answer using the code given belowthe lists.
List 1 (Lendform) | List II (Location) a
A. Alluvial fans  1. Mountainous areas |
B. ""V""-shaped     2. Coasts valleys
C. Deltas         3. Lower reaches of the rivec
D. Ox-bow Jakes   4. Mountain foothills
Codes: 
ABCD",4 1 2 3,4 2 1 3,3 2 1 4,3 1 2 4,CAPF,2015.0
106,"Match List I with List II and sefect the correct answer using the code given below the lists.
List 1 (Tropical |’. | List 11 (Location) ~.°
cyclone)... wee See tone
|B. Hurricanes    2 East Asia |
D.willy-willies   4 India
Codes: 
ABCD",4 2 1 3,4 1 2 3,3 1 2 4,3 2 1 4,CAPF,2015.0
107,Which one among the following is NOT a minor plate?,Nazca,Arabia,Philippines,Antarctica,CAPF,2015.0
108,Which one among the following plains is associated with Limestone Topography?,Bajada plain,Alluvial plain,Karst plain,Pene plain,CAPF,2015.0
