q_no,q_statement,a,b,c,d,exam,year
33,It is reported that there is an ongoing decrease in the pH value of ocean water because of global warming. It happens due to,larger uptake of CO2 by ocean water,"lesser uptake of CO, by ocean water",larger uptake of atmospheric nitrogen by ocean water,lesser uptake of atmospheric nitrogen by ocean water.,CAPF,2015.0
34,Isohalines are lines foining equa!:,temperature.,pressure.,rainfall.,salinity.,CDS-,2022.0
35,"Which one of the following do not influence
the ocean currents?",Heating by solar energy,Wind,Gravitational pull by Sun and Moon,Coriolis force,CDS-,2022.0
36,Which one of the following is a cold oceancurrent?,Brazilian Current,Gulf Stream,North Equatorial Current,California Current,CDS 4,2021.0
37,Which of the following are warm ocean currents?,Kuroshio and California Current,North Atlantic Drift and Brazit Current,Canaries and Benguela Current,West Wind Drift and Falkland Current,CDS,2020.0
38,Which one of the following is considered as the deepest point of the oceans?,Tonga Trench,Mariana Trench,Philippine Trench,Kermadec Trench,CDs,2020.0
39,Which one of the following is not correct about Sargasso Sea?,"It is characterised with anti-cyclonic circulation of ocean currents,",It records the highest salinity in Atlantic ocean.,It is located West of Gulf stream and East of Canary current.,"It confined in gyre of calm and motionless water,",CDS,2019.0
40,"The Gulf Stream is a poleward flowing current In the Atlantic Ocean, Which one of the following statements with regard to this is not correct?",Itis similar to the Kuroshio current in the North Pacific Ocean,"It transports warm, tropical water towards polar region",This current is a major factor in weather along the East coast of the USA,The warm water of the Gulf Stream sustains the coral reefs of West Pacific Coast.,CDS,2017.0
41,"Statement I: The Kuroshio is a warm North-flowing ocean current on the West side of the North Pacific ocean.
Statement II Presence of a number of volcanoes at the bottom of the sea of Japan is responsible for the Kuroshio becoming warm.Codes:",Both the statements are individually true and Statement II is the correct explanation of Statement I.,"Both the statements are individually true, but Statement II is not the correct explanation of Statement I.","Statement I is true, but Statement II is false","Statement I is false, but Statement II is true.",CDS,2015.0
42,"In the absence of Cold Labrador Current, which one among the following would happen?",There will be no North-East Atlantic fishing grounds,Theze will be no North-West Atlantic fishing grounds,There will be no fishing ground in the North Atlantic ocean,Semi-arid condition of the Atlantic coast of the USA and Canada would prevail,CDS,2015.0
