q_no,q_statement,a,b,c,d,exam,year
85,What are the causes of high-tide low tide formation In the oceans?,Due to the effect of the sun.,Due to the rotation of the Earth.,Due to the combined effect of sun and the moon.,"Due to Gravitation, Centripetal force and the centrifugal force.","U.P.PC.S, (Pre)",1991.0
86,Eleklstotherms are plants growing I,bright light,high temperature,very low temperature,very low light,n- [U.P. Lower Sub. (Pre),2013.0
87,To measure the Intensity of Tornadoes we use-,Mercalli scale,Fujita Scale,Saffir-samson scale,Richter scale,U.P. Lower Sub. (Pre),2009.0
88,Highest altitude clouds are-,Altocumulus,Altostratus,Cumulus,Cirrostratus,U.P. Lower Sub. (Pre),2009.0
89,By which of the following is the maximum percentage of Earth covered?,Arid Region,Semi-arid Region,Sub-humid land,Humid Region,U.P. Lower Sub. (Pre),2002.0
90,"Match list-I with list-Il and select the correct answer using the codes given below the lists: List-1 List-It--
A. Monsoon Forest_| 1. Plum and Olive
B. Equatorial Forest | 2. Pine aud Spruce
C. Mediterranean Forest
D. Coniferous Forest Rosewood Code:(UP RO/A RO (Mains) 2013)
ABCD",3 4 1 2,2 3 4 1,4 2 3 1,1 3 2 4,,
91,Coniferous forests are mainly found in-,Tropical region,Temperate region,Coastal region,None of the above,Uttarakhand Lower (Sub.) (Pre),2010.0
92,Clouds are the result of-,Evaporation,Normal temp. lapse rate,Catabatic lapse rate,Condensation,Uttarakhand P.C.S. (Pre),2016.0
93,The function of the ozone layer in the stratosphere is-,To stabilize the global temperature.,To reduce the frequency of earthquake.,To avoid failure of monsoons.,To prevent ultra-violet radiation effect on the ground.,Uttarakhand P.C.S. (Pre),2002.0
94,"A sudden fall of Mercury in Barometer indicates: (Uttarakhand P.C.S, (Mains) 2002)",Fair weather,Stormy weather,Cold weather,Hot weather,,
95,The evergreen rainforests are found tn:,Australia,Brazil,Canada,France,Uttarakhand P.C.S. (Pre),2002.0
96,"Match list-I with list-If and select the correct answer using the codes given below the lists:
List-I-. . woe PLISteHD ces ta
(Solls) . (Climate re; fon) -
A. Podzol 1, Temperate cold steppe ‘
B. Chernozem 2, Cold temperate""
C. Spodosols 3, Hot and humid
D. Laterile 4. Humid cold _. temperate Code: 
ABCD",2 t 4 3,3 4 2 1,2 3 4 1,4 1 3 2,R.A.S/RTS (Pre) (Re-Exain),2013.0
97,Which continent is known as ‘the Cradle of Mankind’?,Asia,Africa,Europe,South Anierica,"R.A.S./R.T.S, (Pre)",2022.0
98,In which atmospheric layer = are communication satellites located?,Exosphere,Stratosphere,"Ionosphere
(4) Troposphere",,"Uttarakhand P.C.S. (Pre) , R.A.S/ R.T.S. (Pre) 1997",2005.0
99,The cause of producing indirect high tide is~,Gravitational force of the Moon.,"Gravitational force of the Sun,",Centrifugal force of the Earth.,Gravitational force of the Earth.,"R.A.S/R.T.S, (Pre)",1999.0
100,Most weather activity occurs in which atmospheric layer:,Exosphere,Ionosphere,Troposphere,,R.A.S/R.T.S. (Pre),1999.0
101,"Intertropical Convergence Zone (ITCZ), a low-pressure zone, is located: (M.P.P.C.S. (Pre) 2018)",between trade winds and westerlies belt,between westerlies and polar winds belt,nearby the poles,at the equator,,
102,"What are roaring forties, furious fifttes and shricking sixties?",Oceanic storms,Westerlies in Southern hemisphere,Westerlies in Northern hemisphere,Pacific Ocean currents,M.P.P.C.S. (Pre),2015.0
103,Halophytes grow well in~,Acidic soils,Cold soils,soil containing calcium,Saline soils,"M.P.P.C.S, (Pre)",2014.0
104,What is the effect of Chinook winds in the central plains in the USA?,Temperature of winter rises,Temperature of summer reduces,Uniform temperature,No effect on temperature,Jharkhand P.C.S. (Pre),2013.0
105,Consider the fotlowing statements: Assertion (A): Eacthworms are not good for agriculture. Reason (R): Earthworms break down the soil into fine particles and make it soft. Code: Uhackhand P.C.S. (Pre) 2013],"(A) and (R) both are correct, and (R) is the correct explanation of (A).","(A) is correct, and (R) is wrong.","(A) and (R) both are correct, but (R) is not the correct explanation of (A).","(A) is wrong, but (R) is true.",,
106,The stratosphere js said to be ideal for flying jet aircraft. This Is because-,This layer Is rich in ozone which reduces fuel consumption.,The temperature is constant and ideal for aircraft engine efficiency.,This layer is out of the firing range of antiaircraft guns.,The absence of clouds and other weather phenomena.,"Jharkhand P.C.S, (Pre)",2010.0
107,Which of the following clouds is responsible for highly Intense cain?,Cumulus,Cumulonimbus,Nimbostratus,Cirrostratus,Jharkhand P.C.S. (Pre),2003.0
108,The ozone layers lies in the:,Troposphere,Tropopause,Stratosphere,Photosphere,Chhattisgarh P.C.S. (Pre),2021.0
109,"Consider the following characteristics of a cloud type: 
1. They are born through convection.
2. Only cloud type that can produce hail, thunder and lightning.
3. They are large cauliflower-shaped towers, often anvil tops.  Identify the type of cloud on the basis of the given characteristics.",Stratocumulus,Cumulonimbus,Cirrocumulus,Nimbostratus,CDs-(1),2023.0
110,Which one of the following is not a resultant of the El Nino effect?,Distortion of equatorial atmospheric circulation. :,Flow of the South-East Trade Winds towards the Indian Ocean.,"Icregularities in the evaporation of sea water,",Reduction in the amount of planktons which reduces the number of fish in the sea.,CDS-(4),2022.0
111,Which one of following is the most important factor for the formulation of smog?,Long winter nights,Formation of an ‘inversion lid’,Presence of many air pollutant resources,Rapid fall in temperature with increasing height above the sea level,CDS-(1),2022.0
112,Which one of the following land surfaces has the highest albedo?,A snow covered mountain,A barren rocky piedmont surface,A sandy desert,A mangrove forest,CDS-(1),2022.0
113,"Which of the following statements about inversion of temperature is/are correct?

1. Temperature increases with increasing altitude.
2. A long winter night with clear skies is an ideal situation.
3. It is a short term phenomenon and is common all over the globe except at the poles. Select the correct answer using the code given
below:",1 and 2 only,2 and 3 only,1 only,"1,2and3",CDS-(11),2022.0
114,"Match List I with List Il and select the correct answer using the code given below the lists:
List] nt ore itt
(Cloud Form) ~~."" | (Charactertstic)
1. Storm Clouds
B. Cumulus 2. High fog “Low Ceiling
C. Nimbostratus 3. Fair-weather clouds
4. Entirely of ice particles Code: 
ABCD",2 1 3 4,2 3 1 4,4 3 1 2,4 1 3 2,CDS-(11),2022.0
115,Which one of the following statements  about the Coriolis force is not correct? (CDS 2021 (1)),It is maximum at the Poles.,It is absent at the Equator.,It deflects the wind to the right direction in the southern hemisphere.,It deflects the wind to the right direction in the northern hemisphere.,,
116,"Match List I with List If and select the correct answer using the codes given below the lists; List
A. Cyclones 1. Western Australia
B. Hurricanes 2. South China Sea
C. Typhoons 3. Indian Ocean
D. Willy-willies
Codes CDs 2021 (1)
ABCD",3 2 4 1,3 4 2 1,1 4 2 3,l 2 4 3,,
117,"In the region of Eastern shore of Adriatic Sea, a cold and dry wind blowing down from the mountain Is known as","Mistral
{b} Bora",,Bise,Blizzard,CDS  (1),2020.0
118,"In the Hadley cell thermal circulation, atr rises up and finally descends at",Intertropical convergence zone,doldrums,sub-tropical high-pressure cells,equatorial troughs,CDS  (1),2020.0
119,Timber vegetation is generally not found in which of the following regions?,Tundra region,Temperate region,Alpine region,,CDS  (11),2020.0
120,Which one of the following indicates the Tropical Savannah climate? CDS 2020 (I1),Aw,Dfc,Cwg,Am,,
121,Which one of the following countrics does not have Tundra vegetation? CDS 2020 (1I),Belarus,USA,Russia,Canada,,
122,Which one of the following is the most noticeable characteristic of the Mediterrancan climate?,Limited geographical extent,Dry summer,Dry winter,Moderate temperature,CDS  (1),2019.0
123,Which one of the following regions is an Important supplier of citrus fruits?,Equatorial region,Mediterranean region,Desert region,Sub-humid region,CDS  (11),2019.0
124,Which one of the following may be the true characteristic of cyclones?,Temperate cyclones move from West to East with Westerlies whereas tropical cyclones follow trade winds.,The front side of cyclone is known as the ‘eye of cyclone’.,Cyclones possess a centre of high pressure surrounded by closed isobars.,Hurricanes are well-known tropical cyclones which develop over mid- latitudes.,CDS  (i),2019.0
125,"Statement I: In Tundra climate, biodiversity . 4s comparatively less. Statement II: Tundra climate has less  reproductive warm period. Codes CDS 2018 (1)",Both the statements are individually true and statement II is the correct explanation of statement I.,"Both the statements are individually true, but statement II is not the correct explanation of statement 1,","Statement] is true, but statement ! is false.","Statement I ts false, bur statement II is true.",,
126,"Statement I: Tides are the rise and fall of sea levels caused by the combined effects of the gravitational forces exerted by the Moon, Sun and the rotation of the Earth. Statement Il: The Earth rotates from West to East.Codes:",Both the statements are individually true and statement II 1s the correct explanation of statement I.,"Both the statements are individually true, but statement II is not the correct explanation of statement I.","Statement | is true, but statement I is false.","Statement I is false, but statement H is true.",CDS  (1),2018.0
127,"Tropical evergreen rainforest biome provides optimum environmental conditions for the growth of plants and animals, Which one among the following statements regarding this is not correct? (CDs 2017 (1))",Ithas heavy rainfall and high temperature throughout the year.,This biome is also called mega-thermal biome.,The evergreen rain forest biome extends between 10° N and 10° S latitudes.,The maximum development of this biome has taken place in central and Southern California and North-Western coastal lands of Africa.,,
128,"Tsunami waves are the undersea occurrence of earthquake exceeding 7.5 on Richter scale, Which one of the following statements regarding this is not correct?",It often generates strong waves.,"The Pacific coasts are most vulnerable to Tsunami waves,",Tsunami waves are also called high- energy tidal waves or seismic sea waves.,Tsunaml is a Latin word,CDS  (1),2027.0
129,"Which of the following statements with regard to cloudburst is/are correct?  
1. It is defined as sudden localised very heavy downpour with cloud thunder and lightning. 
2. It mostly occurs in the hilly areas.
3. It results into very high Intensity of rainfall, i.e. 250 mm-300 mm in a couple of hours,
4. It occurs only during daytime.  Select the correct answer using the code givenbelow","1, 2and3","1,3 and 4
{c} 2 and 3",,Only 2,CDS  (1),2017.0
130,"Which one of the following statements with regard to Jet stream, an upper-level tropospheric wave, ls not correct?",Itis narrow band of high-velocity wind.,It follows the wave path near the tropopause at elevations of 8 km to 15 km.,"Jet streams are typically continuous over long distances,","In summer, the polar front jet achieves its maximum force.",CDS  (1),2017.0
131,"Which ofthe following statements regarding Mediterranean and Monsoon climate is/are correct?
1. Precipitation in Mediterranean climate is in winter while in Monsoon climate it is mostly in summer.
2. The annual range of temperature in Mediterranean climate is higher than the Monsoon climate,
3. Rainy and dry seasons are found in both the climates. Select the correct answer using the codes given below: (CDS 2016 (1))",Only 1,2and 3,land3,"1,2and3",,
132,Which one of the following is the reason due to which the wind in the Southern hemisphere is deflected towards its left?,Difference in the water masses of Northern and Southern hemisphere.,Temperature and pressure variations.,"Inclined axis of the Earth,",Rotation of the Earth.,CDS  (1),2016.0
133,The ‘eye’ of the cyclone has CDS 2016 (3),abnormally high temperature and lowest pressure.,abnormally low temperature and pressure,clear sky and lowest temperature.,dense cloud cover and low pressure.,,
134,Which one of the following is the pattern of circulation around a low-pressure area in the Northern henusphere?,Counter-clockwise and away from the centre.,Clockwise and away from the centre.,Counter-clockwise and towards the centre,Clockwise and towards the centre.,CDS  (11),2015.0
135,"Q135, Which one of the following statement Is  correct?","Cold fronts move at slower rate than warm fronts and therefore, cannot overtake the warm fronts,","Cold fronts normally move faster than warm fronts and therefore, requently overtake the warm fronts.","Cold fronts move at slower rate and eventually, they are overtaken by the warm fronts.","Cold fronts move faster than warm fronts, but they cannot overtake the warm fronts.",CDS  (11),2015.0
136,"Match List I with List If and and select the correct answer using the codes given belowthe lists.
List I , -plistle -. : (Plant). : Natural Vegetation 
C, Walnut
D. Birch ‘fropical evergreen Codes: 
ABCD",4 1 2 3,4 2 1 3,3 2 1 4,3 1 2 4,;CDS  (11),2015.0
137,"Match List I with List Il and select the correct answer using the codes given below the lists,
Listl . : List H he
(Climate) 7: * | (Characteristic)
A. Mediterranean | 1. Temperature cycle is moderated by marine influence.
B. Marine West 2, Warm summers Coast and cold winters with 3 months below freezing very large annual temperature range
C. Dry Mid- 3S tron g Latitude temperature cycle with large annual range. Warm summers to hot and cold winters to very cold.
D. Moist 4. Temperature Continental range is modcrate with warm to hot summers and mild winters. Codes: 
ABCD",2 1 3 4,2 3 1 4,4 3 1 2,4 1 3 2,CDS  (1),2015.0
138,"Match List I with list II and select the correct answer using the codcs given below the lists: List 1. (Type of | List 11 (Country)
Grass) — < . . B. Prairies 2 Venezuela 3, USA
D-Downs 4 Argentina | Codes ABCD",l 4 3 2,4 3 4 2,2 4 3 1,2 3 4 1,CDS  (1),2015.0
139,"The following item consist of two statements, Statement I and Statement I. You have to examine these two statements carefully and select the answers from theseitems using the codes given below: Statement I: Tides are the rise and fall of sca levels caused by the combined effects of the gravitational forces exerted by the Moon and the Sun and the rotation of the Earth. Statement II: The Earth rotates from the West towards the East once in 24 hours with respect to the Sun.
Codes:",Both the statements are individually true and statement Il is the correct explanation of statement I.,"Both the statements are individually true, but statement IL is not the correct explanation of statement L.","Statement I is true, but statement I is false.","Statement I is false, but statement Il is true.",CDS  (1),2015.0
140,Collision-Coalescence process of precipitation is applicable to (CDS 2014 (I1)),"clouds which extend beyond freezing level,",those clouds which do not extend beyond the freezing level.,all types of clouds.,cumulonimbus cloud.,,
141,"The Equatorial region has no other season except summer. What could be the reason?
1. The length of day and night is more or less equal over the year,
2. The Earth’s rotational velocity is maximum at the Equator.
3. The Coriolis force is zero at the Equator. Select the correct answer using Dir the codes given below:",Only 1,1 and 2,2 and 3,"1,2 and 3",CDS,2014.0
142,"Statement I: A tsunami is a series of waves in a water body caused by displacement of a large volume of water, generally en ocean or a laege lake.  Statement Ik: A tsunami can be generated  when thrust faults assoctated with convergent  or destructive plate boundaries move abruptly.  Codes:",Both the statements are individually true and statement II is the correct explanation of statement I.,"Both the statements are individually true, but statement IL is not the correct explanation of statement I.","Statement I is true, but statement II is false.","Statement I is false, but statement If is true.",CDs  (I1),2014.0
143,Statement I: The Atacama is the driest among the deserts of the World.  Statement II: The aridity of the Atacama  is explained by its location between two mountain chains of sufficient height to prevent moisture advection from either the  Pacific or the Atlantic Ocean.  Codes:,Both the statements are individually true and statement II is the correct explanation of statement I.,"Both the statements are individually true, but statement II Is not the correct explanation of statement I.","Statement I is true, but statement II is false.","Statement I is false, but statement II is true,",CDS  (11),2014.0
144,"The vegetation type characterized by
(i) a large expanse of grassland with scattered trees and shrubs,
(ii) lying between tropical rain forest and tropical steppes and deserts and
(iti) flat-topped trees, ts called: CDS 2014 (1)",Mid-latitude broad-leaf mixed forest,Temperate rain forest,Tropical savanna,Mid-latitude grassland,,
145,"Which of the following statements is/are correct?
1. The jet streams are high altitude easterly winds.
2. EW Niho is a warm ocean current.
3. EI Nito appears along the Peru coast. Select the correct answer using the code given below. (CAPF 2022)",1 only,2 and 3 only,"1 and 3 only
(4) 1,2 and 3",,,
146,"Which of the following statements aboat tropical rain forests are correct?
1. The soils of tropical rain forests are quite infertile.
2. The vegetation is evergreen, enabling photosynthesis to take place year around. 
3. They have been described as ‘deserts covered by trees’ 
4. They are most productive land-based ecosystem. Select the correct answer using the codes  given below.",2 and 4,"1,3 and 4","1,2 and3","2,3 and 4",CAPF,2021.0
147,Which one of the following statements IsNOT correct?,Mahogany Is a timber species of tropical rainforest.,Chaparral vegetation is found in taiga climate.,Lichens are predominantly found in tundra region.,Sai is a representative species of moist deciduous forest.,CAPF,2020.0
148,Which one of the following does not fall in the areas of tropical deciduous forest biomes?,The Neotropics mainly West Indies.,"Indo-Malaysian zone mainly In South and South-East Asia, except equatorial evergreen rainforest areas.",Eastern Africa and Northern Australia.,North America mainly South-West America.,CAPF,2019.0
149,"Doldrum are
1, equatorial calms
2. calm and light winds
3. roaring forties
4. variable both in position and in extent Select the correct answer using the code given below: (CAPF 2019)","1,2and4",2and3,Land3,"2,3 and4",,
150,"In mid-latitude regions, the diurnal variation in weather is ducto",raising ait /convection,"sinking air/conduction
(¢) advection",,radiation,CAPF,2018.0
151,"Which of the following statements are appropriate to Mangrove Sites?
1. Mangrove plants require an appropriate mix of saline water and freshwater.
2. Mangrove plants require mudflats to enable them to grow and develop,
3. Mangrove plants are found in the Inter- tidal zones of sheltered coasts.
4. Mangrove vegetation has been reported in all the coastal States including Andaman and Nicobar Islands.  Select the correct answer using the codes given below.",1 and 2 only,"2,3 and 4 only","2,3 and 4 only","1,2,3and4",CAPF,2018.0
152,The tides whose height js 20 percent more than normal tide are called,Spring tides,neap tides,apogean and perigean tides,daily and semi-diurnal tides,CAPF,2018.0
153,"Which of the following statements about tropical cyclone are correct?
1. It originates and develops over warm oceanic surfaces.
2. Presence of Coriolis force is necessary for it.
3. Itoccurs in the middle latitudinal region.
4. Itdevelops ‘eye’ with calm and descending air condition,  Select the correct answer using the codes given below.",Land 2 only,"2,2 and4",3 and 4 only,"2,3 and 4",CAPP,2018.0
154,"Match List £ with List If and select the correct answer using the code given blow the Lists:
A. Chapareals North America
|B. Maquis__ [Southern Europe _|
[D. Maile scrubs [Australia |
Codes: 
A BCD",1 2 3 4,1 3 2 4,4 3 2 2,4 2 3 2,CAPF,2017.0
155,"Which of the following statements about the Equatorial region are correct?
1. It is a mega thermal region.
2. Itisa sclerophyll region.
3. Itis a region of high development.
4. It isa region of aerial streamlets. Select the correct answer using the code given  below: (CAPF 2017)",land4 .,1 and 2 only,"2,3 and 4","1,2 and 3",,
156,Which one of the following 1s not a favourable conditton for occurrence of a thunderstorm? (CAPF 2017),Conditional and convective instability.,Adequate supply of moisture in the lower atmosphere.,Advection of cold dry air in the lower troposphere and warm moist air in the upper troposphere.,A synoptic situation of low level convergence and upper level divergence.,,
157,"Consider the following statements:
1. Areas where rainfall exceeds 250 cm.
2. Annual temperature 25-270 C.
3. Average humidity exceeds 75%.
4. Trees do not shed the leaves. To which one of the following types of . vegetation does the above represent?",Tropical wet evergreen,Tropical semi-evergreen,Tropical moist deciduous,Tropical dry evergreen,CAPF,2017.0
158,"Under which of the following condition(s) are the occluded fronts created?
1. When the front remains stationary,
2. When cold aiz mass moves to warm air mass.
3. When warm air mass moves to cold air mass. 
4. When an air mass is fully lifted above the Jand surface.  Select the correct answer using the code given below.",land2,2and3,3and4,4 only,CAPF,2015.0
159,Which one of the following factors is NOT connected with planetary wind system?,Latitudinal variation of the atmospheric heating.,Emergence of the pressure belt,Earth's revolution around the Sun.,Migration of the pressure belts due to apparent path of the Sun.,CAPF,2015.0
160,The trces of tropical rainforest have buttress roots because,they help to provide aeration to soils.,"the organisms found in the buttresses have a symbiotic relationship,",the trees belong to gramineae family.,"the buttresses have to bear the mechanical load of hardwoods,",CAPF,2015.0
