q_no,q_statement,a,b,c,d,exam,year
79,Dasht-e-Lut is located in-,Iran,Libya,"Kenya
(4) Nigeria",,U.P.P.C.S. (Mains),2015.0
80,Which one of the following countries has the longest coastal line?,India,Canada,Australia,Brazil,U.P.P.C.S. (Pre),2015.0
81,"Match list-I with list-Il and select the correct answer using the codes given below the lists:
List-II
A. Golden 1. Myanmar ‘Triangle
B. Bermuda 2. Opium producing Triangle area of Southeast Asia
C. Rice Bowl of Far East
D. Red Basin 4. North Atlantic Ocean
code: 
ABCD",3 2 4 1,2 4 1 3,3 2 0 1,1 4 3 2,UPPCS (Pre) (Re-Exam),2015.0
82,The name of which of the following countries closely means ‘country of 40 teibes? —,Kazakhstan,Kyrgyzstan,Tajikistan,Uzbekistan,U.P.P.C.S. (Pre) (Re-Exam),2015.0
83,Which pair amongst the following fe not correctly matched?,The queen of Adriatic Sea - Rome,Lorraine Coal Fields - France,West Midlands - Birmingham,Tula - Russia,U.P-P.C.S. (Pre),2015.0
84,"Match list-I with list-Il and celect the correct answer using the codes given below the lists: Islands) Country) 2:
A. Alcutian Islands
B. Bear Istands_[2, Denmark
D. Franz Josef | 4. USA Island
Code: 
ABCD",4 3 2 1,1 2 3 4,3 1 4 2,2 4 4 3,UPPCS (Mains),2014.0
85,Which of the following does not have the ‘National Museum of Natural History’?,Bhopal,Hyderabad,Bhuvaneshwar,,"U.P.P.C.S, (Mains)",2013.0
86,"Which of the following are the nataral porte of Indlet
1. Chennal
2. Cochin
3. Tuticorin
4. Vishakhapatnam
Select the correct answer from the code given below:",l and 2,1 and 3,2 and 3,2 and 4,U.P.P.C.S. (Pre),2013.0
87,Which of the following Is a specific example of ‘Out Porv’t,Porbandar,Haldia :,Panaji,Vishakhapatnam.,"U.P.P.C.S, (Mains)",2012.0
88,The most populated desert in the world Is--,Sahara,Gobi,Thar,Kalahari,"U.P.P.C.S, (Pre)",2012.0
89,Which of the following pairs of countries are around the Aral Sca?,Kazakhstan - Uzbekistan,Kazakhstan - Turkmenistan,Azerbaijan - Uzbekistan,Kazakhstan - Russia,U.P.P.C.S. (Pre),2012.0
90,The highest share in power generation In India is of:,Atomic power,Hydropower,Thermal power,All above have equal shares,"U.P.P.C.S, (Mains)",2011.0
91,Which one of the following is a temperate desert?,Arabian Desert,Atacama Desert,Kalahari Desert,Patagontan Desert,U.P.PC.S. (Mains),2011.0
92,"Match Nist-I with Ust-Il and select the correct answer using the codes given below
che lists:Mountain an
[B. Cantabrian [2 tren
[D. Mackenzie [4 uss
Code: 
ABCD",4 3 2 1,4 1 3 2,2 3 4 1,1 4 2 3,UPPCS (Mains),2010.0
93,"Whichoneof the following African countries does not border with the Mediterranean
Seat",Algeria,Chad,Morocco,Tunisia,U.P.P.C.S. (Meins),2010.0
94,Which one of the following rivers of Asia flows towards the south?,Amuc,Lena,Ob,Sabween,"U.P.P.C.S, (Mains)",2010.0
95,"The Prime Meridian passes through-
1. Algeria
2. France
3. Nigeria
4. Portugal
Use the code below to select the correct answer. (U.P.P.C.S. (Spl) (Mains) 2003)",land2,2and3,3and4,Lend3,,
96,"The Kalahari Desert lies 1n-
1. Botswans
2. Namibla
3. Zaire
4. Zambla
Select the correct answer from the code given below.",Lonly,2 onty,lend 2 only,3 and ¢only,U.P.P.C.S. (Mains),2008.0
97,"Rio Grande River makes boundery between- — (U.P.P.C.S, (Spl) (Mains) 2008)",Canada and USA,Mexico and USA,Mexico and Guatemala,Guatemale and Honduras,,
98,The country which provides the best example of radial drainage ls-,Australia,France,Sri Lenka,Zaire,U.P.P.C.S. (Spl) (Mains),2008.0
99,"Which of the following par 1s not correctly matched? (UPPCS (Spl) (Mains) 2008)
{(e)Dnieper [Ukraine |
[eyPo [tat
[(dyRhone {Spain |",,,,,,
100,Which of the following is not coastline country of Persian Gulf?,Kuwait,Oman,Qatar,United Arab Emirates,"U.P.P.C.S, (Mains)",2008.0
101,Which one of the following statements is not true regarding the Atacamat,It ts a desert in South America.,It ts World's deiest desert.,Itlies in Southern Chile.,It has rich reserves of nitrates.,U.P.P.C.S (Mains),2006.0
102,The Tropic of Cancer does not pass through-,Egypt,India,"Tran
(4) Myanmar",,U.P.P.C.S. (Pre),2005.0
103,Which of the following countries is not a land-locked country?,Afghanistan,Liberia,Laos,Luxembourg,U.P.P.C.S. (Pre),2005.0
104,Which one of the following continents has no landlocked country?,Africa,Asia,Europe,North America,".P.P.C.S, (Mains)",2005.0
105,"Consider the following statements:
Assertion (A); Egypt is the Gift of the Nile.
Reason (R): It ls an oasis of the Sahara Desert.
Select the correct answer from the codesgiven below:","Both (A) and (R) are true, and (R) is the
correct explanation of (A)","Both (A) and (R) are true, but (R) Is not
the correct explanation of (A)","(A) is true, but (R) Is false","(A) ia false, but (R) is true",U.P.P.C.S. (Mains),2005.0
106,Which one of the following palre Is correctl: matched?,Gulf of Bothnia - France,Baffin Bay - Argentina,Gulf of Carpentaria - Canada,Gulf of Tonkin - Vieinem.,U.P.P.CS. (Matns),2003.0
107,"Consider the following statements: 
Assertion (A): North Atlantic Sea route is thebusiest sea route in the world.
Reason (R): It connects two major industrialzones of the world.
In the context of the above statements whichof the following is correct?","(A) and (R) both are truce, and (R) is
correct explanation of (A).","(A) and (R) both are true, but (R) is not
the correct explanation of (A).","(A) is true, but (R) Is false.","(R) is true, but (A) is false.",U.P.C.S. (Pre),2003.0
108,"Think about the following countries:
1. Australia
2. Namibia
3. Brazil
4. Chile
The Tropic of Capricorn passes through which of the following countries.",Only 1,"3,and 4",l.2 and 3,"1,2, 3and 4",U.P.P.C.S. (Pre),2003.0
109,Which one of the following is correctly matched?,Paraguay - Pampas,U.S.A. - Manitoba,Morocco - Atlas Mountains,Australia - Kimberley,"U.P.P.C.S, (Mains)",2002.0
110,"Match list-I with ftst-II and select the correct answer using the codes given below the lists:
List-E.- - List-ll -« “
(Country) (Dependent Territory)
[A, Australia J Marinique |
D. Spain 4. Christmas Island
Code 
ABCD",1 2 3 4,4 3 1 2,1 3 2 4,2 1 4 3,UPPCS (Pre),2000.0
111,‘Horn of Africa’ consists of-,"Algeria, Morocco and West Sahara","Libya, Sudan and Egypt","Somalia, Ethiopia and Djibouti","Zimbabwe, Botswana and Angola",U.P.P.C.S. (Pre),1999.0
112,Which of the following rivera flows through arift valley? (U.P.P.C.S. (Pre) 1998),Amazon,Indus,Volga,Rhine,,
113,Datum line:,Is a horizontal line to the sea level from where heights and depths are measured,Is the mean of primary and secondary data,International date line,Is an imaginary line which passes through zero-degsee meridian,U.P.P.C.S. (Pre),1991.0
114,"Match Nst-I with list-Il and select the correct answer using the codes given below the lists: easter Thee
A. Rail Coach} 1. Bangalore Facto:
B. Wheel and 2, Perambur Axle Plant
C. Diesel 3. Kapurthala Locomotive Works
D. Integral Coach | 4. VaranasiFactor:
Code: 
ABCD",1 2 3 4,4 3 2 1,1 3 4 2,3 1 4 2,U.P.C.S. (Pre),1994.0
115,Where ere the Bermuda Islands located?,Caribbean Sca,North Atlantic Ocean,Gulf of Mexico,Mediterrancan Sea,CDS (1),2022.0
116,An avatenche is a type of which one of the following disasters?,Atmospheric,Terrestrial,Aquatic,Biological,CDS,2021.0
117,Which one of the following rivers does not drain into Black Sea?,Volga,Dnieper,Don,Danube,CDS,2020.0
118,Which one of the following cities Is closest to the Equator? ICDS 2020 (11)],Mogadishu,Singapore,Colombo,Manila,,
119,Thelargest Barrier Reef System in the world is found at,East Australian Coast,West Australian Coast,North Australian Coast,South Australian Coast,CDS,2020.0
120,Which one of the following countries is not located on the Tropic of Capricorn?,Chile,Brazil,Paraguay,Uruguay,CDS,2020.0
121,Which one of the following mountains Separates Black Sea and Caspian Sea?,Urals,Caucasus,Carpathians,Balkan mountains,CDS,2019.0
122,"Which one of the following statements with regard to growth of coral reefs is not
correct?","Coral can grow abundantly in fresh water,",It requires warm water between 23°C-25°C.,"It requires shallow saltwater, not deeper than 50 m.",Ie requires plenty of sunlight to sid photosynthesis.,CDS,2018.0
123,"Match List 1 with List Hi and select the correct answer using the codes given below the lists
 
1. Madhya Pradesh Dam Sager
Code: 
ABCD",2 1 3 4,2 3 1 4,4 3 1 2,4 1 3 2,Trt wafer Dem,
124,"Match List J with List If and select the correct answer using the codes given below the lists
List I (Stralt) List IT (Countries)
L._UK and France
B. Davis Strait 2. Australia and Tasmania
C. Dover Strait_ | 3. USA and Cuba
4. Canada and Greenland
Code: 
ABCD",2 4 1 3,2 1 4 3,3 4 1 2,3 1 4 2,CDS,2017.0
125,Which one of the following island is the largest?,Borneo,Madagascar,"New Guinea
(4) Sumatra",,CDS,2017.0
126,"The following consist of two statements, statement I and statement IL. Examine these two statements carefully aad select the correct answer using the codes given below. Statement I: Global warming significs the tise in global surface temperature. Statement II: The increase of concentration of greenhouse gases in the atmosphere causes
the rise in global surface temperature. Codes",Both the statements are individually true and statement II is the correct explanation of statement I,"Both the statements are individually true, but statement Il Is not the correct explanation of statement I","Statement [is true, but statement II is false","Statement I Is false, but statement II Is true",CDS,2017.0
127,"The boundary layer of the forest at which  the energy exchange occurs, and some
insolation 1s returned directly to space is",forest floor,forest soit,forest canopy,forest liner,CAPE,2022.0
128,"Which of the following factors are needed for the growth of corals?
1. Freshwater
2. Clear shatlow salt water
3. Plenty of sunlight for photosynthesis
4. Warm water between 23°C and 25°C Select the correct answer using the codes
given below:","1,3 and 4 only","2,3 and 4 only",1 and 2 only,"1,2, 3 and 4",CAPF,2021.0
129,Which one of the following does NOT Ulustrate the importance of the Coral Reef?,They provide employment to the people,They supply building materials,They protect shoreline from storms,They protect. communities from earthquakes,CAPF,2020.0
130,Which one of the following is NOT Mediterrancan country?,Tunisia,Libya,North Sudan,Egypt,CAPF,2020.0
131,Singapore ls known es Port of Call because,it deals in the processing and shipping of all,it is a decp-water port bullt away from the actual port,"itis on main sea route where ships use to anchor for refuelling, watering and taking food items",it serves the parent ports by receiving the ships which are unable to approach due to their large size,CAPF,2020.0
132,The Tropic of Cancer passes through which one of the following countries?,North Sudan,Chad,Mali,Yemen,CAPF,2018.0
133,"Which of the following citles experience the warm temperate Mediterranean climate?
1. Cape Town
2. Los Angeles
3. Adelaide
4. Santiago
Select the correct answer using the code given below.",1 and 2 only,3 and 4 only,"1,2 and 3 only","1,2, 3 and 4",CAPF,2018.0
134,Which one of the following pairs of Islandond Sea/Ocean !s not correctly matched?,Cyprus: Mediterranean Sea,Falkland: = Atlantle Ocean,Chagos: North Pacific Ocean.,Islas Cocos: Indian Ocean,CAPP,2017.0
135,Which one of the following is located at the southernmost latitude? (CAPF 2017),South Africa,Australia,Chite,Polynesia,,
136,Which one of the followlag cities has greater annual range of temperature?,Kuala Lumpur,New Delhi,Shanghai,Ulaanbaatar,CAPF,2016.0
137,"Match list I with lst Il and select the correct  answer using the code given below the lists. type-in: letter] S24 nee
code] «se : ae Amazon Forests Africa
Codes: 
ABCD",3 1 4 2,2 4 1 3,3 4 1 2,2 1 4 3,CAPF,2016.0
138,Which one of the following is the correct order of formation of geological systems in Indie in terms of thele age? (Starting with the oldest),Dharwars -Acavallis - Vindhyans -Cuddapahs,Aravalis = Dhaewars ~ Cuddapahs -Vindhyans,Vindhyans - Dharwars ~ Aravallis -Cuddapahs,Cuddapahs - Vindhyans - Dharwars - Aravallis,CAPF,2016.0
139,Which one among the following countries of Asia is lend-locked? (CAPF 2014},Vietnam,Cambodia,Laos,Thailand,,
140,"Which of the following Islands are made of small coral atolls end reefs in the Arabian
Seat",Maldives,Andaman,Sri Lanka,Lakshadweep,CAPF,2014.0
141,"Which meridian forms the boundary Ilne between the Indian Ocean end the Pacific
Ocean?",The meridian of Cape of Tasmania,The meridian of Cape Town,The meridian of Wellington,The meridian of Perth,CAPE,2014.0
142,Which one of the following pairs is not correctly matched?,,,,Middle Ganga | Soil ResourcesPlain,Jharkhand PCS (Pre),2016.0
143,The power plant of Manikaran based on geothermal energy Is in the State of-,Arunachal Pradesh,Himachal Pradesh,Jammu and Kashmir,Uttarakhand,jharkhand P.C.S. (Pre),2013.0
144,What is the most accurate method of representing relief features?,Contours,Hachures,Layer colouring,Hill theding,Jharkhend U.P.C.S.(Pre),2013.0
145,The Indian Institute of Remote Sensing is located at-,Bengaluru,Hyderabad,Ahmedabad,Dehradun,"Chhattisgarh P.C.S, (Pre)",2018.0
146,Which of the following is the National‘Water Way number It,Godavari-Krishna Basin Water Way,Mahanadi-Brahmani River Water Way,Brahmaputra River Water Way,"Ganga-Bhagtrathi-Hugli River Water Way
(e) None of these",Chhattisgarh P.C.S. (Pre),2017.0
147,‘Jawahar Tunnel’ passes through which place?,Pir Panjat,Banihal,Bugjila,Jojila,Chhattisgarh P.C.S. (Pre),2014.0
148,38th Parallel border fines divide which of the two following countries?,Poland and Germany,Pakistan and Afghanistan,"India and Tibet
(D) North Korea and South Korea",,Chhattisgarh PCS (Pre),2008.0
149,Isobaths are used to show-,Rainfall,Pressure,Time,Depth,"Chhattisgarh P.C.S, (Pre)",2003.0
150,Which one of the following pairs is not correctly matched?,Foehn - Alps Mountain,Bora - Siberia,"Mistral - Rhone Valley
(4) Khamsin - Egypt",,Utearakhand PCS (Pre),2021.0
151,What is Dakshin Gangotrit,River Valley in Andhra Pradesh,Indian Research Station in Antarctica,Second source of river Ganga in the South of Gangotri,Island in the Indian Ocean near Antarctica,Uttarakhand P.C.S. (Pre),2016.0
152,Which of the following is not included in the geographical group of countries designated with the name Oceania?,Indonesia,Melanesia,Micronesia,Australia,Uttarakhand P.C.S. (Pre),2010.0
153,The largest part of our hydrosphere is~,Atlantic Ocean,Indian Ocean,Pacific Ocean,Antarctica Ocean,Uttarakhand P.C.S. (Pre),2010.0
154,Which one of the following has the largest harbour in the world?,London,Colombo,Rotterdam,New York,Uttarakhand P.CS. (Pre),2005.0
155,"Match list-1 with list-Il and select the correct answer using the codes given below the lists: (Energy).
1. Wind
B. Tattapani
C. Muppandal 3._Geo-theemal
D. Kakrapar 4. Atomic _
Code RAS/RTS (Pre) 2021
ABCD
(A)3 2 1 4",,1 3 2 4,1 2 3 4,2 3 3 4,,
156,"Match Nst-1 with fist-IT sod select the correct answer using the codes given below
the lists:
List-I . List-II . .
(Landform) (Continent)
A. Aconcagua
B. Meseta
C. Serengeti Plains [3. Europe
D. Gibson deserz 4. South America
Code: RAS/RTS (Pre) 2021
ABCD",2 3 4 1,2 4 1 3,4 2 3 1,4 3 2 1,,
157,"Match list-I with list-II and cclect the correct answer using the codes givco below the lists:
List-1 : List ny.
(Mountain Peak) (Locations 2.) -:
| Country). -
[B. Kilimanjaro [2 USA
[D. McKinley |. Russia
Code: 
ABCD",3 4 2 1,4 2 3 1,4 3 1 2,3 1 4 2,IRAS/RTS (Pre),2018.0
158,"Match list-1 with Hst-1] and select the correct answer using the codes given below
the lists:
(Mountain Peak) (Continent) _
C. Elbrus 3. Australia

Code: 
ABCD",3 4 1 2,2 4 3 1,4 3 2 1,3 2 2 4,D. Kilimanjaro [4. North America _,
159,"Match list-¥ with list-Il and select the correct answer using the codes given betow the lists: Indonesia & Malaysia Persia and Gulf of Oman and Europe
D. Strait of Hormuz | 4. Between Asia and North America
Code:",4 2 3 1,3 4 1 2,3 1 4 2,4 3 2 1,RAS/RTS (Pre) (Re-Exam),2013.0
160,Which of the railway connecting the following two stations has been recognized as hecitage railway line by UNESCO?,Amritsar and Ludhiana,Allahabad and Varanasi,Mumbai and Thane,,R.A.S./R.T.S.,2013.0
161,"Arrange the following countries in descending order of their area and select
the correct answer using codes given below-
(i) Brazil
(ii) Canada
(iii) China
(iv) USA,
Code:","iii, iv, i, ii","ii, ii, iv, i","ii, iv, iii,1","i, il, ii, iv",R.A.S/R.T.S. (Pre),2012.0
162,"Generally, where are coral reefs found?",In temperate climate above 18°C.,Between Tropic of Cancer and Tropic of Capricorn coastal areas,On both east and west coasts of continents and islands only,On colder seacoasts,R.A.SAR.T.S. (Pre),2008.0
163,The largest eiver of the world in terms of drainage area is-,Nile,Amazon,Congo,Mississippi-Missouri comes,R.A.S./R.T.S. (Pre),1999.0
164,"The inland sea Is the:
IR.A.S/R.T.S. (Pre) 1999]",White Sea,Black Sea,Caspian Sea .,Sea of Japan,,
165,Kandla port is located on:,Gulf of Khambhat,Tropic of Cancer,Rann of Kutch,Gulf of Kutch,R.A.S./R.T.S. (Pre),1996.0
166,Where is Sargasso Sea situated?,North Atlantic Ocean,South Atlantic Ocean,Indian Ocean,North Pacific Ocean,MPPCs (Pre),2021.0
167,Out of the following which combination Is incorrect? (M.P.PB.C.S. (Pre) 2019),Telegraph Plateau - Indian Ocean.,Cocoa Ridge - Pacific Ocean,Walvis Ridge - Atlantic Ocean,Aguihas Basin - Indian Ocean,,
168,Golden Quadrilateral Project of India joins- (M.B.P.C.S. (Pre) 2016),Delhi-Mumbai-Chennai-Kolkata,Dethi-Jhansi-Bengaluru-Kanyakumari,Srinagar-Delhi-Kanpur-Kolkata,Porbandar-Bengsluru-Kolkata-Kanpur,,
169,Which fs not a renewable resource?,Energy of water,Energy of Sun,Energy of Earth,None of the above,"M.P.P.C.S, (Pre)",2015.0
170,Which one of the foltowing 1s known as the ‘Coffee port’ of the world?,S20 Paulo,Santos,Rio de Janeiro,Buenos Aires,M.P.P.C.S. (Pre),2015.0
171,"The line joining the areas having the same
rainfall is Called 
 Isobar",,Isohyet,Isotherm,Isohaline .,M.PP.C.S. (Pre),2015.0
172,Which of these countries forms the longest territorial border with India?,China,Pakistan,Bangladesh,Nepat,M.P.P.C.S. (Pre),2013.0
173,The biggest desert tn the world is:,Kalahari,Gobi,Sahara,Thar,M.P.P.C.S. (Pre),2010.0
174,"Arrange the following from west to east and select the correct answer from the codes given below:
1. London 
2. Lisbon 
3. Frankfurt 
4. Beirut
Code:","1,2,3,4","2,1 3 4","2.1,4,3","1,2,4,3",M.P.P.C.S. (Pre),2008.0
175,White Mountains are founded in,Canada,Norway,Russia,United States of America,"U.P.U.D,A./L.D.A. (Pre)",2001.0
176,Chisapant Gorge Is located in-,India,Nepat,Bangladesh,Pakistan,U.P. Lower Sub. (Pre),2015.0
177,Which of the following islands are known as ‘Sheep Islands’?,Canary Islands,Madeira Istands,Faroe tslands,Wellington Islands,"U.P. Lower Sub, (Pre)",2015.0
178,Which of the following rivers crosses the Equator twice?,Zaire,Niger,Nile,Amazon,"U.P. Lower Sub, (Pre)",2015.0
179,"Which of the following countries is trans- Continental? 
1. Laos 
2. Georgia
3. Turkey
4. Tunisia
Select the correct answer from the codesgiven below:",l and 2,2 and 3,"l and 4
(4) 2 and 4",,"U.P, Lower Sub. (Pre)",2009.0
180,The Great Arteslan Basin (GAB) is located one,U.S.A,Australia,Russia,Brazil,U.P. Lower Sub,2003.0
181,Isogonlc lines are:,Same atmospheric pressure lines,Same temperature lines,Same salinity lines,Same magnetic declination line,"U.P, Lower Sub. (Pre)",1998.0
182,Three mountain ranges determining the boundary between India and Myanmar are-,"Khasi, Patkoi and Arakan Yoma",Akai Mountain Range,Great Dividing Range,None of the above,U.P. Lower Sub. (Pre),1998.0
183,Which of the following countries does not have a land border with the Dead Sea?,Lebanon,Jordan,Israel,"Palestine
(e) None of the above/More than one of the
above",67th BPSC (Pre),2022.0
184,"Addu Atoll, Is situated In which ocean?
(9) Atlantic Ocean",,"Arctic Ocean,",Indian Ocean,"Pacifle Ocean
(e) None of the above/More than one of the above",66th B.P.C.S. (Pre) (Re-Exam),2020.0
185,The Great Victorian Desert is located et-,Australia,India,Egypt,"North Africa
(e) None of the above/More than one of the above",60th to 62nd B.PS.C. (Pre),2016.0
186,Which strait connects the Red Sea and the Indien Ocean?,Bab-El-Mandeb,Hormuz,Bosphorus,Malacca,53rd to 55th B.P.S.C. (Pre),2011.0
187,Where is ‘Ninety East Ridge’ situated?,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean.,"S3rd to 55th B.P.S.C, (Pre)",2011.0
188,Which fs known as ‘Roof of the World’?,Avavalli,Satpara,Pamir,Myanmar,43th B.PS.C. (Pre),2000.0
189,Which one of the following 1s not a sea-port city?,Tokyo,Canberra,New York,London,40th B.P.S.C. (Pre),1995.0
190,"On the sea level, nearest place to the center of earth?",North pote,"Tropic of Capricorn
(e) Tropic of Cancer",,Tropic of equator,38th B.P.S.C. (Pre),1992.0
