q_no,q_statement,a,b,c,d,exam,year
118,‘imphat Basin’ surrounded by Manipur hills isafineexampleof-,Lacustrine plain,Loess plain,Glacial plain,Alluvial plain,UPPCS (Pre),2019.0
119,"With reference to the Himalayan range,which of the statements is/are correct?
1. The sedimentary rocks of the greater Himalayas were fossil less.
2. Marine livings fossils are found in the sedimentary rocks of lesser Himalayas.
3. Remains of human civilization are found in the outer or Shivalik Himalayas.
Select the correct answer using the codes given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1,2 and 3 are correct","U.P.P.C.S, (Pre)",2019.0
120,Which one of the following is the correct sequence of the hills of Central India located from West to East?,"Maikal, Satpura, Mahadeo and Chhotanagpur","Satpura, Mahadeo, Maikal and Chhotanagpur","Maikal, Mahadeo,  Satpura and Chhotanagpur","Satpura, Mahadeo, Chhotanagpur and Maikal",U.P.P.C.S. (Pre),2029.0
121,"In which of the following rivers, the upper course contains freshwater but saline water flowing at the lower part?",Barak river,Luni river,Ghaggar river,None of the above,"U.P.P.C.S, (Pre)",2019.0
122,The winter rains caused by Western disturbance in North-Western Plain of India gradually decreases from:,East to West,West to East,North to South,South to North,U.P.P.C.S. (Pre),2019.0
123,Which of the following States of India has the longest coastline?,Maharashtra,Andhra Pradesh,Kerala,Gujarat,U.P.P.C.S. (Pre),2018.0
124,"Match list-I with Hst-li and select the correct answer using the codes given below the lists:

Ltst-I (States) List-II (Highest Peak)
1. Doddabetta B. Nagaland
2. Nanda Devi C. Uttarakhand
              D.Tamil Nadu 
4. Saramat
Code: 
ABCD",l 3 4 2,2 3 4 1,3 4 2 1,1 2 3 4,UPPCS (Pre),2018.0
125,Which of the following statements js not correct?,Black soil is locally called ‘regur’,"According to Krabs, the regur soil is essentially a mature soil",Black soils are highly retentive to moisture,Black soil is found in the Himalayan region,U.P.P.C.S. (Pre),2018.0
126,"The Tropic of cancer passes through which of the following states?
1. Gujarat
2. Chhattisgarh
3. Uttar Pradesh
4. Jharkhand
Select the correct answer from the code given below: 
Code:",1 2 and 4,"1,2, 3 and 4","1,3 and 4","2,3 and 4","U.P.P.C.S, (Pre)",2017.0
127,"Match list-I with Jist-1l and select the correct answer using the codcs given below the lists:
List-I (Waterfall) [List-11 (Rivers)
A. Dudhsagar      1. Ghatprabha
B. Duduma         2. Machhkund
C. Gokak          3.Sharavati
D. Jog            4. Mandavi
Code: 
ABCD",4 2 1 3,4 2 3 1,"2 4 1 3 
(4)2 3 4 1",,UPPCS (Pre),2017.0
128,In which state is the Nelang Valley located?,Himachal Pradesh,Sikkim,Jammu and Kashmir,Uttarakhand,U.P.P.C.S. (Pre),2016.0
129,"River Ganga, after entering Bangladesh, isknown by which of the following names?",Lohit,Padma,Kaliganga,Nabaganga,"U.P.P.C.S, (Mains)",2016.0
130,Which one of the following is not correctly matched?,Chang La - Jammu and Kashmir,Rohtang - Himachal Pradesh,Bomdi La - Arunachal Pradesh,Se La - Uttarakhand,U.P.P.C.S. (Mains),2015.0
131,Kuttanad (or Kuttanadu) of Kerala isfamous for:,A freshwater lake,The region with the lowest altitude inIndia,A coral island,The westernmost point of India,U.P.P.C.S. (Mains),2015.0
132,Which one of the following rivers is calledthe ‘Ganga of the South’?,Cauvery,Krishna,Godavari,Narmada,"U.P.P.C.S, (Pre)",2015.0
133,"Match list-I1 with list-i] and select the correct answer using the codes given below the lists:
A Ashtamudi [1. Haryana
B. Pulicot  [2 Kerala
C. Roopkund  3. Tamil Nadu
D. Surajkund 4. Uttarakhand
Code: 
ABCD",2 1 4,2 3 4 1,4 2 3 1,l 4 2 3,UPPCS (Pre) (Re-Exam),2015.0
134,Which of the following soils of India hasbeen formed due to weathering of basalticlava?,Alluvial Soils,Laterite Soils,Red Soils,Regur Soils,U.P.P.C.S. (Pre) (Re-Exam),2015.0
135,"Consider the following statements:
Assertion (A): The rivers of Western Ghatsdo not form the delta.
Reason (R): They flow through short courses with high speed over hard rocks.
Select the correct answer from the codes given below: (U.P.P.C.S. (Pre) 2014]","Both (A) and (R) are correct, and (R) is
the correct explanation of (A)","Both (A) and (R) are correct, but (R) is
not the correct explanation of (A)
(ce) (A) ts true, but (R) is false",,"(A) is false, but (R) is true",,
136,The rivers of South India mainly have whichof the following drainage patterns?,Radial,Intermittent,Dendritic,Trellis,U.P.P.C.S. (Pre),2024.0
137,"Q137, Which of the following is correctly matched?
Lakes -      Locatlons",Lonar -   Madhya Pradesh,Nakki -   Gujarat,Kollera-  Andhra Pradesh,Pulicat - Kerala,UPPCS (Pre),2012.0
138,Kori Creek Hes in-,Gulf of Kutch,Gulf of Khambhat :,Little Renn of Kutch,Rann of Kutch,U.P.P.C.S. (Mains),2021.0
139,"Consider the following statements andselect the correct answer from the codegiven below:
Assertion (A): All rivers originating from theHimalayas are perennial,
Reason (R): Himalayas receive much of theirprecipitation from South-Western monsoon.
Code: (U.P.P.C.S. (Mains) 2011)","Both (A) and (R) are true, and (R) is the
correct explanation of (A)","Both (A) and (R) are true, but (R) Is not
the correct explanation of (A)","(A) ts true, but (R) is false","(A) is false, but (R) is true",,
140,The Indian Standard Time Meridian doesnot passthrough-,Andhra Pradesh,Chhattisgarh,Maharashtra,Uttar Pradesh,U.P. P.C.S. (Pre),2010.0
141,Which soil needs little irrigation as it retains soil water?,Red,Black,Laterite,Alluvial,U.P.P.C.S. (Pre),2010.0
142,Which of the following is the highest mountain peak in India?,Everest,Siachen,K2,Kargil,U.P.P.C.S. (Mains),2009.0
143,The Hagari river is a tributary of:,Bhima,Godavari,"Krishna
(4) Tungabhadra",,U.P.P.C.S. (Mains),2009.0
144,Which one of the following states of India has an international boundary on Its threesides?,Assam,Nagaland,Tripura,West Bengal,U.P.P.C.S. (Spl) (Mains),2008.0
145,Which one of the following gives correct sequences of Himalayan peaks In the direction east to west?,"Dhaulagiri, Kanchenjunga, Makalu,Mount Everest","Namcha Barwa, Kanchenjunga, Nanda Devi, Mount Everest","Makalu, Dhaulagiri, Kumaun, Namcha Barwa","Namcha Barwa, Kanchenjunga, Mount Everest, Nanda Devi",U.P.P.C.S. (Spl) (Mains),2008.0
146,"Match list-I with list-II and select the correct answer using the codes given below the lists:
Tit 1 Sea Beach
1. Tamil Nadu
2. West Bengal
3. Orissa
D. Marina |4. Goa
Code: 
ABCD",1 2 4 3,2 3 4 1,"2 1 3 4
(4)4 3 2 1",,UPPCS (Spi) (Mains),2008.0
147,Which of the following lake is shared by two Indian States?,Chilika,Kolleru,Lonar,Pulicat,U.P.P.C.S. (Mains),2008.0
148,Which of the following rivers is an exampleof the superimposed river?,Alaknanda,Kosi,Chambal,Godavari,U.P.P.C.S. (Mains),2007.0
149,Which of the following is the highest peak in South India?,Anamudi,Doddabetta,Amarkantak,Mahendeagiri,U.P.P.C.S. (Pre),2005.0
150,Cheurabari Glacier is located towards-,South of Kedarnath temple,West of Kedarnath temple,North of Kedarnath temple,East of Kedarnath temple,U.P.P.C.S. (Mains),2004.0
151,"When there is midnight at IST meridian,a place observes 6 A.M, The meridian on which the said place is located is:",7°31'E,172° 30° E,7°30°E,127°30°E,"U.P.P.C.S, (Mains)",2002.0
152,"Consider the following statements:
Assertion (A): While all major rivers of peninsular India flow into the Bay of Bengal,the Narmada and the Tapi flow into the Arabian sea,
Reason (R); The Narmada and the Tapi rivers flow in rift valley.
Select the correct answer using the codes
given below:","Both (A) and (R) are true, and (R) is the
correct explanation of (A).","Both (A) and (R) are true, but (R) is not
the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Mains),2002.0
153,Which of the following soil is most suited for tea plantation?,Acidic,Alkaline,Alluvial,Regur,U.P.P.C.S. (Pre),2002.0
154,"Match list-I with Sist-I1 and sclect thecorrect answer using the codes given below
the lists:
A. Tropical moist 1. Arunachal deciduous Pradesh
B. Tropical dry 2. Sabyadris deciduous
C. Alpine 3. Middle Ganga Plain
D. Tropical 4. Tarai evergreen
Code: 
ABCD",4 3 1 2,4 2 1 3,1 3 2 4,3 1 4 2,UPPCS (Pre),2001.0
155,"Consider the following statements:
Assertion (A): The Regur soils of the Deccan Trap are black in colour.
Reason (R): They are rich in Humus.
Select the correct auswer from the codes given below:","Both (A) and (R) are truc, and (R) is the
correct explanation of (A).","Both (A) and (R) are true, but (R) is not
the correct explanation of (A).","(A) Is true, but (R) is false.","(A) is false, but (R) is true,",U.P.P.C.S. (Pre),1999.0
156,Which one of the following towns is nearest to the Tropic of Cancer:,Agartala,Gandhinagar,Jabalpur,Ujjain,U.P.P.C.S. (Pre),1999.0
157,"The paleomagnetic results obtained from India indicate that in the past, the Indian land mass has moved:",Northward,Southward,Eastward,Westward,U.P.P.C.S. (Pre) 8,1993.0
158,Vembanad lake is in:,Andhra Pradesh,Kerala,Orissa,Tamil Nadu,U.P.P.C.S. (Pre),1997.0
159,"Which of the following option represents correct order of mountain Passes from west to cast?
I. Shipki La
II. Nathu La
III. Bomdi La
IV. Lipulekh
Code:","1,0, UL IV","IT, 1, IV, 1","LIV, 1, UL","HI, 1, 1,1",U.P. Lower Sub. (Pre),2009.0
160,Which of the following is known as ‘self-ploughed’ soil of the country?,Alluvial soil,Lateritic soit,Black cotton soils,Desert soils,U.P. Lower Sub. (Pre),2009.0
161,Identify the only tributary of River Ganges which rises in the plains.,Son,Sharda or Saryu,Gomti,Ram Ganga,U.P. Lower Sub. (Pre),2008.0
162,The Kullu Valley is situated between the mountain ranges of:,Dhauladhar and Pir Panjal,Ranjoti and Nagtibba,Ladakh and Pir Panjal,Middle Himalayas and Siwalik,U.P. Lower Sub. (Spl.) (Pre),2002.0
163,"Examine the following statements and select the correct answer by using codes given below:
1. Devprayag is located at the confluence of the Bhagirathi and Alaknanda rivers.
2. Rudraprayag is located at the confluence of the Mandakini and Alaknanda rivers.
3. Alaknanda flows from Badrinath.
4. Kedarnath is considered the biggest seat established by Adi Shankaracharya.
Code:","1,2and3","2,3 and4","1,2and4","1,2, 3.and 4",U.P. Lower Sub. (Pre),2002.0
164,"Compare the Himalayan Rivers with the Peninsular Rivers based on the following comparisons:
1, Most of the Himalayan rivers are perennial, whereas most of the Peninsular rivers are rain fed.
2. The gradient of the Himalayan River is steeper than the Peninsular River.
3. The Peninsular River causes more erosion on its way in comparison to the Himalayan River.
Choose the correct answer from the options given below,",l and 2 only,2 and 3 only,1 and 3 only,"1,2 and 3
(e) None of the above/More than one of the
above",67™ BPSC (Pre),2022.0
165,"Therivers Damodar, Koel and Subarnarekha originate Crom which of the following?",Deccan Plateau,Central Highland,Chhota Nagpur Plateau,"Meghalaya Plateau
(e) None of the above/More than one of the above",671h BPSC (Pre),2022.0
166,Which is Asia's largest and freshwater Oxbow Lake in Bihar?,Ghogha Lake,Kanwar Lake,Anupam Lake,"Kusheshwar Lake
(e) None of the above/More than one of the above",67th BPSC (Pre) (Re-Exam),2022.0
167,Rajasthan receives very little rain because:,the monsoon fails to reach this area,it is too hot,there is no water available and thus the winds remain dry,"the winds do not come across any barriers to cause the necessary uplift to cool the aic
(e) None of the above/More than one of the above",67 BPSC (Pre) (Re-Exam),2022.0
168,For which cultivation Karewas are famous?,Banana,Saffron,Mango,"Grapes
(e) None of the above/More than one of the above",67 BPSC (Pre) (Re-Exam),2022.0
169,"Among the following tributaries, which one is part of the Ganga River basin?",Sankh,North Koel,South Koel,"Barakar
(e) None of the above/More than one of the above",6Sth B.P.S.C.(Pre),2029.0
170,Coral reefs are not found in which one of the following regions?,Gulf of Cambay,Gulf of Mannar,Gulf of Kutch,"Lakshadweep and Minicoy Island
(e) None of the above/More than one of the above","65th B.P,S.C. (Pre)",2019.0
171,Which one of the foliowing is not a part of the Meghalaya Plateau?,Bhuban Hills,Garo Hills,Khasi Hills,"Jaintia Hills
(e) None of the above/More than one of the above",64th B.P.S.C. (Pre),2018.0
172,"Amritsar and Shimla are almost on the same latitude, but their climate difference is due to-",The difference tn their altitudes,Their distance from sea,Snowfall in Shimla,Pollution in Amritsar,53rd to 55th B.P.S.C. (Pre),2011.0
173,Which soil particles are present in loamy soils?,Sand particles,Clay particles,Silt particles,All types of particles,"S3rd to $5th B.P.S.C, (Pre)",2011.0
174,"Consider the following statements regarding formation of landforms in India:
1. Structurally, the Meghalaya plateau is an extended part of the Deccan plateau.
2. The Valley of Kashmir was formed in a synclinorium,
3, The Gangetic plain was formed in a fore deep.
4. The Himalayas originated as a result of triangular convergence of the Indian plate, the European plate and the Chinese plate.
Which of these statements are correct?","I, II and III","I, UL and IV",I and II,Mand IV,47th B.P.S.C. (Pre),2005.0
175,Extra peninsular mountains of India were formed during-,Eozoic Era,Palaeozoic Era,Mesozoic Era,Cenozotc Era,41st B.P.S.C. (Pre),1996.0
176,Old Kachharl clay of Gangetic plain is called-,Bhabar,Bhangar,Khadar,Khondolyte,41st B.P.S.C. (Pre),1996.0
177,Chotanagpur Plateau-,Is a front sloping,Is a pitfall,Is a foothill,Is a plain subland,40th B.P.S.C. (Pre),1995.0
178,"Near Manasarovar Lake in Tibet, there is the source of the river-",Brahmaputra,Satluj,Indus,All of the above,39th B.P.S.C. (Pre),1994.0
179,The Indian monsoon is indicated by seasonal displacement because of-,Differential temperature of land and sea,Cold wind of middle Asia,Excess similarity of temperature,None of the above,39th B.P.S.C. (Pre),1994.0
180,"Match list-I with Iist-II and select the correct answer using the codes given below the lists: :
Code: 
ABCD",3 4 2 1,2 1 4 3,3 4 1 2,1 3 2 4,MPPCS (Pre),2022.0
181,Which vailey of the following rivers is known to have deep Ravincs?,Narmada,Son an :,Chambal,Tapti,"M.P.P.C.S, (Pre)",2019.0
182,The boundary line between India and Pakistan ts an example of-,Superimposed boundary,Antecedent boundary,Relict boundary,Subsequent boundary,M.P.P.C.S. (Pre),2016.0
183,Which range acts as @ water divide between YamunaandSont,Bhander,Kaimur,Maikal,Mukundwara,M.P.P.C.S. (Pre),2016.0
184,Sundarbans Delta is formed by the rivers-,Ganga and Brahmaputra,Ganga and Jhelum,Sindhu and Jhelum,Ganga and Sindhu,"M.P.P.C.S, (Pre)",2014.0
185,The Narmada Valley les between which of the following mountain ranges?,Bhander and Maikal,Satpura and Aravalli,Satpura and Vindhyachal,Vindhyachal and Aravalli,M.P.P.C.S. (Pre),2014.0
186,Which one of the following Indian states does not share border with Bhutan?,Sikkim,Meghalaya,Arunachal Pradesh,West Bengal,"M.P.P.C.S, (Pre)",2012.0
187,The general direction of flow of summer monsoon in India is-,from South to North,from South-West to South-East,Crom South-East to South-West,from South-West to North-East,M.P.P.C.S. (Pre),2012.0
188,The westernmost point of India is;,"68° 7° W, Gujarat","68° 7’ W, Rajasthan","68° 7’ E, Gujarat","68° 7’ E, Rajasthan",M.P.P.C.S. (Pre),2003.0
189,The Southernmost point of India “Indira Point” is ins,Tamil Nadu,Little Nicobar,Great Nicobar,Car Nicobar Island,M.P.P.C.S. (Pre),2006.0
190,Which one of the following can be used to make acidic soil cultivable?,Lime,Gypsum,Calcium,Vegetable compost,"M.P.B.C.S, (Pre)",2006.0
191,Which of the following separates India and Sri Lanka?,Gulf of Kutch,Palk Strait Bay,Gulf of Khambhat,,"M.P.P.C.S, (Pre)",1990.0
192,"The dust storms originating in Rajasthan in May and June months are caused due to-
1, Origin of convectional currents at few places
2. Aravalli hills are parallel to south-western winds
3. Origin of fast speedy easterly windsCode:",1 and 3 only,1 2and 3,1 and 2 only,1 only,R.A.S/R.T.S. (Pre),2018.0
193,Palghat is situated between:,The Nilgiris and the Cardamom Hills,The Nilgiris and the Annamalai Hills,The Annamalai Hills and the Cardamom Hills,The Cardamom Hilts and Palani Hills,R.A.S./R.T.S. (Pre),2013.0
194,Winter rainfall in Tamil Nadu is mostly due to-,Western disturbances,South-West monsoon,North-East monsoon,South-East monsoon,R.A.SJR.T.S. (Pre),2010.0
195,Which one of the following is called ‘flame of the forest’?,Bouhinia variegata,Jacaranda mimosafolia,Butea monosperma,‘Tectona grandis,"R.A.S./R.T.S, (Pre)",2010.0
196,Which of the following Indian state shares maximum boundary with Myanmar?,Manipur,Arunachal Pradesh,Mizoram,Nagaland,R.A.S./R.T.S. (Pre),2007.0
197,"Match the following river given in list-I with the place of origin given in list-II:
List-II (Place of Origin)
1. Ludeng hills
2. Sonbera plateau
3. Devgarh ils
D. Kelo 4. Mainpat
Code: (Chhattisgarh PCS (Pre) 2021)
ABCD",3 1 4 2,4 3 2 1,2 3 1 4,l 2 4 3,,
198,"Four rivers have been mentioned below.What will be the decreasing order of these civers in length (starting from the longest to the shortest)?
i. Mahanadi
ii. Krishna
iii. Godavari
iv. Narmada
Code:","Civ), (), (ii), (iv)","(ii), (ili), (1), (v)
(e) (i), (i), (iv), (ii)",,"(ii), (i), (iv), (iii)",Chhattisgarh P.C.S. (Pre),2020.0
199,"Choose the correct etatement out of the four statements given cegarding alluvial
soil:",This soil is found in about 14% portion of India’s land surface.,Phosphoric acid is found in rich quantities in this soil.,"This soil is also known by names such as Reh, Thur and Chopan.",This soil is not fertile.,"Chhattisgarh P.C.S, (Pre)",2020.0
200,Which religious place is situated at the confluence of Mand and Mahanadi?,Didineshwaci Devi,Angar Moti,Chandrahasini Devi,Mahamaya,Chhattisgarh PCS (Pre),2019.0
201,Which of the following regions is not affected much by the Arabian Sea branch of Monsoon?,The Western Ghat,Deccan Plateau,Madhya Pradesh,"Chhattisgarh Basin
(e) None of these",Chhattisgarh P.C.S. (Pre),2016.0
202,"Which of the following Is the correct order of the Himalayan Ranges from south to north In the western section?(Chhattisgarh P.C.S, (Pre) 2015)",Great Himalaya - Lesser Himalaya -Shiwalik,Shiwalik + Lesser Himalaya - Great Himalaya,Lesser Himalaya - Great Himalaya -Shiwalik,"Shiwalik + Great Himalaya - Lesser Himalaya
(e) None of these",,
203,Sriharikota island ts located in-,Near Chilka Lake,Near the mouth of Mahanadi River,Near Pulicat Lake,Near the mouth of Godavari River,Chhattisgarh P.C.S. (Pre),2011.0
204,Which of the following characteristic features is appropriate for Narmada River?,Volcanic origin,Wind origin,Structural origin,Glacial origin,Jharkhand P.C.S. (Pre),2021.0
205,In which of the following parts of India‘atolls’ are commonly found?,Near Sunderbans,Near Khambhat Gulf,Near Lakshadweep,Near Rameshwaram,Jharkhand P.C.S. (Pre),2021.0
206,"Which of the following statements is true regarding Laterite soil in India
1, Laterite soil develops in areas with high temperatures and heavy rainfall.
2. Laterite soil is rich in humus and found in West Bengal, Assam and Odisha,
Code;",Only 2 is true,Both 1 and 2 are true,Both I and 2 are false,Only 1 is true,Jharkhand P.C.S. (Pre),2021.0
