q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
88,"Read the following statements and choose the correct option:
Statement I : Kapila is the earliest exponent of Samkhya system.
Statement II : Kapila teaches that a man’s life is shaped by the forces of nature and not by any divine agency.",Statement I and Statement II both are true.,"Statement I is false, but Statement II is true.",Statement I and Statement II both are false.,"Statement I is true, but Statement II is false.",Chhattisgarh P.C.S. (Pre),2020,,
89,"Read the following statements related to Jaina Literature and choose the appropriate option:
Statement I: The Shvetambara Canon included the 12 Angas.
Statement II: According to Shvetambara tradition, the Angas were compiled at a council held at Vallabhi.
Code:",Statement I and Statement II both are true,"Statement I is false, but Statement II istrue",Statement I and Statement II both are false,"Statement I is true, but Statement II is false",Chhattisgarh P.C.S. (Pre),2020,,
90,Who advocated ‘Neo-Buddhism’?,Radhakrishnan,Tagore,Ambedkar,Vivekananda,Chhattisgarh P.C.S. (Pre),2019,,
91,Sankaras philosophy is called as—,Monism,Integral Monism,Dualism,Non-dualism,Chhattisgarh P.C.S. (Pre),2019,,
92,Who is called ‘Crypto-Buddhist’?,Shankara,Kapil,Ramanuja,Patanjali,Chhattisgarh P.C.S. (Pre),2019,,
93,Who accepts only Perception?,Jaina,Charvaka,Bauddha,Samkhya,Chhattisgarh P.C.S. (Pre),2018,,
94,The doctrine of Apurva is related to-,Charvaka,Jaina,Buddha,Mimamsa,Chhattisgarh P.C.S. (Pre),2018,,
95,Who has propounded the doctrine of momentariness?,Buddha,Jaina,Charvaka,Nyaya,Chhattisgarh P.C.S. (Pre),2017,,
96,Which one of the following is highest value according to Charvaka?,Dharma,Artha,Kama,Moksha,Chhattisgarh P.C.S. (Pre),2017,,
97,Anatmavada (no-self) is the doctrine of-,Sankhya,Vedanta,Buddhism,Jainism,Chhattisgarh P.C.S. (Pre),2017,,
98,“Samadhi Maran” is related to which Philosophy?,Buddhist Philosophy,Jain Philosophy,Yoga Philosophy,Lokayat Philosophy,Chhattisgarh P.C.S. (Pre),2015,,
99,Which one of the following is not part of “Ashtangayoga”?,Anusmriti,Pratyahara,Dhyana,Dharana,Chhattisgarh P.C.S. (Pre),2015,,
100,"By which of the following according to Advaita Vedanta, Mukti can be obtained",Gyana,Karma,Bhakti,Yoga,Chhattisgarh P.C.S. (Pre),2015,,
101,The Founder of Advait Philosophy is,Sankaracharya,Ramanujacharya,Madhavacharya,Mahatma Buddha,Chhattisgarh P.C.S. (Pre),2014,,
102,Which of the following schools of philosophy is of the opinion that Vedas contain the eternal truth?,Sankhya,Vaisheshika,Mimansa,Nyaya,Chhattisgarh P.C.S (Pre),2013,,
103,Who among the following Bhakti saints did not belong to Nirguna School of Bhakti?,Kabir,Nanak,Dadu,Chaitanya,CAPF,2021,,
104,"Madhyamika. Karika, the basic text of Madhyamika School, was composed by",Nagarjuna,Asanga,Vasubandhu,Dharmakirti,CAPF,2021,,
105,Which one of the following statements about the Bhakti Movement in South India is NOT correct? :,The Nalayira Divyaprabandham was also known as the Tamil Veda.,Andal was an Alvar.,Karaikkal Ammaiyar was a devotee of Vishnu.,Metal images of the saints Appar and Sundarar were made and then consecrated in a Shiva temple.,CAPF,2020,,
106,"Consider the following statements about the Lingayats:

1. They bury their dead.
2. They are great believers in the caste system, especially in the theory of purity and pollution.
3. They are against child marriage and favour widow remarriage.

Which of the statements given above is/are correct?",l and 2,1 only,2 and 3,1 and 3,CAPE,2020,,
107,"Consider the following statements about sulh-i kul:
1, It means ‘absolute peace’
2. It provided for freedom of expression to all religions and schools of thought.
3. The ideal of sulh-i kul was implemented through state policies.

Which of the statement(s) given above is/are correct?",1 and 2 only,"1, 2 and 3",3 only,2 and 3 only,CAPF,2020,,
108,"Which of the following statements about Bodhisattas is/are correct? 
1. They were perceived as deeply compassionate beings who accumulated merit through their efforts.
2. They made attempt to attain Nibbana.
Select the correct answer using the codes given below:",1 only,2 only.,Both 1 and 2,Neither 1 nor 2,CAPF,2018,,
109,Who among the following was Buddha’s foster mother?,Purna,Gajalakshmi,Maya,Mahapajapati Gotami,CAPF,2018,,
110,"Which of the following statements about the ideology of Utilitarianism in the context
of British India is/are correct? 

1. Utilitarianism believed that the rule of law was necessary for societal betterment.
2. James Mill expounded the principles of Utilitarianism in his famous book,Utilitarians and the Raj.
3. Utilitarians differed from the liberals in significant ways.
4. Utilitarianism had distinct authoritarian tendencies.

Select the correct answer using the code given below:",Only 1,1 and 2 only,3 and 4 only,"1,3 and 4",CAPF,2016,,
111,Which one among the following is NOT true for the Brahmo Samaj?,It considered Vedic scriptures as infallible.,It opposed idolatry.,It emphasized the worship of one God.,It emphasized the worship of God without the mediation of priests.,CAPF,2014,,
112,"Which one among the following is NOT true for the Theosophical Society of Madam H P
Blavatsky?",It was founded outside India,It advocated the revival of ancient religions,It recognized the doctrine of transmigration of soul,It was silent on the idea of Universal Brotherhood,CAPF,2014,,
113,"Which one of the following pairs denoting various forms of ‘Bhakti’ is NOT correctly
matched?",Saguna : Belief in Gods with attributes,Nirguna: Beliefin Gods without attributes,Alvars : Believed in devotion of Shakti,Nayanars : Believed in devotion of Shiva,CDS,2023,,
114,To which one of the following schools of philosophy did Kumarila Prabhakara belong?,Lokayata,Madhyamika,Purva-Mimamsa,Uttara-Mimamsa,CDS,2022,,
115,"Which among the following are Charvaka Schools of Philosophy? 
1. Dhurtta
2. Nyaya
3. Sushikshita
4. Vaisheshika

Select the correct answer using the code given
below:","1,2 and 3",2 and 3 only,2 and 4 only,1 and 3 only,CDS,2022,,
116,Who among the following was the founder of the Virashaiva Movement in Karnataka?,Basavanna,Appar,Sambandar,Sundarar,CDS,2022,,
117,Which one of the following was NOT a part of Kautilya’s Saptanga Theory of the State?,Amatya,Janapada,Durga,Dhamma,CDS (1),2022,,
118,Who were Alvars?,Those who immersed in devotion to Vishnu.,Devotees of Shiva.,Those who worshipped abstract form of God.,Devotees of Shakti.,CDS,2019,,
119,Which Indian social theorist had argued that the idea of a homogenised Hinduism was constructed through the cultural arrogance of post-enlightenment Europe?,Ashis Nandy,Partha Chatterjee,TK Oommen,Rajni Kothari,CDS,2019,,
120,"The idea of ‘Farr-i-Izadi’ on which the Mughal kingship was based, was first developed by which one of the following Sufi saints?",Shihabuddin Suhrawardi,Nizamuddin Auliya,Ibn al-Arabi,Bayazid Bistami,CDS  (1),2018,,
121,"Around twelfth century, Sufi Silsilas began to crystallise in different parts of the Islamic world to signify 
1. Continuous link between the master and disciple.
2. Unbroken spiritual genealogy to the Prophet Muhammad.
3. The transmission of spiritual power and blessings to devotees.

Which of the statement(s) given above is/are correct?",1 and 2,Only 2,1 and 3,All of these,CDS,2018,,
122,"What was/were the formative influence(s) on the philosophy of Mahatma Gandhi?

1. Gandhiji was influenced by the 18th Century Pranami sect that advocated the unity of faiths.
2. Gandhiji was influenced by the theosophists.
3. Gandhiji was an admirer of the writings of Romantics like Wordsworth.

Select the correct answer using the codes given below:",land2,2 and 3,"1,2 and 3",1 only,CDS  (1),2017,,
123,"Which of the following statements about the philosopher Shankara is/are correct?

1. Shankara espoused a form of Vedanta called Advaita.
2. He elaborated on the philosophy of Gaudapada.
3. Shankara tried to demonstrate that the Upanishads and Brahmasutras contain a unified, systematic philosophy.
4. Shankara founded the Amanaya Mathas.
Select the correct answer using the codes given below:",1 and 2,"1,2 and 3",3 and 4,4 only,CDS,2016,,
124,"Which of the following statement(s) is/are correct?

1. Early Buddhist literature is generally composed of the canonical text.
2. The Buddhist schools classify their canonical literature as only the Pitakas.

Select the correct answer using the codes given below:",Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,CDS,2014,,
125,"Consider the following statements and answer the questions using the codes given below:

Statement I: The 12th century witnessed the emergence of a new movement in Karnataka led by a Brahmana named Basavanna.
Statement II: The Lingayats worshipped Shiva in his manifestation as a Linga.","Both (A) and (R) is individually true, and (R) is the correct explanation of (A).","Both (A) and (R) is individually true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",CDS  (II),2014,,
126,"Triratna or Three Jewels, i.e, right knowledge, right faith and right action are related to which of the following?",Buddhism,Hinduism,Jainism,Christianity,66th B.P.S.C. (Pre.),2020,,
127,Which of the following philosophies of India propounded the atom theory?,Yoga,Nyaya,Sankhya,Vaisheshika,"66th B.P.S.C, (Pre)",2020,,
128,Who promulgated Din-i-elahi?,Babar,Akbar,Jahangir,Shah Jahan,66th B.P.S.C. Re-Exam (Pre),2020,,
129,A common feature to all Bhakti Saints was that they-,Composed their verses in the language understood by their followers,Rejected the authority of the priestly class,Encouraged women to go to the temples,Encouraged idol worship,47th B.P.S.C. (Pre),2005,,
130,Which one of the following is not common between Buddhism and Jainism?,Ahimsa,Indifference to Vedas,Self-mortification,Rejection of Rituals,44th B.P.S.C. (Pre),2000,,
131,The meaning of ‘Jihad’ carried on by Aurangzeb is~,Darul-Harb.,Dar-ul-Islam,Holy War,Jizya,"43rd B.P.S.C, (Pre)",1999,,
132,"Which of the following Doctrines are associated with Jainism?
(i) Anekantavada
(ii) Sarvastivada
(iii) Sunyavada
(iv) Syadvada
Select the correct answer using the code given below:",(i) and (iv),(ii) and (iv),"(i), (ii) and (iii)",(ii) and (iii),R.A.S./R.T.S. (Pre.),2021,,
133,Who among the following does NOT belong to the Chishti order?,Khwaja Qutbuddin Bakhtiar Kaki,Shaikh Abdul Jilani,Shaikh Moinuddin,Shaikh Nizamuddin Auliya,R.A.S./R.T.S. (Pre),2016,,
134,The sect which believed in abiding nature of destiny:,Jainism,Ajivakas,Charvaka,Buddhism,R.A.S./R.T.S. (Pre) (Re. Exam),2013,,
135,‘Tripitaka’ texts are related to which religion?,Vedic religion,Buddhism,Jainism,Shaivism,R.A.S./R.T.S.(Pre),2012,,
136,"‘God knows man’s virtues and enquires not his caste, in the next world there is no caste.
This was the theory of which Bhakti saint?",Ramanand,Dadu,Nanak,Ramanuja,R.A.S./R.T.S. (Pre),2010,,
137,Who was the first founder of Shwetambar creed during the first partition of Jain creed?,Sthulabhadra,Bhadrabahu,Kalakacharya,Deverdhi Kshama Sharaman,R.A.S./R.T.S. (Pre),1999,,
138,"“In spite of being Buddhist, Ashoka did not leave belief in Hinduism” validation of this fact is: .",Pilgrims,Belief in Moksha,Epithet of ‘Devanampriya’,establishment of veterinary hospitals,R.A.S./R.T.S.(Pre),1999,,
139,The common belief of life of both Buddha and Mirabai was-,Following ahimsa,Austerity of Nirvana,The world is full of sorrow,Speak of truth,R.A.S./R.T.S. (Pre),1992,,
140,Who of the following is not associated with the Bhakti Movement?,Vallabhacharya,Chaitanya,Guru Nanak,Amir Khusrau,Uttarakhand P.C.S. (Mains),2006,,
141,Whom of the following did Gautam Buddha nominate for the leadership of Buddhist Sangha after his death?,Ananda,Mahakassapa,Upali,None of the above,Uttarakhand P.C.S. (Pre),2002,,
142,Who among the following is not related to the Philosophy of Vedanta?,Shankaracharya,Abhinav Gupta,Ramanuja,Madhava,M.P.P.C.S. (Pre),2014,,
143,"Match list-I with list-II and select the correct answer using the codes given below the lists: Code: 
list-I         list-II
A. Lakulisa    1. Ajivaka
B. Nagarjuna   2. Sunyavada
C. Bhadrabahu  3. Pasupat
D. Gosala      4. Jain
ABCD",2 3 4 1,3 2 4 1,1 2 3 4,3 1 4 2,UP RO/ARO (Pre),2017,,
144,"Match list-I with list-II and select the  correct answer using the codes given below
the lists:
list-I(Philosophy)      list-II(Methods of achieve Salvatton)
A. Nyaya Darshan        1. Acquisition of real knowledge
B. Mimamsa Darshan      2. Knowledge of self
C. Sankhya Darshan      3. Performing vedic rituals
D. Vedanta Darshan      4. Logical thinking
Code: 
A B C D",2 4 1 3,4 3 1 2,1 4 2 3,3 4 1 2,UPBEO (Pre),2019,,
145,Which one of the following is NOT associated with the Court of Kanishka?,Ashvaghosha,Charaka,Nagarjuna,Patanjali,U.P. Lower Sub. (Spl) (Pre),2008,,
146,Where are the four monasteries established by Adi ‘Shankaracharya’ situated?,"Sringeri, Dwarka, Joshimath, Prayaga","Dwarka, Joshimath, Prayaga, Kanchi","Joshimath, Dwarka, Puri, Sringeri","Puri, Sringeri, Dwarka, Varanasi",U.P.P.C.S. (Pre),2006,,
