q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
30,Which one of the following is not a part of early Jain literature?,Therigatha,Acarangasutra,Sutrakritanga,Brihatkalpasutra,UPSC CSE Pre.,1996.0,a,"Exp) Option a ls the correct answer.

Therigotha isn't part of the old Jain writings. It's actually

a book of Buddblst poems, sald to be spoken by the first

Buddhist monks ln India around 600 BC,"
31,"Match List-I with List-II and select the correct answer using the codes given below the lists:
A.Vishakhadatta 1.Medicine
B.Varahamihira  2.Drama
C.Charaka       3.Astronomy
D.Brahmagupta   4.Mathematics
Code: 
A B C D",1 3 4 2,2 1 3 4,2 3 1 4,3 4 1 2,UPSC CSE Pre.,1996.0,c,"Exp) Option c is the correct anewer,

A, Vishakhadatte is s Senckrit playwright and poct who is
known for his historical drames, auch a6 Mudrerakshasa
end Devichandragupte. He lived In the 4th or Sth century
CE and was a courtier of Chandregupte I.

B, Verabemlbira was an astronomer who lived In the
6th century CB. He was one of the nine jewels of the
court of king Viksremeditya, He wrote several works on
astronomy, astrology, and mathematics, such es Brihat
Sambite, Brihet Jetaka, and Panchasiddhantike.

©. Chareke was a Sanskrit physician aad echoler who
Lived In the 2nd or 3rd century BCR. He is considered
as one of the founders of Ayurveda, the anclent Indien
system of medicine. He wrote the Charaka Sambite, «
comprehensive treatise on medicine, which is one of the
two foundational texts of Ayurvede.

D, Brahmagupta was a Seeskrit mathematician who
lived fo the 7th century CR, He was the heed of
the astronomlcal observatory in Ujjain. He wrote
several works on mathematics and ostronomy, such es
Brahmasphutesiddhante and Khandekhadyske, He Is
eredited with giving rules for erithmetic operations with
zero aad negative numbers, as well a9 solving quadratic
and indeterminete equations."
32,Which one of the following texts of ancient India allows divorce to a wife deserted by her husband?,Kamasutra,Manavadharmashastra,Sukra Nitisara,Arthashastra,UPSC CSE Pre.,1996.0,d,"Exp) Option d is the correct answer,

The Acthashastra mentions provisions for divorce for «

wife who hes been deserted by her husband, It recognizes

that Ln cases of abandonment, a woman should be ellowed
to seek divorce to avoid unnecessary suffering and hardship.

‘This sepect of the Arthashastra reflects Ite concera for social

welfare and the protection of individual¢ eights, even in the

realm of marriage and family matters."
33,The term ‘Apabhramsa was used in medieval Sanskrit texts to denote:,Outcasts among the Rajputs,Deviations from Vedic rituals,Early forms of some of the modern Indian languages,Non-Sanskrit verse metres,UPSC CSE Pre.,1996.0,c,"Exp) Option c le the correct answer.

‘Apabbrasase’ was used in medieval Sanskrit texts to denote

the forme of some moderm Indian languages spoken like

In North Indie before the rise of the modern languages.
Apebhramse languages eventually geve rise to the modero
Indo-Aryan languages, scch a3 Hind!, Marathi, Gujarati, and
Bengeli. ‘Apabhramse’ io Sanskrit Iterslly means ‘corrupt’
of ‘oon-grammaticel language, that which devistes from
the norm of Ssnekclt grammar. Apabbrames literatare is a
valuable source for the history of North Indie for the period
spanoing the 12th to t6th centuries,"
34,The ‘Modi script’? was employed in the documents of the:,Wodeyars,Zamorins,Hoysalas,Marathas,UPSC CSE Pre.,1995.0,d,"Exp) Option 4 1s the correct anewer.
Mod\ was a script used to write Marathi. All administrative
paperwork of the Peshwas was cartied out Io the Modi
script. It was maloly used in maintaining the revenue sad
administrative records. Mod! eceipt is also known as Mudtya.
Today, Marathi Is written only In Devanaget."
35,Who among the following wrote historical records in the Mughal period?,Gulbadan Begum,Nur Jahan Begum,Jahanara Begum,Zebunnisa Begum,UPSC CSE Pre.,1994.0,a,"Exp) Option a ls the correct answer.
Gulbadan Begam (1523-1603) was « Perso-Turkic Princess,
the daughter of Emperor Babar. She Is knows es the aathor
of Harmeyan Nama, the accouat of the life of bec half
brother, Humayuo.

Importent Tips

Ner Jeben:

«Nur Jehan was wife of the fourth Mughal emperor,
Jehanglr.

«She had great influence on Jahangir and thereby bad a
dieect Influence on the affalrs of the state,

© She is the only Mughal empress to have issued a decree
known 60 ‘Nishan, @ privilege ceserved strictly for the
orale members of royalty.

Jahenara Begom:

« Princess Jahanara was born ia the holy city of Ajmer.

© She was the etdest child of Emperor Shah Jahan and
Mumtez Mahal.

« Jahanara was a patron of Sufism and often called herself
“Pagitah” (ascetic).

© She was a follower of Sufl selnt Mullah Shab Badakshi
who taught her about the Sufl order.

o She was so faspired by her mentor that she wrote «
book based on bis life caSled “Riseleh-i-Sahibiyahwas”

Begum ZebunNissa:

« Begum Zebuonlesa was the eldest daughter of
Aurangeeb and wee tbe most favoured of all his
children.

+ She was troprisoned for the last twenty years of her life
by her father."
36,"Vidushaka, a common character in Sanskrit drama is invariably-",Brahmana,Kshatriya,Vaisya,Shudra,UPSC CSE Pre.,1994.0,a,"Exp) Option e is the correct suswer.

ta classical Saoskett drama, Vidusheke (Bafoon) is
essentially a Brabmin aad is a confident / attendent of
the Hero, Despite being educated Ia Sanskrit, he speaks

to Prakutt, the vercacular languoge of the dime Bharsie
mentions him along with the principe characters tp bls
Netyacastra."
37,Among the four works mentioned below which one is encyclopedic in nature?,Amarakosha,Siddhantasiromani,Brihat Samhita,Ashtangahidayam,UPSC CSE Pre.,1993.0,c,"Exp) Option c is the correct emawer,
Breihet Samhita te a Gth-century Sanskeit-Jangesge
eacyclopedia complied by Verahamthire. He was 6
renowned estreloger and astronorecr who lived Ie Ujjain,
India, The work coctalas 106 chapters and covers a wide
vactety of topica, exch as astronomy, astrology, geography,
meteorology, ageicultore, architecture, gemology, enimel
besbandry, perfumery, medicine, and many mere
fa considered as cme of the most comprehensive and
suthoritative works on ancient Indien ecleaces end culture.
Important Tipe

Facta sbeat verious Hterary works:

+ Amarakcabe le a theseucus of Sancksit words writes
by Amarasinha, a 4th-contury lexkogrephes.

« Stddhantesleorsan! 9 a trestice ca coathemnatics end
astronomy writtes by Bhaskare Uf, @ 12tb-ceotusy
mmetbematictan end astronomer.

© Asbtengahrideyam ts @ compendium of Ayurveds
written by Vegbhats, 0 7th-cratury phyziciea,"
38,Which one of the following pairs of kings of Ancient and Medieval periods of Indian History and the works by them is correctly matched?,Krishnadeva Raya: Samaranganasutradhar,Mahendravarman: Mattavilasaprahasana,Bhojadeva : Manasollasa,Somesvara : Amuktamalyada,UPSC CSE Pre.,1993.0,b,"Exp) Option b be the correct enewer.

Mettavilase Prahasene, a one-ect Sanchrit ploy by Pellava

King Mebendravsrman J, satirizes Kepallks, Pasupste

Satvite, Suddbist, and foln sects lo Ah-cestury Kanchiparem.

Di comically portrays c diapate Between a drackes Kapelike

mendicent, 9 Boddhist monk, and others over e stolen skull>

bowl, offering insights into the religions diversity of the Ume.
‘Luopertent Tipe

o Samerangena Sutredhera, ettribated to Paramare
Kleg Bhoje of Dhar, te an Itth-ceotury Sanckett
treatise om Indian architecture. M covers temple
architecture, tows planaieg, sculpture, and arts. Tt
details diverse temple styles, potebly Nagere and
Drevida.

© The Manasotidss, coraposed by King Semesbvare IIT
of the Kalyaal Chalubye dyasnty, ls @ 12th-century
Sanskrit text, b's an encyclopedic work covering topics
from governance to arts, inctuding mask, dance, food,
end festivals, providing Lnsights Into 11th- ead 12th-
century indian soctety and culmare,

© The Amuktamtlyads ts a Teluge ep poem by
Krishacdevareys ef the Vijeyansgera Empire in
the 16th ceatary, k sarretes the divine weddiog of
Hlods dety Rengansyeke and Andal, an Alvar saint,
at Srirangem."
39,"Given below are two statements, one is labeled Assertion and other is labelled as Reason (R).
Assertion (A): Babur wrote his memoirs in Turki
Reason (R): Turki was the official language of the Mughal Court.
In the context of the above two statements which one of the following is correct?","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not a correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.","UPSC CSE Pre,",1993.0,e,"xp) Option c U the correct saswer,

‘Tezah-t-Baberi (also called oo Bebwroame) te the
autodlogrephy of Zehiraddin Mubemmed Bobur. Teski was

Ris mother tongue. He wrote his eemotrs, Teruk-I-Babert

bn Tarkd langage. It provides a vivid eccoant of India, He

trankly confeeses bis own felhures without weppressing any
fects. He was also a naturshst and described the flora and
faane of India, Whereas the official langusge of Magbals was

Perales (wot Turkish). Torki was bis mother tongue.

Hence, (A) Ls correct and (R) is tecorrect.

Cem Other Examination Previous. -Yeers’

el Questions. : wet ."
40,"Who among the following had translated Chintamani Bhatt’s Sanskrit text ""Suka Saptat""in Persian and gave it the title ‘Tutinama’?",Abdur Razzak,Amir Khusro,Khwaza Ziya-uddin Nakhshabi,Shihabuddin-al-Umari,U.P.P.C.S (Pre),2022.0,c,"Bap) Option c ls the correct answer,

One of Shalkh Parid’s disciples, Khwaja Ztysuddie

Nabheshedt, translated Chintomen! Bhett’s Saka Septatd

Unto Perelan from Seaskrit and gave Ht the tle Tutl-neme.

He also trenslated Rat-rahssya of Kokapandite loto Persian.

Important Tipe

TetiNawe

© As an anthology of 52 etories, Totinems follows the
‘Barreto: & parrot tbat narrates $2 torles for $2 oights
10 hie owner Kbojests.

> It ls revealed to the reader that Kbujetts’s husband,
Malaunis was a merchant who, whee away on business,
left his wife behind in the company of e mysch ead c
perrot.

+ The Ubustrated manuscript visually aasrates the scene
wherein, Kbujaste kills the mynsh when tt advises ber
egainst heving an illich relaitonshlp.

© The loyal pasrot thea employs an indirect way of
enthrelling ber by narrating 0 fascinating story every
might for 52 consecutive nights, thereby diverting ber
attention from parsulng any edulterous acta,

© The storice were replete with wit and buoy, and the
themes centred around animal fables of of women who
were able te achieve their goals using their virtee or
wit."
41,"Match List-I with List-II and select the correct answer using the codes given below the lists:
List-I                 List-II
A.Ragamala            1.Somanath
B.RasaKaumudi         2.Venkatraman
C.Raga Vibodh         3.Pundrik Vitthal
D.Chaturdandi Prakash 4.Sri Kantha
Code: 
ABCD",3 4 1 2,4 2 1 3,2 3 4 1,1 2 3 4,UPPCS (Pre),2021.0,a,"Bxp) Option ole the correct anewer.

+ Ragamete fa @ Sanskstt work on mote by Pendrik
‘Vitthel, @ fomous singer and composer of Jedlen
matic. He wrote it eccordiag to the lostroctions of Res
Maasingh, end adopted the family-rage-syutem for the
classification of regan.

« Resa Kaucnnd! |s a Sanskrit work on mesic by Sri
Kantha, e contemporary ond otudent ef Pyodrik
‘Vitthal. He wes a court poet of Satruselys. Rasa Kaumed!
Geale with roca! and instrumentel mosic, dance, drama,
ruse and proper conduct of king.

© Rage Vibodb le a Senckrit werk om music by Somanath,
2 resident of Rajeendry. He descrided bis rogas tn
terena of Jenya-Janak o Thata-Rage eystem, He also gare
a description of diffeseut kinds of veenss,

© Cheturdend! Preksshike Le 2 Sentkrit werk on muste
by Venkatraman, an Indice pect, musician, cad

maricoleglst of Coraatle mesic. Chotardand: Prekechike
Introduced « theoretical melakerte system to classify and
organise rages ia the Carnetie music tradition of India,"
42,"The book ‘Fawaid ul Fawad’ is the record of the conversations of Shaikh Nizamuddin Auliya, it was compiled by:;",Amir Hassan Sizzi,Amir Khusro,Ziauddin Barni,Hasan Nizami,U.P.P.C.S.(Pre),2021.0,a,"Exp) Option o ts the correct answer.

The book ‘Fewald-al Fewad’ te the record ef the

conversations of Shalkh Nismeddia Aallpa i was

compiled by Amir Hessen Slazi The book is 0 didactic
classic te the form of recorded conversations, Devold of
supernaiarad elements, Hl provides aseful (nformation about

a large aumber of Safi seins end ‘ama!

' Important Tips

| Facts sbeot Syed Mohsomed Niremeddin Anitiya:

+ Syed Muhammed Nizemeddio Auliya was one of the
| Most fareous Sufi saints (rom the Indian subcontinent
| region.

+ Also hows os Hare! Nizemuddic, and Mshbub-e-
| Tigh! (Retoved of God), he was a Swan! Musllas schober
| and Sufi salot of the Chishel Order,

He belleved the love of God Leptied a love of humanity.
|. He was the fourth Spiritual Saccessor (Khalife) of

Hazrat Khwaje Moinuddin Chishil of Ajmer."
43,Who among the following was the author of the book ‘Kitab-i-Nauras’?,Ibrahim Adil Shah IT,Ali Adil Shah,Quli Qutab Shah,Akbar Il,U.P.P.C.S.(Pre),2020.0,a,"Bxp) Option a Ls the correct onswer.

to tha late eixteeath century, Salta Ibrahim AdO Shab I of
Bijapur creeted Kitab-f-Neuras, comprisig Mfty-nine songs
end seventeen couplets tn Dakhoi Urdu. Zech piece was
sorant for specific ragas, teflecting bis deep love for muste,
He excelled as a dhruped-elngee and played the tambor, #
flute Like Instrument. +"
44,"Consider the following text and arrange them in chronological order:
1.Fatawa-i-Jahandari
z.Prithviraja-Raso
3.Kitab-ul-Hind
4.Tabagat-i-Nasiri
Select the correct answer from the codes given below.","2,3,4,1","3,1,2,4","4,3,1,2","3,2,4,1","U.P.P.C.S, (Pre)",2020.0,d,"Exp) Optice d le the correct aaswer,

The correct sequence fs 3-2-4-1,

+ Kiteb-al- Had was written by Abe Reyben ol-Birusl (o
the year 1030. It wes written In the Arabic language,

© The Prithvira) Rese or Pritbviraje- Reso le an cpk poem
composed by court poet, Chand Bardal It ts besed on the
Ufe of Prithviray IIL. It was written in 1295 after the death
of Pritheira). The poem is written ta Brejbhase,

+ ‘Tebaqet-t-Nesist a medieval text by Minhaj-t-Siraj. The
book Ie a detailed history of the Llamic world written lo
Persten, Tebsqat-}-acsirt was released ia 1260,

+ Potawa-L-fohsodart wes writtra by Ziys-od-din Barani.
Tk was written in to 1357 AD. Ut te written tn Perales
Langusge."
45,"Match List-I with List-II and select the correct answer using the codes given below
the lists:

A.Mulla Daud        1.Chandayan
B.Damodar Kavi      2.Ashiqa
C.Somnath           3.Padmavati Katha
D.Amir Khusro       4.Rag Vibodh
Code: 
ABCD",1 3 2 4,1 3 4 2,2 4 1 3,1 2 3 4,UPPCS (Pre),2019.0,b,"Exp) Option b ks the correct answer,

+ Chandayan ts 0 Hind! Soff rorsance written by Mulla
Da'ud In the 14th ceetury CB. ht sarrates the story of
Lorik, 2 warrior from Biber, and Chonda, © princess
of Govardhas. The poem it coasidered one of the first

works of Basahciase ttersture in Hindi, as it contains &
wection where Casoda expresses ber longing for Lorik
oring bls absence over twelve mrontha,

© Damodar Kavi was a RejasiBanl post who wrote
Padmavat! Kaths ta 1459. 11 laa poem based on the legead
‘of Rand Padminl, the queen of Chittos, whe committed
oclf-Senmolation to avoid being ceptured by Alauddin
Khiljl The poem mentions the Jeabas of Rant Pedeoial
and her companions

+ Somacth was o Telagn Brobmir and a revideat of
Rejabmundry whe wrote «book catitied Regs Vibodh
ba 1610, ft ts an Important text on music that shows the
Hok berween the Karuateke Sangha of the South end
Hindustani Mosic of the North. He osed the terms Tivra,
Tivratera and Tivratama for sveras and Thaet for Mele.
He also described 23 rages and thelr characteriatice,

+ Amlr Kbnero wrote bls famous mesasvi ‘Achiqe’ en
the order of Kbize Khan, the sow of Alauddin Kbiljl.
1k ta a tragic love story of Khisy Khan sod Deval Raal,
the peincese of Gujaret. Khizs Khan (elt to love with
Deval Reni whee be caw ber in a temple and married her
eceretly. However, be was killed by his brother Quibeddia
Mubarak Shab, who slo wanted to marry Deval Real,
Deval Reni committed suicide by fumpiag into a well."
46,Which of the following is not correctly matched?,Tabaqat-i-Nasiri : Minhaj-i-Siraj-Juzjani,,Tuglaq Nama : Ibn Batuta,Humayun Nama : Gulbadan Begum,UPPCS (Pre),2019.0,c,"Rxp) Option cis the correct answer.

Tughiog Noma (Beck of the Tughisqs) - IN wes written by

Ault Khowse. I te historic masnavi (or por) about the

feign of Ghiyasoddio Tughlaq and other Tughlag rulers.

Iemportant Tips

c Tabeqat-t Nasiri ~ i was written by Micha}-!-Sirs)
Jurjand and completed le 1260. I ts named after Suen
Nestr-ud-Dia. tt Le on eladorsee history of the Islamic
world written ia Persian,

+ Tertkb-t-Firorshahi - owas written by Zisvddia
Garanl. He was a bistortcal aod @ political thinker
who lived La Tada during the reiga of Mohammad bin
Tughleg cod Firux Shah.

c Humayun Nems- ft wes written by Gol Baden Begum.
‘The book provides 0 detalled eccovat of the life of
Mughal Empire."
47,"Given below are two statements, one is labelled as Assertion and the other as Reason (R).
Assertion (A): Many Sanskrit works on music were translated into Persian during the medieval period.
Reason (R): The early Chisti Sufis were fond of musical assemblies called, ‘sama’.
Select the correct answer from the codes given below:","Both (A) and (R) are true, and (R) is correct explanation of (A).","Both (A) and (R) are true, and (R) is notthe correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S.(Pre),2018.0,b,"Exp) Option b is the cocrect saswer,

Both and (R) ace trac, and (R} ls met the correct explanation

ef (a).

Assertion Ls correct: Many Sensksk works on muslc were

teanateted Lato Persian daring the medieval pertod, especially

ander the patroasge of Emperor Akber (1556-1605), who
was @ great lover of Literatace ond art. Some of the Senskrit

‘works that were trenaleted Into Persian were:

© Sangeet Retaekar by Sherngeders, translated by Mulla
Abdel Qadir Badaunl coder the tite of MiNah-ul-Serood.

c Sangeet Parijat by Ahobal Pandit, translated by Mirza
Raushan Zamir under the title of Tarjuma-i-Parijat
Khanah.

Reason is correct: The early Chishti Sufis were fond of
musical assemblies called ‘sama’, which means ‘listening’ in
Arabic Sama was a form of devotional music that involved
singing, playing instruments, and dancing as a way of
connecting with God. The Chishti Sufis believed that music
could induce a state of ecstasy (wajd) in which the listener
could experience the divine presence.
However, (R) is not the correct explanation of (A). While
both statements are true independently, there is no direct
causal relationship between the translation of Sanskrit works
on music into Persian and the Sufi practice of ‘sama’? The
two phenomena occurred in different cultural and historical
contexts, even though they happened during the same
medieval period.

The reason for translating many Sanskrit works on music

into Persian during the medieval period were:

» The interest and curiosity of Akbar and his courtiers
in learning about the diverse cultures and traditions
of India, including Hinduism, Jainism, Buddhism, and
Sikhism

« The influence and guidance of Akbar’s chief minister Abul
Fazl, who was a scholar and historian and encouraged
Akbar to patronize translations of various works from
different languages into Persian

e The availability and skill of many translators, poets,
and scholars who were well-versed in both Sanskrit and
Persian and could render the original texts into elegant
and lucid Persian prose or verse"
