q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
17,Ibadat Khana at Fatehpur Sikri was,The mosque for the use of Royal Family,Akbar’s private chamber prayer,The hall in which Akbar held discussions with scholars of various religions.,The room in which the nobles belonging to different religions gathered to discuss religious affairs.,UPSC CSE Pre.,2014,,
18,What was the immediate reason for Ahmad Shah Abdali to invade India and fight the Third Battle of Panipat?,He wanted to avenge the expulsion of his Viceroy Timur Shah from Lahore by Marathas,The frustrated Governor of Jalandhar Adina Beg Khan invited him to invade Punjab,"He wanted to punish Mughal administration for non-payment of the revenues of the Chahar Mahal (Gujarat,Aurangabad, Sialkot, and Pasrur)",He wanted to annex all the fertile plains of Punjab up to the borders of Delhi to his kingdom,UPSC CSE Pre,2010,,
19,When Raja Wodeyar founded the Kingdom of Mysore who was the ruler of the Vijayanagara Empire?,Sadasiva,Tirumala,Ranga-II,Venkata-II,UPSC CSE Pre,2006,,
20,How did the dynasty of Nizam Shahi of Ahmadnagar come to an end?,Ahmadnagar was annexed to Mughal empire and Hussain Shah was consigned to life imprisonment,Mughal troops destroyed Daulatabad fort and killed Nizam-ul-Mulk of Ahmadnagar,Fateh Khan usurped the throne from Nizam-ul-Mulk,Malik Ambar was defeated in a battle with Mughals in 1631 and the entire royal family was killed by the Mughal troops,UPSC CSE Pre,2004,,
21,"Consider the following Statements:

1. Narasimha Saluva ended the Sangama dynasty and seized the throne for himself and started the Saluva dynasty
2. Vira Narasimha deposed the last Saluva ruler and seized the throne for himself
3. Vira Narasimha was succeeded by his younger brother, Krishnadeva Raya
4. Krishnadeva Raya was succeeded by his half-brother, Achyuta Raya

Which of the statements given above are correct?","1,2 and 3","2,3 and 4",1 and 4,"1,2, 3 and 4",UPSC CSE Pre,2004,,
22,How did the Mughal Emperor Jahandar Shah’s reign come to an early end?,He was deposed by his Wazir,He died due to slip while climbing down steps,He was defeated by his nephew in a battle,He died of sickness due to too much consumption of wine.,UPSC CSE Pre,2003,,
23,"Alam Khan, one of those who invited Babur to invade India was:",An uncle of Ibrahim Lodi and a pretender to the throne of Delhi,A cousin of Ibrahim Lodi who was ill-treated and expelled from the country,‘The father of Dilawar Khan to whom cruel treatment was meted out by Ibrahim Lodi,A high official in Punjab province who was very much discontented with Ibrahim Lodi’s treatment to his tribe,UPSC CSE Pre,2003,,
24,The battle of Dharmat was fought between:,Muhammad Ghori and Jai Chand,Babur and Afghans,Aurangzeb and Dara Shukoh,Ahmad Shah Durrani and the Marathas,UPSC CSF Pre,2003,,
25,The motive behind Shah Jahan’s Ballkh campaign was to:,Secure a friendly ruler in Balkh and Badakshan which bordered Kabul,"Conquer Samarqand and Ferghana, the Mughal homelands",Fix the Mughal frontier on the ‘scientific line’ the Amu Daria,Expand the Mughal Empire beyond the sub-continent,UPSC CSE Pre,2002,,
26,Which among the following ports was called Babul Mecca (Gate of Mecca) during the Mughal Period?,Calicut,Bharuch,Cambay,Surat,UPSC CSE Pre,2001,,
27,Which one of the following Muslim rulers was hailed as the ‘Jagadgurw’ by his Muslim subject because of his belief in secularism?,Hussain Shah,Zain-ul-Abidin,Ibrahim Adil Shah,Mahmud I,UPSC CSE Pre,2000,,
28,Who among the following streamlined the Maratha administration after Shambhaji?,Rajaram,Balaji Viswanath,Ganga Bai,Nanaji Deshmukh,UPSC CSE Pre,2000,,
29,"Match list-I with list-II and select the correct answer using the codes given below the lists: 
List-I          List-II
A.Iqtas         1.Marathas
B.Jagir         2.Delhi Sulnate
C.Amaran        3.Mughals
D.Mokasa        4.Vijayanagar
Code:
A B C D",3 2 1 4,2 3 4 1,2 3 1 4,3 2 4 1,UPSC CSE Pre,2000,,
30,"Consider the following statements:
Assertion (A): During the time of Akbar, for every ten cavalrymen, the mansabdars had to maintain twenty horses.
Reason (R): Horses had to be rested while on March and replacements were necessary in times of way.
Code:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not a correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",UPSC CSE Pre,1999,a,"Exp) Option a is the correct answer.

Both (A) and (R) are true, and (i) is the correct explanation
of (A).

Mansabdars had to maintain a certain number of horses,
elephants, camels, mules, and carts according to their rank.
The ratio of horses to cavalrymen was 2:1, which means that
for every ten cavalrymen, the Mansabdars bad to maintain
twenty horses. ‘The reason for this was that horses had to be
rested while on march and replacements were necessary in
times of war,"
31,"Consider the following statements:
Al.adis were those troopers who:
1. offered their services singly
2. did not attach themselves to any chief
3. had the emperor as their immediate
coloncl
4. attached themselves to Mirzas
Which of these statements is/are correct?","1, 3 and 4 are correct","1,2 and 3 are correct",2 and 3 are correct,1 and 4 are correct,UPSC CSE Pre,1998,b,"Exp) Option b is the correct answer,

Statement 1 is correct: Ahadis were troopers who offered
their services individually, rather than being part of a larger
group or organization.

Statement 2 is correct: Ahadis did not align themselves with
any specific chief or leader. They operated independently.
Statement 3 is correct: Ahadis directly served the emperor
and had the ruler as their immeciate commanding officer.
Statement 4 is incorrect: Ahadis did not attach themselves
to Mirzas. They were not affiliated with specific nobles or
Mirzas.

Important Tips

e Ahadis, the emperor's personal household troops, wer

directly enlisted by the Mughal ruler, often from hi
| own kin and tribal members.
_s With their distinct payroll and paymaster, they receives
| higher wages than regular horsemen.

e These elite soldiers, also engaged in administrativ
roles within the palace, epitomized the concept o
gentlemen soldiers."
32,The loss of Qandahar was a big blow to the Mughal empire from the viewpoint of;,Natural resources,Buffer territory,Communication,Strategic stronghold,UPSC CSE Pre,1998,d,"Exp) Option d is the correct answer.

Qandahar was a strategic stronghold for the Mughal Empiz
Tt was located on the trade route between India and Centr
Asia. It was also a gateway to the Indian subcontinent fro
the west. ‘The loss of Qandahar to the Safavid Empire in 16:
was a major blow to the Mughal Empire. In 1638, Shah Jaha
reclaimed Qandahar from the Iranians; nowever, despi
three campaigns, he lost it once again in 1649. It weakene
the Mughal position in Central Asia and made it mo.
difficult to control the trade routes. It also made it easier fe
the Safavids to launch invasions of the Mughal Empire."
33,The member of Shivaji’s Ashtapradhan who looked after foreign affairs was:,Peshwa,Sachiv,Pandit Rao,Sumant,UPSC CSE Pre,1998,d,"Exp) Option d is the correct answer.

Sumant looked after foreign affairs during Shivaj
administration. He was the member of Ashtapradhan. F
discussed questions of war and peace with the king ar
advised him on matters relating to foreign affairs. His du
was lo keep himself in touch with other states."
34,"In the given map, the shaded part represents Akbar’s empire at a certain juncture, 'A'stands for an independent state and ‘B’ marks the site of city. Which one of the following alternative gives all correct information? 
****MAP****","Akbar in 1557 : Golconda, Lahore","Akbar in 1557: Khandesh, Multan","Akbar in 1605 : Gondwana, Multan","Akbar in 1605 : Gondwana, Lahore",UPSC CSE Pre,1998,d,"Exp) Option d is the correct answer.

The shaded part represents Akbar’s territory at the time «
his death iu 1605, A stand for Gondwana an independe)
country while B marks the city of Lahore.

The map shows the extent of Akbar’s empire at the time |
his death in 1605. Akbar was the third and most powerf
Mughal emperor, who ruled over most of northern an
central India, as well as parts of Afghanistan and Baluchista
He was known for his military conquests, administratiy
reforms, religious tolerance, and cultural patronage

The shaded part in the map represents the territory that w:
directly under Akbar’s control. The unshaded part was eith
independent or allied with the Mughals. Region A stands fc
Gondwana, which was a region in central India inhabit
by the Gond people. ‘hey resisted the Mughal expansic
and maintained their independence under their own ruler
Region B marks the site of Lahore, which was a city |
southern Punjab, Pakistan. It was an important cultural an
religious centre, and the site of several Sufi shrines."
35,The head of the military department under the recognized central machinery of administration during Akbar’s reign was:,Diwan,Mir Bakshi,Mir Saman,Bakshi,UPSC CSE Pre,1997,b,"Exp) Option b is the correct answer.

Mir Bakshi was the head of the military department und.
the recognised central machinery of administration durin

Akbar’s reign. He was appointed from among the leading

nobles of the court, and was responsible for recruiting,

paying, and supervising the army. He also acted as the chief
of intelligence and reported directly to the emperor."
36,The medievai Indian writers who refers to the discovery of America is:,Malik Muhammad Jaisi,Amir Khusrau,Raskhan,Abul Fazl,UPSC CSE Pre,1997,d,"Exp) Option d is the correct answer.

Abul Faz] was a Persian historian and one of the most
important writers in the history of the Mughal period in
| India. He lived in the 16th century and served as the Grand

vizier of the Mughal emperor Akbar. Abul Fazl was a curious

and learned scholar, who had a keen interest in various
cultures and religions. He was aware of the discovery
>, of America by Christopher Columbus in 1492, and he
1] mentioned it in his book, Ain-i-Akbari.
; Important Tips
a ,2 Abul Fazl was a Persian historian and one of the most
e important writers in the history of the Mughal period
j in India.
C
€ ° He lived in the 16th century and served as the grand |
¢ vizier of the Mughal emperor Akbar.
* He wrote the Akbarnama, the official history of Akbar’s
reign in three volumes, and a Persian translation of the
Bible.
¢ He was also one of the Nine Jewels (Hindi: Navaratnas)
s of Akbar’s royal court and the brother of Faizi, the poet
€ laureate of Emperor Akbar"
37,The ‘Modi script’ was employed in the documents of the:,Wodeyars,Zamorins,Hoysalas,Marathas,UPSC CSE Pre,1995,d,"Exp) Option dis the correct answer.

Modi was a script used to write Marathi. All administrative

paperwork of the Peshwas was carried out in the Modi

script. It was mainly used in maintaining the revenue and
f administrative records. Modi script is also known as Mudiya.
Today, Marathi is written only in Devanagri."
38,The Mansabdari System introduced by Akbar was borrowed from the system followed in-,Afghanistan,Turkey,Mongolia,Persia,UPSC CSE Pre,1994,c,"7 Exp) Option c is the correct answer.
d The Mansabdari system was a system of ranking and
. salary for the military and civil officers of the Mughal
e administration, It was introduced by Akbar in 1571 as a
reform of the jagirdari system.
$ The Mansabdari system was not an original invention of
r Akbar, but it was influenced by the Central Asian institution
r of the same name. The werd mansab is of Arabic origin
d meaning rank or position. The system originated from the
1 Mongol ruler Chinggis Khan, who organized his army on
a decimal basis. The lowest unit of his army was ten, and the
a highest ten thousand (toman) whose commander was known
| as ‘Khan’."
39,Which one of the following is a monument constructed by Shershah?,Qila-i-Kuhna at Delhi,Atala Masjid at Jaunpur,Bara Sona Masjid at Gaur,Quwwat-ul-Islam Mosque at Delhi,UPSC CSE Pre,1993,a,"Exp) Option a is the correct answer.

Qila-i-Kuhna Masjid, also known as the “Mosque of the
r Old Fort,” was constructed by Sher Shah Suri in 1541 as a
y congregational mosque. It stands as a remarkable structure

etongside Sher Mandal as the only two surviving remuants
of Delhi's Puraoa Qile, # project Initiated by Sher Shah
bue ultimatcly completed ducing Humayuo’s reigo.. The
mosque boasts a 5 bay structure with 3 domes, showcasing
architectural influences from the earlier periods of Sher Shah
Surl, as well as the Sayyids and the Lodle under Humayun’s
direction, : tee we
. Important Tips . .
In 1408 A.D., Ibrahins Shah Sharki constructed the Atala
Masjid, which latee became the model for other mosques
in Jaunpur. Coe, 0
The Batadarwazt or Bara Sone Masjid, renowned as the
large golden mosque, was built by Sultan Nusrat Shah in | °
1526 and remains the largest stending dullding In Gaur. -
As for the Quewat-wl-Islam Mosque, it was sponsored by
Quib-sd-din Aibak, the founder of the Mamluk dyassty,
and stands as the earlicst extant mosque bullt by the Deiht
Sukant. - pos to"
40,"Given below are two statements, one is labeled Assertion and other is labelled as Reason (R).
Assertion (A): Babur wrote his memoirs in Turki.
Reason (R): Turki was the official language of the Mughal Court.
In the context of the above two statements which one of the following is correct?","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not a correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",UPSC CSE Pre,1993,c,"Exp) Option cle the correct answer, an
Tuzuk-l-Baburt {also called as. Baburnama) .|s. the
autobiography of Zahicuddin Muhammad Babur. Turki was
his mother tongue. He wrote bis memoirs, Tazuk-t-Babori
Jo Turki language. K provides a vivid account of Indie. He
frankly confesses his own failures without suppressing any
facts. He was also o naturalist and described the flora and
fauna of India, Whereas the official language of Mughals was
Perstan (not Turkish). Turki was bls mother tongue. Hence,
(A) is correct and (R) Is incorrect. .
Ee 4; Other vy Bzamination Previous SNears’
Sued Questions S277 ee EEG"
41,"Which Mughal ruler patronaged Kavindra Acharya Saraswati of Banaras, a great scholar of Sanskrit and Hindi?",Jahangir,Humayun,Shahjahan,Akbar,UPPCS (Pre),2022,c,"Exp) Optloa c is the correct answer,
‘The Mughal ruler who patronized Kevindee Acharya
Saraswati of Banaras, e great scholar of Semskeit and Hindi,
wat Shah Jahan. Kavindes Acharya Saraswati was @ 17th-
century Sanskeit scholar and poet who was born in Banaras,
He was given the title of Kavindrecharya by the emperor.
Kavindra Acherya Seraswatt was a prolific weiter end wrote
several books on Sauskeit grammar, philosophy, and poetry.
He was also 9 skilled musician and composed several songs
bn Sanskrit. oe ee
, Importent Tips. me
Apart from Kavindra Acharya, Pandit Jagatnath also
received royal patconage fromm the Shab Jehan. Pandit
Jagannath composed Ras Gangadhar and Ganga Lobirl.
In the cra of Sheb Jahan, historical works such as
Padshohnama, Turkish-1-Shah Jabanl, and Shah Jahan
Namah were crafted. . :"
42,From which place Jayata and Kumpa were associated who impressed Shershah with their valour?,Malwa,Mewar,Bundelkhand,Marwar,UPPCS (Pre),2022,d,"Exp) Optlond Isthecorcectanswer, 2,

_ Jeyata and Kempa were brave Rafput Generals in Indian
history. Iu the Battle of Sammel In 1544, they fearlessly
fought against an Afghan army of 80,000 with just $,000
soldiers, without help from thelr king, Maldeo Rathore. The
battle was known for its “Do o¢ De” spirit, fought not jest
for conquest but for the people. Impressed by thelr courage,
Sher Shah Surt praised them, saying, “I had given away the
country of Delhi for e handful of millets,” as he tricked
Maldeo into leaving hit commanders behind, This thowed
the Rajputs’ unylelding spirit ageinst overwhelming odds,"
43,"Consider the following events of the reign of Aurangzeb and arrange them in chronological order:

1. Battle of Deorai
2. Defeat of Shuja near Banaras
3. Battle of Samugarh
4. Victory at Dharmat

Select the correct answer from the code given below.","1,3,4 and 2","4,2,1 and 3","2,4,3 and 1","3,4,2 and 1",UPPCS (Pre),2022,c,"Exp) Option c isthe correct answer -

The correct chronological ordee of the events iss. -
2, Defeat of Shuja near Banaras (24 Feb 1658)
4. Victory at Dharmat (15 April 1658) © > : .
3. Battle of Semugach (29 May 1658) .
1. Battle of Deoral (12-14 Apeil 1659) :
. Important Tipe :
Defeat of Sbufa near Banaras (24th Feb 1658); The Battle
of Bsbadurpar, taking place on February 24, 1658, was &
crucial event in the Mughal War of Succession following
Shah jahdu's iliness. His sons, including Dare Shikoh,
Shah Shuja, Aurangzeb, and Murid Bakhsh, contended for
power. Shab Shaja, then governing Bengal, was defeated
at Bahaducpur near Benarcs by Diri’s son Sclaymic
Shikob, Aurangzed later captured and executed Sulayman,
solidifying his rise to power, Aurangzeb further defeated
Dicé, Murad, and Sheb Shuja, securing his owa rule.
Victory at Dharmat (15th April 1658); This was another
major victory for Aurangzeb In the Mughal succession
straggte. Aurangreb's forces defeated Dara Shikoh’s forces
at Dhasmoat, ond Dasa Sbikoh was fosced to flee. This
victory paved the way for Aurangred to become emperor.
Battle of Semugech (29th May, 1658): It marked &
pivotal moment in the Mughal war of succession. It saw
Dara Shikoh retreating towards Samugath after losing
to Aurangzeb at Dharmat. Aurangreb’s force, marching
extensively, flanked Dara's fortified position slong the
Chambal River, leading to a decisive confrontation during
India’s warm season, . .
Battle of Deoral (April 12-14, 1659): 1 sealed
Aucangzeb’s supremacy as Mughal emperor. Fought against
brother Dard Shikoh, Aurangzeb emerged victorious In
northeastern India. Dard, expecting support from Jaswant
Singh of Marwar, was abandoned and defeated after three
days, leading to his capture and eventual execution."
44,"Given below are two statements, one is labelled as Assertion and other as Reason(R):

Assertion (A): The Mughal Empire was originally a Military State.
Reason (R): The vitality of the development of the Central Government System depended on its military power.

Select the correct answer using the the codes given below:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not a correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre.),2021,a,"Exp) Option a is the correct answer. . .
(Assertion - A) ls teue: The Mughal Empize was indeed
inltially established as a nflitary state. Its foundation was
laid by Babu, a skilled military commander, who used his
milltary prowess to conquer territorics and establish his cule
in the Indian subcontinent, . . .

(Reason ~ R is true and correct explanation of Assertion
- A): The growth and stability of the Mughal central
government were heavily reliant on its military power. The
empire’s expansion and maintenance depended on a strong
and capable military force. This military strength not only
secured territories but also enforced imperial authority,
maintained law and order, and sustained revenue collection,
all crucial aspects of effective governance. The central
government's ability to control its vast and diverse territories
hinged upon its military capabilities."
45,"Arrange the following foreign travellers in chronological order of their arrival in India:

I. William Hawkins
II. Ralph Fitch
III. Sir Thomas Roe
IV. Nicholsa Dawnton

Select the correct answer using the codes given below.","II,I,IV and III","IV,II,I and III","I,III,II and IV","III,II,IV and I",U.P.P.C.S. (Pre.),2021,a,"Exp) Option a is the correct answer.
Ralph Fitch (11) - He arrived in India in 1583. Ralph Fitch, a
distinguished merchant hailing from London, stands among
the pioneering British explorers and traders who ventured to
Mesopotamia, the Persian Gulf, the Indian Ocean, as well
as regions of South Asia and Southeast Asia. He came to
India during the reign of Akbar.
William Hawkins (J) - He arrived in India in 1608. He was
the first ambassador of the East India Company to the
Mughal Empire. He came during the reign of Jahangir.
Nicholsa Downton (IV) - He was an English admiral who
visited India in 1612. He was sent by the East India Company
to negotiate a trade treaty with the Mughal Empire. He came
to India during the reign of Jahangir.
Sir Thomas Roe (III) - He arrived in India in 1615. He was
the second ambassador of the East India Company to the
Mughal Empire. He was instrumental in negotiating a trade
treaty with the Mughal Empire, which allowed the East India
Company to establish a permanent trading presence in India.
He came to India during the reign of Jahangir."
46,"Which of the following Mughal period canals, was constructed by restoring the Rajabwah of Firoz Shah?",Shekhnu-Ni,Shahab Nahr,Nahr-i-Bihisht,Nahr-i-Agra,UPPCS (Pre),2020,b,"Exp) Option b is the correct answer.
Shahab Nahr was constructed by restoring the Rajabwah
of Firoz Shah. The canal carried water from the Yamuna
River and extended from the river Satluj to Jhajjar. It was
part of a network of canals that served to bring water to
various regions during the Mughal period.
Important Tips |
Firoz Shah Tughlaq (1351 AD-1388 AD):
Firoz Shah Tughlaq undertook the restoration of canals |
and introduced the Haque-i-Sharb or Hasil-i-Sharb, a
_ Water tax system. ‘
He is considered the “father of the irrigation system in
India” for his efforts in channelizing rivers and providing
water through canals to various regions of the country.
His reign witnessed the segregation of Jizya as a distinct
tax, alongside other taxes like Kharaj, Zakat, and Khams, |
all based on Quranic principles. :
Firoz Shah’s contributions extended to social welfare with |
the establishment of a hospital in Delhi, earning him the
title Darul-Shifa.
Notably, he authored the Tarikh-i-Feroshahi and
' Fatwa-i-Jahangiri, reflecting his interests in historical
documentation and legal matters. |"
47,"Match list-I with list-II and select the correct answer using the codes given below the lists:
List-I(Officer)      List-II(Assign Duty)
A.Diwan i Tan         (1)Look after the office
B.Mustarfi            (2)Maintained a proper list of main events and Firmans
C.Mushrif             (3)Look after the Jagir and salaries
D.Vakianvis           (4)Examine the income expenditure of State
Code: 
A B C D",2 4 1 3,3 4 1 2,1 3 2 4,4 1 2 3,UPPCS (Pre),2020,b,"Exp) Option b is the correct answer.
The match between List I and List His as follows:
A. Diwan-i-‘Tan - 3 (Look after the Jagir and Salaries)
B. Mustavfi - 4 (Examine the income expenditure of State)
C. Mushrif - 1 (Look after the office)
D. Vakianvis - 2 (Maintained a proper list of main events
and firmans)
Important Tips |
¢ Diwan-i-Tan: The Diwan-i-Tan was responsible
for overseeing jagirs (land grants) and disbursing
salaries. Diwan-i-Tan was also the custodian of
| the wages and carers. It managed financial matters,
ensuring proper distribution of wages and benefits,
contributing to stability of Mughal administration.
° Mustavfi: The Mustavfi played a pivotal role in Mughal
| administration by scrutinizing state finances. As the
chief auditor, they meticulously assessed income
and expenditure, ensuring financial transparency
and accountability within the empire’s financial
management system.
¢ Mushrif: The Mushrif held the position of
| chief accountant in the Mughal Administration.
Responsible for managing financial records, they
oversaw the office’s functioning, ensuring accurate
bookkeeping and effective organization of financial
matters.
« Vakianvis: The Vakianvis held the role of a news
| writer in Mughal times. They maintained records
of significant events and firmans, informing the
central authority about state news, contributing to
effective communication and governance across the
empire."
48,"Which of the following statement/s is/are correct?

1. Akbar tried to fix the age of marriage for boys and girls.
2. Akbar gave freedom to girls to marry at their own will and not under parental pressure.

Select the correct answer using the codes given below.

Codes:",Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,U.P.P.C.S. (Pre),2020,c,"Exp) Option c is the correct answer.
Statement 1 is correct: Akbar tried to fix the age of
marriage for boys and girls, as part of his social reforms.
He most probably raised the minimum age for marriage to 14
for girls and 16 for boys. He also prohibited child marriage
and encouraged widow remarriage
Statement 2 is correct: Akbar granted freedom to girls to
marry at their own will and not under parental pressure,
giving them more autonomy in marriage decisions. These
reforms were part of Akbar’s efforts to bring about social
harmony and improve the status of women in his empire."
49,Which of the following is not correcty matched?,Dam     Copper Coin,Desai   Revenue Collector,Diwan   Revenue Chief of a province,Jarib   Type Of Tax,UPPCS (Pre),2019,d,"Exp) Option d is the correct answer
Pair ais correct: A Dam was a small Indian copper coin. The
coin was first introduced by Sher Shah Suri.
Pair b is correct: Desai was a title given to feudal lords,
revenue collectors, and others who were given a village
or group of villages, in North Karnataka, Gujarat, and
Maharashtra.

Pair c is correct: A central finance department, chicf

administrative office, or regional governing body. They

belonged to the elite families in the history of Mughal

and post-Mughal India. They held high posts within the

government,

Pair d is incorrect: Jarib: The Jarib is a traditional unit

of land measurement in the Middle East and southwestern

Asia. It is a unit of area used to measure land holdings. In

India, Sher Shah started the application of ‘Jarib’ for land

measurement."
50,"Given below are two statements, one labelled as Assertion and the other as Reason (R):
Asserstion (A): Akbar, like Shershah, tried to regulate the currency of the state.
Reason (R): As in Shershah’s currency, the chief copper coin of Akbar’s time was the Dam.

Select the correct answer from the codes given below:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not a correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre),2019,c,"Exp) Option c is the correct answer.

Assertion (A) is true: During Akbar’s reign, he made

substantial efforts to regulate the currency of the Mughial

Empire, drawing inspiration from Shershah’s currency

reforms. Akbar’s currency reforms centralized and

standardized the minting process through Khwaja Abdus

Samad Shirazi’s appointment. Provincial mints were

reorganized for uniformity. Diverse gold, silver, and copper

coins were issued, noted for purity and inscriptions. Akbar’s

commitment to quality, resisting debasement, left a lasting

impact, ensuring stability and trust in Mughal currency.

Reason (R) is false: The chief copper coin of Akbar’s time

was not the Dam, but rather the fanka or Neem ‘lanka

Akbar Shahi. The Akbar dam was introduced later and was

associated with his system of weights. Akbar’s copper coins

featured his name, Hahi years, and month of issue."
51,"Arrange the following battles in chronological order and select the correct answer from the codes given below:
I. Battle of Sarnal
II. Battle of Bilgram
Ill. Battle of Dharmat
IV. Battle of Jajau
Codes:","II, I, III, IV","II, III, IV, I","III, II, I, IV","III, I, II, IV",U.P.P.C.S. (Pre),2019,a,"Exp) Option a is the correct answer

The carrect chronological order of the battles is:

Il. Battie of Bilgram (1540)

I. Battle of Sarna] (1572)

III. Battle of Dharmat (1658)

1V, Battle of Jajau (1707)

| Important Tips |
Battle of Bilgram (1540): This battle was fought between |
Humayun and Sher Shah Suri at Kannauj on 17 may 1540. |
Sher Shah Suri defeated Humayun and captured Delhi, |

| ending the first reign of the Mughal Empire. |
Battle of Sarnal (1372): Akbar’s forces defeated [brahim |
Mirza and Gujarati nobles, securing Mughal control. |
Ibrahim fied, and Akbar pursued to Surat. |
Battle of Dharmat (1658): This battle was fought between |
Aurangzeb, the third Mughal emperor, and Dara Shikoh, |

j his eldest brother. Aurangzeb won the battle and Dara

| Shikoh was captured. This battle was a major turning |
point in the Mughal succession struggle, as it paved the |

| way for Aurangzcb to become emperor,
Batile of Jajau (1707): Mughal princes Bahadur Shah |
I and Muhammad Azam Shah clashed, resulting from
Aurangzeb’s ambiguous succession will. Azam Shah’s
defeat led to Bahadur Shah I’s coronation. |"
