q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
31,"With reference to the Satavahana Rulers, which of the following statements is/are true?

1.The Satavahana Kings were the nurtures of Prakrit language.
2.Public aspect of the arts got more encouragement during the Satavahana period.

Select the correct answer using the codes given below:",Only 1,Both 1 and 2,Only 2,Neither 1 nor 2,U.P.P.C.S.(Pre.),2021,b,"Exp) Option b is the correct answer.

Statement I is correct: The Satavahana rulers were known to
patronize and support the development of Prakrit language,
which was widely spoken and used in administrative and
literary contexts during their rule. Satavahana’s official
language was Prakrit and its script was Brahmi. Hala,
the seventeenth king of the Satavahanas compiled
‘Gathasaptashat?. Gunadhya, a minister in his court wrote
a text ‘Brihatkatha ‘io Prakrit language named Paishachi.
Statement 2 is correct: The Satavahanas were notable for
their patronage of art and culture. Public aspects of arts,
such as the creation of rock-cut caves, stupas, and sculptures,
received significant encouragement during their reign. This
period saw the construction of the five gateways at Sanchi,
the rock-cut Chaitya-halls of Bhaja, Karle, Nasik, and
Kanheri, as well as the stupas at Amaravati, Bhattiprolu,
Goli, and Ghantasala. Prominent Satavahana sculptures
include Bhaja Vihara’s intricate pillars, Amaravati’s
Enlightened Buddha depiction, and Nagarjunakonda’s
enduring Amaravati sculptural tradition."
32,"Consider the following statements and select the cerrect answer using the codes given below:

1.The Sun temple of Multan is mentioned by Hiuen Tsang, Abuzaiyid, Al-Masudi and Alberuni.
2.The pilgrimage to Sambapur was associated with Sun worship.
Codes:",Only 1 is correct,Only 2 is correct,Both 1 and 2 are correct,Neither 1 nor 2 is correct,U.P.P.C.S.(Pre),2020,c,"Exp) Option c is the correct answer.

Statement 1 is correct: The Sun temple of Multan was a
famous Hindu temple dedicated to Surya, the god of the
sun. {t was mentioned by several travelers and historians,
such as Hiuen Tsang, Abuzaiyid, Al-Masudi and Alberuni.
Hiuen Tsang described the temple as very magnificent and
profusely decorated, with a golden image of Surya adorned
with precious gems. The temple was also a place of charity
and pilgrimage, attracting devotees from all over India and
beyond.

Statement 2 is correct: The pilgrimage to Sambapur was
associated with Sun worship, according to the Samba
Purana, an ancient Hindu text dedicated to Surya. The
Samba purana narrates the story of samba, a son of krishna
cured by Lord Surya, from leprosy curse of sage Durvasa."
33,The rulers of which of the following dynasty have been called as ‘Shriparvatiya’ in Puranas?,Vakatakas,Ikshvakus,Shaks,Kharvelas,U.P.P.C.S (Pre),2020,b,"Exp) Option b is the correct answer.

Ikshvaku dynasty, also known as the Andhra Ikshvakus
or Ikshvakus of Vijayapuri ruied in the Krislina River
valley of India, with their capital at Vijayapuri (modern

Nagarjunakonda), during the 3rd and 4th centuries CE. The

Kkshvaku kings were Shaivites and performed Vedic rites,

but Buddhism also flourished during their reign. The rulers

of this dynasty have been referred to as ‘Shriparvatiya’ in
the Matsya Purana. This is substantiated by the historical
record of Vijayapuri’s ruler, Ehuvala Chamtamula, which
traces his lineage back to the renowned Ikshvaku dynasty."
34,"Match list-I with list-II and select the correct answer using the codes given below the lists:

List-I                                                  List-ll

(Samudra Gupta’s Contemporary Kings of South India)  (Their Kingdoms)
A.Dhananjaya                                         1.Avamukta
B.Nilaraja                                           2.Kanchi
C.Ugrasena                                           3.Kusthalpura
D.Vishnugopa                                         4.Palaka

Code: 
A B C D",1 2 3 4,2 1 4 3,3 1 4 2,4 3 2 1,U.P.P.C.S.(Pre),2018,c,"Exp) Option c is the correct answer.

Samudragupta’s contemporary kings of South India and

their kingdoms were as follows:

e Dhananjaya ruled over Kusthalpura, which was located
in the present-day Maharashtra.

¢ Nilaraja ruled over Avamukta, which was located in
Southern India

e Ugrasena ruled over Palaka, which was located in the
Nellore region of Andhra Pradesh.

e Vishnugopa ruled over Kanchi, which was the capital of
the Pallava kingdom in the present-day Tamil Nadu

These kings were defeated by Samudragupta during his south

Indian campaign, and later released by him as his tributaries"
35,"Match list-I with list-II and select the correct answer using the codes given below the lists:
List-I                           List-II
A.Gandhar Art                    1.Menander
B.Junagarh Rock inscription      2.Patika
C.Milindapanho                   3.Kushanas
D.Taxila inscription             4.Rudradaman

Code: 
A B C D",1 3 4 2,2 4 3 1,3 4 1 2,2 1 3 4,UPPCS (Pre),2017,c,"Exp) Option c is the correct answer.

o Gandhara art flourished during the Kushan peried,
blending Greek and Indian influences. It produced
Buddha images and reliefs, with a focus on Mahayana
Buddhism. Prominent sites like Taxila and Bamiyan
displayed this art, which thrived in present-day
Afghanistan and North-Western India from Ist century
BCE to 4th century CE.

e The Junagarh Rock inscription, attributed to
Rudradaman JI, is an ancient inscription found in
Junagarh, Gujarat. It records Rudradaiman’s achievements,
patronage, and his military success, including his
restoration of sudharsan dam and his victory over the
Satavahanas.

e The Milindapanha is a Buddhist text composed in Pali,
featuring a dialogue between King Menander (Milinda)
and Nagasena, a Buddhist monk. It explores various
philosophical and ethica: topics, blending Buddhism and
Hellenistic thought.

« ‘The Taxila copper-plate, also called the Moga
inscription or the Patika copper-plate is a notable
archaeological artifact found im the area of Taxiia,
Gandhara, in modern Pakistan. Written in Kharosthi
script, it records Indo-Scythian ruler Patika Kusulaka’s
dedication of a Buddha relic te a monastery, showing
their practice of Buddhism. Mention of Patika Kusulaka
also appears in the Mathura lion capital inscription."
36,Who amongst the following had defeated Huna ruler Mihirakula?,Budhagupta,Yashodharman,Shashanka,Prabhakaravardhana,U.P.P.C.S.(Pre),2016,b,"Exp) Option b is the correct answer.

Mihirakula was the second and last Huna king of India,

who ruled from his capital of Sagala (modern-day Sialkot,

Pakistan). He was a patron of Shaivism and was recorded

as being cxtremely cruel and anti-Buddhist. He invaded

eastern kingdoms including Magadha, but was defeated
and captured by the Gupta king Narasimhagupta Baladitya.

However, he was spared by the intervention of Baladitya’s

mother and allowed to return to his kingdom. In 528 CE,

he suffered another defeat in the Battle of Sondani by the

Aulikara king Yashodharman of Malwa, who along with the

Gupta emperor, formed a coalition of Indian princes against

the Huna invasion. This defeat resulted in the loss of Huna

possessions in the Punjab and north India by 542 CE. The

Huna power declined after Mihirakula’s reign."
37,‘Prithivyah Pratham Veer’ was the title of-,Samudragupta,Rajendra-I,Amoghavarsha,Gautamiputra Shatkarni,U.P.P.C.S.(Pre),2016,a,"Exp) Option a is the correct answer.

Samudragupta was a great conqueror who carried his

sword throughout the length and breadth of India and built

the mighty Gupta Empire. He annexed a large number of
kingdoms in Aryavarta to the Gupta Empire and defeated at
least twelve kings of South India. He was given the title of

‘Prithivyah Pratham Veer’, which means the first powerful

man of the world. At a pillar in Allahabad, the details of the

wars he fought are described."
38,The first Gupta ruler to assume the title of ‘Parama Bhagawat’ was-,Chandragupta-I,Samudragupta,Chandragupta-II,Ramagupta,U.P.P.C.S.(Pre),2015,c,"Exp) Option c is the correct answez.

Chandragupta-II was the third emperor of the Gupta dynasty

and the son of Samudragupta. He ruled from c. 380 toc. 415

CE and expanded the Gupta Empire to its greatest extent. He

was also a patron of art, literature, and religion. He adopted

the title of ‘Parama Bhagawat’, which means ‘the supreme
devotee of Vishnu’. He was a follower of Vaishnavism, a sect
of Hinduism that worships Vishnu as the supreme god. He
also issued coins depicting himself as Vishnu’s avatar, Lord

Krishna. The title of ‘Parama Bhagawat’ was also used by his

successors, such as Kumargupta-I and Skandagupta."
39,"Match list-I with list-II and select the correct answer using the codes given below the lists:
List-I (Emperor)  List-II (Titles) 
A.Ashoka            1.Parakramank 
B.Samudragupta      2.Priyadarsin
C.Chandragupta-II   3.Kramaditya
D.Skandgupta        4.Vikramaditya
Code: 
ABCD",l 2 3 4,3 2 1 4,2 1 4 3,4 3 2 1,"UPPCS (Pre, Re-Exam)",2615,c,"Exp) Option c is the correct answer.

A. Ashoka: He was the third emperor of the Mauryan
Empire and the grandson of Chandragupta Maurya.
He ruled from 268 BCE to 232 BCE and expanded his
empire to cover most of India and beyond, He adopted
the title of Priyadarsin, meaning “the one who looks
with kindness” or “the one who is pleasing to the eye”.

B. Samudragupta: He was the fourth emperor of the
Gupta Empire and the son of Chandragupta I. Ie ruled
from 335 CE to 380 CE and consolidated his empire
through conquests and alliances. He adopted the title
of Parakramanka, meaning “the one who is valiant” or
“the one who has great power”.

C. Chandragupta Il: He was the fifth emperor of the Gupta
Empire and the son of Samudragupta. He ruled from 380
CE to 415 CE and extended his empire to include western
and central India. He is also known as Vikramaditya,
meaning “the sun of valour” or “the one who has
auspicious power”.
D. Skandagupta: He was the seventh emperor of the Gupta
Empire and the son of Kumaragupta I. He ruled from 455
CE to 467 CE and defended his empire from the invasions
of the Hunas (Hephthalites). He adopted the title of
Kramaditya, meaning “the one who has fame in action”
or “the one who has a sequence of power”,"
40,Who renovated Sudarshan Jake without using forced labour?,Chandragupta Maurya,Bindusar,Ashoka,Rudradaman-I,U.P.P.C.S.(Pre),2014,d,"Exp) Option d is the correct answer.
Rudradaman I, the ruler of the Western Kshatrapas
dynasty, renovated the Sudarshan Lake without using
forced labor. The Junagadh inscription, found on a rock
in Junagadh, Gujarat, provides historical evidence of this
event. The inscription mentions Rudradaman’s efforts in
maintaining and repairing the Sudarshan Lake’s irrigation
system, highlighting his contributions to water management
and infrastructure development."
41,Chinese writers mention India by the name of-,Fo-Kwo-ki,Yin-tu,Si-Yu-iki,Sikia-Pono,U.P.P.C.S.(Pre),2013,b,"Exp) Option b is the correct answer.
Chinese writers mention India by the name of Yin-tu,
which is derived from the Sanskrit word Sindhu, meaning
river. The Chinese called India Yin-tu because they first
learned about India from the people living near the Indus
River, which was called Sindhu in ancient India. ‘he Chinese
also used other names for India, such as Tianzhu, meaning
heavenly land, and Shendu, meaning divine land. Some of
the famous Chinese writers who mention India by the name
of Yin-tu are Sima Qian, Ban Gu, Fan Ye, and Faxian.
Important Tips
¢ Fa Hien’s book name was Fo-Kwo-Ki which literally
meant A Record of Buddhistic Kingdoms. This book
contains crucial details about the Buddhist way of life
in the Indian subcontinent.
¢ Si-Yu-Ki is the name of another travelogue written by
the famous Chinese pilgrim Xuanzang (Hiuen-Tsang),
who visited India in the 7th century CE and described
the culture, geography, and religion of India."
42,In whose reign-period the Chinese Traveller Hiuen-'Isang visited India?,Chandragupta-II,Harsh,Chandragupta Maurya,Chandragupta-I,U.P.P.C.S.(Mains),2012,b,"Exp) Option b is the correct answer.
One of the most important visitors to Harsha’s court was
the Chinese traveler Hiuen-Tsang, also known as Xuanzang.
Hiuen-Tsang visited India from 629 CE to 645 CE. He traveled
extensively across the Indian subcontinent. He visited
many places of religious and cultural significance, such as
Nalanda, Bodhgaya, Sarnath, Varanasi, Mathura, Prayaga,
Ayodhya, and Patna. He also met Harsha several times and
became his friend and admirer. He wrote a detailed account
of his travels in his famous work Si-Yu-Ki or Records of the
Western World.

| Important Tips |
| Hiuen-'Isang account of India: |
° Religious Conditions: India had diverse religions,
! including Brahmanism, Buddhism, and Jainism.
| Tolerance and voluntary religious conversions were
| common, Hinduism was the dominant religion. |
Sanskrit was the language of the educated. Buddhism |
was in decline, while Brahimanism was rising. |
e Political Conditions: India was divided into numerous |
regions. Harsha was a respected king who personally
oversaw administration. Taxation was relatively light. j
The army included elephants, cavalry, and infantry.
* Economic Conditions: India was prosperous, excelling
; in cloth, pearls, and ivory production. India had a
thriving trade with foreign countries. Land revenue
was a significant income source. India had well-
inaintained river- passages and roadways.
| « Social Conditions: The caste system was rigid. Woinen
received education, but practices like sati existed. |
People were geuerally simple and honest. ;
e Sickness and Death: Sick individuals often fasted for
seven days before secking treatment. Death rituals
varied, including cremation, water burial, or desertion
' of the body. No fixed mourning periods or dress
; codes existed. No death anniversaries were observed.
| Some individuals chose voluntary drowning to secure |
} a heavenly birth. Buddhist monks refrained from |
| mourning and recited prayers for the deceased. :"
43,The writer of Mahabhashya ‘Patanjali’ was contemporary of-,Chandragupta Maurya,Ashoka,Pushyamitra Shunga,Chandragupta I,U.P.P.C.S.(Pre),2011,c,"Exp) Option c is the correct answer.
Patanjali was a famous grammarian and philosopher who
wrote Mahabhashya, a commentary on Panini’s Ashtadhyayi,
the foundational text of Sanskrit grammar. Patanjali is also
credited with the authorship of the Yoga Sutras, a treatise
on the classical school of Yoga philosophy. Patanjali lived
in the 2nd century BCE, during the reign of Pushyamitra
Shunga, the founder of the Shunga dynasty that succeeded
the Mauryan empire. This is evident from the references to
Pushyamitra’s military campaigns and victories in Patanjali’s
Mahabhashya. Pushyamitra Shunga ruled from 185 BCE to
149 BCE and was known for his patronage of Brahmanism
and opposition to Buddhism, He was also a contemporary
of the Indo-Greek king Menander I, who invaded India and
converted to Buddhism."
44,The first inscriptional evidence of the Satipratha has been found from-,Rran,Junagarh,Mandsaur,Sanchi,U.P.P.C.S.(Mains),2010,a,"Exp) Option a is the correct answer.
The first inscriptional evidence of the Sati pratha, the
practice of a widow immolating herself on her hushand’s
funeral pyre, has been found from Eran, a historical site in
present-day Madhya Pradesh, India.
‘he Eran inscription is a stone pillar inscription dated to 510
CE. It records the erection of a Garuda pillar by the Gupta
king Bhanugupta in honor of Vishna. It also mentions

the invasion of the Hunas and the defeat of ‘Toramana by

Bhanugupta’s general Goparaja. The inscription also contains

a verse that praises the Sati of Goparaja’s wife, who sacrificed

herself on his funeral pyre."
45,"According to Puranas, the prime place of Chandravansh’s ruler was-",Kasi,Ayodhya,Pratishthanpur,Shravasti,U.P.P.C.S.(Pre),2009,c,"Exp) Option c is the correct answer.

According to the Puranas, the prime place of Chandravansh’s

ruler was Ayodhya, the capital of the Kosala kingdom.

Ayodhya was the birthplace of Rama, the seventh avatar of

Vishnu and the hero of the Ramayana. Rama belonged to the

Suryavansha branch of the Chandravansh, which traced its

lineage from lkshvaku, the son of Manu.

Tkshvaku was also the ancestor of other famous

Chandravanshi kings such as Harishchandra, Sagara,
Bhagiratha, and Dasharatha. Ayodhya was also known as

Saketa, Ram Janmabhoomi, and Ram Nagari. It is one of the

seven sacred cities of Hinduism and a major pilgrimage site."
46,"In ancient India, the irrigation tax was called-",Bidakabhagam,Hiranya,Udranga,Uparnika,U.P.P.C.S.(Mains),2009,a,"Exp) Option a is the correct answer.

The term Bidakabhagam referred to the irrigation tax

collected by the monarchs in ancient India. This tax was

collected as a share of the produce generated from the land

irrigated by the government-owned canals or wells.

| Important Tips |

| Important terms related to ancient India:

| » Hiranya was a general term for gold or money.

| |
e Wdranga was a tax on water or boats. |

j*  Uparnika was a tax on pasture land or forest produce. |"
47,Which God is found depicted on Yaudheya coins?,Vasudeva,Shiva,Indra,Kartikeya,"U.P.P.C.S, (Spl) (Mains)",2008,d,"Exp) Option d is the correct answer.

Yaudheya coins predominantly depicted Kartikeya, the god of

war anid son of Shiva, reflecting his significance as their Ista-

devata (preferred deity). The coins were inscribed in Brahimi

script and divided into distinctive classes by scholars. The

Yaudheyas’ coinage also featured variations based on Indo-

Scythian money. Notably, the association of Kartikeya with

their coin imagery highlights his reverence within Yaudheya

culture. Yaudheya was warrior tribes belonging to southeast

of Punjab and Rajasthan."
48,The term ‘Kausheya has been used for-,Cotton,Flax,Silk,Wool,U.P.P.C.S.(Spl) (Mains),2008,c,"Exp) Option c is the correct answer.

The term ‘Kausheya’ has been used for silk in ancient

Indian literature, such as the Vedas, the Raimayana, the

Mahabharata, and the Arthashastra. The term ‘Kausheya’ is

derived from the Sanskrit word ‘Kosa’ which means ‘cocoon’.

Silk was considered as a precious and luxurious fabric, which

was worn by the royalty, nobility, and priests. Sushruta

samhita mentions it as ‘articles of bandaging’."
49,Simuka was the founder of which of the following dynasties?,Chera,Chola,Pandya,Satavahana,U.P.P.C.S.(Spl) (Mains),2008,d,"Exp) Option d is the correct answer.

Simuka was the founder of the Satavahana dynasty. He
is mentioned as the first king of the Satavahana dynasty
in various inscriptions, including one at Nanaghat. The
Satavahana dynasty was a prominent ancient Indian
dynasty that ruled over the Deccan region. Simuka’s reign
is estimated to have taken place in the Ist century BCE,
possibly around 120-96 BCE,"
50,"Which one of the following statements is not true for Shankaracharya, Saint of the 8th century?",He established four religious centres in different parts of India,He countered the spread of Buddhism and Jainism.,He named Prayag as Teerthraj,He propagated Vedanta,"U.P.P.C.S, (Pre)",2005,c,"Exp) Option c is the correct answer.

Shankaracharya did not name Prayag as Teerthraj, which
means “the king of holy places”. Prayag, also known as
Allahabad, is a city in Uttar Pradesh. It is where the confluence
of the Ganges, the Yamuna and the mythical Saraswati rivers
takes place. This confluence is known as Triveni Sangam
and is considered very sacred by Hindus. Prayag is also one
of the four venues for the Kumbh Mela, a mass pilgrimage
that occurs every 12 years. The name Teerthraj was given to
Prayag by ancient Hindu scriptures and sages, long before
Shankaracharya’s time.

Shankaracharya countered the spread of Buddhism and
Jainism by engaging in debates and dialogues with their
proponents and by reviving the Vedantic philosophy of the
Upanishads.

Shankaracharya propagated Vedanta as the supreme
philosophy that reveals the true nature of Brahman, the
ultimate reality, and the identity of the individual self with
Brahman,"
51,"In Ancient India, which dynasty’s rule is considered as the Golden Age?",Mauryan,Shunga,Gupta,Magadha,U.P.P.C.S.(Spl) (Pre),2004,c,"Exp) Option c is the correct answer.

The Gupta Empire is considered as the Golden Age of
India because of the remarkable achievements that were
made in the fields of mathematics, astronomy, science,
religion, and philosophy during this period. The Gupta
Empire lasted from 320 CE to 550 CE and covered much of
the Indian subcontinent. Some of the famous scholars who
contributed to the Golden Age of India were Aryabhata,
Kalidasa, Varahamihira, and Vishnu Sharma."
52,The Ashoka Pillar at Allahabad provides information about the reign of:,Chandragupta Maurya,Chandragupta-I,Chandragupta-II,Samudragupta,U.P.P.C.S.(Spl) (Mains),2004,d,"Exp) Option d is the correct answer.

The Allahabad pillar contains one of the pillar edicts of
Ashoka. However, the pillar is also notable for containing
later inscriptions attributed to Samudragupta. These
inscriptions, known as the Prayag Prashasti or the
Allahabad Pillar Inscription, were composed by his court
poet Harishena. They describe Samudragupta’s military
conquests, his benevolence towards other rulers, his religious
tolerance, and his personal achievements. Allahabad Pillar
(Nagasena) calls him Kaviraja because of his ability in
composing verses.

The inscriptions are considered to be one of the finest
examples of Sanskrit poetry and a valuable source of
historical information. The Allahabad pillar also has
inscriptions by the Mughal emperor Jahangir, who ruled
in the 17th century CE"
