q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
38,Which one of the following monuments has a dome which is said to be one of the largest in the world?,"Tomb of Sher Shah, Sasaram","Jama Masjid, Delhi","Tomb of Ghiyasuddin Tughlugq, Delhi","Gol Gumbad, Bijapur",UPSC CSE Pre.,1995.0,d,"Exp) Option d is the correct answer.
Gol Gumbaz is a 17th-century mausoleum in Bijapur,
Karnataka, India, housing the remains of Mohammad
Adil Shah, the seventh sultan of the Adi! Shahi dynasty.
It features a massive dome, about 44m in external diameter,
with unique interlocking pendentives. The dome’s design is
a prominent example of the southern regional style of Indo-
Islamic architecture and is renowned for being the largest
dome in the Islamic world during its construction. The
gallery around the dome, known as the ‘whispering gallery,
reflects sound across the dome."
39,"The Mughal School of Painting formed the spinal cord of the various Schools of Indian miniature art, Which one of the following painting styles was not affected by Mughal painting?",Pahari,Rajasthani,Kangra,Kalighata,UPSC CSE Pre.,1995.0,d,"Exp) Option d is the correct answer.
Kalighata painting was not affected by Mughal painting
because it developed in a different part of India and at a
different time. Mughal painting was at its peak in the 16th
and 17th centuries, while Kalighata painting did not emerge
until the 19th century. However, Pahari, Rajasthani,
and Kangra schools of painting were significautly
influenced by Mughal painting. Mughal techniques, such
as naturalistic portrayal, delicate detailing, and vibrant
color palettes, had a profound impact on these regional
styles. This influence can be observed in their depiction of
subjects, use of perspectives, and incorporation of Mughal
artistic elements, leading to the enrichment and evolution
of these indigenous schools of Indian miniature art.

Important Tips

Kalighet Palsting: . .

+ Kelighat painting, originating Ia 19th-ceatury
Kolkata, was aurtured by patuas near the Kallghat
Kall Temple.

+ It showcased raythologtcal mecratives, Hindu deities,
and contemporery society with bold outlines and
vibrant colocs. Notably, the art featured religious
themes like Kall, Shiva, and Durga, reflecting Hindu
traditions,

* Ia a anlque fusion, it alo depicted British cofonlel
influences, arbaa life, and crolving gender roles,

+ The movement's power lay in Its subversive portreyal
of societal changes, criticizing norme through Babu-
Bibt figures,

« The Kotighet style, captured on hend-raade peper,
remaios on intriguing biead of tradition and
modernity."
40,The caves and rock-cut temples at Ellora represent only:,Buddhists,Buddhists and Jains,Hindus and Jains,"Hindus, Buddhists, and Jains",UPSC CSE Pre.,1994.0,d,"Exp) Option d is the correct answer.
‘The Ellora Caves ore a group of 34 mejor rock-cot caves
associeted with three mejor Indien religions, Buddbisa:,
Hladalsm aod Jelaism, and more than 25 to 30 smell
excevatlons, The caves are divided into three groups
according to the religion they represent: the Buddhist
group (caves 1-12), the Hindu group (eaves 13-29), and
the Jato group (caves 30-34). Each group coatsias temples,
moosstertes, and sculptures that reflect the bellefe and
proctices of thele respective faiths. The Ellore Caves area
remarkable example of religious harmony and tolerance ln
eoclent India, as they were built !p close proximity and over
along period of time by different communities,"
41,Which one of the following is a monument constructed by Shershah?,Qila-i-Kuhna at Delhi,Atala Masjid at Jaunpur,Bara Sona Masjid at Gaur,Quwwat-ul-Islam Mosque at Delhi,UPSC CSE Pre.,1993.0,a,"Erp) Option s Je the correct answer,
Qiile-t-Kubos Masjid, alco known as the *“Mosqae of the
Old Port,” was constructed by Sher Shah Suri lo 1541 ase
congregational mosque. ft stands as a remarkable structure
alongside Sher Mandal as the only two surviving remnanis
of Delhi's Purane Qtls, a project initleted by Sher Shah
but wltimetely completed during Humayun's reign. The
mosque boasts a $ bey Hractore with 3 domes, showcesing
architectural Influences from the esrlter periods of Sher Sheh
Surt, e9 well as the Sayylds and the Ledis under Homayun's
directton.

Important Tipe

Facts ebout elgoificant monuments:

« In 1408 A.D, Ibrablen Shab Sharks constructed the
Atala Masjid, which leter became the model for other
snosques ln Jaunpur,

« The Becaderwazt or Bara Sone Mas)td, renowned 02
the large goldew mosque, wes built by Salten Nusrat
Sheb Ln 1526 end remains the largest standing building
ty Gave.

* As forthe Qawwat-ul-Islom Mooque, it was sponsored
by Qutb-ud-din Albek, the founder of the Memluk
dynasty, and stands os the carllest extent mosque buik
by the Deih! Sultens,"
42,The rock-cut caves in western India are located in-,"Nasik, Ellora and Ajanta","Junar, Kalyan and Pitalkhora","Ajanta, Bhaja and Kondane","Bhaja, Pitalkhora and Kondane",UPSC CSE Pre.,1993.0,a,"Exp) Option a is the correct answer.

Nasik, Ellore and Ajanta ere three of the most famous end

ancient sites of rock-cul architecture in western Indie,

«Nasik hase group of 24 Buddhist caves dating from the
let century BCE to the 3rd centary CB, as well as some
Hindu and fala caves.

o Bllors hes 34 caves belonging to Hindu, Buddhist and
Jela traditions, carved between the 6th and 10th centuries
CB. The most spectacular of these #s the Keilasa temple. a
massive monolithic steocture dedicated to Shiva.

© Afante bes 29 caves that are renowned for thelr exquisite
paintings and sculptures of Buddbist themes, created
Detween the 2nd century BCE end the 6th century CE"
43,Who built Gujari Mahal?,Suraj Sen,Man Singh,Tej Karan,Akbar,,,b,"Exp) Option b te the correct answer,

Gujart Mehal is @ palece in Gwallos, Indie. The palace of

Gajart Mebe) wes built by Temar Rajput suler Mon Singh

Tomer for bis wife Mrignayesl who belonged to Gujjar

tribe. She demanded a separate palace for herself with 2

regular water supply through ea aqueduct from the nearby

Ral River. Preseotly the palace has been converted into an

archeological museurs.

REN Other.; Examination » Previous Years?

Solutions ""5"
44,Which one of the following pairs is NOT correctly match?,Sarvaverman  : Gaya Copper Plate,Ishwarverman : Jaunpur Stone Inscription,Ishanverman : Harha Stone Inscription,Jivit Gupta II: Deva Barnark Inscription,UPPCS (Pre),2022.0,a,"Exp) Option o le the correct anewer.

© Servavermen : Gaya Copper Plate palr ie not correctly
matched. The Gaye Copper Plate inscription records the
Grant of two villoges by Samudraguptatoa Brahmin named
Jayabbatta la the ainth year of bis reign. The toscription
alto praises Saraudragupte’s achievementa, such es bis
conquests, his performance of the Ashvamedhe sactifice,
and his donations of cows and gold. The Inscription te
dated in the Gupta era 165, which corresponds to 484 CB
ln the Gregorian cslende.

© Ishworverman 1 Jaunper Stone Inscription: The
fnsesiption mentions Ishwarverman’s genealogy, titles,
and achievements, such as his victory over the Hunas end
bls protection of the holy places,

© Ubenvermen 1s Herbs Stone Inscription: The
Inscription roenttons Ishanvermants genealogy, titles, and
achlevements, euch es bis conquests of Megadha, Malwa,
and Kosele.

+ Hvit Gupte 31: Deve Bernark Inscription: hi records the
grant of « village by fivit Gupte Il to 6 Brebmin named
Prabhekare in the 10th year of his reign."
45,"In which of the following stupas, the features of a platform with ‘Aryak-Pillars’ are found?",Ghantshal,Bodhgaya,Nagarjunikonda,Amaravati,UPPCS (Pre),2022.0,d,"; ;

Exp) Option d is the correct answer. me,

fhe features of a platform with ‘Aryak-Pillars’ are found
in the stupas at Amaravati. Amaravati Stupa is a renowned
Buddhist stupa lecated in Amaravathi, Palnadu district,
Andhra Pradesh, India. The stupa dates back to around the
2nd century BCE to the 3rd century CE and is known for
its intricate sculptural art and architecture. The platform of
the Amaravati Stupa is made of brick and is surrounded by a
railing. The railing is decorated with sculptures of Buddha,
Bodhisattvas, and other Buddhist figures. The ‘Aryak-
Pillars’ are located on the corners of the platform. They
are decorated with sculptures of lions, elephants, and
other animals. The ‘Aryak-Pillars’ are a unique feature of
the Amaravati Stupa. They are believed to have been used
to support the umbrella that once covered the stupa.

. Important Tips ——_

Gandhara School of Art - Major Features:

« Geographical Presence: Gandhara sculptures
discovered in Taxila ruins and other ancient sites in
Afghanistan and Pakistan.

« Subject Matter: Primarily Buddha images and relief
sculptures capturing scenes from Buddhist literature.

¢ Central Focus: Artistry centered on Lord Buddha |
and Bodhisattvas, deeply connected with Mahayana
Buddhism, blending Indian ideas with distinct
execution. The Bamiyan Buddha sculptures exemplify
Gandhara style’s brilliance

,© Prominent Sites: Flourished in regions such as Taxila,
| Peshawar, Begram, and Bamiyan. o,

¢ Flourishing Period: Thrived from the Ist century BCE
| to the 4th century CE.

¢ Themes and Expressions: Buddhist narratives strongly
reflected in Gandhara art, with depictions like Buddha's
mother resembling an Athenian matron. A blend of
Rastern and Western aesthetics is seen, such as the
portrayal of a Buddhist scene with Apollo-like facial"
46,"Consider the following statements and select the correct answer using the codes given below:

1. The Sun temple of Multan is mentioned by Hiuen Tsang, Abuzaiyid, Al-Masudi and Alberuni.
2. The pilgrimage to Sambapur' was associated with Sun worship.Codes:",Only 1 is correct,Only 2 is correct,Both 1 and 2 are correct,Neither 1 nor 2 is correct,U.P.P.C.S. (Pre),2020.0,c,"Exp) Option c is the correct answer.

Statement 1 is correct: The Sun temple of Multan was a
famous Hindu temple dedicated to Surya, the god of the
sun. It was mentioned by several travelers and historians,
such as Hiuen Tsang, Abuzaiyid, Al-Masudi and Alberuni.
Hiuen Tsang described the temple as very magnificent and
profusely decorated, with a golden image of Surya adorned
with precious gems. The temple was also a place of charity
and pilgrimage, attracting devotees from all over India and
beyond.

Statement 2 is correct: The pilgrimage to Sambapur was
associated with Sun worship, according to the Samba Purana,
an ancient Hindu text dedicated to Surya.

—

Important Tips - |
The Samba Purana narrates the story of Samba, a son of |
Krishna, who was cursed by sage Durvasa to suffer from
leprosy. He was advised by Narada to worship Surya in
Mitravana, on the banks of the Chandrabhaga River, where
he found a sacred image of Surya in the water. He built a
temple for Surya there and invited Maga Brahmins from
Shakadvipa to serve as priests. He was then cured of his
disease by the grace of Surya. Mitravana came to be known
as Sambapur, and the temple as the Sun temple of Multan."
47,"Given below are two statements, one is labelled as Assertion and other as Reason (R):
Assertion (A): We have much more information about Cholas than their predecessors.

Reason (R): The Chola rulers adopted the practice of having inscriptions written on the walls of temples giving a historical narrative of their victories.

Select the correct answer from the codes given below.",Both (A)and (R)are true and (R)is the correct explanation of (A).,Both (A)and (R)are true and (R)is not the correct explanation of (A).,(A)is true but (R)is false.,(A)is false but (R)is true.,U.P.P.C.S. (Pre),2020.0,a,"Exp) Option a is the correct answer.

Both and (R) are true and (R) is the correct explanation

of (A).

Assertion is correct; Chola dynasty, which ruled over

southern India and Sri Lanka from the 9th to the 13th century

CE, left behind a rich and detailed record of their history and

culture. The Cholas produced a large number of inscriptions,

copper plates, coins, sculptures, paintings, temples, and
monuments, which provide valuable information about their
political, social, economic, religious, and artistic aspects.

Reason is correct and explains the Assertion: Chola

rulers were fond of recording their achievements and

accomplishments in inscriptions, which were engraved on
stone or metal and fixed on the walls or pillars of temples.

The inscriptions were written in Tamil or Sanskrit languages,

and used various scripts, such as Tamil, Grantha, Nagari,

etc. The inscriptions gave a historical narrative of the

Chola kings’ victories over their enemies, their conquests

and annexations of new territories, their donations and

endowments to temples and religious institutions, their titles
and epithets, their genealogy and chronology, etc."
48,"Arrange the following monuments in chronological order and select the correct answer from the codes given below:

I. Rabia Durrani’s Tomb, Aurangabad
II. Sher Shah Suri’s Tomb, Sasaram
III. Humayun’s Tomb, Delhi
IV. Atala Mosque, Jaunpur
Codes:","I,II,IV,III","IV,II,III,I","II,I,III,IV","III,IV,II,I","U.P. P.C.S, (Pre)",2019.0,b,"Exp) Option b is the correct answer.

The correct answer is IV, I, III, I.

¢ In1408 A.D., brahim Shah Sharqi built the Atala Masjid
which came to be regarded as the exemplary model for
the construction of the other mosques of Jaunpur.

+ Shershah Suri’s Tomb is an example of Indo-Islamic
architecture, it was designed by the architect Mir
Muhammad Aliwal Khan and built between 1540 and
1545.

¢ Humayun’s tomb, built-in 1570, is of particular cultural
significance as it was the first garden-tomb on the Indian
subcontinent. The tomb was commissioned by Humayun’s
first wife Empress Bega Begum.

¢ Rabia Daurani’s Tomb is believed to be constructed by
Prince Azam Shah in memory of his mother Rabia-ul-
Daurani alias Dilras Banu Begum between 1651 and 1661
CE. It is also known as Bibi-Ka-Maqbara. _"
49,Which of the following temples is also known as Khajuraho of Vidarbha?,Markandeshwar,Kailash,Manudevi,Bhimasankar,U.P.P.C.S. (Pre),2019.0,a,"Exp) Option a is the correct answer.

Markandeshwar temple is also known as Khajuraho o!
Vidarbha. It is an ancient temple complex dedicated to Lord
Shiva and Markandeya Maharshi, located on the bank of the
' sacred Wainganga River in Markanda village in Gadchirol:
district of Maharashtra. It was built in the Nagara style
of architecture between the 8th and 12th century. It has
been compared to the temples of Khajuraho because of it:
elaborate sculptures and carvings."
50,Which of the following inscription gives he information about two Ashwamedha Yajnas performed by the king Pushyamitra Shung?,Saranath inscription,Besnagar inscription,Ayodhya inscription,Hathigumpha inscription,U.P.P.C.S. (Pre),2018.0,c,".
Exp) Option c is the correct answer,
The Ayodhya Inscription of Dhana provides information
about two Ashwamedha Yajnas performed by King
Pushyamitra Shunga. The inscription, dated to the
Ist century BCE or lst century CE, highlights Dhana’s
lineage as the sixth descendant of Pushyamitra. It reveals
Dhana’s rule as the Lord of Kosala, commemorating his
ancestors’ accomplishments, including Pushyamitra’s twa
Ashwamedha sacrifices. The inscription, found in Ayodhya,
also attests to the practice of building temple shrines for
revered figures and establishes the Shunga dynasty’s presence
in Ayodhya.
Important Tips
¢ Sarnath Inscriptions: Inscriptions found at Sarnath
in the early 20th century indicate that some of the
monasteries there enjoyed royal patronage from the
Gahadavala rulers. A 12th-century inscription by
Queen Kumaradevi highlights her role in constructing
or restoring monk quarters, possibly the Dharma
Chakra Jina Vihar. : ,
¢ Besnagar inscription: The Besnagar inscription,
dating back to the 2nd century B.C., was found on
a pillar near Bhilsa, Madhya Pradesh. It pertains |
to the Suiiga dynasty’s capital and is dedicated to
Vasudeva (Krishna). Heliodoros, a Greek ambassador, |
called Krishna ‘deva-deva’ or ‘God of gods, affirming
Krishna's historicity. The inscription highlights the.
popularity of the Krishna-Vasudeva cult even among
Greeks.
¢ Hathigumpha Inscription: The Hathigumpha
Inscription, etched in Brahmi script, is a 17-line
Prakrit language inscription found in a cave at
Hathigumpha, Udayagiri hills near Bhubaneswar,
Odisha, India, Created by Jain king Kharavela of
Kalinga between 2nd century BCE and Ist century
CE, it covers his biography, religious values, public
works, military expeditions, and society, dating from.
1st century BCE to early 1st century CE."
51,"Which of the following pairs is not correctly
matched?  2018]",Adina Masjid ;: Mandu,Lal Darwaza masjid + Jaunpur,Dakhil Darwaza : Gaur,Tin Darwaza : Ahmedabad,U.BB.C.S. (Pre,,a,",
Exp) Option a is the correct answer.
Adina Masjid is located in Malda, not Mandu. The Adina
Mosque in Malda District, India, built during the Bengal
Sultanate, is the largest structure of its kind in the Indian
subcontinent. Commissioned in 1373 by Sikandar Shah,
it features vast hypostyle architecture reminiscent of the

Umayyad Mosque and reused materials from pre-Islamic
structures. The other options are correctly matched.
Important Tips a
« The Lal Darwaza Mosque, also known as the
Red Portal Mosque or Ruby Gate Mosque, is an
architectural marvel in Jaunpur. Queen Rajye Bibi
commissioned its construction in 1447 to honor the
revered saint Sayyid Ali Dawood Kutubbudin. This
grand mosque stands as a testament to the historical
and cultural significance of the region.
1° The Dakhil Darwaza, constructed in 1425, stands
| as the largest structure in Sultanate of Bengal. It
served as the primary entrance to the citadel of Gaur. |
Its construction is attributed to Alauddin Husain |
Shah, featuring impressive architectural elements
with minimal terracotta ornamentation, making it a
majestic and significant monument in Gaur-Lakhnauti.
¢ Teen Darwaza, a historical gateway in Ahmedabad,
India, completed in 1415 by Sultan Ahmed Shah, who
founded the city of Ahmedabad, served as an egress
from Bhadra Fort. It features three arches, decorated
buttresses, and a terrace. Associated with significant
events, it was used for assembling troops and court
proceedings. _"
52,"The mosque Khayr-nul-manzil apposite te
the Purana Qila in Delhi was constituted by
whom?",Wamida Banu Begum,Salima Sultan,Jiji Anga,Maham Anaga,U.P.P.C.S. (Pre),2618.0,d,"Exp) Option d is the correct answer.

Maham Anga built a mosque, Khayr-ul-manzil, in 1561,

along the lines of Mughai architecture. It later served as

a madrasa, and now stands opposite Purana Qila, Delhi on

Mathura Road, southeast of Sher Shah Gate."
