Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
11," <p>With reference to Indian Public Finance, consider the following statements:</p>
<ol>
<li>Disbursements from Public Accounts of India are subject to the Vote of Parliament.</li>
<li>The Indian Constitution provides for the establishment of a Consolidated Fund, a Public Account and a Contingency Fund for each State.</li>
<li>Appropriation and disbursements under the Railway Budget are subject to the same form of parliamentary control as other appropriation and disbursements.</li>
</ol>
<p>Which of the statements given above are correct?</p>
",(a)  1 and 2,(b)  2 and 3,(c)  1 and 3,"(d)  1, 2 and 3",Polity and Governance,b,Difficult,tConceptual,"<ul><li>Disbursements from Public Accounts of India are not subject to the voting of Parliament. All other moneys (i.e. other than those entitled to consolidated fund of India) received by or on behalf of GOI shall be credited to the public account of India, ex : Pension Fund.</li></ul>"
12," <p>The resolution for removing the Vice-President of India can be moved in the:</p>
",(a) Lok Sabha alone,(b) Either House of Parliament,(c) Joint Sitting of Parliament,(d)  Rajya Sabha alone,Polity and Governance,d,Easy,Factual,"<ul><li style=""text-align: justify;"">A formal impeachment is not required for Vice-President’s removal, he can be removed by a resolution of the Rajya Sabha passed by an effective majority and agreed to by the Lok Sabha. But, no such resolution can be moved unless atleast 14 days advance notice has been given.</li></ul>"
13," <p>With reference to the Constitution of India, which one of the following pairs is not correctly matched?</p>
",(a)  Forests : Concurrent List,(b)  Stock Exchanges : Concurrent List,(c)  Post Office Savings Bank : Union List,(d)  Public Health : State List,Polity and Governance,b,,,"<ul><li>Stock exchange and future markets are listed in the Union list, but not in the Concurrent list.</li></ul>"
14," <p>Consider the following tasks:</p>
<ol>
<li>Superintendence, direction and conduct of free and fair elections.</li>
<li>Preparation of electoral rolls for all elections to the Parliament, State Legislatures and the Office of the President and the Vice-President.</li>
<li>Giving recognition to political parties and allotting election symbols to political parties and individuals contesting the election.</li>
<li>Proclamation of final verdict in the case of election disputes.</li>
</ol>
<p>Which of the above are the function of the Election Commission of India?</p>
","(a)  1, 2 and 3","(b)  2, 3 and 4",(c)  1 and 3,"(d)  1, 2 and 4",Polity and Governance,a,Easy,Conceptual,"<ul><li style=""text-align: justify;"">Fourth statements is wrong. According to Article 329, Under the Representation of the People Act, (1996), the power to decide an election petition is vested in the High Court with appeal to the Supreme Court.</li></ul>"
15," <p>According to the National Human Rights Commission Act, 1993, who amongst the following can be its Chairman?</p>
",(a)  Any serving Judge of the Supreme Court,(b)  Any serving Judge of the High Court,(c)  Only a retired Chief Justice of India,(d)  Only a retired Chief Justice of a High Court,Polity and Governance,c,Medium,Factual,"<ul><li>National Human Rights Commission consists of a Chairman and four other members. The Chairman should be a retired Chief Justice of India, and other members should be a serving or retired Chief Justice of a High Court, and two persons having knowledge or practical experience with respect to human rights.</li></ul>"
16," <p>Consider the following statements:</p>
<ol>
<li>The highest criminal court of the district is the Court of District and Sessions Judge.</li>
<li>The District Judges are appointed by the Governor in consultation with the High Courts.</li>
<li>A person to be eligible for appointment as a District Judge should be an advocate or a pleader of seven years’ standing or more, or an officer in judicial service of the Union or the State.</li>
<li>When the Sessions Judge awards death sentence, if must be confirmed by the High Court before it is carried out.</li>
</ol>
<p>Which of the statements given above are correct?</p>
",(a)  1 and 2,"(b)  2, 3 and 4",(c)  3 and 4,"(d)  1, 2, 3 and 4",Polity and Governance,d,Difficult,tConceptual,"<ul>
<li>All of the above statements are correct. Highest criminal court of the district is Sessions Court or Court of District headed by Sessions judge. District Judges are appointed by Governor in consultation with the High Courts. An advocate or a pleader of seven years is eligible for appointment as District Judge. The High Court should confirm the Sessions Court award of death sentence before it is carried out.</li>
</ul>"
17," <p>Match List I with List II and select the correct answer using the codes given below the lists:</p>
<p>List I (Sea)           List II (Country)</p>
<p>A. Black Sea       1. Bulgaria</p>
<p>B. Red Sea          2. China</p>
<p>C. Yellow Sea     3. Eritrea</p>
<p>D. Caspian Sea  4. Kazakhstan</p>
",(a)  A-1 B-4 C-2 D-3,(b)  A-2 B-3 C-1 D-4,(c)  A-1 B-3 C-2 D-4,(d)  A-2 B-4 C-1 D-3,,c,,,"<p>Black sea shares its borders with Bulgaria in the west. Read sea shares its borders with Eritrea (Africa) in south west. Yellow sea is located in the east of China, and Caspian sea is located in the south west region of Kazakhstan.</p>"
18," <p>Which one of the following statements is not correct?</p>
",(a)  Gulfs with narrow fronts and wider rears experience high tides.,(b)  Tidal currents take place when a gulf is connected with the open sea by a narrow channel.,(c)  Tidal bore occurs when a tide enters the narrow and shallow estuary of a river.,(d)  The tidal nature of the mouth of the river Hooghly is of crucial importance to Kolkata as port.,,a,,,"<p>Gulfs with wide fronts and narrow rears experience high tides. Options (b), (c) and (d) are correct.</p>"
19," <p>Which one of the following does not border Panama?</p>
",(a)  Costa Rica,(b)  Pacific Ocean,(c)  Colombia,(d)  Venezuela,,d,,,"<p>Venezuela does not border Panama. Colombia on the eastern side, Costa Rica on the western side, Pacific Ocean on the southern side, are having border with Panama.</p>"
20," <p>Lake Sambhar is nearest to which one of the following cities of Rajasthan?</p>
",(a)  Bharatpur,(b)  Jaipur,(c)  Jodhpur,(d)  Udaipur,,b,,,<p>Jaipur is the nearest city to the Lake Sambhar in Rajasthan.</p>
21," <p>Assertion (A): West-flowing rivers of Peninsular India have no deltas.</p>
<p>Reason (R): These rivers do not carry any alluvial sediments.</p>
",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,,c,,,<p>West flowing rivers carry alluvial sediments but are not deposited at the mouth of the river to form deltas because of the swiftness of flow.</p>
22," <p>Which one of the following statements is not correct?</p>
",(a)  Mahanadi River rises in Chhattisgarh,(b)  Godavari River rises in Maharashtra,(c)  Cauvery River rises in Andhra Pradesh,(d)  Tapti River rises in Madhya Pradesh,,b,,,<p>River Lengths (km) River Length (km) Godavari 2465 Narmada 1312 Mahanadi 828 Tapi 724.</p>
23," <p>The great Asian river Mekong does not run through:</p>
",(a)  China,(b)  Malaysia,(c)  Cambodia,(d)  Laos,,b,,,"<p>Mekong river does not run through Malaysia but runs through China, Laos, Cambodia and Vietnam.</p>"
24," <p>Latvia does not share its borders with which one of the following countries?</p>
",(a)  Russia,(b)  Estonia,(c)  Lithuania,(d)  Poland,,d,,,"<p>Latvia shares its borders with Estonia, Russia, Belarus and Lithuania.</p>"
25," <p>Match List I (State/Province/Overseas Territory) with List II (Country) and select the correct answer using the codes given below the lists:</p>
<table border=""1"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td valign=""top"" width=""145"">
<p>List I</p>
</td>
<td valign=""top"" width=""102"">
<p>List II</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""145"">
<p>A. British Colombia</p>
</td>
<td valign=""top"" width=""102"">
<p>1. USA</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""145"">
<p>B. Bavaria</p>
</td>
<td valign=""top"" width=""102"">
<p>2. UK</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""145"">
<p>C. Gibraltar</p>
</td>
<td valign=""top"" width=""102"">
<p>3. Canada</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""145"">
<p>D. Rhode Island</p>
</td>
<td valign=""top"" width=""102"">
<p>4. Germany</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""145"">
<p> </p>
</td>
<td valign=""top"" width=""102"">
<p>5. Denmark</p>
</td>
</tr>
</tbody>
</table>
<p> </p>
",(a)  A-1 B-2 C-5 D-3,(b)  A-3 B-4 C-2 D-1,(c)  A-1 B-4 C-2 D-3,(d)  A-3 B-2 C-5 D-1,,b,,,<p>British Colombia belongs to Canada. Bavaria belongs to Germany. Gibralter belongs to U.K. Rhode Island belongs to U.S.A.</p>
26," <p>Match List I (New Names of the Countries) with List II (Old names of the Countries) and select the correct answer using the codes given below the lists:</p>
<table border=""1"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td valign=""top"" width=""115"">
<p>List I</p>
</td>
<td valign=""top"" width=""138"">
<p>List II</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""115"">
<p>A. Benin</p>
</td>
<td valign=""top"" width=""138"">
<p>1. Nyasaland</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""115"">
<p>B. Belize</p>
</td>
<td valign=""top"" width=""138"">
<p>2. Basutoland</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""115"">
<p>C. Botswana</p>
</td>
<td valign=""top"" width=""138"">
<p>3. Bechuanaland</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""115"">
<p>D. Malawi</p>
</td>
<td valign=""top"" width=""138"">
<p>4. British Honduras</p>
</td>
</tr>
<tr>
<td valign=""top"" width=""115"">
<p> </p>
</td>
<td valign=""top"" width=""138"">
<p>5. Dohomey</p>
</td>
</tr>
</tbody>
</table>
<p> </p>
",(a)  A-3 B-1 C-2 D-4,(b)  A-5 B-4 C-3 D-1,(c)  A-3 B-4 C-2 D-1,(d)  A-5 B-1 C-3 D-4,,b,,,<p>Benin is the new name of Dohomey Belize is the new name of British Honduras Botswana is the new name of Bechuanaland Malavi is the new name of Nyasaland.</p>
27," <p>Consider the following statements: Among the Indian States</p>
<p>1. Andhra Pradesh has the longest coastline</p>
<p>2. Gujarat has the highest number of airports</p>
<p>Which of the statements given above is/are correct?</p>
",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,,d,,,"<p>Along with 19 Major ports, 185 major ports are there in India, in which Maharashtra has 53, Gujarat has 40 airports. Gujarat has the longest coast line (not Andhra Pradesh).</p>"
28," <p>In which one of the following Union Territories, do the people of the Onge tribe live?</p>
",(a)  Andaman and Nicobar Islands,(b)  Dadra and Nagar Haveli,(c)  Daman and Diu,(d)  Lakshadweep,,a,,,<ul><li>There are 5 primitive tribal groups in Andaman and Nicobar Islands. Tribes Race Islands Onges Negroid Little Nicobar Sentinelese Negroid Sentinel Island Jarawa Negroid Middle and South Andaman Andamanese Negroid Strait Island Shompen Mongoloid Great Nicobar Nicobarese Mongoloid Great Nicobar.</li></ul>
29," <p>Assertion (A): The thickness of the atmosphere maximum over the Equator.</p>
<p>Reason (R): High insolation and strong convection currents occur over the Equator.</p>
",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,,a,,,"<p>High insolation and strong convection currents results in expansion of air, at the equator. Thereby the thickness of the atmosphere is maximum over the equator.</p>"
30, <p>Consider the following geological phenomena:</p><ol><li>Development of fault</li><li>Movement along a fault</li><li>Impact produced by a volcanic eruption</li><li>Folding of rocks</li></ol><p>Which of the above cause earthquakes?</p>,"(a)  1, 2 and 3",(b)  2 and 4,"(c)  1, 3 and 4","(d)  1, 2, 3 and 4",,d,,,"<ul><li>Faults, thrusts, folds are associated with earth's crust. Impact produced by a volcanic eruption also causes earthquake.</li></ul>"
31," <p>Which one of the following statements is not correct?</p>
",(a)  The largest Buddhist monastery in India is in Assam,(b)  The language Konyak is spoken in Nagaland,(c)  The largest river island in the world is in Assam,(d)  Sikkim is the least – populated State of the Indian Union,,a,,,"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">The largest Buddhism Monastery in India is in Arunachal
Pradesh.</p>
</div>"
32," <p>Consider the following statements: As per 2001 Census-</p>
<p>1. The two States with the lowest sex ratio are Haryana and Punjab</p>
<p>2. The two States with the lowest population per sq km of area Meghalaya and Mizoram</p>
<p>3. Kerala has both the highest literacy rate and sex ratio</p>
<p>Which of the statements given above is/are correct?</p>
",(a)  3 only,(b)  2 and 3,(c)  1 and 2,(d)  1 and 3,,d,,,"<p>The States with lowest population per sq. km. of area (density) are Arunachal Pradesh (13), Mizoram (42), Sikkim (76) and Jammu and Kashmir (99).</p>"
33," <p>Which among the following National Highway routes is the longest?</p>
",(a)  Agra – Mumbai,(b)  Chennai – Thane,(c)  Kolkata – Hajira,(d)  Pune - Machilipatnam,,c,,,<p>Starting Station Terminal Station N.H. No. Length in km. Kolkata Hajira 6 1949 Chennai Thane 4 1235 Agra Mumba 3 1161 Pune Machilipatnam 9 841.</p>
34," <p>Consider the following crops:</p>
<p>1. Cotton</p>
<p>2. Groundnut</p>
<p>3. Maize</p>
<p>4. Mustard</p>
<p>Which of the following are kharif crops:</p>
",(a)  1 and 2,"(b)  1, 2 and 3",(c)  3 and 4,"(d)  1, 2, 3 and 4",,b,,,"<p>Cotton, Groundnut, Maize are Kharif crops. Whereas Mustard Bengalgram, wheat are Rabi crops.</p>"
35," <p>Match List-I (National Park/Sanctuary) with List-II (State) and select the correct answer using the codes given below the lists:</p>
<table border=""1"" cellpadding=""0"" cellspacing=""0"" width=""209"">
<tbody>
<tr>
<td style=""width: 157px;"">
<p>List-I</p>
</td>
<td style=""width: 144px;"">
<p>List-II</p>
</td>
</tr>
<tr>
<td style=""width: 157px;"">
<p>A. Kanger Ghati National Park</p>
</td>
<td style=""width: 144px;"">
<p>1. Chhattisgarh</p>
</td>
</tr>
<tr>
<td style=""width: 157px;"">
<p>B. Nagerhole National Park</p>
</td>
<td style=""width: 144px;"">
<p>2. Haryana</p>
</td>
</tr>
<tr>
<td style=""width: 157px;"">
<p>C. Kugti Wildlife Sanctuary</p>
</td>
<td style=""width: 144px;"">
<p>3. Himachal Pradesh</p>
</td>
</tr>
<tr>
<td style=""width: 157px;"">
<p>D. Sultanpur Bird Sanctuary</p>
</td>
<td style=""width: 144px;"">
<p>4. Karnataka</p>
</td>
</tr>
</tbody>
</table>
<p> </p>
",(a)  A-3 B-2 C-1 D-4,(b)  A-1 B-4 C-3 D-2,(c)  A-3 B-4 C-1 D-2,(d)  A-1 B-2 C-3 D-4,,b,,,<ul><li>A. Kanger Ghati National Park – Chhattisgarh B. Nagerhole National Park – Karnataka C. Kugti Wildlife Sanctuary – Himachal Pradesh D. Sultanput Bird Sanctuary – Haryana.</li></ul>
36," <p>Match List I (Biosphere Reserve) with List II (States) and select the correct answer using the codes given below the lists:</p>
<table border=""0"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td style=""width: 127px;"">
<p>List I</p>
</td>
<td style=""width: 144px;"">
<p>List II</p>
</td>
</tr>
<tr>
<td style=""width: 127px;"">
<p>A. Simlipal</p>
</td>
<td style=""width: 144px;"">
<p>1. Sikkim</p>
</td>
</tr>
<tr>
<td style=""width: 127px;"">
<p>B. Dehong Deband</p>
</td>
<td style=""width: 144px;"">
<p>2. Uttaranchal</p>
</td>
</tr>
<tr>
<td style=""width: 127px;"">
<p>C. Nokrek</p>
</td>
<td style=""width: 144px;"">
<p>3. Arunachal Pradesh</p>
</td>
</tr>
<tr>
<td style=""width: 127px;"">
<p>D. Kanchenjunga</p>
</td>
<td style=""width: 144px;"">
<p>4. Orissa</p>
</td>
</tr>
<tr>
<td style=""width: 127px;""> </td>
<td style=""width: 144px;"">
<p>5. Meghalaya</p>
</td>
</tr>
</tbody>
</table>
<p> </p>
",(a)  A-1 B-3 C-5 D-4,(b)  A-4 B-5 C-2 D-1,(c)  A-1 B-5 C-2 D-4,(d)  A-4 B-3 C-5 D-1,,d,,,"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">A. Simlipal – Orissa B. Dehong Deband – Arunachal Pradesh C.
Nokrek – Meghalaya D. Kanchenjunga – Sikkim.</p>
</div>"
37," <p>Which one of the following statements is correct?</p>
",(a)  Circus clouds are composed office crystals.,(b)  Cirrus clouds exhibit a flat base and have the appearance of rising domes.,(c)  Cumulus clouds are white and thin and form delicate patches and give a fibrous and feathery appearance.,(d)  Cumulus clouds are classified as high clouds.,,a,,,"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">Cirrus clouds took fibrous and appears like wisps in the
blue sky, and composed of ice crystals. Cumulus clouds are with a round top and
horizontal base, and these are classified as clouds with no definite height.</p>
</div>"
38," <p>Match List-I (Minerals) with List II (Location) and select the correct answer using the codes given below the lists:</p>
<p>List-I                   List-II</p>
<p>A. Coal               1. Giridih</p>
<p>B. Copper           2. Jayamkondam</p>
<p>C. Manganese     3. Alwar</p>
<p>D. Lignite            4. Dharwar</p>
",(a)  A-1 B-4 C-3 D-2,(b)  A-2 B-3 C-4 D-1,(c)  A-1 B-3 C-4 D-2,(d)  A-2 B-4 C-3 D-1,,c,,,"<p>Coal – Jharia (largest), Bokaro, Giridih of Jharkhand. Copper – Jhunjhunu and Alwar district of Rajasthan. Manganese – is associated with Dharwar rocks in Kanataka Lignite – Jayamkondam, Neyweli (Tamil Nadu).</p>"
39," <p>Consider the following:</p>
<p>1. Mahadeo Hills</p>
<p>2. Sahyadri Parvat</p>
<p>3. Satrupa Range</p>
<p>What is the correct answer of the above from the north to the south?</p>
","(a)  1, 2, 3","(b)  2, 1, 3","(c)  1, 3, 2","(d)  2, 3, 1",,c,,,"<p>Satpura is a series of Seven mountains commensing from Rajpipla hills in west, through Mahadeo hills, it extends Maikala range in the east. Sahyadris are Western Ghats running from Tapi valley to north of Kanyakumari in North-South direction.</p>"
40," <p>Amongst the following Indian States which one has the minimum total forest cover?</p>
",(a)  Sikkim,(b)  Goa,(c)  Haryana,(d)  Kerala,,c,,,"<p>Haryana has the total forest cover among the above given states. On the basis of percentage of the actual forest cover, the above states are in the order of : Sikkim (40.80%) &gt; Goa (33.79%) &gt; Kerala &gt; Haryana.</p>"
41," <p>Which one of the following countries does NOT border the Caspian Sea?</p>
",(a)  Armenia,(b)  Azerbaijan,(c)  Kazakhstan,(d)  Turkmenistan,,a,,,"<p>The Caspian Sea is bordered by Russia, Kazakhstan, Turkmenistan, Azerbaijan and Iran.</p>"
42, <p>Assertion (A): Bangalore received much higher average rainfall than that of Mangalore.</p><p>Reason (R): Bangalore has the benefit of receiving rainfall both from south – west and north – east monsoons.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,,d,,,<p>Bangalore receives rainfall (312 cm) than Mangalore (946 cm) because Mangalore is located west side of the western ghats. This rainfall receives very high rainfall than the regions located eastern side of the western ghats.</p>
43," <p>Consider the following statements:</p>
<p>1. Damodar Valley Corporation is the first multipurpose river valley project of independent India.</p>
<p>2. Damodar Valley Corporation includes thermal and gas power stations.</p>
<p>Which of the statements given above is/are correct?</p>
",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,,c,,,"<p>Damodar Valley Corporation (DVC) is the first multi-purpose river valley project constituted in independent India, in 1948, on the river of Sorrow v.z., Damodar. The DVC’s main projects include four dams at Maithon, Panchet and Konar, with connected hydro-electric power stations (except at Konar), Thermal Power Station at Bokaro ‘A’, Bokaro ‘B’, Chandrapura, Durgapura, Mejia and also one gas turbine station at Maithon.</p>"
44," <p>Consider the following statements:</p>
<p>1. The Chinese pilgrim Fa – Hien attended the fourth Great Buddhist Council held by Kanishaka.</p>
<p>2. The Chinese pilgrim Hiuen – Tsang met Harsha and found him to be antagonistic to Buddhism.</p>
<p>Which of the statements given above is/are correct?</p>
",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Ancient and Medieval History,d,Difficult,tConceptual,Fa-Hien came to India during Chandragupta-II reign (399-414 A.D.). Harsha was not antagonistic to Buddhism when Hiuen-Tsang met him. He was a Shaiva in the beginning but embraced Buddhism gradually.
45," <p>With reference to ancient Jainism, Which one of the following statements in correct?</p>
",(a)  Jainism was spread in South India under the leadership of Sthulabahu.,(b)  The Jainas who remained under the leadership of Bhadrabahu were called Shvetambaras after the Council held at Pataligupta.,(c)  Jainism enjoyed the patronage of the Kalinga king Kharavela in the first century BC.,"(d)  In the initial stage of Jainism, the Jainas worshipped images unlike Buddhists.",Ancient and Medieval History,c,Medium,Conceptual,Jainism enjoyed the patronage of the Kalinga King Kharvela in the first century B.C. Bhadrabhanu went to South to lead the Digambaras. Sthulabahu was the leader of the Swetambaras. Jainism worshipped images in its later phase.
46," <p>Which one of the following four Vedas contains an account of magical charms and spells?</p>
",(a)  Rig-veda,(b)  Yajur-veda,(c)  Atharva-veda,(d)  Sama-veda,Ancient and Medieval History,c,Easy,Factual,"Atharva Veda contains Magical charms, spells and folk traditions."
