Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
24, <p>The Himalayan Range is very rich in species diversity. Which one among the following is the most appropriate reason for this phenomenon?</p>,(a)  It has high rainfall that supports luxuriant vegetative growth.,(b)  It is a confluence of different bio-geographical zones.,(c)  Exotic and invasive species have not been introduced in this region.,(d)  It has less human interference.,Ecology and Environment,b,Medium,Applied(A),
25," <p>With reference to India, consider the following Central Acts:</p><p>1. Import and Export (Control) Act, 1947.<br/></p><p>2. Mining and Mineral development (Regulation) Act, 1957</p><p>3. Customs Act, 1962</p><p>4. Indian Forest Act, 1927</p><p>Which of the above Acts have relevance to/bearing on the biodiversity conservation in the country?</p><p></p><br/>",(a)  1 and 3 only,"(b)  2, 3 and 4 only","(c)  1, 2, 3 and 4",(d)  None of the above Acts.,Ecology and Environment,c,Difficult,tApplied(A),
26, <p>Karl Marx explained the process of class struggle with the help of which one of the following theories?</p>,(a)  Empirical liberalism,(b)  Existentialism,(c)  Darwin’s theory of evolution,(d)  Dialectical materialism,gs_unclassified,d,Difficult,tFundamental(F),
27, <p>A layer in the Earth’s atmosphere called Ionosphere facilitates radio communication. Why?</p><p>1. The presence of ozone causes the reflection of radio waves to Earth.</p><p>2. Radio waves have a very long wavelength. </p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Science and Technology,d,Medium,Fundamental(F),
28, <p>Both Foreign Direct Investment (FDI) and Foreign Institutional Investor (FII) are related to investment in a country. Which one of the following statements best represents an important difference between the two?</p><p> </p>,"(a)  FII helps bring better management skills and technology, while FDI only brings in capital.","(b)  FII helps in increasing capital availability in general, while FDI only targets specific sectors.","(c)  FDI flows only into the secondary market, while FII targets primary market.",(d)  FII is considered to be more stable than FDI.,Economics,b,Medium,Fundamental(F),<p><br/></p>
29," <p>A genetically engineered form of brinjal, known as the Bt-brinjal, has been developed. The objective of this is </p>",(a)  To make it pest-resistant,(b)  To improve its taste and nutritive qualities,(c)  To make it drought-resistant,(d)  To make its shelf-life longer,Science and Technology,a,Medium,Fundamental(F),
30," <p>With reference to “Aam Admi Bima Yojana”, consider the following statements:</p><p>1. The member insured under the scheme must be the head of the family or an earning member of the family in a rural landless household.</p><p>2. The member insured must be in the age group of 30 to 65 years.</p><p>3. There is a provision for free scholarship for up to two children of the insured who are studying between classes 9 and 12.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Polity and Governance,c,Easy,Fundamental(F),
31," <p>In the context of global oil prices, “Brent crude oil” is frequently referred to in the news. What does this term imply?</p><p>1. It is a major classification of crude oil.</p><p>2. Its is sourced from North Sea.</p><p>3. It does not contain sulphur. </p><p>Which of the statements given above is/are correct?</p>",(a)  2 only,(b)  1 and 2 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Economics,b,Difficult,tFundamental(F),Heavy water reactors were in news
32, <p>The function of heavy water in a nuclear reactor is to</p>,(a)  Slow down the speed of neutrons,(b)  Increase the speed of neutrons,(c)  Cool down the reactor,(d)  Stop the nuclear reaction,Science and Technology,a,Medium,Fundamental(F),
33," <p>In India, if a religious sect/community is given the status of a national minority, what special advantages it is entitled to?</p><p>1. It can establish and administer exclusive educational institutions.</p><p>2. The President of India automatically nominates a representative of the community to Lok Sabha.</p><p>3. It can derive benefits from the Prime Minister’s 15-Point Programme.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Polity and Governance,c,Medium,Applied(A),
34, <p>India is home to lakhs of persons with disabilities. What are the benefits available to them under the law?</p><p>1. Free schooling till the age of 18 years in government-run schools.</p><p>2. Preferential allotment of land for setting up business.</p><p>3. Ramps in public buildings.</p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Polity and Governance,d,Medium,Fundamental(F),
35, <p>With what purpose is the Government of India promoting the concept of “Mega Food Parks”?</p><p>1. To provide good infrastructure facilities for the food processing industry.</p><p>2. To increase the processing of perishable items and reduce wastage.</p><p>3. To provide emerging and eco-friendly food processing technologies to entrepreneurs.</p><p>Select the correct answer using the codes given below:</p>,(a)  1 only,(b)  1 and 2 only,(c)  2 and 3 only,"(d)  1, 2 and 3",Economics,b,Medium,Applied(A),
36, <p>The authorization for the withdrawal of funds from the Consolidated Fund of India must come from </p>,(a)  The President of India,(b)  The Parliament of India,(c)  The Prime Minister of India,(d)  The Union Finance Minister,Polity and Governance,b,Medium,Fundamental(F),
37, <p>All revenues received by the Union Government by way of taxes and other receipts for the conduct of Government business are credited to the</p>,(a)  Contingency Fund of India,(b)  Public Account,(c)  Consolidated Fund of India,(d)  Deposits and Advances Fund,Polity and Governance,c,Medium,Fundamental(F),
38, <p>Microfinance is the provision of financial services to people of low-income goups. This includes both the consumers and the self-employed. The service/services rendered under micro-finance is/are:</p><p>1. Credit facilities </p><p>2. Savings facilities</p><p>3. Insurance facilities</p><p>4. Fund Transfer facilities</p><p> Select the correct answer using the codes given below the lists:</p>,(a)  1 only,(b)  1 and 4 only,(c)  2 and 3 only,"(d)  1, 2 ,3 and 4",Economics,d,Medium,Fundamental(F),
39, <p>Southeast Asia has captivated the attention of global community over space and time as a geostrategically significant region. Which among the following is the most convincing explanation for this global perspective?</p><p> </p>,(a)  It was the hot theatre during the Second World War.,(b)  Its location between the Asian power of China and India.,(c)  It was the arena of superpower confrontation during the Cold War period.,(d)  Its location between the Pacific and Indian oceans and its pre-eminent maritime character.,International Affairs and Institutions,d,Medium,Applied(A),
40, <p>A company marketing food products advertises that its items do not contain trans-fats. What does this campaign signify to the customers?</p><p>1. The food products are not made out of hydrogenated oils.</p><p>2. The food products are not made out of animal fats/oils.</p><p>3. The oils used are not likely to damage the cardiovascular health of the consumers. </p><p>Which of the statements given above is/are correct? </p>,(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Science and Technology,c,Difficult,tApplied(A),
41, <p>Among the following who are eligible to benefit from the “Mahatma Gandhi National Rural Employment Guarantee Act”?</p><p> </p>,(a)  Adult members of only the scheduled caste and scheduled tribe households.,(b)  Adult members of below poverty line (BPL) households.,(c)  Adult members of households of all backward communities.,(d)  Adult member of any household.,Current Affairs,d,Medium,Fundamental(F),
42," <p>With reference to “Look East Policy” of India, consider the following statements:</p><p>1. India wants to establish itself as an important regional player in the East Asian affairs.</p><p>2. India wants to plug the vacuum created by the termination of Cold War.</p><p>3. India wants to restore the historical and cultural ties with its neighbours in Southeast and East Asia. </p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  1 and 3 only,(c)  3 only,"(d)  1, 2 and 3",International Affairs and Institutions,b,Medium,Applied(A),
43," <p>When the annual Union Budget is not passed by the Lok Sabha,</p>",(a)  the Budget is modified and presented again,(b)  the Budget is referred to the Rajya Sabha for suggestions,(c)  the Union Finance Minister is asked to resign,(d)  the Prime Minister submits the resignation of Council of Ministers,Polity and Governance,d,Easy,Fundamental(F),
44," <p>Under the constitution of India, which one of the following is not a fundamental duty?</p>",(a)  To vote in public elections,(b)  To develop the scientific temper,(c)  To safeguard public property,(d)  To abide by the Constitution and respect its ideals,Polity and Governance,a,Easy,Fundamental(F),
45," <p>With reference to the Finance Commission of India, which of the following statements is correct?</p>",(a)  It encourages the inflow of foreign capital for infrastructure development.,(b)  It facilitates the proper distribution of finances among the Public Sector Undertakings .,(c)  It ensures transparency in financial administration.,"(d)  None of the statements (a ), (b ) and (c ) given above is correct in this context.",Polity and Governance,d,Easy,Fundamental(F),
46, <p>Consider the following:</p><p>1. Right to education.</p><p>2. Right to equal access to public service.</p><p>3. Right to food. </p><p>Which of the above is/are Human Right/Human Rights under “Universal Declaration of Human Rights”?</p>,(a)  1 only,(b)  1 and 2 only,(c)  3 only,"(d)  1, 2 and 3",Polity and Governance,d,Medium,Fundamental(F),
47, <p>There is a concern over the increase in harmful algal blooms in the seawaters of India. What could be the causative factors for this phenomenon?</p><p></p><ol><li>Discharge of nutrients from the estuaries.</li><li>Run-off from the land during the monsoon.</li><li>Upwelling in the seas.</li></ol><p></p><p>Select the correct answer from the codes given below:</p>,(a)  1 only,(b)  1 and 2 only,(c)  2 and 3 only,"(d)  1, 2 and 3",Ecology and Environment,d,Medium,Fundamental(F),
48, <p>Consider the following:</p><p>1. Photosynthesis </p><p>2. Respiration </p><p>3. Decay of organic matter</p><p>4. Volcanic action</p><p>Which of the above add carbon dioxide to the carbon cycle on Earth?</p>,(a)  1 and 4 only,(b)  2 and 3 only,"(c)  2, 3 and 4 only","(d)  1, 2, 3 and 4",Ecology and Environment,c,Easy,Applied(A),
49," <p>Recently, the USA decided to support India’s membership in multi-lateral export control regimes called the “Australia Group” and the “Wassenaar Arrangement”. What is the difference between them?</p><p>1. The Australia Group is an informal arrangement which aim to allow exporting countries to minimize the risk of assisting chemical and biological weapons proliferation, whereas the Wassenaar Arrangement is a formal group under the OECD holding identical objectives.</p><p>2. The Australia Group comprises predominantly of Asian. African and North American countries, whereas the member countries of Wassenaar Arrangement are predominantly from the European Union and American continents. </p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,International Affairs and Institutions,d,Medium,Fundamental(F),
50," <p>The surface of a lake is frozen in severe winter, but the water at its bottom is still liquid. What is the reason?</p>",(a) Ice is a bad conductor of heat.,"(b) Since the surface of the lake is at the same temperature as the air, no heat is lost .",(c) The density of water is maximum at 4ºC.,"(d) None of the statements (a ), (b ) and (c ) given above is correct",Basic Sciences,c,Medium,Applied(A),
51, <p>A sandy and saline area is the natural habitat of an Indian animal species. The animal has no predators in that area but its existence is threatened due to the destruction of its habitat. Which one of the following could be that animal?</p><p><br/></p>,(a) Indian wild buffalo,(b) Indian wild ass,(c) Indian wild boar,(d) Indian gazelle,Ecology and Environment,b,Difficult,tApplied(A),
52," <p>La Nina is suspected to have caused recent floods in Australia. How is La Nina different from El Nino?</p><p>1. La Nina is characterised by unusually cold ocean temperature in equatorial Indian Ocean whereas El Nino is characterised by unusually warm ocean temperature in the equatorial Pacific Ocean.</p><p>2. El Nino has adverse effect on south-west monsoon of India, but La Nina has no effect on monsoon climate.</p><p>Which of the statements given above is/are correct?</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,Geography,d,Medium,Fundamental(F),
53, <p>The tendency for increased litigation was visible after the introduction of the land settlement system of Lord Cornwallis in 1793. The reason for this is normally traced to which of the following provisions?</p>,(a) Making Zamindar’s position stronger vis-à-vis the ryot.,(b) Making East India Company an overlord of Zamindars.,(c) Making judicial system more efficieant.,"(d) None of the (a ), (b ) and (c ) above",History of Modern India,c,Difficult,tApplied(A),
54, <p>Which one of the following observations is<em><strong> not</strong></em> true about the Quit India Movement of 1942?</p>,(a) It was a non-violent movement,(b) It was led by Mahatma Gandhi,(c) It was a spontaneous movement,(d) It did not attract the labour class in general,History of Modern India,b,Medium,Fundamental(F),
55, <p>Which amongst the following provided a common factor for tribal insurrection in India in the 19th century?</p>,(a) Introduction of a new system of land revenue and taxation of tribal products.,(b) Influence of foreign religious missionaries in tribal areas.,"(c) Rise of a large number of money lenders, traders and revenue farmers as middlemen in tribal areas.",(d) The complete disruption of the old agrarian order of the tribal communities,History of Modern India,d,Difficult,tApplied(A),
56," <p>India maintained its early cultural contacts and trade links with Southeast Asia across the Bay of Bengal. For this pre-eminence of early maritime history of Bay of Bengal, which of the following could be the most convincing explanation /explanations?</p>","(a) As compared to other countries, India had a better ship-building technology in ancient and medieval times.","(b) The rulers of southern India always patronized traders, Brahmin priests and Buddhist monks in this context.",(c) Monsoon winds across the Bay of Bengal facilitated sea voyages.,(d)  Both a and b are convincing explanations in this context,Ancient and Medieval History,c,Difficult,tFundamental(F),
57, <p>What is the difference between Bluetooth and Wi-Fi devices?</p>,"(a)  Bluetooth uses 2.4 GHz radio frequency band, whereas Wi-Fi can use 2.4 GHz or 5 GHz frequency band.","(b)  Bluetooth is used for Wireless Local Area Networks (WLAN) only, whereas Wi-Fi is used for Wireless Wide Area Networks (WWAN) only","(c)  When information is transmitted between two devices using Bluetooth technology, the devices have to be in the line of sight of each other, but when Wi-Fi technology is used the devices need not be in the line of sight of each other.",(d)  The statements (a ) and (b ) given above are correct in this context,Science and Technology,a,Medium,,"<ul><li>Bluetooth and Wifi provide wireless communication and uses radio signals for doing so. The main difference between Bluetooth and Wifi is the purpose behind its designing. Bluetooth is essentially used to connect short-range devices for sharing data while Wifi provides high-speed internet access.</li><li><p>Another difference between Bluetooth and Wifi is that limited number of devices have provision to connect with other devices in Bluetooth. On the other hand, Wifi provides access to more number of users. </p></li><li><p>Bluetooth is used when speed is not our concern and low bandwidth is allocated to it. Wifi provides high bandwidth as the speed of internet is an important factor.</p></li></ul><p><img data-mce-src=""https://visionresources.s3-us-west-2.amazonaws.com/test_images/nunb7jfz1mi1578295197478.jpeg"" src=""./2011_files/nunb7jfz1mi1578295197478.jpeg""/></p>"
58," <p>With reference to micro-irrigation, which of the following statements is/are correct?</p><p>1. Fertilizer/nutrient loss can be reduced.</p><p>2. It is the only means of irrigation in dry land farming.</p><p>3. In some areas of farming, receding of ground water table can be checked.</p><p>Select the correct answer using the codes given below:</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Geography,c,Difficult,tFactual,
59," <p>With reference to the period of colonial rule in India, “Home Charges” formed an important part of drain of wealth from India. Which of the following funds constituted “Home Charges”?</p><p>1. Funds used to support the India Office in London.</p><p>2. Funds used to pay salaries and pensions of British personnel engaged in India.</p><p>3. Funds used for waging wars outside India by the British.</p><p>Select the correct answer using the codes given below:</p>",(a)  1 only,(b)  1 and 2 only,(c)  2 and 3 only,"(d)  1, 2 and 3",History of Modern India,b,Difficult,tFactual,
60, <p>What was the reason for Mahatma Gandhi to organize a satyagraha on behalf of the peasants of Kheda?</p><p>1. The Administration did not suspend the land revenue collection in spite of a drought.</p><p>2. The Administration proposed to introduce Permanent Settlement in Gujarat. </p><p>Which of the statements given above is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,History of Modern India,a,Medium,Applied(A),
61, <p>Biodiversity forms the basis for human existence in the following ways:</p><p></p><ol><li>Soil formation</li><li>Prevention of soil erosion</li><li>Recycling of waste</li><li>Pollination of crops</li></ol><p></p><p>Select the correct answer using the codes given below.</p>,"(a)  1, 2 and 3 only","(b)  2, 3 and 4 only",(c)  1 and 4 only,"(d)  1, 2 3 and 4",Ecology and Environment,d,Medium,Applied(A),
62," <p>Aspartame is an artificial sweetener sold in the market. It consists of amino acids and provides calories like other amino acids. Yet, it is used as a low-calorie sweetening agent in food items. What is the basis of this use? </p>","(a)  Aspartame is as sweet as table sugar, but unlike table sugar, it is not readily oxidized in human body due to lack of requisite enzymes.","(b)  When aspartame is used in food processing, the sweet taste remains, but it becomes resistant to oxidation.","(c)  Aspartame is as sweet as sugar, but after ingestion into the body, it is converted into metabolites that yield no calories.","(d)  Aspartame is several times sweeter that table sugar, hence food items made with small quantities of aspartame yield fewer calories on oxidation",Basic Sciences,d,Difficult,tApplied(A),
63, <p>What was the purpose with which Sir William Wedderburn and W.S. Caine had set up the Indian Parliamentary Committee in 1893?</p>,(a)  To agitate for Indian political reforms in the House of Commons,(b)  To campaign for the entry of Indians into the Imperial Judiciary,(c)  To facilitate a discussion on India’s Independence in the British Parliament,(d)  To agitate for the entry of eminent Indians into the British Parliament,History of Modern India,a,Difficult,tFundamental(F),
64," <p>What is the difference between a CFL and an LED lamp?</p><p>1. To produce light, a CFL uses mercury vapour and phosphor while an LED lamp uses semi-conductor material.</p><p>2. The average life span of a CFL is much longer than that of an LED lamp.</p><p>3. A CFL is less energy-efficient as compared to an LED lamp. </p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",Science and Technology,c,Medium,Fundamental(F),
65," <p>Recently, “oilzapper” was in the news. What is it?</p><p> </p>",(a)  It is an eco-friendly technology for the remediation of oily sludge and oil spills.,(b)  It is the latest technology developed for under-sea oil exploration.,(c)  It is a genetically engineered high biofuel-yielding maize variety.,(d)  It is the latest technology to control the accidentally caused flames from oil wells.,Science and Technology,a,Medium,Fundamental(F),
66," <p>A married couple adopted a male child. A few years later, twin boys were born to them. The blood group of the couple is AB positive and O negative. The blood group of the three sons is A positive, B positive, and O positive. The blood group of the adopted son is.</p><p> </p>",(a)  O positive,(b)  A positive,(c)  B positive,(d)  Cannot be determined on the basis of the given data,Basic Sciences,a,Medium,Applied(A),
67," <p>Mahatma Gandhi said that some of his deepest convictions were reflected in a book titled, “Unto this Last” and the book transformed his life. What was the message from the book that transformed Mahatma Gandhi?</p>",(a)  Uplifting the oppressed and poor is the moral responsibility of an educated man,(b)  The good of individual is contained in the good of all,(c)  The life of celibacy and spiritual pursuit are essential for a noble life,"(d)  All the statement a, b and c are correct in this context",History of Modern India,b,Medium,Fundamental(F),
68," <p>With reference to Indian freedom struggle, Usha Mehta is well-known for</p>",(a)  Running the secret Congress Radio in the wake of Quit India Movement.,(b)  Participating in the second round Table Conference.,(c)  Leading a contingent of Indian National Army.,(d)  Assisting in the formation of Interim Government under Pandit Jawaharlal Nehru,History of Modern India,a,Medium,Fundamental(F),
69," <p>A new optical disc format know as the Blu-ray Disc (BD) is becoming popular. In What way is it different form the traditional DVD?</p><p>1. DVD supports standard Definition video while BD supports High definition Video.</p><p>2. Compared to a DVD, the BD format has several times more storage capacity.</p><p>3. Thickness of BD is 2.4 mm while that of DVD is 1.2 mm.</p><p> Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  1 and 2 only,(c)  2 and 3 only,"(d)  1, 2 and 3",Science and Technology,b,Medium,Fundamental(F),
70," <p>With reference to the period of Indian freedom struggle, which of the following was/were recommended by the Nehru report?</p><ol><li>Complete Independence for India.</li><li>Joint electorates for reservation of seats for minorities.</li><li>Provision of fundamental right for the people of India in the constitution.</li></ol><p>Select the correct answer using the codes given below:</p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",History of Modern India,b,Difficult,tFundamental(F),
71," <p>Among the following States, which one has the most suitable climatic conditions for the cultivation of a large variety of orchids with minimum cost of production, and can develop an export oriented industry in this field?</p>",(a)  Andhra Pradesh,(b)  Arunachal Pradesh,(c)  Madhya Pradesh,(d)  Uttar Pradesh,Geography,b,Medium,Fundamental(F),<p><br/></p>
