Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
20, <p>Which of the following States border Uttar Pradesh? </p><p>1. Punjab </p><p>2. Rajasthan </p><p>3. Chhattisgarh </p><p>4. Jharkhand </p><p>Select the correct answer using the codes given below: </p>,"(a)  1, 2, 3 and 4","(b)  2, 3 and 4",(c)  1 and 4,(d)  1 and 3,,b,,,<br/>
21, <p>Consider the following statements:</p><p>1. Kyoto Protocol came into force in the year 2005.</p><p>2. Kyoto Protocol deals primarily with the depletion of the Ozone layer.</p><p>3. Methane as a greenhouse has is more harmful than carbon dioxide.</p><p>Which of the statements given above is/are correct?</p>,(a)  1 and 2,(b)  1 and 3,(c)  1 only,(d)  3 only,Ecology and Environment,b,Difficult,tFactual,"<ul><li>Kyoto protocol came into force on February 16, 2005 with an obligation on 39 industrialized countries to reduce emissions by an average of 5.2 percent relative to levels prevailing in 1990. Methane accounts for about 20% of contribution to global warming by greenhouse though it is less in concentration (1,720 ppbv) against CO2’s 60% contribution with 358 ppmv concentration in the atmosphere. In consideration of the 20 year total sum of its intensity of green house effect (global warming index), based on the fact that its atmospheric residence time is 56 times longer than that of CO2.</li></ul>"
22, <p>Where are the Balearic Islands located?</p>,(a)  Mediterranean Sea,(b)  Black Sea,(c)  Baltic Sea,(d)  North Sea,,a,,,"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">Balearic Islands are located in Mediterranean Sea. These
islands are divided into Gimnesias (Malloria, Menora and Cabrera) in the North
and Pitiuass (Ibiza Formentrera in the South west.</p>
</div>"
23," <p>According to Census 2001, which one of the following Indian States has the maximum population in India after Uttar Pradesh? </p>",(a)  West Bengal,(b)  Maharashtra,(c)  Bihar,(d)  Tamil Nadu,,b,,,"<ul><li>State Population (‘000) India 1,028,610 Uttar Pradesh 1,66,198 Maharashtra 96,879 Bihar 82,999 West Bengal 80,176 Andhra Pradesh 76,210 Tamil Nadu 62,406.</li></ul>"
24," <p>Consider the following statements: </p><p>1. Areawise, Chattisgarh is larger than West Bengal. </p><p>2. According to the Population 2001 Census, population of West Bengal is larger than that of Chhattisgarh. </p><p>Which of the statements given above is/are correct? </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,,c,,,"<p>State Area (sq. km.) Population (2001 Census) Chhattisgarh 1,36,034 2,07,95,956 West Bengal 88,752 8,02,21,171</p>"
25, <p>Which one of the following is the correct statements on the basis of Census-2001? </p>,(a)  Bihar has the highest percentage of the Scheduled Castes of its population.,(b)  The decadal growth of population of India (1991-2001) has been below 20%.,(c)  Mizoram is the Indian State with the least population.,(d)  Pondicherry has the highest sex ratio among the Union Territories.,,d,,,"<ul><li>Punjab (28.85) has the highest percentage of the Scheduled Castes of its population followed by Himachal Pradesh (24.72) and West Bengal (23.02). Decadal Growth Rate (%) Census Period 21.54 1991-2001 23.87 1981-1991 24.66 1971-1981 Sikkim (540,851) has the least population followed by Mizoram (888,573) and Arunachal Pradesh (10,87,968). The Sex ratio is highest in Pondicherry (&gt;1,000) and lowest in Daman and Diu (709) among Union Territories.</li></ul>"
26, <p>Assertion (A): The same face of the Moon is always presented to the Earth.</p><p>Reason (R): The Moon rotates about its own axis in 23½ days which is about the same time that it takes to orbit the Earth.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,,c,,,"<p>Moon rotates more slowly than the Earth and takes little over 27 days to rotate once. Since it takes about the same time to resolve around the earth, it always presents the same face or hemisphere to the Earth. Hence R is not correct statement.</p>"
27, <p>Consider the following statements concerning the Indian Railways: </p><p>1. The Head Quarters of the North Western Railway are located at Jodhpur. </p><p>2. ‘Indrain pass’ – a travel-as-you-please ticket has been created especially for freedom fighters and sportspersons who have represented India in any game/sport. </p><p>3. Fairy Queen is a train using the world’s oldest working engine and the Indian Railway conduct a journey of wildlife and heritage sites on it. </p><p>Which of the statements given above is/are correct? </p>,(a)  2 only,(b)  3 only,(c)  1 and 2,(d)  None,,b,,,<p>The Headquarters of the North Eastern Railways is located at Jaipur. ‘Indrail pass’ – a travel as-you-please ticket has been issued and sold only to foreign nationals and Indians living abroad holding valid passport.</p>
28, <p>Consider the following statements: </p><p>1. India is the only country in the world producing all the five known commercial varieties of silk. </p><p>2. India is the largest producer of sugar in the world. </p><p>Which of the statements given above is/are correct? </p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,,a,,,<ul><li>India is second largest producer of Sugar after Brazil in the world. Maharashtra contributes about 1/3rd of country’s sugar production followed by Uttar Pradesh.</li></ul>
29," <p>
	Match List-I with List-II and select the correct answer using the codes given below the lists:</p>
<table border=""0"" cellpadding=""0"" cellspacing=""0"">
<tbody>
<tr>
<td style=""width:163px;"">
<p>
					List-I (National Park/Wild-life Sanctuary)</p>
</td>
<td style=""width:120px;"">
<p>
					List-I (State)</p>
</td>
</tr>
<tr>
<td style=""width:163px;"">
<p>
					A. Bondla Wildlife Sanctuary</p>
</td>
<td style=""width:120px;"">
<p>
					1. Orissa</p>
</td>
</tr>
<tr>
<td style=""width:163px;"">
<p>
					B. Kangerghat National Park</p>
</td>
<td style=""width:120px;"">
<p>
					2. Assam</p>
</td>
</tr>
<tr>
<td style=""width:163px;"">
<p>
					C. Orang Sanctuary</p>
</td>
<td style=""width:120px;"">
<p>
					3. Chhattisgarh</p>
</td>
</tr>
<tr>
<td style=""width:163px;"">
<p>
					D. Ushakothi Wildlife Sanctuary</p>
</td>
<td style=""width:120px;"">
<p>
					4. Goa</p>
</td>
</tr>
<tr>
<td style=""width:163px;"">
				 </td>
<td style=""width:120px;"">
<p>
					5. Tripura</p>
</td>
</tr>
</tbody>
</table>
<p>
	     A B C D</p>
<p>
</p>",(a)  2 1 5 3,(b)  4 3 2 1,(c)  2 3 5 1,(d)  4 1 2 3,,b,,,<ul><li>A. Bondla Windlife Sanctuary – Goa B. Kangerghat National Park – Chhattisgarh C. Orang Sanctuary – Assam D. Ushakothi Wildlife Sanctuary – Orissa.</li></ul>
30, <p>Which one of the following is not a Biosphere Reserve? </p>,(a)  Agasthyamalai,(b)  Nallamalai,(c)  Nilgiri,(d)  Panchmarhi,,b,,,"<p>Nallamalai. The Biosphere Reserves of India (14) are Nilgiri, Nanda Devi, Nokrek, Manas, Sunderbans, Gulf of Mannar, Great Nicobar, Simlipal, Dibru-Daikhowa, Dihang-Dibang, Panchmarhi, Kanchenjunga, Achanakmar Amarkantak and Agasthyamalai. Out of these Nilgiri, Sunderbans and Gulf of Mannar have been recognized on World Network of Biosphere Reserves by UNESCO.</p>"
31, <p>Consider the following statements: </p><p>1. Silent valley National Park is in the Nallamalai range. </p><p>2. Pathrakkadavu Hydroelectric Project is proposed to be built near the Silent Valley National Park. </p><p>3. The Kunthi river originates in Silent Valley’s rainforests. </p><p>Which of the statements given above is/are correct? </p>,(a)  1 and 3,(b)  2 only,(c)  2 and 3,"(d)  1, 2 and 3",,c,,,<p>Silent Valley National Park is present in the Kudali Hills of the Western Ghats at the south western corner of the Nilrigi Hills in Palghat district in Kerala. Nallamalai range is present in Andhra Pradesh.</p>
32, <p>Which one of the following cities is not a former capital of the given country (Country given in the brackets)? </p>,(a)  Karachi (Pakistan),(b)  Auckland (New Zealand),(c)  Kyoto (Japan),(d)  Brisbane (Australia),,d,,,"<p>Karachi was the capital of newly independent Pakistan from 1947 until 1959. In 1959, Rawalpindi became the second capital, and in 1967 Islamabad became permanent capital. Auckland was colonial of New Zealand in 1840 and in 1865 the capital was transferred to Wellington. Upto 1185, Kyoto was the capital of Japan. In 1185, it was transferred to Tokyo (Kamakura). Brisbane was the capital of Queensland. It never was the capital of Australia.</p>"
33, <p>Which one of the following pairs is not correctly matched? </p>,(a)  Seikan Rail Tunnel : China,(b)  Petronas Towers : Malaysia,(c)  Appalachian Trail : United States of America,(d)  Rogum Dam : Tajikistan,,a,,,"<p>Petronas Towers – Malaysia Appalachian Trail – U.S.A. Rogum Dam – Tajikistan Seikan Rail Tunnel, 34 miles in length is the world’s longest and most costly tunnel linking all the islands of Japan by train.</p>"
34, <p>Which one of the following is the correct sequence of the given towns of Pakistan while moving from the North towards the South? </p>,(a)  Islamabad – Gujranwala – Peshawar – Multan,(b)  Peshawar – Gujranwala – Multan – Islamabad,(c)  Peshawar – Islamabad – Gujranwala – Multan,(d)  Islamabad – Multan – Peshawar – Gujaranwala,,c,,,<p>Sequence of towns of Pakistan moving from North to South: Peshawar – Islamabad – Gujranwala – Multan.</p>
35, <p>Which one of the following is the correct sequence of the given Indian cities in the decreasing order of their normal annual rainfall? </p>,(a)  Kochi – Kolkata – Delhi – Patna,(b)  Kolkata – Kochi – Patna – Delhi,(c)  Kochi – Kolkata – Patna – Delhi,(d)  Kolkata – Kochi – Delhi -Patna,,c,,,<p>Kochi – Kolkata – Patna – Delhi.</p>
36, <p>Which one of the following is the correct sequence of the given hills starting from the north and going towards the south? </p>,(a)  Nallamalai Hills – Nilgiri Hills – Javadi Hills – Anaimalai Hills,(b)  Anaimalai Hills – Javadi Hills – Nilgiri Hills – Nallamalai Hills,(c)  Nallamalai Hills – Javadi Hills – Nilgiri Hills – Anaimalai Hills,(d)  Anaimalai Hills – Nilgiri Hills – Javadi Hills – Nallamalai Hills,,c,,,<p>Nallamalai Hills – Javadi Hills – Nilgiri Hills – Anaimalai Hills.</p>
37," <p>Where is the volcanic mountain, Mount St. Helens located? </p>",(a)  Chile,(b)  Japan,(c)  Philippines,(d)  United States of America,,d,,,<ul><li>Mount St. Helens is located in United States of America.</li></ul>
38," <p>Consider the following statements: </p><p>1. The forest cover in India constitutes around 20% of its geographical area. Out of the total forest cover, dense forest constitutes around40%.</p><p>2. The National Forestry Action Programme aims at bringing one-third of the area of Indian under tree/ forest cover.</p><p> Which of the statements given above is/are correct? </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,,b,,,<p>Type Area (000 sq. km) in 2003 % of the Geographical Area Total Forest Cover 678.33 20.64 Dense Forests 51.29 1.58 Moderately dense forests 339.28 10.32 Open forests 287.67 8.76 Total Tree cover 81.47 2.48 Forest and The cover 757.01 23.03</p>
39, <p>Which one of the following is the correct sequence of the given Continents in the decreasing order of their percentage of Earth’s land? </p>,(a)  North America – Africa – South America – Europe,(b)  Africa – North America – South America – Europe,(c)  North America – Africa – Europe – South America,(d)  Africa – North America – Europe – South America,,b,,,"<p>Continent Area (sq. km.) % area Asia 44,579,000 29.5 Africa 30,065,000 20.0 North America 24,256,000 16.3 South America 17,819,000 11.8 Antarctica 13,209,000 9.6 Europe 9,938,000 6.5 Oceania 7,687,000 5.2</p>"
40, <p>Which one of the following statements is not correct?</p>,"(a)  Rourkela Steel Plant, the first integrated steel plant in the Public Sector of India was set up with the Soviet Union collaboration.",(b)  Salem Steel Plant is a premier producer of stainless steel in India.,(c)  Maharashtra Elektrosmelt Ltd. is a subsidiary of the Steel Authority of India Ltd.,(d)  Visakhapatnam Steel Plant is a unit of the Rashtriya Ispat Nigam Ltd.,,a,,,"<p>Rourkela Steel Plant, located in Sundargarh district was set up in collaboration with the German Firm Krupps and Demag and was commissioned in 1959.</p>"
41," <p>For which one of the following items, if Tirupur well-known as a huge exporter to many parts of the world? </p>",(a)  Gems and Jewellary,(b)  Leather goods,(c)  Knitted garments,(d)  Handicrafts,,c,,,<p>Knitted garments.</p>
42, <p>Match items in the List-I with List-II and select the correct answer using the codes given below the lists: </p><p><strong>List-I (Power Station)    List-II (State)</strong> </p><p>A. Kothaguden                1. Andhra Pradesh </p><p>B. Raichur                        2. Gujarat</p><p> C. Mettur                         3. Karnataka </p><p>D. Wanakbori                  4. Tamil Nadu </p>,(a)  A-4 B-2 C-1 D-3,(b)  A-1 B-3 C-4 D-2,(c)  A-4 B-3 C-1 D-2,(d)  A-1 B-2 C-4 D-3,,b,,,<p>A. Kothagudem – Andhra Pradesh B. Raichur – Kanataka C. Mettur – Tamil Nadu D. Wanakbori – Gujarat.</p>
43," <p>For which one of the following, is Satara well-known? </p>",(a)  Thermal power plant,(b)  Wind energy plant,(c)  Hydro-electric plant,(d)  Nuclear power plant,,b,,,<p>Wind Energy Plant.</p>
44, <p>Match List-I (Atomic Power Plants/Heavy Water Plants) with List-II (State) and the select the correct answer using the code given below the lists: </p><p><strong>List-I                     List-II</strong> </p><p>A. Thal                 1. Andhra Pradesh </p><p>B. Manuguru      2. Gujarat </p><p>C. Kakrapar         3. Maharashtra </p><p>D. Kaiga               4. Rajasthan </p><p>                             5. Karnataka </p>,(a)  A-2 B-1 C-4 D-5,(b)  A-3 B-5 C-2 D-1,(c)  A-2 B-5 C-4 D-1,(d)  A-3 B-1 C-2 D-5,,d,,,<ul><li>A. Thal – Maharashtra B. Manuguru – Andhra Pradesh C. Kakrapar – Gujarat D. Kaiga – Karnataka.</li></ul>
45, <p>Who among the following was not a contemporary of the other three? </p>,(a)  Bimbisara,(b)  Gautama Buddha,(c)  Milinda,(d)  Prasenjit,Ancient and Medieval History,b,Easy,Factual,"Milinda was not a contemporary of Bimbisara, Gautama Buddha and Prasenjit, who were belong to pre-Mauryan period whereas Milinda to post-Mauryan period. Milinda an Indo-Greek King was famous for his conversation with ‘Naga Sena’, which was recorded as ‘Milind-Panho’."
46," <p>
	Consider the following statements:</p>
<p>
	1. India is the second country in the world to adopt a National Family Planning Programme.</p>
<p>
	2. The National Population Policy of India 2000 seeks to achieve replacement level of fertility by 2010 with a population of 111 crores.</p>
<p>
	3. Kerala is the first State in India to achieve replacement level of fertility.</p>
<p>
	Select the correct answer using the code given below.</p>
<p>
</p>",(a)  1 only,(b)  1 and 2 only,(c)  2 and 3 only,"(d)  1, 2 and 3",,c,,,<p>India is the first country in the world to adopt a National Family Planning Programme in the year 1952.</p>
47, <p>Which party was founded by Subhash Chandra Bose in the year 1939 after he broke away from the Congress?</p>,(a)  Indian Freedom Party.,(b)  Azad Hind Fauz.,(c)  Revolutionary Front.,(d)  Forward Block.,History of Modern India,d,Medium,Factual,<ul><li>Forward Block was founded in the year 1939 by Subhash Chandra Bose.</li></ul>
48," <p>Consider the following statements: The Government of India Act, 1935 provided for:</p><p> 1. The provincial autonomy. </p><p>2. The establishment of Federal Court.</p><p> 3. All India Federation at the Centre.</p><p>Select the correct answer using the code given below.</p>",(a)  1 and 2 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",History of Modern India,d,Medium,Factual,"<ul><li>Government of India Act, 1935 provides for provincial autonomy, Federal court and All India Federation at the Centre.</li></ul>"
49," <p>Consider the following statements:</p><p></p><ol><li>Warren Hastings was the first Governor General who established a regular police force in India on the British pattern.</li><li>A Supreme Court was established at Calcutta by the Regulating Act, 1773.</li><li>The Indian Penal Code came into effect in the year 1860.</li></ol><p></p><p>Select the correct answer using the code given below.</p>",(a)  1 and 2 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",History of Modern India,b,Difficult,tFactual,"<ul><li>Cornwallis<span data-mce-bogus=""true"" id=""_mce_caret""><strong>﻿</strong></span> was the first Governor General who established a regular force on the British pattern in India.</li></ul>"
50, <p>Which one of the following is the correct chronological order of the battle fought in India in the 18th Century? </p>,(a) Battle of Wandiwash – Battle of Buxar – Battle of Ambur – Battle of Plassey.,(b) Battle of Ambur – Battle of Plassey – Battle of Wandiwash – Battle of Buxar.,(c) Battle of Wandiwash – Battle of Plassey – Battle of Ambur – Battle of Buxar.,(d)  Battle of Ambur – Battle of Buxar – Battle of Wandiwash – Battle of Plassey.,History of Modern India,b,Medium,Factual,<ul><li>Battle of Ambur – Early Seventees Battle of Plassey – 1757 Battle of Wandiwash – 1760 Battle of Buxar – 1764</li></ul>
51, <p>Which one of the following is the correct statements? </p>,(a) The modern Kochi was a Dutch colony till India’s Independence.,(b) The Dutch defeated the Portuguese and built For Williams in the modern Kochi.,(c) The modern Kochi was first a Dutch colony before the Portuguese took over from them.,(d)  The modern Kochi never became a part of the British colony.,History of Modern India,d,Medium,Factual,"<ul>
<li>
		Dutch lost all their settlements in India to British in 1795. Fort Williams was built by the British in Kolkata. Portuguese were the first to take Kochi as their Colony. Kochi never became a part of British Colony.</li>
</ul>
"
52," <p>Consider the following statements: </p><p>1. Lord Mountbatten was the Viceroy when Simla Conference took place.</p><p> 2. Indian Navy Revolt, 1946 took place when the Indian sailors in the Royal Indian Navy at Bombay and Karachi rose against the Government. </p><p>Select the correct answer using the code given below.</p><p> </p>",(a)  1 only,(b) 2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,History of Modern India,b,Medium,Factual,"<ul><li>Simla Conference (1945) took place when Lord Wavell was the Viceroy (1943-47). On February 18, 1946 Naval ratings of HMIS Talwar at Bombay and later the Naval ratings of HMIS Hindustan at Karachi went on strike. On 28th February 1946, with the efforts of Vallabhbhai Patel, Mohammal Ali Jinnah and some of the communist leaders, the ratings were agreed to surrender.</li></ul>"
53, <p>Which one of the following territories was not affected by the Revolt of 1857? </p>,(a)  Jhansi .,(b)  Chittor.,(c) Jagdishpur.,(d)  Lucknow.,History of Modern India,b,Medium,Factual,"<ul><li>Most of the Punjab, Rajputana (Chittor) and Kashmir remained peaceful Nizam of Hyderabad, Gulab Singh of Kashmir, Sikh rulers of Patiala, Nabha and Jind, Hoklar of Indore, Scindia of Gwalior of retain their position and state, helped the British to suppress the revolt of 1857.</li></ul>"
