Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
11," <p>From north towards south, which one of the following is the correct sequence of the given rivers in India? </p>",(a)  Shyok – Spiti – Zaskar – Satluj,(b)  Shyok – Zaskar – Spiti – Satluj,(c)  Zaskar – Shyok – Satluj – Spiti,(d)  Zaskar – Satluj – Shyok – Spiti,Geography,b,Difficult,tApplied(A),<p>The correct sequence of the rivers from North towards South : Shyok – Zeaskar – Spiti – Satluj.</p>
12, <p>Which one of the following statements is not correct?</p>,(a)  Mahanadi River rises in Chhattisgarh,(b)  Godavari River rises in Maharashtra,(c)  Cauvery River rises in Andhra Pradesh,(d)  Tapti River rises in Madhya Pradesh.,Geography,c,Medium,Applied(A),"<p>Cauvery River originates from Brahmagiri of Western Plateau (Karnataka) while Mahanadi originated from Dandakaranya (Chhattisgarh), Godavari from Triyambakeshwar (Nasik) and Tapti river from Muttai’s Baitul district (Madhya Pradesh).</p>"
13, <p>Huangpu River flows through which one of the following cities?</p>,(a)  Beijing,(b)  Ho Chi Minh City,(c)  Shanghai,(d)  Manila,Geography,c,Difficult,tFundamental(F),"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">Huangpu river flows through Shanghai city, is the most
important Shipping artery from the mouth of the Yangtzekiang river in Wusong to
the East China sea. Huangpu river is a tributary of Yangtzekiang river (3rd
longest river in the world after Nile and Amazon).</p>
</div>"
14, <p>Recently Uttar Pradesh and Madhya Pradesh governments signed a Memorandum of Understanding for the linking of two rivers as a link project. Which are these two rivers?</p>,(a)  Betwa and Chambal,(b)  Betwa and Ken,(c)  Chambal and Son,(d)  Ken and Narmada,Current Affairs,b,Medium,Fundamental(F),"<p>A tripartite agreement for the first interlinking of River has been signed by Centre, Uttar Pradesh and Madhya Pradesh to divert surplus waters of Ken river basin to water deficit Betwa basin, through construction of Dandhan dam on Ken river and a 231 km. long canal.</p>"
15, <p>What is the approximate mean velocity with which the Earth moves round the Sun in its orbit? </p>,(a)  20 km/s,(b)  30 km/s,(c)  40 km/s,(d)  50 km/s,Science and Technology,b,Easy,Fundamental(F),<p>The approximate mean velocity with which the Earth moves round the Sun in its orbit is 30 km/s. (29.8 km/s)</p>
16, <p>Which one of the following pairs is not correctly matched? </p>,(a)  Slovenia : Bratislava,(b)  Seychelles : Victoria,(c)  Sierra Leone : Freetown,(d)  Uzbekistan : Tashkent,Geography,a,Difficult,tFundamental(F),"<p>Slovenia – Ljubljana, Seychelles – Victoria, Sierra Leone – Freetown, Uzbekistan – Tashkent Bratislava is the capital city of Slovakia.</p>"
17," <p>Where is Davos – the venue of the annual meeting of World Economic Forum, located?</p><p> </p>",(a)  France,(b)  Germany,(c)  Switzerland,(d)  Luxembourg,International Affairs and Institutions,c,Easy,Fundamental(F),"<p>Davos, the venue of the annual meeting of World Economic Forum is located in Switzerland.</p>"
18, <p>Claims to the historical Macedonian territory have been a bone of contention between which of the following countries? </p>,(a)  Portugal and Spain,(b)  Bulgaria and Greece,(c)  Romania and Bulgaria,(d)  Portugal and Greece,World History,b,Medium,Fundamental(F),"<p>Claims to the historical Macedonian territory have been a bone of contention between Bulgaria and Greece. The old European civilization flourished in Macedonia between 7000 and 3500 B.C. The existence of Macedonian nation was permanently distributing the neighbouring countries viz., Greece, Bulgaria, Serbia and Albania.</p>"
19, <p>In which one of the following oceans is Diamantia Trench situated? </p>,(a)  Pacific Ocean,(b)  Atlantic Ocean,(c)  Indian Ocean,(d)  Arctic Ocean,Geography,c,Difficult,tFundamental(F),"<p>Diamantia Trench is situated in the South east Indian Ocean basin. It is the deepest trench of the Indian Ocean (8,047 m).</p>"
20, <p>Bermuda triangle extends up to which of the following places?</p><p>1. Southern Florida</p><p>2. Puerto Rico</p><p>3. Hawaii Islands </p><p>Select the correct answer using the code given below:</p>,"(a)  1, 2 and 3","(b)  1 and 2, only","(c)  2 and 3, only","(d)  1 and 3, only",Geography,b,Difficult,tApplied(A),"<p>Bermuda triangle extends upto southern Florida San Juan and Puerto Rico in the Atlantic Ocean. Hawaii islands are present in Pacific ocean. This triangle is noted for a high incidence of unexplained losses of ships, small boats and aircraft.</p>"
21, <p>Match List-I with List-II and select the correct answer using the code given below the lists:</p><p><strong> List-I (Valley)                 List-II State)</strong> </p><p>A. Markha Valley          1. Sikkim </p><p>B. Dzukou Valley          2. Himachal Pradesh </p><p>C. Sangla Valley           3. Jammu and Kashmir </p><p>D. Yumthang Valley    4. Nagaland </p><p>     A B C D </p>,(a)  2 4 3 1,(b)  3 1 2 4,(c)  2 1 3 4,(d)  3 4 2 1,Geography,d,Difficult,tFundamental(F),"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">A. Markha Valley – J &amp; K B. Dzukou Valley – Nagaland C.
Sangla Valley – Himachal Pradesh D. Yumthang Valley – Sikkim</p>
</div>"
22," <p>Consider the following statements:</p><p>1. Sikkim has the minimum area among the 28 Indian States (Delhi and Pondicherry not included).</p><p>2. Chandigarh has the highest literacy rate among Pondicherry, NCT of Delhi and other Union Territories.</p><p>3. Maharashtra has the highest population after Uttar Pradesh among the 28 Indian States (Delhi and Pondicherry not included).</p><p>Which of the statements given above is/are correct?</p>",(a)  1 and 2 only,(b)  2 and 3 only,(c)  3 only,"(d)  1,2 and 3",Geography,c,Medium,Applied(A),"<ul><li>Goa is the smallest state (3,702 sq.km.) followed by Sikkim (7,096 sq. km) and Tripura (10,492 sq.km.). Lakshadweep (86.7%) has the highest literacy rate among the Union Territories followed by Chandigarh (81.9%), Delhi (81.7%), Andaman and Nicobar Islands (81.3%), Pondicherry (81.2%), Daman and Diu (78.2%) and Dadra and Nagar Haveli (57.6%). Maharashtra has the highest population after Uttar Pradesh followed by Bihar, West Bengal and Andhra Pradesh.</li></ul>"
23," <p>Consider the following statements: </p><p>1. According to the Census 2001, Kerala has the smallest gap in male and female literacy rates among the 28 states of India (Delhi and Pondicherry not included).</p><p>2. According to the Census 2001, Rajasthan has literacy rate above the national average literacy rate.</p><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Geography,d,Medium,Fundamental(F),"<ul><li>According to the 2001 Census, Rajasthan has literacy rate (60.41%) below the national average literacy rate (64.84%). State Literacy rate (%) Total Male Female Gap Kerala 90.9 94.2 87.7 6.5 Mizoram 88.8 90.7 86.7 4.0 (smallest gap) Meghalaya 62.6 65.4 59.6 5.8 Rajasthan 60.4 75.7 43.9 31.8</li></ul>"
24, <p>Which one of the following pairs is not correctly matched?</p><p> Monastery state</p>,(a)  Dhankar Monastery : Himachal Pradesh,(b)  Rumtek Monastery : Sikkim,(c)  Tabo Monastery : Himachal Pradesh,(d)  Kye Monastery : Arunachal Pradesh,Indian Art and Culture,d,Difficult,tFundamental(F),<p>Kye Monastery is situated in the Lahaul and Spiti district of Himachal Pradesh.</p>
25," <p>Assertion (A): To orbit around Sun, the planet Mars takes lesser time than time taken by the Earth. </p><p>Reason (R): The diameter of the planet Mars is less than that of the Earth.</p>",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Science and Technology,c,Difficult,tApplied(A),"<p>To orbit around the Sun, the planet Mars (Red planet) takes more time (687 days) than time taken by Earth (365 ¼ days). The diameter of the planet Mars (6,787 km) is less than that of the Earth (12,756 km).</p>"
26, <p>Which one of the following pairs is not correctly matched? Railway Zone Headquarters:</p>,(a)  North Eastern Railway : Gorakhpur,(b)  South Eastern Railway : Bhubaneshwar,(c)  Eastern Railway : Kolkata,(d)  South East Central Railway : Bilaspur,Geography,b,Medium,Fundamental(F),<ul><li>Railway Zone Headquarters South Eastern Railway : Kolkata East Coat Railway : Bhubaneshwar</li></ul>
27, <p>Assertion (A): The percentage of net sown area in the total area of Andhra Pradesh is less as compared to that of West Bengal.</p><p>Reason (R): The soil of most of the Andhra Pradesh is laterite. </p>,(a)  Both A and R are true and R is the correct explanation of A,(b)  Both A and R are true but R is NOT the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Geography,c,Difficult,tApplied(A),"<ul><li>Red Soils occupy over 66% of the cultivated area in Andhra Pradesh followed by Black Soils (25%), alluvial loamy soils (5%), coastal sands (3%) and laterite soils (1%). The percentage of Net sown area in the total area of Andhra Pradesh (38.94%) of less than West Bengal (62.2%).</li></ul>"
28," <p>Where is Bundala Biosphere Reserve which has been recently added to the UNESCO""s Man and Biosphere (MAB) network, located?</p>",(a)  Russia,(b)  India,(c)  Sri Lanka,(d)  Bangladesh,Ecology and Environment,c,Medium,Fundamental(F),<ul><li>South-East coast of Sri Lanka.</li></ul>
29, <p>Match List-I with List-II (Nearby Town) Wildlife Sanctuary) and select the correct answer using the code given below the lists:</p><p><strong>List-I</strong><strong>                              List-II</strong></p><p>(National Park/</p><p> </p><p>A. Chandra Prabha     1. Jaipur</p><p>B. Karera                      2. Jhansi</p><p>C. Jaisamand               3. Agra</p><p>D. Nahargarh              4. Varanasi</p><p>                                      5. Udaipur</p>,(a)  A-4 B-1 C-5 D-2,(b)  A-5 B-2 C-3 D-1,(c)  A-4 B-2 C-5 D-1,(d)  A-5 B-1 C-3 D-2,Ecology and Environment,c,Difficult,tFundamental(F),<p>A. Chandra Prabha – Varanasi B. Karera – Jhansi C. Jaisamand – Jabalpur D. Nahargarh – Jaipur</p>
30, <p>Between which of the following was the ancient town of Takshasila located?</p>,(a)  Indus and Jehelum,(b)  Jhelum and Chenab,(c)  Chenab and Ravi,(d)  Ravi and Beas,Ancient and Medieval History,a,Difficult,tApplied(A),"<p>“Takshasila” was the capital of “Ambhi who was an ally of Alexander the Great”, is present between rivers Indus and Jhelum.</p>"
31, <p>What is the new administrative capital proposed for Myanmar? </p>,(a)  Bassein,(b)  Mandalay,(c)  Myitkyina,(d)  Pyinmana,International Affairs and Institutions,d,Medium,Fundamental(F),<p>Pyinmana is the new administration capital with strategic importance proposed for Myanmar. Present capital is ‘Yangon’.</p>
32," <p>Other than India and China, which of the following groups of countries border Myanmar? </p>","(a)  Bangladesh, Thailand and Vietnam","(b)  Cambodia, Laos and Malaysia","(c)  Thailand, Vietnam and Malaysia","(d)  Thailand, Laos and Bangladesh",Geography,d,Difficult,tFundamental(F),"<p>Myanmar is bordered by Thailand, Laos, Bangladesh, China and China.</p>"
33, <p>Consider the following statements:</p><ol><li>The Richter scale is a logarithmic scale and so an increase of 1 magnitude unit represents a factor of 10 times in amplitude.</li><li>Each integer reading of the Richter scale has an energy 100 times that of the previous integer reading.</li></ol><p>Which of the statements given is/are correct?</p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Geography,a,Difficult,tApplied(A),"<ul><li>Richter scale is a logarithmic scale that runs from 1 to 9, tough no upper limit exists. An increase of 1 magnitude unit represents a factor of 10 times in amplitude i.e. a magnitude of 8 quake is 10 time more powerful than magnitude of 7 quakes. Every increase of one number in magnitude means the energy release of the quake is 32 times greater. For example, an earthquake of magnitude 6.0 releases 32 times as such energy as an earthquake measuring 5.0.</li></ul>"
34, <p>Consider the following statements:</p><p>1. Assam shares a border with Bhutan and Bangladesh</p><p>2. West Bengal shares a border with Bhutan and Nepal</p><p>3. Mizoram shares a border with Bangladesh and Myanmar</p><p>Which of the statements given above are correct?</p>,"(a)  1, 2 and 3","(b)  1 and 2, only","(c)  2 and 3, only","(d)  1 and 3, only",Geography,a,Difficult,tApplied(A),"<ul><li>Five states bordering Nepal: Uttaranchal, Uttar Pradesh, Bihar, West Bengal and Sikkim. Five states bordering Bangladesh: West Bengal, Assam, Meghalaya, Tripura and Mizoram. Five states bordering China: Jammu and Kashmir, Himachal Pradesh, Uttaranchal, Sikkim and Arunachal Pradesh. Five states bordering Pakistan: Jammu and Kashmir, Punjab, Manipur, and Mizoram.</li></ul>"
35, <p>Through which one of the following groups of countries does not Equator pass? </p>,"(a)  Brazil, Zambia and Malaysia","(b)  Colombia, Kenya and Indonesia","(c)  Brazil, Sudan and Malaysia","(d)  Venezuela, Ethiopia and Indonesia",Geography,b,Difficult,tApplied(A),"<ul><li>Equator passes through Columbia, Kenya and Indonesia. The other countries through which the equator passes through includes Gabon, Congo, Democratic Republic of Congo, Uganda, Somalia, Equator and Brazil.</li></ul>"
36, <p>Where is the Central Water and Power Research Station located? </p>,(a)  Khadakwasla,(b)  Sileru,(c)  Jamnagar,(d)  Srisailam,Geography,a,Medium,Fundamental(F),"<p>Central Water and Power Research Station located near Khadakwasla Dam (Pune). It was established in 1916 as a ‘special Irrigation cell’ by the then Bombay presidency but later in 1936, it was undertaken by Government of India.</p>"
37, <p>Which one of the following countries is the leading producer of uranium? </p>,(a)  United States of America,(b)  Canada,(c)  Germany,(d)  Zambia,Geography,b,Medium,Fundamental(F),"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">Canada is the leading producer of Uranium in the world
mainly from the deposits situated in Saskatchewan. Australia has the largest
reserve of Uranium followed by S. Africa and Nigeria.</p>
</div>"
38, <p>Match List-I (Centre of Handicrafts) with List-II (State) and select the correct answer using the code given below the lists:</p><p><strong>List-I                   List-II</strong> <br/></p><p>A. Mon               1. Arunachal Pradesh</p><p>B. Nalbari          2. Assam</p><p>C. Pasighat        3. Meghalaya</p><p>D. Tura              4. Nagaland</p><p></p><br/>,(a)  A-4 B-2 C-1 D-3,(b)  A-4 B-3 C-2 D-1,(c)  A-1 B-3 C-4 D-2,(d)  A-1 B-2 C-4 D-3,Geography,a,Difficult,tFundamental(F),<p>A. Mon – Nagaland B. Nalbari – Assam C. Pasighat – Arunachal Pradesh D. Tura- Meghalaya.</p>
39, <p>Which one of the following substances are found in the beach sands of many parts of Kerala?</p><p>1. Ilmenite</p><p>2. Zircon</p><p>3. Sillimanite</p><p>4. Tungsten</p><p>Select the correct answer using the code given below:</p>,"(a)  1, 2, 3 and 4","(b)  1, 2 and 3 only",(c)  3 and 4 only,(d)  1 and 2 only,Geography,b,Difficult,tFundamental(F),"<ul><li>The beach sands in Kollam are rich in heavy minerals like Monozite, Ilmenite, Rutile, Zircon and Silimanite. The ‘Kerala Minerals and Metals Limited’ is engaged in mining of these minerals.</li></ul>"
40," <p>
	Who among the following laid the foundation of Rashtrakuta Empire?</p>
<p>
</p>",(a)  Amoghavarsha I,(b)  Dantidurga,(c)  Dhruva,(d)  Krishna I,Ancient and Medieval History,b,Medium,Fundamental(F),"<p>
	Dantidurga laid the foundation for Rashtrakuta empire by overthrowing the last Chalukyan ruler of Badami, Kirti Varman-II. He built Dasavatara caves at Ellora.</p>
"
41," <p>With reference to the invaders in ancient India, which one of the following is the correct chronological order? </p>",(a)  Greeks – Sakas – Kushans,(b)  Greeks – Kushans – Sakas,(c)  Sakas – Greeks – Kushans,(d)  Sakas – Kushans – Greeks,Ancient and Medieval History,a,Medium,Fundamental(F),"Indo-Greeks or Bactrians – 190 B.C.
 Sakas or Scythians – 90 B.C.
 Kushanas or Yueh-Chis – 45 A.D."
42, <p>Consider the following statements: </p><p>1. The Ikshvaku rulers of Southern India were antagonistic towards Buddhism. </p><p>2. The Pala rulers of Eastern India were patrons of Buddhism. </p><p>Which of the statements given above is/are are correct? </p>,(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Ancient and Medieval History,b,Medium,Applied(A),"The Ikshvakus of Andhra might have been a distant branch of main Ikshvaku family of Ayodhya established their own kingdom in the Krishna-Guntur region with Amaravati as their capital. They were patrons of Amaravati school of Art centering on Buddhist theme. Buddhism spread to Tibet, Java, Sumatra and Malaysia during the Pala period. ‘Devapala’ permitted the Sailendra ruler of Sri Vijaya (Indonesia) ‘Balaputradeva’ to construct vihara at Nalanda. Dharmapala founded Vikramasila University and revived Nalanda University."
43, <p>The Allahabad Pillar inscription is associated with which one of the following?</p>,(a)  Mahapadma Nanda,(b)  Chandragupta Maurya,(c)  Ashoka,(d)  Sumudragupta,Ancient and Medieval History,d,Medium,Fundamental(F),The Allahabad pillar inscription is associated with ‘Samudragupta’.
44," <p>When Raja Wodeyar founded the Kingdom of Mysore, who was the ruler of the Vijayanagar Empire?</p><p> </p>",(a)  Sadasiva,(b)  Tirumala,(c)  Ranga II,(d)  Venkata II,Ancient and Medieval History,d,Medium,Fundamental(F),Ranga II (1575-1586) was the ruler of the Vijayanagar empire when Raja Wodeyar (1578-1617) founded the kingdom of Mysore. (Venkata-II ruled from 1586 to 1614).
45, <p>Which one of the following pairs is correctly matched? </p>,(a)  Vikramsila Monastery : Uttar Pradesh,(b)  Hemkund Gurudwara : Himachal Pradesh,(c)  Udayagiri Caves : Maharashtra,(d)  Amaravati Buddihst Stupa : Andhra Pradesh,Ancient and Medieval History,d,Medium,Factual,"Vikramsila Monastery – Bihar (50 km from Bhagalpur, on the foot of Hemkund Lake).
 Hemkund Gurudwara – Uttaranchal
 Udaygiri Caves – Orissa (12 km from Bhubaneshwar)
 Amaravati Buddhist Stupa – Andhra Pradesh"
46, <p>Assertion (A): ‘Balance of Payments’ represents a better picture of a country’s economic transactions with the rest of the world than the ‘Balance of Trade’. </p><p>Reason (R): ‘Balance of Payments’ takes into account the exchange of both visible and invisible items whereas ‘Balance of Trade’ does not.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Economics,a,Difficult,tApplied(A),<ul><li>Balance of payments represent a better picture of a country’s economic transactions with the rest of the world than ‘Balance of Trade’ as it includes both visible (balance of trade) and invisible items.</li></ul>
47," <p>Consider the following statements in respect of welfare schemes launched by the Ministry of Rural Development, Government of India:</p><p>1. Drinking water for rural areas in one of the components of the Bharat Nirman Plan.</p><p>2. In the National Rural Employment Guarantee Act, 2005 there is a provision that the statutory minimum wage applicable to agriculture workers in the state has to be paid to the workers under the Act.</p><p>Which if the statements given above is/are correct ?</p><p> </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Economics,c,Medium,Fundamental(F),"<ul><li>Drinking Water Supply is one of the six components of Bharat Nirman, which has been conceived as a plan to be implemented in four years from 2005-06 to 2008-09 for building Rural infrastructure. Minimum Wage in relation to any area, means the minimum wage fixed by the State Government under Section 3 of the Minimum Wages Act, 1948 for agricultural labourers as applicable in that area.</li></ul>"
48, <p>Which one of the following statements is correct?</p><p> Fiscal Responsibility and Budget Management Act (FRBMA) concerns?</p>,(a)  fiscal deficit only,(b)  revenue deficit only,(c)  both fiscal and revenue deficit,(d)  neither fiscal deficit nor revenue deficit,Economics,a,Easy,Fundamental(F),"<ul data-mce-style=""user-select: auto;"" style=""user-select: auto;""><li data-mce-style=""user-select: auto;"" style=""user-select: auto;"">Fiscal Responsibility and Budget Management Act (FRBMA), 2003 concerns both fiscal and revenue deficit. Under this Act, the Government should annually reduce the revenue deficit by atleast 0.5 percent and fiscal deficit by 0.3 percent beginning with fiscal year 2004-05 to reach targets of 0 percent and 3.5 percent of Revenue and Fiscal deficits respectively by 2008-09.</li><li data-mce-style=""user-select: auto;"" style=""user-select: auto;"">The Union budget 2018 proposed to stop setting targets on revenue deficit reduction from financial year 2019 through an amendment in the Fiscal Responsibility and Budget Management (FRBM) framework. </li></ul>"
49, <p>Which one of the following Indian banks is not a nationalized bank?</p>,(a)  Corporation Bank,(b)  Dena Bank,(c)  Federal Bank,(d)  Vijaya Bank,Economics,c,Medium,Fundamental(F),"<ul><li>The Federal Bank became a Scheduled commercial bank in 1970. The Corporation bank (1906) and the Vijaya bank were nationalized on 15th April 1980, while the Dena bank (1938) was nationalized in July 1969.</li></ul>"
50," <p>Consider the following statements:</p><p>1. In India, during the financial year 2004 – 2005 an increase of below 10% over the value of exports (in rupee terms) in the financial year 2003 – 2004 was reported.</p><p>2. According to the WTO, India’s share in the world merchandise exports crossed 2% in the year 2005.</p><p>Which of the statements given above is/are correct ?</p><p> </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Economy: External Sector,d,Medium,Fundamental(F),"<ul><li>In India, during the financial year 2004-05, an increase of 26.2% over the value of exports (in rupee terms) in the financial year 2003-04 was reported which is highest (annual growth rate in the last three decades to cross US$ 80 billion) According to the WTO, India’s share in the World Merchandise Export doesn’t cross 2% in the year 2005. India’s share in the World trade : 0.8% India’s share in the World Agricultural Exports : 1.1%</li></ul>"
51," <p>Consider the following statements in respect of the National Rural Employment Guarantee Act, 2005:</p><p>1. Under the provisions of the Act, 100 days of employment in a year to every household whose adult members volunteer to do unskilled manual work has become a fundamental right.</p><p>2. Under the provisions of the Act, women are to get priority to the extent that one-half of persons who are given employment are women who have asked for work.</p><p>Select the correct answer using the code given below.</p><p> </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Economics,d,Medium,Fundamental(F),"<ul><li>Right to work is not a fundamental right. It is subjected to the conditions laid down in the NREG Act, 2005. Women will get priority and 1/3rd beneficiaries under the programme are to be women.</li></ul>"
