Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
11, <p>Which one of the following authorities recommends the principles governing the grant-in-aid of the revenues to the states out of the Consolidated Fund of India ?</p>,(a)  Finance Commission,(b)  Inter-State Council,(c)  Union Ministry of Finance,(d)  Public Accounts Committee,Polity and Governance,a,Easy,Fundamental(F),<ul><li>Finance Commission recommends the President on the Principles that should govern the grants-in-aid to the States by the Centre (i.e. out of the Consolidated Fund of India).</li></ul>
12, <p>The salaries and allowances of the Judges of the High Court are charged to the </p>,(a)  Consolidated Fund of India,(b)  Consolidated Fund of the State,(c)  Contingency Fund of India,(d)  Contingency Fund of the State,Polity and Governance,b,Difficult,tFundamental(F),"<ul>
<li>The salary and allowances of the Judges, the salaries, allowances and pensions of the staff as well as the administrative expenses of a high court are charged on the consolidated fund of the state. Thus, they are non-votable by the state legislature (though they can be discussed by it). It should be noted here that the pension of a high court judge is charged on the Consolidated Fund of India and not the state.</li>
</ul>"
13," <p>Consider the following statements:</p><p>1. In equatorial regions, the year is divided into four main seasons.</p><p>2. In Mediterranean region, summer receives more rain.</p><p>3. In China type climate, rainfall occurs throughout the year.</p><p>4. Tropical highlands exhibit vertical zonation of different climates.</p><p>Which of these statements are correct ?</p><p> </p>","(a)  1, 2, 3 and 4 only","(b)  1, 2 and 3 only","(c)  1, 2 and 4 only",(d)  3 and 4 only,Geography,d,Medium,Applied(A),"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">Only 3, 4 are correct. Because – in equatorial regions there
is no clear distinction of main seasons. In Mediterranean area there is
rainfall during the winter but not in summer.</p>
</div>"
14, <p>Assertion (A): The surface winds spiral inwards upon the centre of the cyclone. </p><p>Reason (R): Air descends in the centre of the cyclone.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Geography,a,Difficult,tApplied(A),"<p>‘A’ is correct but ‘R’ is wrong. The surface winds spiral inwards upon the centre of the cyclone, in the eye of the cyclone air ascends. However, the central portion of the eye has a small counter current where air descends.</p>"
15," <p>Consider the following statements :</p><ol><li>Ocean currents are the slow-surface movement of water in the ocean.</li><li>Ocean currents assist in maintaining the Earth""s heat balance.</li><li>Ocean currents are set in motion primarily by prevailing winds.</li><li>Ocean currents are affected by the configuration of the ocean.</li></ol><p>Which of these statements are correct ? </p>",(a)  1 and 2,"(b)  2, 3 and 4","(c)  1, 3 and 4","(d)  1, 2, 3 and 4",Geography,b,Medium,Applied(A),"<ul><li>The ocean currents are not only slow but also could be fast. So, statements 2, 3 and 4 are correct.</li></ul>"
16, <p>Open stunted forest with bushes and small  trees having long roots and sharp thorns or spines are commonly found in?</p>,(a)  Eastern Orissa,(b)  North-Eastern Tamil Nadu,(c)  Siwaliks and Terai region,(d)  Western Andhra Pradesh,Geography,d,Medium,Applied(A),"<p>The tropical semi-desert type merges into the tropical thorn forests when natural vegetation consists of open stunted forest with widely scattered trees and bushes and having long roots and sharp thorns. Eastern Rajasthan, South-west Punjab and Haryana, Bundelkhand region of Madhya Pradesh, Southern Karnataka and adjoining Andhra Pradesh have this type of vegetation.</p>"
17, <p>Which one of the following is not a lagoon ?</p>,(a)  Ashtamudi lake,(b)  Chilka lake,(c)  Periyar lake,(d)  Pulicat lake,Geography,c,Medium,Applied(A),"<p>Lagoon means a part of sea partially cut off from it by deposits of sand or coral reefs. In the given optionals, Ashtamudi, Chilka and Pulicat are lagoons whereas Periyar lake is not a lagoon.</p>"
18, <p>The correct sequence of the eastward flowing rivers of the peninsular India from north to south is</p>,"(a)  Subarnarekha, Mahanadi, Godavari, Krishna, Pennar, Cauvery and Vaigai","(b)  Subarnarekha, Mahanadi, Krishna, Godavari, Cauvery, Vaigai and Pennar","(c)  Mahanadi, Subarnarekha, Godavari, Krishna, Cauvery, Pennar and Vaigai","(d)  Mahanadi, Subarnarekha, Krishna, Godavari, Cauvery, Vaigai and Pennar",Geography,a,Difficult,tApplied(A),"<p>Subarnarekha in Jharkhand and West Bengal, Mahanadi in Chhattisgarh and Orissa, Godavari in Maharashtra and Andhra Pradesh, Krishna and Pennar in Karnataka and Andhra Pradesh, Kaveri and Vaigai in Tamil Nadu are the east flowing rivers.</p>"
19, <p>Match List I with List II and select the correct answer using the codes given below the lists : </p><p>List I                                                                                  List II </p><p>(Mangrove)                                                                    (State) </p><p>A. Achra Ratnagiri                                             1. Karnataka </p><p>B. Coondapur                                                     2. Kerala </p><p>C. Pichavaram                                                    3. Andhra Pradesh </p><p>D. Vembanad                                                     4. Maharashtra</p><p>                                                                             5. Tamil Nadu </p><p>     A  B  C  D                                     A  B  C  D</p>,"(a)  2, 1, 5 , 4","(b)  4, 5, 3 , 2","(c)  2, 5, 3 , 4","(d)  4, 1, 5,  2",Geography,d,Difficult,tFundamental(F),<p>A. Achra Ratnagiri is located in Maharashtra. B. Coondapur is located in Karnataka. C. Pichavaram is located in Tamil Nadu. D. Vembanad is located in Kerala.</p>
20, <p>Consider the following ecosystems</p><p>1. Taiga</p><p>2. Tropical evergreen</p><p>3. Tropical deciduous</p><p>4. Tundra </p><p>The correct sequence in decreasing order of the albedo values of these ecosystems is</p>,"(a)  1, 4, 3 ,2","(b)  4, 1, 2 , 3","(c)  4, 1, 3 ,2","(d)  1, 4, 2 , 3",Geography,c,Medium,Applied(A),"<p>The earth’s average albedo is 34%. But it varies according to the texture and colour of the surface. For fresh snow, the albedo is 85%, for forests, it is 5-10%. Accordingly, the order is Tundra – Taiga – Tropical evergreen – Tropical deciduous.</p>"
21, <p>Consider the following countries:</p><p>1. Albania</p><p>2. Bosnia Herzegovina</p><p>3. Croatia</p><p>4. Macedonia</p><p>Which of these countries has/have Adriatic Sea as a bondary ? </p>,(a)  1 and 2 only,"(b)  1, 2 and 3 only",(c)  4 only,(d)  3 and 4 only,Geography,b,Difficult,tFundamental(F),"<p>Macedonia is a land locked country, whereas remaining 3 countries are having Adriatic sea as their boundary.</p>"
22, <p>The sea coast of which one of the following states has become famous as a meeting place for the giant Olive Ridley turtles form South America ?</p>,(a)  Goa,(b)  Gujarat,(c)  Orissa,(d)  Tamil Nadu,Ecology and Environment,c,Medium,Fundamental(F),<p>Orissa coast is famous as a nesting place for the giant olive Ridley turtles from South America.</p>
23, <p>Assertion (A): 60<sup>0</sup> – 65<sup>o</sup> latitudes in both the hemispheres have a low pressure belt instead of high pressure.</p><p>Reason (R): The low pressure areas are permanent over oceans rather than on land.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Geography,b,Difficult,tApplied(A),<p>Both statements are correct. But R is not correct reason for A. It is due to the rotational movement of the earth that these low and high pressure belts are formed.</p>
24, <p>India’s population growth during the 20th century can be classified into four distinct phases. Match List I with List II and select the correct answer using the codes given below the lists : </p><p>List I (Period)                                           List II </p><p> (Period)                                                   (Phase) </p><p>A. 1901-1921                         1. Steady growth </p><p>B. 1921-1951.                        2. Rapid high growth </p><p>C. 1951-1981.                        3. Stagnant growth </p><p>D. 1981-2011.                        4. High growth with definite signs of slowdown </p><p>     A  B  C  D                   A  B  C  D</p>,"(a)  3, 1, 4 ,2","(b)  1, 3, 2 , 4","(c)  3, 1, 2 ,4","(d)  1, 3, 4, 2",Geography,c,Medium,Fundamental(F),<br/>
25, <p>Which one of the following statements is correct with reference to our solar system ?</p>,(a)  The Earth is the densest of all the planets in our solar system,(b)  The predominant element in the composition of Earth is silicon,(c)  The Sun contains 75 percent of the mass of the solar system,(d)  The diameter of the Sun is 190 times that of the Earth,Geography,a,Medium,Applied(A),"<p>The predominant element in the earth’s composition is ‘Fe’ (35%), while in the earth’s crust is Oxygen (46%). The Sun contains more than 99% of the mass of the Solar System. The diameter of the Sun is 109 times that of the Earth.</p>"
26, <p>Consider the following countries :</p><p>1. Brazil</p><p>2. Indonesia</p><p>3. Japan</p><p>4. Russia</p><p>What is the descending order of the size of the following countries population wise ? </p>,"(a)  1, 2, 4 , 3","(b)  2, 3, 1,4","(c)  2, 1, 4 , 3","(d)  1, 2, 3 , 4",Geography,c,Difficult,tFundamental(F),<p>Indonesia (217 million) &gt; Brazil (170 million) &gt; Russia (146 million) &gt; Japan (127 million).</p>
27, <p>Match List I with List II and select the correct answer using the codes given below the lists:</p><p>List I                                                    List II </p><p> (Ethnic Community)                     (Country) </p><p>A. Apatani                                   1. China </p><p>B. Dayak                                      2. India </p><p>C. Dinka                                       3. Indonesia </p><p>D. Uighur                                     4. Sudan </p><p>     A  B  C  D             A  B  C  D</p>,"(a)  2 ,3 ,4, 1","(b)  3, 2, 4 , 1","(c)  2, 3, 1 ,4","(d)  3, 2, 1, 4",Geography,a,Difficult,tFundamental(F),<p>Apatani is the ethnic community of India (Arunachal Pradesh). Dyak is the ethnic community of Indonesia. Dinka is the ethnic community of Sudan (Africa). Uighur is the ethnic community of China.</p>
28," <p>Berber speaking community, frequently in the news, lives in </p>",(a)  Afghanistan,(b)  Algeria,(c)  Argentina,(d)  Australia,Current Affairs,b,Medium,Fundamental(F),<br/>
29, <p>Consider the following climatic and geographical phenomena :</p>,"(a) 1 and 2 only              (b 2, 3 and 4 only",(b) High temperature and humidity,"(c) 1, 3 and 4 only          (d) 1, 2, 3 and 4",(d) Vertical wind,Geography,d,Medium,Fundamental(F),"<p>The thunder cloud develops by all the above climatic and geographical phenomena. High temperature and humidity causes the wind to rise vertically, due to Orography or pressure of mountains. These winds get condensated and from Cumulonimbus clouds or thunder clouds.</p>"
30," <p>Sun""s halo is produced by the refraction of light in:</p>",(a)  Water vapour in Stratus clouds,(b)  Ice crystals in Cirro-Cumulus clouds,(c)  Ice crystals in Cirrus clouds,(d)  Dust particles in Stratus clouds,Geography,c,Medium,Fundamental(F),<ul><li>Sun's halo is produced by the refraction of light in Ice crystals in cirrus clouds.</li></ul>
31," <p>With reference to Indian transport systems, consider the following statements :</p><ol><li>Indian railway system is the largest in the world.</li><li>National Highways cater to 45 percent of the total road transport demand.</li><li>Among the states, Kerala has the highest density of surface road.</li><li>National Highway No.7 is the longest in the country.</li></ol><p>Which of these statements are correct ? </p>",(a)  1 and 2 only,(b)  1 and 3 only,(c)  2 and 3 only,(d)  2 and 4,Geography,d,Difficult,tFundamental(F),"<ul><li>Among the states Goa has the high density (153.8 km) of surfaced roads. National Highways are only 1.94% of the total length of roads, carries 40-45% of the total traffic across the length and breadth of the country. Indian Railway network is the largest in Asia and fourth largest in the world.</li></ul>"
32," <p>With reference to Indian agriculture, which one of the following statement is correct ?</p>",(a)  About 90 percent of the area under pluses in India is rainfed,(b)  The share of pulses in the gross cropped area at the national level has doubled in the last two decades,(c)  India accounts for about 15 percent of the total area under rice in the world,(d)  Rice occupies about 34 percent of the gross cropped area of India,Geography,a,Difficult,tApplied(A),"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">About 23% of grass cropped area of India is under Rice
Cultivation. Gross cropped area of pulses has increased from 19.09 million ha.
in 1950-51 to 20.0 million ha. In 2000-01.</p>
</div>"
33, <p>Consider the following high yielding varieties of crops in India:</p><p>1. Arjun</p><p>2. Jaya</p><p>3. Padma</p><p>4. Sonalika</p><p>Which of these are wheat ? </p><p> </p>,(a)  1 and 2,(b)  2 and 3,(c)  1 and 4,(d)  3 and 4,Geography,c,Medium,Fundamental(F),<p>Arjun and Sonalika are High Yielding Varieties (HYV) of wheat whereas Jaya and Padma are HYV of Rice.</p>
34, <p>Consider the following countries of South Asia :</p><p>1. Bangladesh</p><p>2. India</p><p>3. Pakistan</p><p>4. Sri Lanka</p><p>the descending order of literacy status of these countries is :</p>,"(a)  4, 2, 1 , 3","(b)  2, 4, 3 ,1","(c)  4, 2, 3 ,1","(d)  2, 4, 1, 3",Geography,c,Difficult,tFundamental(F),<p>The literacy percentage of the given Asian countries are – Srilanka (90.7%) &gt; India (64.8%) &gt; Pakistan (40.9%) &gt; Bangladesh (38.9%).</p>
35," <p>The average annual temperature of a meteorological station is 26<sup>o</sup>C, its average annual rainfall is 63 cm and the annual range to temperature is 9<sup>o</sup>C. The station in question is ?</p>",(a)  Allahabad,(b)  Chennai,(c)  Cherrapunji,(d)  Kolkata,Geography,a,Medium,Applied(A),"<p>Allahabad Station has average annual temperature of 260C, average annual rainfall of 63 cm and the annual range of temperature of 90C. Remaining three stations are located in high rainfall regions of more than 200 cm.</p>"
36," <p>In the case of election to the Lok Sabha, the amount of Security deposited for general category candidates and SC/St category candidates respectively is </p>","(a)  Rs. 5,000 and Rs. 2,500","(b)  Rs. 10,000 and Rs. 2,500","(c)  Rs. 15,000 and Rs. 5,000","(d)  Rs. 15,000 and Rs. 7,500",Polity and Governance,c,Easy,Fundamental(F),"<ul><li>Every candidate has to make a deposit of Rs. 10,000 for Lok Sabha and 5,000 for the Rajya Sabha elections, except for candidates from Scheduled Castes and Scheduled Tribes who pay half of these amounts.</li></ul>"
37, <p>The world’s highest ground based telescopic observatory is located in</p>,(a)  Colombia,(b)  India,(c)  Nepal,(d)  Switzerland,Geography,b,Medium,Fundamental(F),<p>The world’s highest ground based telescopic observatory is located in Ladakh of Jammu and Kashmir in India.</p>
38," <p>With reference to India, which one of the following statements is not correct ?</p>",(a)  About one-third of the area of the country records more than 750 millimetres of annual rainfall,(b)  The dominant source of irrigation in the country is wells,(c)  Alluvial soil is the predominant type of soil in the northern plains of the country,(d)  The mountain areas account for about thirty percent of the surface area of the country,Geography,a,Medium,Applied(A),<p>The average rainfall in India is about 125 cm. So more than one-third of the area of the country records more than 750 milimetres of annual rainfall. Remaining three statements are correct.</p>
39," <p>For short-term climatic predictions, which one of the following events, detected in the last decade, is associated with occasional weak monsoon rains in the Indian sub-continent ?</p>",(a)  La Nina,(b)  Movement of Jet Streams,(c)  El Nino and Southern Oscillation,(d)  Greenhouse effect on global level,Geography,c,Medium,Fundamental(F),"<ul><li>El Nino and Southern oscillation are the reasons associated with occasional weak monsoon rains in Indian sub-continent. El Nino is a warm oceanic current of pacific ocean, near Peru coast of s. America.</li></ul>"
40," <p>HINDALCO, an aluminium factory located at Renukut owes its site basically to</p>",(a)  Proximity of raw materials,(b)  Abudant supply of power,(c)  Efficient transport network,(d)  Proximity to the market,Geography,b,Medium,Applied(A),"<ul><li>HINDALCO owed its site basically to abundant supply of power. It obtains power from Rihand power house, which is nearer to this aluminium factory. Its bauxite mines are situated at Lohardaga in Bihar, and Amarkantak region of Madhya Pradesh. HINDALCO was set up in 1958 at Renukut (about 160 km from Mirzapur) in Uttar Pradesh.</li></ul>"
41, <p>Match List I with List II and select the correct answer using the codes given below the lists: List I (Ancient site) List I (Archaeological finding) </p><p>A. Lothal 1. Ploughed field </p><p>B. Kalibangam   2. Dockyard </p><p>C. Dholavaria   3. Terracotta replica of a plough </p><p>D. Banawali   4. An inscription comprising ten large sized signs of the Harappan script</p><p>Select the correct answer using the code given below.</p><p>      A   B   C    D                         A   B    C   D</p>,(a)  1   2    3    4,(b)  2    1    4   3,(c)  1   2    4    3,(d)  2    1    3   4,Ancient and Medieval History,b,Difficult,tFundamental(F),<ul><li>Ancient site Archaeological Finding Lothal - Dockyard Kalibangam - Ploughed field Dholawali - In inscription comprising ten large sized signs of the Harappan script - Terracotta replica of a plough.</li></ul>
42," <p>In ancient Indian Buddhist monasteries, a ceremony called Pavarana used to be held. It was the</p>",(a)  Occasion to elect the Sanghaparinayaka and two speakers one on Dhamma and the other on Vinaya,(b)  Confession by monks of their offences committed during their stay in the monasteries during the rainy season,(c)  Ceremony of initiation of new person into the Buddhist Sangha in which the head is shaved and when yellow robes are offered,(d)  Gathering of Buddhist monks on the next day to the full-moon day of Ashadha whf; ?In they take up a fixed adobe for the next four months of rainy season,Ancient and Medieval History,b,Medium,Fundamental(F),<ul><li>Confession by monks of their offences committed during their stay in the monasteries during the rainy season.</li></ul>
43, <p>The ancient Indian play Mudrarakshasa of Visakhadutt has its subject on</p>,(a)  A conflict between Gods and Demons of ancient Hindu lore,(b)  A romantic story of an Aryan prince and a tribal woman,(c)  The story of the power struggle between two Aryan tribes,(d)  The court intrigues at the time of Chandragupta Maurya,Ancient and Medieval History,d,Medium,Fundamental(F),<ul><li>Mudrarakshasa of Visakhadatt deals with the court intrigues at the time of Chandragupta Maurya.</li></ul>
44," <p>With reference to Sufism in Indian history, consider the following statements:</p><p>1. Shaikh Ahmad Sarhadi was a contemporary of Ibrahim Lodi.</p><p>2. Shaikh Nasiruddhin Chirg-i-Dehlavi was a disciple of Shaikh Nizamuddhin Auliya.</p><p>3. Aurangzeb was a Sufis was first Shaikh Salim Chisti.</p><p>4. The Qadiri order of Sufis was first introduced in India by Shaikh Niamatullah and Mukhdum Muhammad Jilani.</p><p>Which of these statements are correct ? </p><p> </p>",(a)  1 and 2 only,(b)  1 and 3 only,(c)  2 and 3 only,(d)  2 and 4,Ancient and Medieval History,d,Difficult,tFundamental(F),<ul><li>Shaik Nasiruddhin Chirg-i-Dehlavi was a disciple of Shaik Nizamuddin Auliya and Qadiri order was first introduced in India by Shaik Niamatullah and Makhdum Muhammad Jilani.</li></ul>
45, <p>Who among the following was the first Bhakti saint to use Hindi for the propagation of his message ?</p>,(a)  Dadu,(b)  Kabir,(c)  Ramananda,(d)  Tulsidas,Ancient and Medieval History,c,Medium,Fundamental(F),<ul><li>Ramananda was the first Bhakti saint to use Hindi for the propagation of his message. He brought Bhaktism to North from South.</li></ul>
46, <p>Which one of the following statements is not correct ?</p>,(a)  The state of Gomateshwara at Sravanabelagona represents the last Tirthankara of Jains,(b)  India’s largest Buddhist monastery is in Arunachal Pradesh,(c)  The Khajuraho temples were built under Chandela Kings,(d)  The Hoysalesvara temple is dedicated to Siva,Indian Art and Culture,a,Difficult,tFundamental(F),"<ul><li>The Statue of Gomateswara at Sravanbelagoala represent ‘3rd’ Jain Tirthankara. The last and 24th Jain Tirthankara is ‘Vardhamana Mahavira’. The 23rd Jain Tirthankara is ‘parsvanath’, and the 1st Tirthankara is Rishabhnath.</li></ul>"
47," <p>Consider the following statements:</p>
<ol>
<li>The World Intellectual Property Organization (WIPO) is a specialized agency of the United Nations System of Organization.</li>
<li>WIPO has its headquarters in Rome.</li>
<li>The Trade-Related Aspects of Intellectual Property Rights (TRIPS) Agreement is binding on all WTO members.</li>
</ol>
<p>How many of the statements given above is/are correct?</p>",(a) Only one,(b) Only two,(c) All three,(d) None,Science and Technology,b,Difficult,tFactual,"<p>WIPO""s headquarters is in Geneva. </p>"
48, <p>India has the maximum volume of foreign trade with</p>,(a) USA,(b) Japan,(c) Germany,(d) UAE,Economics,a,Easy,Fundamental(F),
49," <p>India’s external debt increased from US $ 98,158 million as at the end of March 2000 to US $ 1,00,225 million as at the end of March 2001 due to increase in:</p>",(a)  Multilateral and bilateral debt,(b)  Rupee debt,(c)  Commercial borrowings and NRI deposits,(d)  Borrowings from International Monetary Fund,Economics,a,Medium,Fundamental(F),<ul><li>India’s external debt increased due to increase in multilateral and bilateral debt.</li></ul>
50," <p>With reference to the Indian economy, consider the following activities :</p><p>1. Agriculture, Forestry and Fishing</p><p>2. Manufacturing</p><p>3. Trade, Hotels, Transport and Communication</p><p>4. Financing, Insurance, Real Estate and Business services </p><p>The decreasing of the contribution of these sectors to the Gross Domestic Product (GDP) at factor cost at constant prices (2000-01) is</p>","(a)  3, 1, 2, 4","(b)  1, 3, 4, 2","(c)  3, 4, 1, 2","(d)  1, 3, 2, 4",Economics,c,Medium,Fundamental(F),"<ul><li style=""text-align: justify;"">Contribution to GDP was in the descending order of 3, 4, 1 and 2. (Trade, Hotels, Transport and Communication-Financing, Insurance, Real Estate and Business services – Agriculture, Forestry and Fishing – Manufacturing)</li></ul>"
51, <p>Consider the following statements : </p><p>The objective of the National Renewal Fund set up in February 1992 were</p><p>1. To give training and counseling for workers affected by retrenchment or VRS.</p><p>2. Redeployment of workers.</p><p>Which of these statements is/are correct ?</p>,(a)  Neither 1 nor 2,(b)  Both 1 and 2,(c)  1 only,(d)  2 only,Economics,c,Medium,Fundamental(F),<ul><li>National Renewal Fund set up in February 1992 was to give training and counseling for workers affected by retrenchment or VRS.</li></ul>
52," <p>With reference to the Public Sector Undertakings in India, consider the following statements :</p><p>1. Minerals and Metals Trading Corporation of India Limited is the largest non-oil importer of the country.</p><p>2. Project and Equipment Corporation of India Limited is under the Ministry of Industry.</p><p>3. One of the objectives of Export Credit Guarantee Corporation of India Limited is to enforce quality control and compulsory pre-shipment inspection of various exportable commodities.</p><p>Which of these statements is/are correct ?</p>",(a)  1 only,(b)  1 and 2,(c)  2 and 3,(d)  3 only,Economics,a,Difficult,tFundamental(F),<ul><li>Minerals and Metals Trading Corporation of India Limited is the largest non-oil importer of the country. Export Credit Guarantee Corporation of India Limited provides financial support for the exporters.</li></ul>
53," <p>With reference to the Indian Public Finance, consider the following statements :</p><ol><li>External liabilities reported in the Union Budget are based on historical exchange rates.</li><li>The continued high borrowing has kept the real interest high in the economy.</li><li>The upward trend in the ratio of Fiscal Deficit to GDP in recent years has an adverse effect on private investments.</li><li>Interest payments is the single largest component of the non-plan revenue expenditure of the Union Government.</li></ol><p>Which of these statements are correct ?</p>","(a)  1, 2 and 3",(b)  1 and 4,"(c)  2, 3 and 4","(d)  1, 2, 3 and 4",Economics,c,Difficult,tApplied(A),<ul><li>External liabilities reported in the Union Budget are not based on the historical exchange rates.</li></ul>
54," <p>With reference to the government’s welfare schemes, consider the following statements :</p><p>1. Under the Antyodaya Anna Yojana, the food grains are available to the poorest of the poor families at Rs.2 per kg for wheat and Rs. 3 per kg for rice.</p><p>2. Under the National Old Age Pension Scheme, the old and destitute are provided Rs. 75 per month as Central pension, in addition to the amount provided by most State Governments.</p><p>3. Government of India has allocated 25 kg food grains per Below Poverty Line family per month, at less than half the economic cost.</p><p>Which of these statements are correct ?</p>",(a)  1 and 2,(b)  1 and 3,(c)  2 and 3,"(d)  1, 2 and 3",Economics,d,Medium,Fundamental(F),<ul><li>All the given statements are correct.</li></ul>
