Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
11," <p>In essence, what does 'Due Process of Law' mean? </p>",(a) The principle of natural justice,(b) The procedure established by law,(c) Fair application of law,(d) Equality before law,Polity And Governance,a,Difficult,tFundamental(F),"<p><strong>Due Process of Law is a principle that makes sure that the procedure used to make a law is free from arbitrariness and irrationality. </strong>And Natural justice is an expression of English common law, and involves a procedural requirement of fairness. Thus in the principle of Due Process of Law, fairplay is ensured by giving every party a right to be heard which in essence is Audi Alteram partem or the rule of fair hearing (hear the other side) which is the very basis of the principle of natural justice. To remove the arbitrariness, the Supreme Court of India recongnised the principle of Due Process of Law in the <strong>Maneka Gandhi case.</strong> In short, <strong>Natural Justice implies fairness, reasonableness, equity and equality. Natural Justice represents higher procedural principles developed by judges which every </strong>administrative agency must follow in taking any decision adversely affecting the rights of a private individual. <strong>Hence option (a) is the correct answer.</strong></p>"
12," <p>Consider the following statements:</p><p>Statement-I:</p><p>In India, prisons are managed by State Governments with their own rules and regulations for the day-to-day administration of prisons.</p><p>Statement-II:</p><p>In India, prisons are governed by the Prisons Act, 1894 which expressly kept the subject of prisons in the control of Provincial Governments.</p><p>Which one of the following is correct in respect of the above statements?</p>",(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I,(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I,(c) Statement-I is correct but Statement-II is incorrect,(d) Statement-I is incorrect but Statement-II is correct,Polity And Governance,a,Difficult,tFundamental(F),"<p>In India, prisons are governed by the Prisons Act, 1894 which vested the Provincial Governments (now States) the power to make rules on prisons. Also, till date, the management and administration of prisons falls exclusively in the domain of the State Governments, and is governed by the Prisons Act, 1894 and the Prison Manuals of the respective State Governments. <strong>Hence statements 1 and 2 are correct and statement 2 is the correct explanation of statement 1. </strong></p><ul><li><strong>**For Clarification purposes: there can be few more interpretations to this question. Interpretation 1:</strong> 'Prisons'/'persons detained therein' is a State subject under the seventh schedule (item 4, state list).<ul><li>Prisons are governed by the Prisons Act 1894 and the prison manuals of the respective state governments. </li></ul></li><li>Ministry of Home Affairs also provides regular guidance and advice to States and UTs on various issues concerning prisons and prison inmates. <strong>So in India, prisons are managed State Governments with their own rules and regulations for the day-to-day administration of prisons not only by virtue of Prisons Act 1894 but also because of other reasons given above. </strong>In this case<strong> answer could be B as well. Both statements 1 and 2 are correct but statement 2 is not the correct explanation of statement 1.</strong></li><li><strong>Interpretation 2: Statement 2 could be wrong because of the use of words ""expressly kept the subject"".</strong> Although the <strong>section 59 of the Prisons Act, 1894 </strong>vests the power to make rules on prisons to the state governments <strong>but it did not place the subject to them. It was the Government of India Act 1935 which resulted in the transfer of the subject of jails from the Central List to the control of Provincial Governments and henceforth reduced the possibility of uniform implementation of a prison policy at the national level.</strong> Thus, State Governments have their own rules and regulations for the day to day administration of prisons, maintenance of prisoners, and prescribing procedures. <strong>So in this case the answer could be C.</strong></li></ul>"
13, <p>Which one of the following statements best reflects the chief purpose of the 'Constitution' of a country?</p>,(a) It determines the objective for the making of necessary laws.,(b) It enables the creation of political offices and a government.,(c) It defines and limits the powers of government.,"(d) It secures social justice, social equality and social security.",Polity And Governance,c,Medium,Fundamental(F),"<p>‘Constitutionalism’ means limited government or limitation on government. The main objective or purpose of the constitution of a country is provide a framework for a government by deciding the nature and form of the government. </p><p>As a constitution is the basic fundamental law of a State, it also lays down the responsibilities of the different limbs of the government; the executive, the legislature and the judiciary. And accordingly the legislature makes laws in keeping with the directions and limits provided in the constitution. <strong>Hence option (c) is the correct answer.</strong></p>"
14," <p>In India, which one of the following Constitutional Amendments was widely believed to be enacted to overcome the judicial interpretations of the Fundamental Rights?</p>",(a) 1st Amendment,(b) 42nd Amendment,(c) 44th Amendment,(d) 86thAmendment,Polity And Governance,a,Difficult,tFundamental(F),"<p>There have been several cases in which supremacy of the Fundamental Rights (FR) have been questioned vis-a-vis other constitutional provisions e.g. the Directive Principles of State Policy (DPSP). </p><p><strong>During the initial fifteen months of the working of the Constitution, certain difficulties were brought to light by judicial decisions and pronouncements specially in regard to the chapter on fundamental rights.</strong> The citizen's right to freedom of speech and expression guaranteed by article 19(1)(a) was held by some courts to be so comprehensive as not to render a person culpable even if he advocates murder and other crimes of violence. The main objects of this First Amendment Act, 1951 was, accordingly to amend article 19 for the purposes indicated above. </p><p>The Constitution (First Amendment) Act, 1951, enacted in 1951, made several changes to the Fundamental Rights provisions of the Indian constitution. It provided means to restrict freedom of speech and expression, validation of zamindari abolition laws, and clarified that the right to equality does not bar the enactment of laws which provide ""special consideration"" for weaker sections of society. <strong>Hence option (a) is the correct answer.</strong></p><p>The 43rd and 44th amendment Acts were believed to be enacted to undo many changes introduced in the Constitution by the 42nd Amendment Act (1976). They did not aim at overcoming the judicial interpretations of the Fundamental Rights.</p>"
15, <p>Consider the following organizations/bodies in India:</p><p>1. The National Commission for Backward Classes</p><p>2. The National Human Rights Commission</p><p>3. The National Law Commission</p><p>4. The National Consumer Disputes Redressal Commission</p><p>How many of the above are constitutional bodies?</p>,(a) Only one,(b) Only two,(c) Only three,(d) All four,Polity And Governance,a,Easy,Fundamental(F),"<p>The National Commission for Backward Classes is a constitutional body. It was established through a Constitution (Amendment) Act, 2018 (also called, 102nd Amendment Act, 2018). This amendment act in the constitution to make it a constitutional body under Article 338B of the Indian Constitution. <strong>Hence option 1 is correct.</strong></p><p>The National Human Rights Commission: It is a statutory body established under the Protection of Human Rights Act, 1993. <strong>Hence option 2 is not correct.</strong>National Law Commission: The Law Commission of India is an executive body whose chief function is legal reforms in the country. <strong>Hence option 3 is not correct.</strong>The National Consumer Disputes Redressal Commission: The National Consumer Disputes Redressal Commission was established in 1988 under the Consumer Protection Act of 1986. It is a quasi-judicial body and statutory in nature. <strong>Hence option 4 is not correct.</strong></p>"
16," <p>Consider the following statements:</p><p>1. If the election of the President of India is declared void by the Supreme Court of India, all acts done by him/her in the performance of duties of his/her office of President before the date of decision become invalid.</p><p>2. Election for the post of the President of India can be postponed on the ground that some Legislative Assemblies have been dissolved and elections are yet to take place.</p><p>3. When a Bill is presented to the President of India, the Constitution prescribes time limits within which he/she has to declare his/her assent.</p><p>How many of the above statements are correct?</p>",(a) Only one,(b) Only two,(c) All three,(d) None,Polity And Governance,d,Difficult,tFundamental(F),"<p>As per Article 71 (2), if the election of a person as President or Vice President is declared void by the Supreme court, acts done by him in the exercise and performance of the powers and duties of the office of President or Vice President, as the case may be, on or before the date of the decision of the Supreme Court shall not be invalidated by reason of that declaration. <strong>Hence statement 1 is not correct.</strong></p><p>As per Article 71 (4), the election of a person as President or Vice President shall not be called in question on the ground of the existence of any vacancy for whatever reason among the members of the electoral college electing him. Thus, postponement is not an option. <strong>Hence statement 2 is not correct.</strong></p><p>As regards the Indian President, the Constitution does not prescribe any time-limit within which he has to take the decision with respect to a bill presented to him for his assent. <strong>Hence statement 3 is not correct.</strong></p>"
17," <p>With reference to Finance Bill and Money Bill in the Indian Parliament consider the following statements: </p><p>1. When the Lok Sabha transmits Finance Bill to the Rajya Sabha, it can amend or reject the Bill.</p><p>2. When the Lok Sabha transmits Money Bill to the Rajya Sabha, it cannot amend or reject the Bill, it can only make recommendations.</p><p>3. In the case of disagreement between the Lok Sabha and the Rajya Sabha, there is no joint sitting for Money Bill, but a joint sitting becomes necessary for Finance Bill.</p><p>How many of the above statements are correct?</p>",(a) Only one,(b) Only two,(c) All three,(d) None,Polity And Governance,b,Difficult,tFundamental(F),"<ul><li><strong>All money bills are financial bills but all financial bills are not money bills.</strong> Only those financial bills are money bills which contain exclusively those matters which arementioned in Article 110 of the Constitution. These are also certified by the Speaker of Lok Sabha as money bills. The financial bills (I) and (II), on the other hand, have been dealt within Article 117 of the Constitution. <strong>Here in above question the Finance Bill should be read as Financial Bill.</strong></li><li>The Constitution lays down a special procedure for the passing of money bills in the Parliament. A money bill can only be introduced in the Lok Sabha. After a money bill is passed by the Lok Sabha, it is transmitted to the Rajya Sabha for its consideration. The Rajya Sabha has restricted powers with regard to a money bill. It cannot reject or amend a money bill. It can only make the recommendations. <strong>Hence statement 2 is correct.</strong></li><li><strong>A financial bill (I) </strong>can be introduced only in the Lok Sabha and not in the Rajya Sabha with the prior recommednation of the president. But like other ordinary bill,<strong> it can be either rejected or amended by the Rajya Sabha. </strong>Similarly,<strong> financial bill (II) can be either rejected or amended by either House of Parliament. Hence sattement 1 is correct.</strong></li><li>In the case of disagreement between the Lok Sabha and the Rajya Sabha, there is no joint sitting for Money Bill. However, in case of disagreement between the two Houses over financial bill (I) and financial bill (II), the <strong>president can summon a joint sitting</strong> of the two Houses to resolve the deadlock but, it is not necessary. <strong>Hence statement 3 is not correct.</strong></li></ul><p><br/></p>"
18, <p>Consider the following statements:</p><p>Once the Central Government notifies an area as a 'Community Reserve'</p><p>1. the Chief Wildlife Warden of the State becomes the governing authority of such forest</p><p>2. hunting is not allowed in such area</p><p>3. people of such area are allowed to collect non-timber forest produce</p><p>4. people of such area are allowed traditional agricultural practices</p><p>How many of the above statements are correct?    </p>,(a) Only one,(b) Only two,(c) Only three,(d) All four,Environment,b,Medium,Current Affairs(CA),"<ul><li>Conservation reserves and community reserves in India are terms denoting protected areas of India which typically act as buffer zones to or connectors and migration corridors between established national parks, wildlife sanctuaries and reserved and protected forests of India. Such areas are designated as conservation areas if they are uninhabited and completely owned by the Government of India but used for subsistence by communities and community areas if part of the lands are privately owned.</li><li>As per the Section 36 D of the Wild Life Protection Act (WLPA): The State Government shall constitutea Community Reserve management committee, which shall be the authority responsible forconserving, maintaining and managing the community reserve. The committee shall elect aChairman who shall also be the Honorary Wild Life Warden on the community reserve. <strong>Hence statement 1 is not correct.</strong></li><li><strong>After a forest has been made into a community reserve, people cannot hunt there, nor can they use it for agricultural practices. Hence statement 2 and statement 3 is correct and statement 4 is not correct. </strong></li></ul>"
19," <p>With reference to 'Scheduled Areas' in India, consider the following statements:</p><p>1. Within a State, the notification of an area as Scheduled Area takes place through an Order of the President.</p><p>2. The largest administrative unit forming the Scheduled Area is the District and the lowest is the cluster of villages in the Block.</p><p>3. The Chief Ministers of the concerned States are required to submit annual reports to the Union Home Ministry on the administration of Scheduled Areas in the States.</p><p>How many of the above statements are correct?</p>",(a) Only one,(b) Only two,(c) All three,(d) None,Polity And Governance,b,Difficult,tFundamental(F),"<p><strong>Statement 1 is correct: </strong>As per the Indian Constitution (Part C of the Fifth Schedule), the expression Scheduled Areas means such areas as the President may by order declare to be Scheduled Areas. </p><p><strong>Statement 2 is correct:</strong> The largest administrative unit forming the scheduled areas has been the district and the lowest the cluster of villages in the block.</p><p><strong>Statement 3 is not correct:</strong> The governor of the state has a special responsibility regarding such scheduled areas. He has to submit a report to the president regarding the administration of such areas, annually or whenever so required by the president. </p><p>Thus only two statements are correct. <strong>Hence option (b) is the correct answer.</strong></p>"
20, <p>Consider the following statements:</p><p>Statement-I:</p><p>The Supreme Court of India has held in some judgements that the reservation policies made under Article 16(4) of the Constitution of India would be limited by Article 335 for maintenance of efficiency of the administration.</p><p>Statement-II:</p><p>Article 335 of the Constitution of India defines the term 'efficiency of administration'.Which one of the following is correct in respect of the above statements?</p>,(a) Both Statements-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I,(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I,(c) Statement-I is correct but Statement-II is incorrect,(d) Statement-I is incorrect but Statement-II is correct,Polity And Governance,c,Medium,Fundamental(F),"<p><strong>Statement 1 is correct:</strong> Article 16 (4) provides that the State can enact legislation for the reservation of posts in the government sector or jobs in favour of the backward classes of citizens, which the State considers to have not been adequately represented in the services of the State. In the past seven decades of constitutional jurisprudence on reservations, the Supreme Court of India has consistently referred to the notions of “efficiency” and “merit,” while adjudicating the validity of various reservation policies. The Court has held in several judgments — Indra Sawhney v Union of India 1993; M Nagaraj v Union of India 2006 — that the reservation policies made under Article 16(4) of the Constitution would be limited by Article 335, which provides for “maintenance of efficiency of administration,” while considering the claims of the Scheduled Castes (SCs) and the Scheduled Tribes (STs) in the making of appointments to public services and posts. This was done while the Constitution does not define the term “efficiency of administration.” </p><p><strong>Statement 2 is not correct:</strong> Article 335 states that he claims of the members of the Scheduled Castes and the Scheduled Tribes shall be taken into consideration, consistently with the maintenance of efficiency of administration, in the making of appointments to services and posts in connection with the affairs of the Union or of a State. This Article, has however, not defined the expression 'efficiency of administration'. <strong>Hence option (c) is the correct answer.</strong></p>"
21," <p>Consider the following statements:</p><p>Statement-I:</p><p>India, despite having uranium deposits, depends on coal for most of its electricity production.</p><p>Statement-II:</p><p>Uranium, enriched to the extent of at least 60%, is required for the production of electricity.</p><p>Which one of the following is correct in respect of the above statements?</p>",(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I,(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I,(c) Statement-I is correct but statement-II is incorrect,(d) Statement-I is incorrect but Statement-II is correct,Economics (Macroeconomics),c,Medium,Fundamental(F),"<p data-mce-style=""text-align: justify;"" style=""text-align: justify;""><strong>Statement I is correct: </strong>Atomic Minerals Directorate for Exploration and Research (AMD), a constituent unit of the Department of Atomic Energy (DAE), all over India has established 3,82,675 tonnes in situ U3O8 in 47 uranium deposits in Andhra Pradesh, Telangana, Jharkhand, Meghalaya, Rajasthan, Karnataka, Chhattisgarh, Uttar Pradesh, Uttarakhand, Himachal Pradesh and Maharashtra. However, in India major production of Electricity is achieved through coal based thermal power plant which is around 75% of the total power generation.</p><p data-mce-style=""text-align: justify;"" style=""text-align: justify;""><strong>Statement II is not correct: </strong>Uranium enriched to concentrations above 0.7% but less than 20% uranium-235 is defined as low enriched uranium (LEU). Most nuclear reactors use LEU that is about 3-5% uranium-235. Uranium enriched to more than 20% uranium-235 is defined as highly enriched uranium (HEU). The global nuclear watchdog (IAEA) has found uranium particles enriched to 83.7% purity - very close to weapons grade - at Iran's underground Fordo site. Iran has been enriching uranium to up to 60% purity since April 2021 a level at which nonproliferation experts say Tehran has no civilian use. </p>"
