Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
14," <p>Though coffee and tea both are cultivated on hill slopes, there is some difference between them regarding their cultivation. In this context, consider the following statements:</p><p>1. Coffee plant requires a hot and humid climate of tropical areas whereas tea can be cultivated in both tropical and subtropical areas.</p><p>2. Coffee is a propagated by seeds but tea is propagated by stem cuttings only.</p><p>Which of the statements given above is/are correct ?</p><p> </p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Geography,a,Medium,Applied(A),"<ul><li>Tea is the agricultural product of the leaves, leaf buds, and internodes of the Camelia sinensis plant, prepared and cured by various methods. In addition to stem cutting, tea is also propagated from seeds and leaf cuttings. Hence, statements 2 is not correct.</li></ul>"
15, <p>In the context of the affairs of which of the following is the phrase “Special Safeguard Mechanisms” mentioned in the news frequently ?</p>,(a)  United Nations Environment Programme,(b)  World Trade Organization,(c)  ASEAN – India Free Trade Agreement,(d)  G -20 Summits,Economics,b,Easy,Fundamental(F),"<ul><li>Safeguard mechanism is one of the three types of trade protection measures taken by World Trade Organization (WTO) members, alongside anti-dumping and countervailing measures. The safeguards are contingency restrictions on imports taken temporarily to deal with special circumstances such as a surge in imports. There are three types of the safeguards: (1) General Agreement on Tariffs and Trade (GATT) Article 19 and the Uruguay Round Safeguards Agreement; (2) Special (Agricultural) Safeguard: SSG; and (3) Special Safeguard Mechanism: SSM. SSM is an instrument to enable developing countries to increase their tariffs above the bound tariff rates commitments made in the Uruguay Round (or for new member like China, the tariffs can be raised beyond the levels committed to WTO at the accession) in the event of a fall in price of imported products or an increase in the volume of imports beyond certain levels. The issue of SSM in agriculture for developing countries has led to the collapse of the WTO mini-ministerial meeting in Geneva at the end of July, 2008.</li></ul>"
16, <p>Which of the following terms indicates a mechanism used by commercial banks for providing credit to the government ?</p>,(a)  Cash Credit Ratio,(b)  Debt Service Obligation,(c)  Liquidity Adjustment Facility,(d)  Statutory Liquidity Ratio,Economics,d,Easy,Fundamental(F),"<ul><li>Statutory Liquidity Ratio or SLR refers to the amount that all banks require maintaining in cash or in the form of Gold or approved securities. Here by approved securities we mean, bond and shares of different companies. Statutory Liquidity Ratio is determined as percentage of total demand and percentage of time liabilities. The maximum limit of SLR is 40% and minimum limit of SLR is 24%. In India, Reserve Bank of India always determines the percentage of Statutory Liquidity Ratio. There are some statutory requirements for temporarily placing the money in Government Bonds. Following this requirement, Reserve Bank of India fixes the level of Statutory Liquidity Ratio. At present (2010), the minimum limit of Statutory Ratio that can be set by the Reserve Bank is 25%.</li></ul>"
17," <p>In order to comply with TRIPS Agreement, India enacted the Geographical Indications off Goods (Registration and Protection) Act, 1999. The difference/differences between a ""Trade Mark"" and a Geographical Indication is/are</p><ol><li>A Trade Mark is an individual or a company""s right whereas a Geographical Indication is a community""s right.</li><li>A Trade Mark can be licensed whereas a Geographical Indication cannot be licensed.</li><li>A Trade Mark is assigned to the manufactured goods whereas the Geographical Indication is assigned to the agricultural goods/products and handicrafts only.</li></ol><p>Which of the statements given above is/are correct ?</p>",(a)  1 only,(b)  1 and 2 only,(c)  2 and 3 only,"(d)  1, 2 and 3",Economics,b,Difficult,tApplied(A),"<ul>
<li>
		A GI is a indication which shows that a particular agricultural, natural or manufactured good (statement 3 is incorrect) originates from a definite geographical territory. The main aim of GI tag is to promote economic prosperity of producers of goods produced in a geographical territory, so statement 1 is correct. Statement 2 is also correct because, a trade mark is a sign which is used in the course of trade and it distinguishes goods or services of one enterprise from those of other enterprises. Whereas a geographical indication is an indication used to identify goods having special characteristics originating from a definite geographical territory. The GI is not licensed but has to be registered with Registrar of Geographical Indications.</li>
</ul>
"
18," <p>The SEZ Act, 2005 which came into effect in February 2006 has certain objectives. In this context, consider the following:</p><p>1. Development of infrastructure facilities.</p><p>2. Promotion of investment from foreign sources.</p><p>3. Promotion of exports of services only.</p><p>Which of the  above are the objectives of this Act ? </p><p> </p>",(a)  1 and 2 only,(b)  3 only,(c)  2 and 3 only,"(d)  1, 2 and 3",Economics,a,Medium,Fundamental(F),"<ul><li>SEZ Act received the assent of the President on 23rd June, 2005 and has come into force on 10th February, 2006. The Central Government has enacted the SEZ Act with the major objective of generation of additional economic activity, promotion of export of generation of additional economic activity, promotion of export of goods and services, investment from domestic and foreign sources and creation of employment opportunities. This Act is unique as it helps in backward and forward integration of the economy. The SEZ Act, 2005, provides the legal framework for establishment of SEZs and also for units operating in such zones.</li></ul>"
19, <p>Which one of the following statements is an appropriate description of deflation ?</p>,(a)  It is a sudden fall in the value of a currency against other currencies,(b)  It is a persistent recession in both the financial and real sectors of economy,(c)  It is a persistent fall in the general price level if goods and services,(d)  It is a fall in the rate of inflation over a period of time,Economics,c,Medium,Applied(A),"<ul><li>In economics, deflation is a decrease in the general price level of goods and services. Deflation occurs when the annual inflation rate falls below zero percent (a negative inflation rate), resulting in an increase in the real value of money - allowing one to buy more goods with the same amount of money. This should not be confused with disinflation, a slow-down in the inflation rate (i.e. when inflation declines to lower levels). As inflation reduces the real value of money over time, conversely, deflation increases the real value of money - the functional currency (and monetary unit of account) in a national or regional economy.</li></ul>"
20," <p>Consider the following statements:</p>
<ol>
<li>Biodiversity hotspots are located only in tropical regions.</li>
<li>India has four biodiversity hotspots i.e., the Himalayas, Indo Burma Region, Western Ghats, and Sunda land region.</li>
</ol>
<p>Which of the statement/s given above is/are correct?</p>",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,Ecology and Environment,b,Medium,Fundamental(F),"<ul>
<li>The British biologist Normal Myers coined the term ""biodiversity hotspot"" in 1988 as a biogeographic region characterized both by exceptional levels of plant endemism and by serious levels of habitat loss. Biodiversity hotspots are also located in temperate regions like California""s floristic province and Japan etc.s.</li>
</ul>"
21, <p>Widespread resistance of malarial parasite to drugs like chloroquine has prompted attempts to develop a malarial vaccine to combat malaria. Why is it difficult to develop an effective malaria vaccine ?</p>,(a)  Malaria in caused by several species of Plasmodium,(b)  Man does not develop immunity to malaria during natural infection,(c)  Vaccines can be developed only against bacteria,(d)  Man is only an intermediate host and not the definitive host,Basic Sciences,a,Medium,Applied(A),"<ul><li>For most infectious disease for which effective vaccines are available, a single infection confers long standing protective immunity. A person who had measles does not develop measles again. This type of sterile protective immunity does not exist for malaria. So man lacks naturally acquired protective immunity against the plasmodium or other malarial parasites. Plasmodium has its own ingenious way of avoiding hosts' immune response and that is why it has been very difficult.</li></ul>"
22," <p>Consider the following statements:</p><p>1. The boundaries of a National Park are defined by legislation.</p><p>2. A Biosphere Reserve is declared to conserve a few specific species of flora and fauna.</p><p>3. In a Wildlife Sanctuary, limited biotic interference is permitted.</p><p>Which of the statements given above is/are correct ?</p><p> </p>",(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3 only",Ecology and Environment,c,Difficult,tApplied(A),"<ul><li>Biosphere reserves are areas of terrestrial and coastal ecosystems promoting solutions to reconcile the conservation of biodiversity with its sustainable use. Biosphere Reserve is declared to conserve some representative ecosystems as a whole for long-term. Each Biosphere Reserve is intended to contribute to the conservation of landscapes, ecosystems, species and genetic variation; Boundaries of a national park and biosphere reserve are determined by legislation. There is no biotic interference (except the buffer zone) in national parks and biosphere reserves whereas limited interference is permitted in wildlife sanctuary.</li></ul>"
23," <p>A pesticide which is a chlorinated hydrocarbon is sprayed on a food crop. The food chain is: Food crop - Rat - Snake - Hawk. In this food chain, the highest concentration of the pesticide would accumulate in which one of the following ?</p>",(a)  Food crop,(b)  Rat,(c)  Snake,(d)  Hawk,Ecology and Environment,d,Difficult,tApplied(A),"<ul><li>Biomagnification, also known as bioamplification or biological magnification, is the increase in concentration of a substance, such as the pesticide DDT, that occurs in a food chain. For example, though mercury is only present in small amounts in seawater, it is absorbed by algae (generally as methylmercury). It is efficiently absorbed, but only very slowly excreted by organisms (Croteau at al., 2005). Bioaccumulation and bioconcentration result in buildup in the adipose tissue of successive trophic levels: zooplankton, small nekton, larger fish etc. Anything which eats these fish also consumes the higher level of mercury the fish have accumulated. This process explains why predatory fish such as swordfish and sharks or birds like osprey and eagles have higher concentrations of mercury in their tissue.</li></ul>"
24," <p>With reference to soil conservation, consider the following practices:</p><p>1. Crop rotation</p><p>2. Terracing</p><p>3. Sand fences</p><p>4. Wind breaks</p><p>which of the above are considered appropriate methods for soil conservation in India ? </p>","(a)  1, 2 and 3 only",(b)  2 and 4 only,"(c)  1, 3 and 4 only","(d)  1, 2, 3 and 4 only",Ecology and Environment,d,Medium,Applied(A),"<ul><li>Soil conservation is a set of management strategies for prevention of soil being eroded from the earth's surface or becoming chemically altered by overuse, acidification, salinization or other chemical soil contamination. Decisions regarding appropriate crop rotation, cover crops, and planted windbreaks are central to the ability of surface soils to retain their integrity, both with respect to erosive forces and chemical change from nutrients depletion. Crop rotation is simply the conventional alternation of crops on a given field, so that nutrient depletion is avoided from repetitive chemical uptake/deposition of single crop growth. Windbreaks are created by plating sufficiently dense rows or stands of trees at the windward exposure of an agricultural field subject to wind erosion.</li></ul>"
25," <p>With reference to the Non-banking Financial Companies (NBFCs) in India, consider the following statements:</p><p>1. They cannot engage in the acquisition of securities issues by the government.</p><p>2. They cannot accept demand deposits like Savings Account.</p><p>  Which of the statements given above is/are correct ?</p>",(a)  1 only,(b)  2 only,(c)  Both 1 and 2,(d)  Neither 1 nor 2,Economics,b,Medium,Applied(A),"<ul><li>NBFC means Non-banking financial company. NBFC is a company registered under the Companies Act, 1956 of India and is engaged in the business of loans and advances, acquisition of shares/stock/bonds/debentures/securities issued by government or local authority or other securities of like marketable nature, leasing, hire-purchase, insurance business, chit business, but does not include any institution whose principal business is that of agriculture activity, industrial activity, sale/purchase/construction of immovable property. NBFCs are doing functions akin to that of banks; however there are a few differences: a) an NBFC cannot accept demand deposits; b) an NBFC is not a part of the payment and settlement system and as such an NBFC cannot issue cheque drawn on itself; and c) deposit insurance facility of Deposit Insurance and Credit Guarantee Corporation is not available for NBFC depositors unlike in case of banks.</li></ul>"
26," <p>Which one of the following was not stipulated in Fiscal Responsibility and Budget Management Act, 2003 ?</p>",(a)  Elimination of revenue deficit by the end of the fiscal year 2007-08,(b)  Non-borrowing by the central government from Reserve Bank of India except under certain circumstances,(c)  Elimination of primary deficit by the end of the fiscal year 2008-09,(d)  Fixing government guarantees in any financial year as a percentage of GDP,Economics,c,Medium,Fundamental(F),"<ul>
<li>The main points under the FRBM Act, 2003 and FRBM Rules, 2004 includes: a) To reduce the fiscal deficit by 0.3% of GDP per year, so that the deficit is less than 3% of GDP by 2007-08. b) To limit of Govt. guarantees to at most 0.5% of GDP in any of GDP by 2007-08. c) To limit additional liabilities to 9% of GDP in 2004-05 to 6% of GDP by 2007-08. d) Not to borrow directly from RBI with effect from 1 April 2006. e) To present 3 statements before the Parliament along with annual budget (Macro economic Framework Statement, Fiscal Policy strategy Statement and Medium-term Fiscal Policy Statement). f) To move towards greater fiscal transparency and start disclosing information in the areas of unrealized revenue, guarantees and assets latest by 2006-07.</li>
</ul>"
27, <p>Two trains leave New Delhi at the same time. One travels north at 60 kmph and the other travels south at 40 kmph. After how many hours will the trains be 150 km apart ?</p>,(a)  3/2,(b)  4/3,(c)  3/4,(d)  15/2,gs_unclassified,a,Medium,Applied(A),
28," <p>A question paper had ten questions. Each question could only be answered as True (T) or False (F). Each candidate answered all the questions. Yet, no two candidates wrote the answers in an identical sequence. How many different sequence of answer are possible ?</p>",(a)  20,(b)  40,(c)  512,(d)  1024,gs_unclassified,d,Difficult,tApplied(A),
29," <p>In the parlance of financial investments, the term ""bear"" denotes:</p>",(a)  An investor who feels that the price of a particular security is going to fall,(b)  An investor who expects the price of particular shares to rise,"(c)  A shareholder or a bondholder who has an interest in a company, financial or otherwise",(d)  Any lender whether by making a loan or buying a bond,Economics,a,Easy,Fundamental(F),"<ul>
<li>A bull investor wants to invest thinking the market or the company he/she's investing in is going to do better. A bear investor is pessimistic about the market and may make more conservative stock choices.</li>
</ul>"
30, <p>A great deal of Foreign Direct Investment (FDI) to India comes from Mauritius than from many major and mature economies like UK and France Why ?</p>,(a)  India has preference for certain countries as regard receiving FDI,(b)  India has double taxation avoidance agreement with Mauritius,(c)  Most citizens of Mauritius have ethnic identity with India and so they feel secure to invest in India,(d)  Impending dangers of global climatic change prompts Mauritius to make huge investments in India,Economics,b,Medium,Fundamental(F),"<ul><li>The double taxation avoidance agreement between India and Mauritius has boosted investment in India to a great extent in the last decade making Mauritius one of the key economic partners of India. As much as 44 per cent of FDI during last 10 years to India came through Mauritius which does not have capital gain tax. In 2009-10 alone, over $ 10 billion FDI and foreign institutional investment came through Mauritius. India is the largest exporter to Mauritius as more than $ 1 billion - a third of Mauritius imports - come from India. Mauritius’ 80 per cent of petroleum products are imported from India.</li></ul>"
31," <p>Six books A, B, C, D, E and F are placed side by side. B, C and E have blue cover and the other books have red cover. Only D and F are new books and the rest are old. A, C and D are law reports and other are Gazetteers. What book is a new law report with a red colour?</p>
",(a)  A,(b)  B,(c)  C,(d)  D,gs_unclassified,d,Medium,Applied(A),"<ul>
<li>A Red Old Law Reports B Blue Old Gazetteers C Blue Old Law Reports D Red New Law Reports E Blue Old Gazetteers F Red New Gazetteers.</li>
</ul>"
32, <p>Following are the characteristics of an area in India:</p><p></p><ol><li>Hot and humid climate</li><li>Annual rainfall 200 cm</li><li>Hill slopes up to an altitude of 1100 metres</li><li>Annual range of temperature 15<sup>0</sup>c to 30<sup>o</sup>C</li></ol><p></p>,(a)  Mustard,(b)  Cotton,(c)  Pepper,(d)  Virginia tobacco,Geography,c,Difficult,tApplied(A),"<ul>
<li>Pepper requires hot and humid climate and grows between 20 degree North and South latitudes, from sea level to up to 1500 meters above MSL. The crop tolerates temperatures between 10 degree and 40 degree C. A well-distributed annual rainfall of 125 to 200 cm is considered ideal for pepper. Mustard is a Rabi crop, cotton requires black soil and Virginia tobacco requires 40-45 inches of rainfall and sandy loamy soil.</li>
</ul>"
33," <p>Running at a speed of 60 km per hour, a train passed through a 1.5 km long tunnel in two minutes. What is the length of the train?</p>",(a)  250 m,(b)  500 m,(c)  1000 m,(d)  1500 m,gs_unclassified,b,Medium,Applied(A),
