Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
21, <p>Consider the following statements regarding power sector in India:</p><p>1. The installed capacity of power generation is around 95000 MW.</p><p>2. Nuclear plants contribute nearly 15% of total power generation.</p><p>3. Hydroelectricity plants contribute nearly 40% of total power generation.</p><p>4. Thermal plants at present account for nearly 80% of total power generation.</p><p>Select the correct answer using the code given below.</p><p> </p>,(a)  1  only,(b)  2 and 3 only,(c)  3 and 4 only,(d)  1 and 4 only,Geography,a,Medium,Fundamental(F),"<p><br/></p><div class=""mcePaste"" data-mce-bogus=""1"" id=""_mcePaste"" style=""position: absolute; left: -40px; top: -25px; width: 1px; height: 1px; overflow: hidden;"">
<p class=""MsoNormal"">Power Generation in India:</p>
<p class=""MsoNormal"">1. Thermal – 80,902.45 MW</p>
<p class=""MsoNormal"">2. Hydro – 30,935.63 MW</p>
<p class=""MsoNormal"">3. Wind – 3,811.01 MW</p>
<p class=""MsoNormal"">4. Nuclear – 2,770.00 MW Total – 1,18,419.09 MW.</p>
</div>"
22," <p>If the stars are seen to rise perpendicular to the horizon by an observer, he is located on the</p>",(a)  Equator,(b)  Tropic of Cancer,(c)  South Pole,(d)  North Pole,Basic Sciences,a,Difficult,tApplied(A),<br/>
23, <p>Identify the correct order of the processes of soil-erosion from the following:</p>,"(a)  Splash erosion, Sheet erosion, Rill erosion, Gully erosion","(b)  Sheet erosion, Splash erosion, Gully erosion, Rill erosion","(c)  Rill erosion, Gully erosion, Sheet erosion, Splash erosion","(d)  Gully erosion, Rill erosion, Sheet erosion, Splash erosion",Geography,a,Difficult,tApplied(A),<p>The correct order of soil erosion process is Splash-Sheet-Rill-Gully and Ravine erosion.</p>
24," <p>Consider the following statements:</p><p>1. Most magmas are a combination of liquid, solid and gas.</p><p>2. Water vapour and carbon dioxide are the principal gases dissolve in a magma.</p><p>3. Basaltic magma is hotter than the silicic magma.</p><p>4. The magma solidified between sedimentary rocks in a horizontal position is known as dike.</p><p>Which of these statements are correct ? </p><p> </p>","(a)  1, 2 and 3","(b)  2, 3 and 4",(c)  1 and 4,"(d)  1, 2 and 4",Geography,a,Difficult,tApplied(A),"<p>1, 2, 3 statements are correct but not 4. Because, the magma solidified between sedimentary rocks in a horizontal position is known as “Sill”, but not Dyke (Dyke – solidification in vertical position).</p>"
25, <p>Volcanic eruptions do not occur in the</p>,(a)  Baltic Sea,(b)  Black Sea,(c)  Caribbean Sea,(d)  Caspian Sea,Geography,a,Difficult,tFundamental(F),<p>Volcanic eruption do not occur in the Baltic Sea.</p>
26, <p>Which one of the following weather conditions is indicated by a sudden fall in barometer reading?</p>,(a)  Stormy weather,(b)  Calm weather,(c)  Cold and dry weather,(d)  Hot and sunny weather,Geography,a,Medium,Applied(A),<p>Stormy weather condition is indicated by a sudden fall in barometer reading. Because decrease of pressure indicates the advent of storms.</p>
27," <p>Consider the following statements regarding environmental issues of India:</p><ol><li>Gulf of Mannar is one of the biosphere reserves.</li><li>The Ganga Action Plan, phase II has been merged with the National River Conservation Plan.</li><li>The National Museum of Natural History at New Delhi imparts non-formal education in environment and conservation.</li><li>Environmental Information System (ENVIS) acts as a decentralized information network for environmental information.</li></ol><p>Which of these statements are correct ?</p>","(a)  1, 2 and 4 only","(b)  1, 2, 3 and 4 only",(c)  2 and 3 only,"(d)  1, 3 and 4",Ecology and Environment,b,Medium,Fundamental(F),"<ul><li>All the statements are correct. 'Gulf of Mannar' is one of the 14 biosphere reserves of India. Along with Nilgiri and Sunderbans, it was recognized on world Network of Biosphere Reserve by UNESCO.</li></ul>"
28, <p>The temperature and rainfall of a meteorological station are given below: Temperature (0C) Rainfall (cm) J 9.4 12.2 F 10.6 9.1 M 11.7 7.9 A 12.2 2.5 M 13.3 1.8 J 13.9 0.3 J 13.9 - A 14.4 - S 15.6 0.8 O 15.0 2.5 N 13.3 6.1 D 10.6 11.7 Average Temperature : 12.80C Average Rainfall : 54.9 cm per annum Identify the region having the above climatic pattern from amongst the following:</p>,(a)  Mediterranean region,(b)  Monsoon region,(c)  Steppe region,(d)  N.W. European region,Geography,a,Difficult,tApplied(A),"<p>Concentration of rainfall in winter and dry, warm summers is the characteristic of Mediterranean or western margin climate.</p>"
29," <p>Consider the following statements regarding the earthquakes:</p><ol><li>The intensity of earthquake is measured on Mercalli Scale.</li><li>The magnitude of an earthquake is a measure of energy released.</li><li>Earthquake magnitudes are based on direct measurements of the amplitude of seismic waves.</li><li>In the Richter Scale, each whole number demonstrate a hundredfold increase in the amount of energy released.</li></ol><p>Which of these statements are correct?</p>","(a)  1, 2 and 3","(b)  2, 3 and 4",(c)  1 and 4,(d)  1 and 3,Geography,a,Difficult,tApplied(A),"<ul><li>1, 2, 3 statements are correct but not 4. Because in the Richter scale, each whole number demonstrates a ten fold increase in the amount of energy.</li></ul>"
30, <p>Match List I with List II and select the correct answer using the codes given below the lists</p><p>List I (Local Wind)                                                List II (Region)</p><p>A. Fohn                                                         1. Argentina</p><p>B. Samun                                                      2. Kurdistan</p><p>C. Santa Ana                                              3. California</p><p>D. Zonda                                                    4. Alps</p><p>       </p>,"(a) A-2, B-4, C-1, D-3","(b) A-4, B-2, C-3, D-1","(c) A-2, B-4, C-3, D-1","(d) A-4, B-2, C-1, D-3",Geography,b,Difficult,tFundamental(F),"<p>The local wind Fohn in Alps region, Samun in Kurdistan, Santa Ara in California and Zonda in Argentina.</p>"
31, <p>Who among the following presided over the Buddhist Council held during the reign of Kanishka at Kashmir?</p><p><br/></p>,(a) Parsva,(b) Nagarjuna,(c) Sudraka,(d) Vasumitra,Ancient and Medieval History,d,Difficult,tFundamental(F),<p>1st Council (Rajagriha) – Mahakassapa (Ajatashatru) 2nd Council (Vaisali) – Sabakami (Kalashoka) 3rd Council (Pataliputra) – Mogaliputta Tissa (Ashoka) 4th Council (Kashmir) – Vasumitra during the reign of Kanishka.</p>
32, <p>Which one of the following animals was NOT represented on the seals and terracotta art of the Harappan culture?</p>,(a)  Cow,(b)  Elephant,(c)  Rhinoceros,(d)  Tiger,Ancient and Medieval History,a,Difficult,tFundamental(F),<ul><li>Cow was not represented on the seals and terracotta art of the Harappan Culture.</li></ul>
33, <p>Which one of the following pairs is correctly matched?</p>,(a)  Harappan Civilization : Painted Grey Ware,(b)  The Kushans : Gandhara School of Art,(c)  The Mughals : Ajantha Paintings,(d)  The Marathas : Pahari School of Painting,Ancient and Medieval History,b,Medium,Fundamental(F),"Gandhara School of Art flourished during Kushan period.
 Harappan Civilization – Black on red pottery.
 Vedic Period – Painted Grey ware.
 Guptas – Ajanta paintings.
 Mughals – Pahari school of painting."
34, <p>Assertion (A): Harshavardhana convened the Prayag Assembly.</p><p>Reason (R): He wanted to popularise only the Mahayana form of Buddhism.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Ancient and Medieval History,b,Medium,Fundamental(F),"Harshavardhana convened the Prayag Assembly to popularize himself among his people. To popularize Mahayana of Buddhism at the instinct of Huen-Tsang, he called on a Conference at Kannauj."
35, <p>Which one of Chola kings conquered Ceylon?</p><p> </p>,(a)  Aditya I,(b) Rajaraja I,(c)  Rajendra,(d)  Vijayalaya,Ancient and Medieval History,b,Difficult,tFundamental(F),Rajaraja-I attacked and conquered Ceylon and later by Rajendra-I under whom the Ceylon was completely subjugated.
36, <p>Hoysala monuments are found in</p>,(a)  Hampi and Hospet,(b)  Halebid and Belur,(c)  Mysore and Bangalore,(d)  Sringeri and Dharwar,Ancient and Medieval History,b,Difficult,tFundamental(F),Hoysala monuments were found in Halebid and Belur. Hoysalas capital city was ‘Halebid’.
37, <p>Math List I with List II and select the correct answer using the codes given below the lists:</p><p>List I (Bhakti Saint)                                List II (Profession)</p><p>A. Namdev                                                1. Barber</p><p>B. Kabir.                                                     2. Weaver</p><p>C. Ravidas                                                  3. Tailor</p><p>D. Sena                                                      4. Cobbler</p><p>      </p>,"(a) A-2, B-3, C-1, D-4","(b) A-3, B-2, C-4, D-1","(c) A-3, B-2, C-1, D-4","(d) A-2, B-3, C-4, D-1",Indian Art and Culture,b,Difficult,tFundamental(F),"Namdev – Tailor, Ravidas – Cobbler, Kabir – Weaver, Sena – Barber
 All of the above Bhakti saints were disciples of Swami Ramanand."
38," <p>Consider the following statements regarding Reserve Bank of India:</p><p></p><ol><li>It is a banker to the Central Government.</li><li>It formulates and administers monetary policy.</li><li>It acts as an agent of the Government in respect of India""s membership of IMF.</li><li>It handles the borrowing programme of government of India.</li></ol><p></p><p>Which of these statements are correct?</p>",(a)  1 and 2,"(b)  2, 3 and 4","(c)  1, 2, 3 and 4",(d)  3 and 4,Economics,a,Difficult,tApplied(A),"<p>Some of the functions of RBI are:</p><ul><li>Banker to the Central Government.</li><li>Formulates and administers Monetary Policy.</li><li>Bank of issue.</li><li>Bankers to the bank.</li><li>Custodian of foreign exchange.</li><li>Controller of credit.</li><li>Banker, agent and financial adviser to the State.</li></ul>"
39, <p>Consider the following schemes launched by the Union Government:</p><p>1. Antyodaya Anna Yojana</p><p>2. Gram Sadak Yojana</p><p>3. Sarvapriya</p><p>4. Jawahar Gram Samriddhi Yojana</p><p>Which of these were announced in the year 2000?</p>,(a)  1 and 2,(b)  2 and 4,(c)  3 and 4,"(d)  1, 2 and 3",Current Affairs,a,Medium,Fundamental(F),<ul><li>Antyodaya Anna Yojana – 2000 Gram Sadak Yojana – 2000 Sarvapriya – 2001 Jawahar Gram Samriddhi Yojana – 1999.</li></ul>
40, <p>Consider the following factors regarding an industry:</p><ol><li>Capital investments</li><li>Business turnover</li><li>Labour force</li><li>Power consumption</li></ol><p>Which of these determine the nature and size of the industry?</p>,"(a)  1, 3 and 4","(b)  1, 2 and 4","(c)  2, 3 and 4",(d)  2 and 3,Economics,a,Difficult,tFundamental(F),"<ul><li>Capital investment, Labour force and Power consumption are the factors which denote the nature and size of the industry.</li></ul>"
41," <p>The most appropriate measure of a country""s economic growth is its</p>",(a)  Gross Domestic Product,(b)  Net Domestic Product,(c)  Net National Product,(d)  Per Capita Real Income,Economics,d,Medium,Applied(A),"<ul><li>The most appropriate measure of the country's economic growth is its ""per capita Real income"" which is also denoted as NNP at factor cost population.</li></ul>"
42," <p>Match List I with List II and select the correct answer using the codes given below the lists: </p><table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""mceItemTable mce-item-table""><tbody><tr><td valign=""top"" width=""109""><p><strong>List I (Term)</strong></p></td><td valign=""top"" width=""132""><p><strong>List II (Explanation)</strong></p></td></tr><tr><td valign=""top"" width=""109""><p>A. Fiscal deficit</p></td><td valign=""top"" width=""132""><p>1. Excess of total Expenditure over Total Receipts</p></td></tr><tr><td valign=""top"" width=""109""><p>B. Budget deficit</p></td><td valign=""top"" width=""132""><p>2. Excess of Revenue Expenditure over Revenue Receipts</p></td></tr><tr><td valign=""top"" width=""109""><p>C. Revenue deficit</p></td><td valign=""top"" width=""132""><p>3. Excess of Total Expenditure over Total Receipts less borrowings</p></td></tr><tr><td valign=""top"" width=""109""><p>D. Primary deficit</p></td><td valign=""top"" width=""132""><p>4. Excess of Total Expenditure over Total Receipts less borrowings and and Interest Payment.</p></td></tr></tbody></table><p>      </p>","(a) A-3, B-1, C-2, D-4","(b) A-4, B-3, C-2, D-1","(c) A-1, B-3, C-2, D-4","(d) A-3, B-1, C-4, D-2",Economics,a,Medium,Fundamental(F),"<ul><li data-mce-style=""text-align: justify;"" style=""text-align: justify;""><strong>A. Fiscal deficit -</strong> Excess of Total Expenditure over total Receipts less borrowings.</li><li data-mce-style=""text-align: justify;"" style=""text-align: justify;""><strong>B. Budget deficit -</strong> Excess of Total Expenditure over Total Receipts.</li><li data-mce-style=""text-align: justify;"" style=""text-align: justify;""><strong>C. Revenue deficit -</strong> Excess of Revenue Expenditure over Revenue Receipts.</li><li data-mce-style=""text-align: justify;"" style=""text-align: justify;""><strong>D. Primary deficit -</strong> Excess of Total Expenditure over Total Receipts less borrowings Receipts less borrowings and Internet Payments.</li></ul>"
43," <p>Consider the following organizations:</p>
<p>1. International Bank for Reconstruction and Development.</p>
<p>2. International Finance Corporation.</p>
<p>3. International Fund for Agricultural Development.</p>
<p>4. International Monetary Fund.</p>
<p>Which of these are agencies of the United Nations?</p>",(a) 1 and 2 only,(b) 2 and 3 only,(c) 3 and 4 only,"(d) 1, 2, 3 and 4",International Affairs and Institutions,d,Difficult,tFundamental(F),"<ul>
<li>All the above organizations i.e., IBRD, IFC, IFAD, and IMF are the agencies of UNO. IMF and World Bank/IBRD were established in 1945 with the result of Brettonwood’s agreement. IFC was established in 1956 as a subsidiary of the World Bank.</li>
</ul>"
44, <p>The Union Budget 2000 awarded a Tax Holiday for the North-Eastern Region to promote industrialization for:</p>,(a)  5 years,(b)  7 years,(c)  9 years,(d)  10 years,Current Affairs,a,Easy,Fundamental(F),<ul><li>The Union Budget 2000 awarded a Tax holiday of 5 years for NE Region to promote Industrialization.</li></ul>
45," <p>Consider the following taxes:</p>
<ol>
<li>Corporation tax.</li>
<li>Customs duty.</li>
<li>Wealth tax.</li>
<li>Excise duty</li>
</ol>
<p>How many of these is/are indirect taxes?</p>",(a) Only one,(b) Only two,(c) Only three,(d) All four,Economics,b,Medium,Fundamental(F),<p>2 and 4 only</p>
46, <p>The largest share of Foreign Direct Investment (1997 – 2000) went to</p>,(a)  Food and food-product sector,(b)  Engineering sector,(c)  Electronics and electric equipment sector,(d)  Services sector,Economics,b,Medium,Fundamental(F),<ul><li>The largest share of Foreign Direct Investment (1997-2000) went to engineering sector.</li></ul>
47, <p>The earlier name of WTO was:</p>,(a)  UNCTAD,(b)  GATT,(c)  UNIDO,(d)  OECD,Economics,b,Easy,Fundamental(F),"<ul><li>Uruguay Round talks of General Agreement on Trade and Tariffs (GATT) in 1994 led to the foundation for World Trade Organization (WTO) in 1995 with its head quarters at Geneva, Switzerland.</li></ul>"
48, <p>Which of the following committees examined and suggested Financial Sector reforms?</p>,(a)  Abid Hussain Committee,(b)  Bhagwati Committee,(c)  Chellaih Committee,(d)  Narsimhan Committee,Economics,d,Easy,Fundamental(F),<ul><li>Narasimhan Committee is related to Financial sector reforms (Banking Sector Reforms).</li></ul>
49," <p>The new series of Wholesale Price Index (WPI) released by the Government of India is with reference to the base prices of.</p>
",(a)  1981 – 82,(b)  1990 – 91,(c)  1993 – 94,(d)  1994 – 95,Economics,c,Medium,Fundamental(F),"<ul>
<li>The new series of Wholesale Price Index (WPI) released by the Government of India is with reference to the base prices of 1993-94. Earlier, it was with 1981-82.</li>
</ul>"
50, <p>The term National Income represents:</p>,(a)  Gross national product at market prices minus depreciation,(b)  Gross national product at market prices minus depreciation plus net factor income from abroad,(c)  Gross national product at market prices minus depreciation and indirect taxes plus subsidies,(d)  Gross national product at market prices minus net factor income from abroad,Economics,c,Medium,Applied(A),"<ul>
<li>National Income represents GNP at market prices minus depreciation and indirect taxes plus subsidies.</li>
</ul>"
51," <p>Assertion (A): India’s software exports increased at an average growth rate of 50% since 1995-96.</p>
<p>Reason (R): Indian software companies were cost-effective and maintained international quality.</p>
",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Economics,a,Medium,Applied(A),"<ul>
<li>India’s software exports increased at an average growth rate of 50% since 1995-96 which is due to cost effective nature of Indian Software Companies and maintenance of quality.</li>
</ul>"
52," <p>Assertion (A): Ceiling on foreign exchange for a host of current account transaction heads was lowered in the year 2000.</p>
<p>Reason (R): There was a fall in foreign currency assets also.</p>
",(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,Economics,a,Difficult,tFundamental(F),"<ul>
<li>Both A and R are true and R is the correct explanation of A.</li>
</ul>"
53, <p>Match List I with List II and select the correct answer using the codes given below the lists:</p><p>List I (Publisher)                                              List II (Publication)</p><p>A. Ministry of industry.                      1. Report on Currency and Finance</p><p> B. Central Statistical Organization.           2. Economic Survey  </p><p>C. Reserve Bank of India.                          3. Wholesale Price Index</p><p>D. Ministry of Finance.                          4. National Accounts Statistics</p><p><br/></p>,"(a) A-4, B-3, C-2, D-1","(b) A-3, B-4, C-1, D-2","(c) A-4, B-3, C-1, D-2","(d) A-3, B-4, C-2, D-1",Economics,b,Medium,Fundamental(F),"<p>A – 3, B – 4, C – 1, D – 2</p>"
54, <p>In which one of the following cities is the Lingaraja Temple located?</p>,(a)  Bhubaneshwar,(b)  Bijapur,(c)  Kolkata,(d)  Shravanabelagola,Indian Art and Culture,a,Easy,Fundamental(F),<p>Lingaraja temple located at Bhubaneshwar. It was dedicated to Shiva (Mukteshwara temple) built by ‘Chodaganga’.</p>
