q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
11,"Consider the following statements:


1. The Speaker of the Legislative Assembly
shall vacate his/her office if he/she ceases
to be a member of the assembly.

2. Whenever the Legislative Assembly is
dissolved, the Speaker shall vacate his/her
office immediately.

Which of the statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2018.0,a,"Exp) Option a is the correct answer.

The Speaker is elected by the Lok Sabha from amongst its

members (as soon as may be, after its first sitting). Whenever

the office of the Speaker falls vacant, the Lok Sabha clects
another member to fill the vacancy. The date of election of
the Speaker is fixed by the President.

Under article 179 of the Indian Constitution: The speaker

a. shall vacate his office if he ceases to be a member of the
Assembly. (Statement 1 is correct)

b. whenever the Assembly is dissolved, the Speaker shall
not vacate his office until immediately before the first
meeting of the Assembly after the Dissolution, (Statement
2 is incorrect)"
12,"With reference to the Parliament of India,
which of the following Parliamentary

Committees scrutinizes and reports to

the House whether the powers to make

regulations, rules, swb-rules, by-laws, etc.
conferred by the Constitution or delegated

by the Parliament are being properly

exercised by the Executive and is within the

scope of such delegation?",Committee on Government Assurances,Committee on Subordinate Legislation,Rules Committee,Business Advisory Committee,UPSC CSE Pre.,2018.0,b,"Exp) Option b is the correct answer.

Option a is incorrect. Committee on government

assurances— checks the assurances, promises and

undertakings given by ministers from time to time on the
floor of the House and reports on the extent to which they
have been carried through.

Option b is correct. Committee on Subordinate legislation

examines and reports to the House whether the powers to

make regulations, rules, sub-rules and bye-laws delegated
by the Parliament or conferred by the Constitution to the

Executive are being properly exercised by it.

Option c is incorrect. Rules committee considers the

matters of procedure and conduct of business in the House

and recommends necessary amendments or additions to the
rules of the House.

Option d is incorrect. Business advisory committee

regulates the program and time table of the House. It

allocates time for the transaction of legislative and other
business brought before the House by the government."
13,"Out of the following statements, choose the
one that brings out the principle underlying
the Cabinet form of Government:","An arrangement for minimizing the
criticism against the Government whose
responsibilities are complex and hard to
carry out the satisfaction of all.","A mechanism for speeding up the activities
of the Government whose responsibilities are
increasing day by day.","Amechanism of parliamentary democracy
for ensuring collective responsibility of
the Government to the people.","A device for strengthening the hands of
the head of the Government whose hold
over the people is in a state of decline.",UPSC CSE Pre.,2017.0,b,"Exp) Option b is the correct answer.

A constitutional government is one whose powers have been

adapted to the interests of its people and to the maintenance

of individual liberty by a constitution. A constitutional
government puts limitations on the state to preserve individual
- liberty, so that the individual can develop to the best of his
ability. With reference to India, it is a system of Government
in which the executive is responsible to the Jegisiature for its
policies and acts. This responsibility means that executive
stay in power as long as it enjoys the confidence of the house.
The Council of Ministers (executive) must resign when they
lose confidence of the Parliament (Lok Sabha in particular)."
14,"Consider the following statements:



1. In the election for Lok Sabha or State
Assembly, the winning candidate must
get at least 50 percent of the votes polled,
to be declared elected.

2. According to the provisions laid down in
the Constitution of India, in Lok Sabha,
the Speaker’s post goes to the majority
party and the Deputy Speaker’s to the
Opposition.

Which of the statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2017.0,d,"Exp) Option d is the correct answer.
Statement 1 is incorrect. As India follows the First Past the
Post System, where a candidate who polls more votes than
any other candidate is declared elected.
Statement 2 is incorrect. As per the constitution, the
speaker and deputy speaker in Lok Sabha are elected among
its members. It is not a constitutional provision but a
convention that Speaker’s post goes to the majority party and
the Deputy Speaker's to the Opposition."
15,"With reference to the Parliament of India,
consider the following statements:



1. A private member's bill is a bill presented
by a Member of Parliament who is
not elected but only nominated by the
President of India.

2. Recently, a private member's bill has been
passed in the Parliament of India for the
first time in its history.

Which of the statements given above is/are

correct?",l only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2017.0,d,"Exp) Option d is the correct answer.
Statement I is incorrect. Every Member of Parliament,
who is not a Minister, is called a Private Member and bills
presented by them are known as private member’s bills. It
reflects the stand of opposition party on public matter. Its
introduction in the House requires one month's notice.
Statement 2 is incorrect, The last Private Member’s Bill
passed by parliament was the Supreme Court (Enlargement
of Criminal Appellate Jurisdiction) Bill, 1968, which became
an act on August 9, 1970."
16,"The Parliament of India acquires the power
to legislate on any item in the State List in
the national interest if a resolution to that
effect is passed by the","Lok Sabha by a simple majority of its total
membership","Lok Sabha by a majority of not less than
two-thirds of its total membership","Rajya Sabha by a simple majority of its
total membership","Rajya Sabha by a majority of not less than
two-thirds of its members present and
voting",UPSC CSE Pre.,2016.0,d,"Exp) Option d is the correct answer.
According to Article 249 of the Constitution of India if the
Rajya Sabha declares that it is necessary in the national
interest that Parliament should make laws with respect
matters in the State List, then the Parliament becomes
competent to make laws on that matter. Such a resolution
must be supported by two-thirds of the members present and
voting. The resolution remains in force for one year; it can be
renewed any number of times but not exceeding one year at
a time. The laws cease to have effect on the expiration of six
months after the resolution has ceased to be in force.
This provision does not restrict the power of a state
legislature to make laws on the same matter. But, in case of
inconsistency between a state law and a parliamentary law,
the latter is to prevail."
17,"Consider the following statements:



1. The Legislative Council of a State in
India can be larger in size than half of the
Legislative Assembly of that particular
State.

2. The Governor of a State nominates the
Chairman of Legislative Council of that
particular State.

Which of the statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2015.0,d,"Exp) Option d is the correct answer
Statement 1 is incorrect. According to the Constitution of
India, the maximum strength of the legislative council is
fixed at one-third of the total strength of the assembly and
the minimum strength is fixed at 40 (with some exceptions).
Statement 2 is incorrect. The Chairman of the Legislative
Council is elected by the council itself from amongst its
members."
18,"With reference to the Union Government,
consider the following statements:



1. The Department of Revenue is responsible
for the preparation of Union Budget that
is presented to the Parliament.

2. No amount can be withdrawn from the
Consolidated Fund of India without the
authorization from the Parliament of
India.

3. All the disbursements made from Public
Account also need the authorization from
the Parliament of India.

Which of the statements given above is/are

correct?",1 and 2 only,2 and 3 only,2 only,"1,2 and 3",UPSC CSE Pre.,2015.0,c,"Exp) Option c is the correct answer.

Statement 1 is incorrect. The Budget Division of the
Department of Economic Affairs (DEA) (and not the
department of revenue) in the finance ministry is the nodal
body responsible for producing the Budget.

Statement 2 is correct. The Constitution (under article
114) states that ‘no money shall be withdrawn from the
Consolidated Fund of India except under appropriation
made by law’. Accordingly, an appropriation bill is introduced
in the parliament to provide for the appropriation, out of
the Consolidated Fund of India. It should be noted in this
context that the voting of demands for grants is the exclusive
privilege of the Lok Sabha, that is, the Rajya Sabha has no
power of voting the demands.

Statement 3 is incorrect. Provident Fund deposits, savings
bank deposits, remittances etc. are credited to the Public
Account and this account is operated by the executive
action i.e., payment from this account can be made without
Parliamentary appropriation."
19,"Consider the following statements: A

Constitutional Government is one which



1. Places effective restrictions on individual
liberty in the interest of State Authority.

2. Places effective restrictions on the
Authority of the State in the interest of
individual liberty.

Which of the statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither | nor 2,UPSC CSE Pre.,2014.0,b,"Exp) Option b is the correct answer.

The committee on Estimates is the largest committee of the
Parliament. It has total 30 members.

The origin of this committee can be traced to the standing
financial committee set up in 1921. The first Estimates
Committee in the post-independence era was constituted
in 1950 on the recommendation of John Mathai, the then
finance minister. Originally, it had 25 members but in 1956
its membership was raised to 30. All the thirty members are
from Lok Sabha only. The Rajya Sabha has no representation
in this committee. These members are elected by the Lok
Sabha every year from amongst its own members, according
to the principles of proportional representation by means of
a single transferable vote. The function of the committee is
to examine the estimates included in the budget and suggest
‘economies’ in public expenditure. Hence, it has been
described as a ‘continuous economy committee."
20,"Which one of the following is the largest

Committee of the Parliament?",The committee on Public Accounts,The committee on Estimates,The committee on Public Undertakings,The committee on Petitions,UPSC CSE Pre.,2014.0,b,"Exp) Option b is the correct answer.

The Constitution of India provides for a parliamentary
system of government modelled on the British pattern. Thus,
the council of ministers headed by the prime minister is
the real executive authority is our politico-administrative
system.

Statement 1 is incorrect. Article 75 (3) of the Constitution
states that the Council of Ministers shall be collectively
responsible to the House of the People (Lok Sabha) and not
parliament as a whole.

Statement 2 is correct. According to Article 75 (2), the
Minister shall hold office during the pleasure of the President.
Statement 3 is correct. Article 78 (a) states that it shall
be the duty of the Prime Minister to communicate to the
President all decisions of the council of Ministers relating to
the administration of the affairs of the union and proposals
for legislation."
21,"Consider the following statements
regarding a No-Confidence Motion in

India: 

1. There is no mention of a No-Confidence
Motion in the Constitution of India.

2. A motion of No-Confidence can be
introduced in the Lok Sabha only.

Wiiich of tiie statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2014.0,c,"Exp) Option c is the correct answer.

The principle of collective responsibility implies that the

Lok Sabha can remove the ministry (i.e., council of ministers

headed by the prime minister) from office by passing a vote

of no confidence.

Statement 1 is correct. There is no mention of a No-

Confidence Motion in the Constitution of India. However,

Rule 198 of the Rules of Procedure and conduct of Lok Sabha

specifies the procedure for moving a no-confidence motion.

Statement 2 is correct. A Council of Ministers is collectively

responsible to Lok Sabha and it remains in office till it enjoys

confidence of majority of the members in Lok Sabha. Thus,

A no-confidence motion can be moved only in the Lok Sabha

(or state assembly as the case may be).

A no-confidence motion can be moved by any member of

the House."
22,"Consider the following statements:
JUPSC CSE Pre. 2013]

1. The Council of Ministers in the Centre
shall be collectively responsible to the
Parliament.

2. The Union Ministers shall hold the office
during the pleasure of the President of
India.

3. The Prime Minister shall communicate
to the President about the proposals for
legislation.

Which of the statements given above is/are

correct?",1 only,2 and 3 only,1 and 3 only,"I, 2 and 3",,,c,"Exp) Option c is the correct answer.

Parliamentary democracy envisages a cabinet form of

government with a President as a titular head (and a

governor in the states) with responsibility of ministers to the

Parliament.

One of the key features of Parliamentary System of

Government is that the Executive is responsible to the

Legislature. Thus, Under Article 75(3), In India the Council

of Ministers is collectively responsible to the House of People

(Lok Sabha). The Council of Ministers remains in office as

long as they enjoy the support and confidence of the Lok

Sabha.

The features of parliamentary government in India are:

(a) Presence of nominal and real executives;

(b) Majority party rule,

(c) Collective responsibility of the executive to the
legislature,

(d) Membership of the ministers in the legislature,

(e) Leadership of the Prime Minister or the Chief Minister,

(f) Dissolution of the lower House (Lok Sabha or Assembly)."
23,"When the annual Union Budget is not
passed by the LokSabha","the Budget is modified and presented
again","the Budget is referred to the RajyaSabha
for suggestions","the Union Finance Minister is asked to
resign","the Prime Minister submits the
resignation of Council of Ministers",UPSC CSE Pre.,2012.0,d,"Exp) Option d is the correct answer.

When the annual Union Budget is not passed by the Lok

Sabha, the Prime Minister submits the resignation of Council

of Ministers. The annual budget is a money bill and if the

budget is not passed in parliament, then it can be understood

that the ruling party has lost its majority in house. It means

the government has lost the confidence vote in the Lok Sabha

and it has to resign."
24,"<A deadlock between the LokSabha and the
RajyaSabha calls for a joint sitting of the
Parliament during the passage of



1. Ordinary Legislation

2. Money Bill

3. Constitution Amendment Bill

Select the correct answer using the codes

given below:",1 only,2 and 3 only,1 and 3 only,"1,2 and3",UPSC CSE Pre.,2011.0,a,"Exp) Option a is the correct answer.

A deadlock between the LokSabha and the RajyaSabha calls

for a joint sitting of the Parliament during the passage of

only ordinary legislation in the above situation.

Joint sitting is an extraordinary machinery provided by the

Constitution to resolve a deadlock between the two Houses

over the passage of a bill. It must be noted here that the

provision of joint sitting is applicable to ordinary bills or

financial bills only and not to money bills or Constitutional

amendment bills. In the case of a money bill, the Lok Sabha

has overriding powers, while a Constitutional amendment

bill must be passed by each House separately."
25,"Which of the following is responsible for
preparation and presentation of union
budget in the Parliament?",Department of Revenue,Department of Economic Affairs,Department of Financial Services,Department of Expenditure,UPSC CSE Pre,2010.0,b,"Exp) Option b is the correct answer.

The Department of Economic Affairs (DEA) is responsible

for preparation and presentation to the Parliament of the

Central Budget and the Budgets for the State Governments

under President’s Rule and Union Territory Administration."
26,"Which one of the following statements is not
correct with regard to control of Parliament

on the budget?","Parliament does not have any role in the
creation of the budget.","Parliament has the power to vote on the
charged expenditure on the Consolidated
Fund.","Parliament has no power to impose a
tax without the recommendation of the
President.","Parliament has no power to increase any
tax without the recommendation of the
President.",UPSC CSE Pre,2009.0,b,"Exp) Option b is the correct answer.

Option a is correct: Parliament does not have any role in

the creation of the budget. The Department of Economic

Affairs (DEA) of Ministry of Finance is responsible for

preparation and presentation Budget.

Option b is incorrect: Parliament has no power to vote

on the charged expenditure on the Consolidated Fund.

Expenditure charged upon the Consolidated Fund of India

can only be discussed in Parliament and It is not subject to

the vote of Parliament.

Option ¢ is correct: No money bill imposing tax shall be

introduced in the Parliament except on the recommendation

of the President, and such a bill shall not be introduced in

the Rajya Sabha.

Option d is correct: Parliament can reduce or abolish a tax

bul cannot increase it."
27,In India Lok Sabha Speaker is-,Nominated,Chosen,Elected,Appointed,UPSC CSE Pre,2009.0,b,"Exp) Option b is the correct answer.

According to the Article 93 of the Indian Constitution, the

Lok Sabha Speaker is chosen by the members of the Lok

Sabha. The Speaker is the presiding officer of the Lok Sabha

and is responsible for maintaining order and discipline in

the House. The Speaker also has the power to decide whether

a bill is a money bill or not."
28,"Consider the following statements:

The Constitution of India provides that-

1. The Legislative Assembly of each State
shall consist of not more than 450
members chosen by direct election from
territorial constituencies in the State.

2. A person shall not be qualified to be
chosen to fill a seat in the Legislative
Assembly of a State if he/she is less than
25 years of age.

Which of the statements given above is/are

correct? UPSC CSE Pre 2008]",1 only,2 only,Both 1 and 2,Neither nor 2,,,b,"Exp) Option b is the correct answer.

Statement 1 is incorrect: According to Article 170 of the

Constitution of India, the Legislative Assembly of each State

shall consist of not more than five hundred (500), and

not less than sixty, members chosen by direct election from

territorial constituencies in the State.

Statement 2 is correct: According to Article 173 of the

Constitution of India, a person shall not be qualified to be

chosen to fill a seat in the Legislature of a State unless he or

she:

* is a citizen of India, and makes and subscribes before
some person authorised in that behalf by the Election
Commission an oath or affirmation according to the

form set out for the purpose in the Third Schedule;

« in the case of a seat in the Legislative Assembly, not less
than twenty-five years of age and, in the case of a seat
in the Legislative Council, not less than thirty years of
ages and

* possesses such other qualifications as may be prescribed
in that behalf by or under any law made by Parliament"
29,"Consider the following statements:

1. The Chairman of the Committee on
Public Accounts is appointed by the
Speaker of the Lok Sabha.

2. The Committee on Public Accounts
comprises Members of Lok Sabha,
Members of Rajya Sabha and a few
eminent persons of industry and trade.

Which of the statement(s) given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre,2007.0,a,"Exp) Option a is the correct answer

The chairman of the committee on Public Accounts is

appointed from amongst its members by the Speaker of Lok

Sabha. The members are elected by the Parliament every

year from amongst its members according to the principle

of proportional representation by means of the single

transferable vote. At present, it consists of 22 members (15

from the Lok Sabha and 7 from the Rajya Sabha).

Important Tips

¢ Public Accounts Committee was set up first in 1921
under the provisions of the Government of India Act of
1919 and has since been in exist.

e A minister cannot be elected as a member of the
committee.

¢ Since 1967 a convention has

+ developed whereby the chairman of the committee is
selected

* invariably from the Opposition."
30,"Consider the following statements:

1. The joint sitting of both Houses of the
Parliament in India is sanctioned under
Article 108 of the Constitution.

2. The first joint sitting of Lok Sabha and
Rajya Sabha was held in the year 1961.

3. The second joint sitting of both Houses
of Indian Parliament was held to pass the
Banking Service Commission (Repeal),
Bill.

Which of these statements is/are correct?",land2,2 and 3,land 3,"1,2 and 3",UPSC CSE Pre,2003.0,d,"Exp) Option d is the correct answer.

Statement I is correct: The joint sitting of both Houses of

the Parliament in India is sanctioned under Article 108 of

the Constitution.

Statement 2 is correct: The first joint sitting was held on 6

May 1961 following a disagreement between the two Houses

over certain amendments to the Dowry Prohibition Bill,

1959. This was followed by another sitting on 9 May 1961

when the Bill, as amended, was finally passed.

Statement 3 is correct: The second joint sitting was held f

or the Banking Service Commission (Repeal) Bill, 1977. And

last joint sitting was held for the Prevention of Terrorism

Bill, 2002."
31,"Which of the following Constitutional

Amendments is related to raising the

number of Members of Lok Sabha to be

elected from the States?
(UPSC CSE Pre 2003]",6th and 22nd,13th and 38th,7th and 31st,11th and 42nd,,,c,"Exp) Option c is the correct answer.

The 7th and 31st Constitutional Amendments raised the

number of Members of Lok Sabha to be elected from the

States. The 7th Amendment increased the number of seats

from 525 to 545, and the 3lst Amendment increased the

number of seats to 552."
