q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
11,"Who of the following shall causes every
recommendation made by the Finance

Commission to be laid before cach House

of the Parliament?",The President of India,The Speaker of Lok Sabha,The Prime Minister of India,The Union Finance Minister,UPSC CSE (Pre),2010.0,a,"Exp) Option a is the correct answer

The President shall cause every recommendation made

by the Finance Commission under the provisions of

Constitution together with an explanatory memorandum as

to the action taken thereon to be laid before each House of

Parliament."
12,"The decision to disqualify the person
declared convict by the Court to contest the
elections has been made by-",The Government of India,The Supreme Court,The Election Commission,The Parliament,UPSC CSE (Pre),2009.0,d,"Exp) Option dis the correct answer,

Section 8 of the Representation of the People Act, 1951

provides that a person who has been convicted of a crime

and sentenced to imprisonment for two years or more is
disqualified from contesting elections to Parliament or the

State Legislatures. It is a law made by Parliament. Article

102(1)(e) of the Constitution of India provides that a person

shall be disqualified for being chosen as, and for being, a

member of either House of Parliament if he is so disqualified

by or under any law made by Parliament."
13,"Which of the following recommends the
principles for sharing of revenues among
the Union and the States?",Finance Commission,Inter-State Council,Union Ministry of Finance,Planning Commission,UPSC CSE,2002.0,a,"Exp) Option a is the correct answer

Article 280 of the Constitution of India provides that,

every five years, the President shall constitute a Finance

Commission, which shall recommend assistance/grants

from the Consolidated Fund of India,

It is the duty of the Commission to make recommendations

to the President as to:

e The distribution between the Union and the States
of the net proceeds of taxes which are to be, or maybe,
divided between them and the allocation between the
States of the respective shares of such proceeds.

« The principles which should govern the grants-in-aid of
the revenues of the States out of the Consolidated Fund
of India;

e The measures needed to augment the Consolidated Fund
of a State to supplement the resources of the Panchayats
in the State on the basis of the recommendations made by
the Finance Commission of the State."
14,"The Dinesh Goswami Committee

recommended:","The constitution of state-level election
commission",List system of election to the Lok Sabha,"Government funding of parliamentary
elections","A ban on the candidature of independent
candidates for the parliamentary elections",UPSC CSE (Pre),1997.0,c,"Exp) Option c is the correct answer.

The Dinesh Goswami Committee was constituted

in 1990 to review the electoral system in India. The

Committee recommended that the government should fund

parliamentary elections. The Committee argued that this

would help to reduce the influence of money in elections
and make it easier for independent candidates to contest
elections
ee,
Important Tips |
Other Important Committees/Reports related to Electoral
Reforms: |
« Tarkunde Committee (1974) |
e Jaya Prakash Narayan Committee (1974) |
« Goswami Committee on Plectoral Reforms (1990) !
« Vohra Committee Report (1993) |
e Indrajit Gupta Committee on State Funding of
Elections (1998)
* Law Commission Report on Reform of the Electoral
Laws (1999)
e National Commission to Review the Working of the
Constitution (2001)
e Election Commission of India - Proposed Electoral
Reforms (2004)
° Jeevan Keddy Committee (2004)
¢ The Second Administrative Reforms Commission
(2008)"
15,"Proportional representation is not
necessary for a country where:",There are no reserved constituencies,a two-party system has developed,the first-past-post system prevails,"there is a fusion of Presidential and
Parliamentary forms of government",UPSC CSE (Pre),1997.0,b,"Exp) Option b is the correct answer.
Proportional representation is a system of voting in which
the number of seats a party wins is proportional to the
number of votes it receives. This system is often used in
countries with a multi-party system, as it ensures that all
shades of opinion are represented in the legislature. A two-
party system is a system in which there are only two major
political parties. In a two-party system, the party that wins
the most votes usually wins a majority of the seats in the
legislature. This means that there is no need for proportional
representation, as the majority party will already be
represented in the legislature."
16,"Which one of the following is correct
in respect of the commencement of the
election process in India?","The recommendation for election is made
by the Government, and the notification
for election is issued by the Election
Commission.","The recommendation for election is made
by the Election Commission, and the
notification for election is issued by the
Home Ministry at the Centre and Home
Departments in the States.","The recommendation for election is
made by the Election Commission, and
the notification for election is issued by
the President and Governors of the States
concerned.","Both the exercises of making a
recommendation for election and that of
issuing a notification in respect of it are
done by the Election Commission.",UPSC CSE (Pre),1995.0,c,"Exp) Option c is the correct answer.
The Election Commission decides the schedule for elections
to the Parliament or the State Legislature, taking into account
the recommendations of the respective government. While
the Election Commission announces the schedule, the actual
election process commences only after the President, or the
Governor issues the official notification.
Important Tips
Role of the President in Elections:
e As the head of the state, the President plays a crucial |
role in the electoral process of the country.
e The President’s power to issue the election notification
marks the beginning of the electoral process.
e The appointment of the Chief Election Commissioner
and other Election Commissioners is made by the
President.

o The President ensures that the elections are conducted
with fairness and impartiality.

* Role of the Election Commission of India:

+ The Election Commission of India (ECI) operates as
an independent constitutional body with the primary
responsibility of conducting transparent elections in
the country.

« The ECI proposes the dates for the elections to the
President of India,

e It lays down the rules and regulations for conducting
elections and ensures compliance by all involved
parties,

« The ECI conducts elections for the Lok Sabha, Rajya
Sabha, and State Legislative Assemblies."
17,"If in an election to a State Legislative
Assembly, the candidate who is declared
elected loses his deposit, it means that-",The polling was very poor.,"The election was for a multi-member
constituency.","The elected candidate’s victory over his
nearest rival was very marginal.","A very large number of candidates
contested.",UPSC CSE (Pre),1995.0,d,"Exp) Option d is the correct answer.

If a candidate fails to secure the minimum percentage of
votes required in an election to a State Legislative Assembly,
it results in the forfeiture of the candidate’s deposit. The
minimum percentage of votes needed to retain the deposit is
1/6th of the total votes polled. This outcome signifies that
the candidate was unable to gather sufficient support from
the voters during the election. The reason for low support
could be that a very large number of candidates contested,
leading to the division of votes among them. This makes it
difficult for any one candidate to obtain a significant number
of votes."
18,"Which one of the following statements
regarding Exit Poll is correct?","Exit Poll is a term used to denote a post-
election survey of voters regarding the
candidates in whose favour they had
exercised their franchise","Exit Poll and Opinion Polls are one and
the same","Exit Poll is a device through which results
of voting can be most exactly predicted","Exit Poll is an administrative device
made recently by the Chief Election
Commissioner to prevent impersonation",UPSC CSE (Pre),1994.0,a,"Exp) Option a is the correct answer.

Exit poll is a survey of voters conducted after they have
cast their ballots. The purpose of an exit poll is to gauge
the voting preferences of the electorate and to predict the -
outcome of an election. Opinion polls, on the other hand,
are surveys of voters conducted before they have cast their
ballots. The purpose of an opinion poll is to gauge the voting
preferences of the electorate and to predict the outcome of
an election."
19,"Which of the election system have been
adopted for different elections in India?

1. Direct Election System on the basis of
Adult Suffrage.

2. System of Proportional representation by
a Single Transferable Vote.

3. List System of Proportional
Representation.

4, The cumulative Voting system of Indirect
Election.

Choose the correct answer from the given

code.",l and 2,land 3,"1,2 and 3","2,3 and 4",UPSC CSE (Pre),1994.0,a,"Exp) Option a is the correct answer.

Statement 1 is correct- Direct Election System on the basis
of Adult Suffrage is used for elections to the Lok Sabha
(House of the People) and State Legislative Assemblies. It
allows citizens above the age of 18 years (adult suffrage) to
vote directly for their representatives.

Statement 2° is’ correct-The System~ of - Proportional
representation by a Single Transferable Vote is used for the
elections to the President and Vice-President. It is a form of
proportional representation where voters rank candidates
in order of preference, and candidates need to reach a
certain quota to be elected.

Statement 3 is incorrect- The List System is a proportional
representation system in which voters vote for a party, not

for a specific candidate. The party then presents a list of
candidates, and the seats in the legislature are allocated to
the parties in proportion to the number of votes they receive.
This system is not used in India.
Statement 4 is incorrect- The Cumulative System is an
indirect election system in which voters vote for a group of
candidates, not for a single candidate. This system is used
in the USA for election to the members of Senate."
20,"Which of the following are the functions of
the Election Commission of India?

1. To conduct elections for the post of
Speaker and Deputy-speaker of Lok
Sabha and the Deputy Chairman of Rajya
Sabha.

2, To conduct elections for the municipality
and municipal corporations.

3. To make a decision on all the doubts and
disputes arising from the election.

Select the correct answer from the code given

below:",land 2,land 3,2 and 3,None of the above,UPSC CSE (Pre),1994.0,d,"Exp) Option d is the correct answer.
Statement 1 is incorrect- The elections for the post of
Speaker and Deputy-Speaker of Lok Sabha and the Deputy
Chairman of Rajya Sabha are conducted by the respective
Houses of Parliament (Lok Sabha and Rajya Sabha)
themselves.
Statement 2 is incorrect- Local body elections, including
elections for municipalities and municipal corporations, are
conducted by the respective State Election Commissions in
each state,
Statement 3 is incorrect- The power to make a decision
on all the doubts and disputes arising from the election to
the President and Vice President is vested in the Supreme
Court and for election to Parliament and State Legislature
is vested in High Court.
Important Tips
Some important functions of the Election Commission of
India:
¢ Delimitation of Electoral Constituencies: The
Election Commission is responsible for determining
the territorial areas of electoral constituencies across
the country, ensuring a fair and equitable distribution of
constituencies based on the Delimitation Commission
Act.
| e Electoral Roll Preparation and Revision: The
Election Commission plays a crucial role in preparing
and periodically updating electoral rolls, ensuring
the registration of all eligible voters and maintaining
accurate voter lists.
« Conducting Elections: The Election Commission
| is tasked with notifying the dates and schedules
| of elections, scrutinizing nomination papers, and
overseeing the entire electoral process to ensure fair
| and transparent elections.
|» Recognition of Political Parties: The Election
| Commission grants recognition to political parties
and allocates election symbols to them, which is a
significant aspect of the democratic electoral process.
« Dispute Settlement: The Election Commission acts
as a court for settling disputes related to granting |
' recognition to political parties, allotment of election |
symbols, and inquiring into disputes regarding
electoral arrangements. |"
21,"Who recommended to end = Indian

Administrative Services and Indian Police

Services?",Dhebar Commission,Kalelkar Commission,Kher Commission,Rajamannar Commission,UPSC CSE (Pre),1993.0,d,"Exp) Option d is the correct answer :
The Rajamannar Commission, Rajamannar Commission
on Centre State relation was set up by the then Government

of Tamil NAdu in 1960 under under the Chairmanship of
Dr. P.V. Rajamanar. It was appointed to examine all aspects
of Centre-State relations and to investigate and identify
the causes of unitary tendencies in Central-State relations.
It proposed the abolition of JAS and IPS due to their
excessive centralization, which was seen as a hindrance to
local self-government."
22,"The question considered by Swarn Singh

Committee was related to -","More autonomy for Punjab than Jammu
and Kashmir.","Suitability of President oriented
governance for India.","Priority to Directive Principles of State
Policy in comparison to fundamental
rights.","Administrative reform.
eae
Lead Questions ve UV VUE NEVES EEN S:",UPSC CSE (Pre),1993.0,c,"Exp) Option c is the correct answer
The Swaran Singh Committee, formed in 1976, was tasked
with examining the relationship between the DPSP and
fundamental rights. The committee explored ways to ensure
greater effectiveness and implementation of DPSP and to
harmonize their objectives with fundamental rights.
Important Tips

Swaran Singh Committee Recommendations:

1. A separate chapter under the name Fundamental
Duties was recommended for inclusion in the Indian
Constitution.

2. The committce proposed eight Fundamental Duties,
but the 42nd amendment included ten. Not every
recommendation was approved out of the whole set of
recommendations.

3. Certain recommendations of the Committee were
not accepted by the Congress Party and hence, not
incorporated in the Constitution. These include:

+ The Parliament may provide for the imposition of
such penalty or punishment as may be considered
appropriate for any non-compliance with or refusal to
observe any of the duties.

e No law imposing such penalty or punishment shall
be called in question in any court on the ground of
infringement of any of Fundamental Rights or on the
ground of repugnancy to any other provision of the
Constitution.

| « Duty to pay taxes should also be a Fundamental Duty
of the citizens.
nana
ED) | Other g Examination Previous 4 Years?
Tey re Es EE: BR, RS he RA By, fi Gas Sas SEB gs, ae Ses:
i” Questions eee ae Sy SE PA as"
23,"A Joint Public Service Commission for two

or more States can be established by-","Parliament, if requested by concerned
States",Lok Satha,Union Public Service Commission,Rajya Sabha,U.P.P.C.S. (Pre),2022.0,a,"Exp) Option a is the correct answer
According to Article 315(2) of the Indian Constitution,
two or more States may pass a resolution in their respective
legislatures, agreeing to establish a Joint State Public Service
Commission. Upon such agreement, Parliament can enact
a law for the appointment of the Joint Public Service
Commission.

Important Tips

Joint State Public Service Commission |

» A JSPSC is a statutory body. It does not have the |
status of a constitutional body.

a ee |
| ¢ For a brief while after the establishment of Haryana |
from Punjab in 1966, the two states of Punjab and |
Haryana had a JSPSC. !

e The chairman and members of a JSPSC are appointed |
by the President. |

¢ They hold the office for a period of six years or until |
they reach the age of 62, whichever comes first. |

« They can be fired or suspended by the President. They
can also send the president their resignation letters at
any time,

e The president determines the number of JSPSC
members and their service conditions.

« A Joint State Public Service Commission presents
each of the concerned state governors with an annual
performance report. The report is presented to the

| state legislature by the governor."
24,"A member of State Public Service

Commission may be removed by -","The Governor onthe basisofimpeachment
in Vidhan Sabha","The Governor, after the enquiry
conducted by the Supreme Court","The President, after the enquiry
conducted by the Supreme Court","The Governor, after the enquiry
conducted by the High Court",U.P.P.C.S. (Pre),2021.0,c,"Exp) Option c is the correct answer
Article 317 of the Constitution of India provides that a
member of a State Public Service Commission (SPSC)
may be removed by the President on the ground of proved
misbehaviour or incapacity after the enquiry conducted by
the Supreme Court.

Important Tips

Article 317(3): Conditions for Removal

The Chairman or any other member of UPSC may be

removed if he/she:

« is adjudged an insolvent.

* engages during his/her term of office in any paid
employment outside the duties of his/her office.

« is, in the opinion of the President, unfit to continue
in office by reason of infirmity of mind or body."
25,"Given below are two statements one is
labelled as Assertion (A) and other as

Reason (R): 

Assertion (A): The President of India

determines the qualifications of the Chairman

and Members of the Finance Commission.

Reason (R): Chairman and members are

appointed by the President of India.

Select the correct answer using the codes
given below.","Both (A) and (R) are true and (R) is
correct explanation of (A)","Both (A) and (R) are true, but (R) is not
correct explanation of (A)","(A) is true, but (R) is false","(A) is false, but (R) is true",U.P.P.C.S. (Pre),2021.0,d,"Exp) Option d is the correct answer

Article 280 of the Constitution of India provides for a Finance
Commission as a quasi-judicial body. It is constituted by
the President of India every fifth year or at such an carlicr
time as he considers necessary. The Finance Commission
consists of a chairman and four other members to be
appointed by the president. They hold office for such a
period as specified by the president in his order. They are
eligible for reappointment. The Constitution authorises the
Parliament to determine the qualifications of members of
the commission and the manner in which they should be
selected."
26,"Consider the facts given below:
1. Sukumar Sen was the first Chief Election
Commissioner of India.
2. Rama Devi was the first woman Chief
Election Commissioner of India.
Choose the correct answer from the codes
given below.",Only 1 is correct,Only 2 is correct,Both 1 and 2 are correct,Both 1 and 2 are incorrect,U.P.P.C.S. (Pre),2021.0,c,"Exp) Option c is the correct answer.

Statement 1 is correct- Sukumar Sen was the first Chief
Election Commissioner of India. He served from 21 March
1950 to 19 December 1958.

Statement 2 is correct- Rama Devi was the first woman

Chief Election Comnnissioner of India. She served from 26

January 1975 to 31 December 1977."
27,"In the removal of which of the following
officials does the Parliament NOT play any
role?
1, Judges of High Court
2. Judges of the Supreme Court
3. Chairman of the Union Public Service
Commission
4. Comptroller and Auditor General of India
Choose the correct answer from the codes
given below:",1 and 2 only,3 and 4 only,"1,2 and 3 only",3 only,U.P.P.C.S. (Pre),2020.0,d,"Exp) Option d is the correct answer

According to Article 317, the removal of the Chairman of

the Union Public Service Commission (UPSC) can only

be done by the President based on the ground of proved

misbehavior or incapacity. Parliament is not involved in

the process. The removal process involves a reference made

by the President to the Supreme Court, which conducts an

inquiry following the procedure prescribed under Article

145, The Supreme Court’s report determines whether the

Chairman should be removed from their office. In the

removal of Judges of High Court, Supreme Court and

CAG, Parliament is involved.

Important Tips
« A member of the higher judiciary, which means the
Judges and Chief Justices of the Supreme Court of
India and the state High Courts, can be removed from
service only through the process of impeachment by
Parliament under Article 124 (4) of the Constitution
and Judges Inquiry Act 1968.
¢ The Comptroller and Auditor General of India shall be

appointed by the President by a warrant under his hand
and seal and shall only be removed from office by an
order of President passed after an address by each
House of parliament supported by a majority of the

| total membership of that house and by a majority of

| not less than two-thirds of the members of that house

| present and voting has been presented to the President

| in the same session for such removal on the ground of

|___ proved misbehavior or incapacity."
28,"In which year was accounting separated
from auditing and the Comptroller and
Auditor General’s task only remained
confined to auditing the Government
Accounts?",1975,1977,1976,1981,U.P.P.C.S. (Pre),2019.0,c,"Exp) Option c is the correct answer.

The accounting function was separated from the auditing

function in 1976, when the Department of Expenditure

was bifurcated into two separate departments, namely,

Department of Expenditure and Department of Accounts and

Audit. The latter was renamed as Department of Expenditure

and Controller General of Accounts in 1985.

Since then, the CAG’s duty is only confined to auditing

the government accounts, while the accounting function is

performed by the various departments themselves with the

help of the Indian Civil Accounts Service."
29,"Which of the following is an_ extra
constitutional agency?",Union Public Service Commission,Finance Commission,Election Commission,NITI Aayog,"U.P.P,C.S.(Pre)",2018.0,d,"Exp) Option d is the correct answer.

NITI Aayog is an extra constitutional agency as it is not

mentioned in the Constitution. It is created by Executive

orders of the Union Cabinet.

Important Tips

« Extra- Constitutional Bodies are those which are not |
defined in the Constitution of India. |

« Extra- Constitutional Bodies are of further two
types: ; |

e Statutory Bodies: These are those bodies that are |
formed by passing a law of either of the parliament of
India or by the respective state legislature(s).

« Some examples are: SEBI, National Human Rights |
Commission, National Green Tribunal, etc.

* Executive Bodies: These are those bodies that are
formed by the executive order of the government.
There is no need for parliament or state legislatures
approval to form these bodies.

« For example: Niti Aayog, National Development
Council, Law Commission, etc.

¢ Constitutional Bodies are those which are defined
in the constitution of India and derives their powers,
limitations and other features directly from the
Constitution of India. These are those bodies which are
clearly mentioned in some article of the Constitution
itself.

« Forexample- UPSC, State Public Service Commissions,
CAG, Election Commission, Finance Commission and

|___many others are constitutional Bodies."
30,"Given below are two statements:

Assertion (A): Model code of conduct is to

be followed by political parties as soon as an

election is announced.

Reason (R): Model code of conduct was

enacted by Parliament.

Choose the correct answer from the code

given below:","Both (A) and (R) are true and (R) is the
correct explanation of (A).","Both (A) and (R) are true and (R) is not
the correct explanation of (A).",(A) is true but (R) is false.,(A) is false but (R) is true.,U.P.P.C.S. (Pre),2017.0,c,"Exp) Option c is the correct answer.

Assertion (A) is true- The MCC (Model Code of Conduct)
consists of guidelines issued by the Election Commission
to govern the behavior of political parties and candidates
before elections. While it is not a legally binding document,
Political Parties, Candidates, and Polling Agents are expected
to adhere to these norms. The Model Code of Conduct
(MCC) is in effect from the date the Election Commission
announces the election schedule until the date the results are
announced.

Reason (R) is false- The Election Commission of India issues
the Election Model Code of Conduct (MCC), which serves
as a set of guidelines for ensuring free and fair elections in
the country."
