q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
11,"Right to Privacy is protected as an intrinsic
part of Right to Life and Personal Liberty.
Which of the following in the Constitution
of India correctly and appropriately imply
the above statement?","Article 14 and the provisions under the
42nd Amendment to the Constitution","Article 17 and the Directive Principles of
State Policy in Part IV","Article 21 and the freedoms guaranteed
in Part Il","Article 24 and the provisions under the
44th Amendment to the Constitution",UPSC CSE Pre.,2018.0,c,"Exp) Option c is the correct answer.

in Justice K, S. Puttaswamy (Retd) and others vs Union of
India (2017), the Supreme Court observed that ‘Right to
Privacy’ is an integral part of Right to Life and Personal
Liberty guaranteed in Article 21 of the Constitution. A nine-
judge bench of the Supreme Court declared that the right
to privacy is a Fundamental Right protected under Part Ul
of the Constitution of India. While primarily focused on
the individual’s right against the State for violations of their
privacy, this landmark judgement had repercussions across
both State and non-State actors and is likely to result in the
enactment of a comprehensive law on privacy."
12,"Which one of the following reflects the
most appropriate relationship between law
and liberty?","If there are more laws, there is less liberty.","If there are no laws, there is no liberty.","If there is liberty, laws have to be made by

the people.","If laws are changed too often, liberty is in
danger.",UPSC CSE Pre.,2018.0,b,"Exp) Option b is the correct answer.

John Locke said “Where there is no law, there is no freedom...”
Liberty is protected by law, ‘liberty’ means absence of
restraints on the activities of individuals, and at the same
time, providing opportunities for the development of
individuals. Law promotes liberty. The more law there is the,
more liberty tL¢re ig And as soon as law ends, liberty also
ceases to exist. ¥*’!.. > ""here are no laws to protect or provide
freedoin an4 Liverty, violavons of the same take place.

Law protects liberty 1s in several ways. Firstly, the law helps
in establishing a civilized society, thereby easing the way of
life for individuals. ‘This is done by the creation of a provision
for punishment to the criminals. Secondly, it guarantees
rights and duties to the citizens and individuals. ‘The state
intervenes whenever the rights of an individual are violated
by another. Thirdly, the constitution acts as the custodian of
liberty. It is the constitution that provides the authority of
the state and protects the fundamental rights of the people."
13,"Which of the following statements is/are
true of the Fundamental Duties of an Indian
citizen? 
1. Alegislative process has been provided to

enforce these duties.
2. They are correlative to legal duties.
Select the correct answer using the code given
below:",l only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2017.0,d,"Exp) Option d is the correct answer.

Statement 1 is incorrect. There is no provision in
the Constitution for direct enforcement of any of the
Fundamental Duties nor for any sanction to prevent their
violation. All the Fundamental Duties under Article 51 A are
‘non-justiciable’

Statement 2 is incorrect. There is no legislative process to
enforce citizens to do their fundamental duties. The legal
duty is one which is required to be carried out as per law. So,
there is no correlation between both duties. It has been held
that these duties being duties of individual citizens cannot be
enforced through mandamus."
14,"Which of the following are not necessarily
the consequences of the proclamation of the
President’s rule in a State?



1. Dissolution of the State Legislative
Assembly
2. Removal of the Council of Ministers in
the State
3. Dissolution of the local bodies
Select the correct answer using the code given
below:",1 and 2 only,1 and 3 only,2 and 3 only,"1,2 and 3",UPSC CSE Pre.,2017.0,b,"Exp) Option b is the correct answer.

Statements 1 and 3 are incorrect. When President’s Rule

is imposed in a state, the President dismisses Council of

Ministers in the State. Dissolution of the State Legislative

Assembly and local bodies is not necessarily a consequence

of the proclamation of the President’s rule in a State.

The President either suspends or dissolves the State

Legislative Assembly.

The President acquires the following extraordinary powers

when the President’s Rule is imposed in a state:

1) He can take up the functions of the state government
and powers vested in the governor or any other executive
authority in the state.

2) He can declare that the powers of the state legislature are
to be exercised by the Parliament

3) Therefore, when the President's Rule is imposed in
a state, the President dismisses the state council of
ministers headed by the chief minister. The state
governor, on behalf of the President, carries on the state
administration with the help of the chief secretary of the
state or the advisors appointed by the President. Hence,
Statement 2 is correct."
15,Right to vote and to be elected in India is a:,Fundamental Right,Natural Right,Constitutional Right,Legal Right,UPSC CSE Pre.,2017.0,c,"Exp) Option c is the correct answer.
The right to vote has been recognised under Article 326
of the Indian Constitution and thus it is a Constitutional
Right. India is a democratic country and right to vote and
to be elected is granted to every citizen of India under the
Constitution of India. Under Article 326 of the Constitution
of India it is provided that “The elections to the House of the
People and to the Legislative Assembly of every State shall be
on the basic of adult suffrage; that is to say every person who
is a citizen of India and who is not less than eighteen years of
age and is not disqualified on the ground of non-residence,
unsoundness of mind, crime or corrupt or illegal practice
shall be entitled to be registered as a voter”.
Under Section 62 of the Representation of the People Act,
1951 it is provided that “every person who is, for the time
being entered in the clectoral roll of any constituency shall
be entitled to vote in that constituency”.
In simple words “every Citizen of India who is not less than
eighteen years of age is entitled to get enrolled into electoral
roll and is entitled to vote in the constituency in which his
name is entered in the electoral roll irrespective of caste,
creed, religion or gender unless he is disqualified under
the Constitution or any other law on the ground of non-
residence, unsoundness of mind, crime or corrupt or illegal
practice."
16,"Which of the following are envisaged
by the Right against Exploitation in the
Constitution of India?

1. Prohibition of traffic in human beings
and forced labour
2. Abolition of untouchability
3. Protection of the interests of minorities
4. Prohibition of employment of children in
factories and mines
Select the correct answer using the code given
below:","1,2 and 4 only","2, 3 and 4 only",1 and 4 only,"1,2,3 and 4",UPSC CSE Pre.,2017.0,c,"Exp) Option cis the correct answer.

The Right against Exploitation under Articles 23 and 24

of the Indian Constitution guarantees the dignity of the

individual. Under these -

Article 23 prohibits traffic in human beings, begar (forced

labour) and other similar forms of forced labour. Any

contravention of this provision shall be an offence punishable

in accordance with law. This right is available to both citizens

and non-citizens. It protects the individual not only against

the State but also against private persons

Article 24 prohibits the employment of children below the

age of 14 years in any factory, mine or other hazardous

activities like construction work or railway. But it does not

prohibit their employment in any harmless or innocent work.

Abolition of untouchability and protection of the interests of

minorities are envisaged under Article 17 and Article 29 of

the Constitution respectively."
17,"Consider the following statements:

With reference to the Constitution of India,
the Directive Principles of State Policy
constitute limitations upon:
1. legislative function.
2. executive function.
Which of the above statements is/are correct?",l only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2017.0,d,"Exp) Option d is the correct answer.

As Directive Principles of State Policy are not justiciable, they

do not constitute limitations upon legislative and executive

function of the state. The phrase ‘Directive Principles of

State Policy’ denotes the ideals that the State should keep

in mind while formulating policies and enacting laws. These

are the constitutional instructions or recommendations to

the State in legislative, executive and administrative matters.

According to Article 36, the term ‘State’ in Part IV has the

same meaning as in Part III dealing with Fundamental Rights.

Therefore, it includes the legislative and executive organs of

the central and state governments, all local authorities and

all other public authorities in the country."
18,"Which principle among the following was
added to the Directive Principles of State
Policy by the 42nd Amendment to the
Constitution?","Equal pay for equal work for both men
and women","Participation of workers in the
management of industries","Right to work, education and public
assistance","Securing living wage and human
conditions of work to workers",UPSC CSE Pre.,2017.0,b,"Exp) Option b is the correct answer.

The Directive Principles of State Policy are enumerated in

Part IV of the Constitution from Articles 36 to 51.

The 42nd Amendment Act of 1976 added four new Directive

Principles to the original list. They require the State:

¢« To secure opportunities for healthy development of
children (Article 39)

« To promote equal justice and to provide free legal aid to
the poor (Article 39 A)

* To take steps to secure the participation of workers in the
management of industries (Article 43 A)

« To protect and improve the environment and to safeguard
forests and wild life (Article 48 A)

The 44th Amendment Act of 1978 added one more Directive

Principle, which requires the State to minimise inequalities

in income, status, facilities and opportunities (Article 38).

The 86th Amendment Act of 2002 changed the subject-matter

of Article 45 and made elementary education a fundamental

right under Article 21 A,

The 97th Amendment Act of 2011 added a new Directive

Principle relating to cooperative societies"
19,"In the context of India, which one of
the following is the correct relationship
between Rights and Duties?",Rights are correlative with Duties.,"Rights are personal and _ hence
independent of society and Duties.","Rights, not Duties, are important for the
advancement of the personality of the
citizen.","Duties, not Rights, are important for the
stability of the State.",UPSC CSE Pre.,2017.0,a,"Exp) Option a is the correct answer.

With reference to the Constitution of India, it can be said

that the Rights are correlative with Duties. Every right

has a corresponding duty. Therefore, there can be no duty

unless there is someone to whom it is due. There can be

no right without a corresponding duty or a duty without a

corresponding right. Likewise, every right is right against

some person or persons upon whom a correlative duty is
imposed. Every right or duty involves a legal obligation by
which two or more persons are bound together.

Under Indian Constitution, Part HII deals with the

Fundamental Rights which are certain basic human rights

to its people. Our Constitution as originally enacted did not

expressly lay down any Fundamental Duties to be performed

by citizens. It was only in 1976 that a specific Chapter IV-A

was incorporated in the Constitution by a constitutional

amendment and Article 51-A was enacted. The idea
behind the incorporation of the Fundamental Duties was
to emphasize the obligation of the citizen in exchange of

Fundamental Rights enjoyed by them."
20,"The ideal of ‘Welfare State’ in the Indian

Constitution is enshrined in its",Preamble,Directive Principles of State Policy,Fundamental Rights,Seventh Schedule,UPSC CSE Pre.,2015.0,b,"Exp) Option b is the correct answer.

Part IV of the Constitution of India (Article 36-51) contains

the Directive Principles of State Policy (DPSP). These

principles aim at ensuring socio-economic justice to the
people and establishing India as a Welfare State. The Directive

Principles constitute a very comprehensive economic, social

and political programme for a modern democratic State.

They aim at realising the high ideals of justice, liberty,

equality and fraternity as outlined in the Preamble to the

Constitution. They embody the concept of a ‘welfare state’

and not that of a ‘police state, which existed during the

colonial era. In brief, they seek to establish economic and
social democracy in the country."
21,"Which of the following is/are among the

Fundamental Duties of citizens laid down

in the Indian Constitution?



1, To preserve the rich heritage of our
composite culture.

2. To protect the weaker sections from
social injustice.

3. To develop the scientific temper and
spirit of inquiry.

4. To strive towards excellence in all spheres
of individual and collective activity.

Select the correct answer using the codes

given below:",1 and 2 only,2 only,"1,3 and 4 only","1,2, 3 and 4",UPSC CSE Pre.,2012.0,c,"Exp) Option c is the correct answer.

Article 51A of the Constitution enlists Fundamental duties.

It shall be the duty of every citizen of India—

1) to abide by the Constitution and respect its ideals and
institutions, the National Flag and the National Anthem;

2) to cherish and follow the noble ideals which inspired
our national struggle for freedom;

3) to uphold and protect the sovereignty, unity and
integrity of India;

4) to defend the country and render national service when
called upon to do so;

5) to promote harmony and the spirit of common
brotherhood amongst all the people of India
transcending religious, linguistic and regional or
sectional diversities; to renounce practices derogatory
to the dignity of women;

6) to value and preserve the rich heritage of our composite
culture;

7) to protect and improve the natural environment
including forests, lakes, rivers and wild life, and to have
compassion for living creatures;

8) to develop the scientific temper, humanism and the
spirit of inquiry and reform;

9) to safeguard public property and to abjure violence;

10) to strive towards excellence in all spheres of individual
and collective activity so that the nation constantly rises
to higher levels of endeavour and achievement;

11) who is a parent or guardian to provide opportunities
for education to his child or, as the case may be, ward
between the age of six and fourteen years.

‘To protect the weaker sections from social injustice’ is not
listed as a Fundamental Duty."
22,"Consider the following provisions under
the Directive Principles of State Policy as
enshrined in the Constitution of India:



1. Securing for citizens of India a uniform
civil code.

2. Organizing village Panchayats.

3. Promoting cottage industries in rural
areas.

4. Securing for all the workers reasonable
leisure and cultural opportunities.

Which of the above Directive Principles of

State Policy reflect Gandhian principles?","1,2 and 4 only",2 and 3 only,"1,3 and 4 only","1,2,3 and 4",UPSC CSE Pre.,2012.0,b,"Exp) Option b is the correct answer
The Constitution doesn't differentiate between types
of Directive Principles of State Policy but for better
understanding of the terms, these can be classified into three
broad categories namely, Socialistic, Gandhian and Liberal-
intellectual. Gandhian Principles are based on the ideology
of Gandhi and strive to fulfil the dreams of Gandhi and to
achieve a Gandhian State. They are reflected in following
provisions -

Article 40: Steps will be taken by the statcs to organize village

panchayats and there will be decentralisation of power and

authority, in order to form sclf-government.

Article 43: State will ensure a living wage to industrial,

agriculture workers and ensure a decent workplace to work

and to promote cottage industries on an individual or co-
operative basis in rural areas."
23,"With reference to the Constitution of India,
consider the following:

1. Fundamental Rights

2. Fundamental Duties

3. Directive Principles of State Policy

Which of the above provisions of the

Constitution of India fulfilled the National

Social Assistance Programme launched by

the Government of India?",Only 1,Only 3,Only 1 and 3,"1,2 and 3",UPSC CSE Pre,2010.0,b,"Exp) Option b is the correct answer.

Directive Principles of State Policy fulfilled the National

Social Assistance Programme (NSAP) launched by the

Government of India. The NSAP provides social assistance

benefits to poor households in the case of old age, death

of the breadwinner and maternity. The NSAP aims at
ensuring minimum national standards, in addition to the
benefits that the States are currently providing or might
provide in future. DPSP also aims to establish social and
economic democracy through a welfare state. The ideas of

Fundamental Rights and Duties are not explicitly related to

the welfare of the people.

Important Tipss

National Social Assistance Programme (NSAP): |

e It was launched on 15th August 1995,

« NSAP isa Centrally Sponsored Scheme of the Gol that
provides financial assistance to the elderly, widows and
persons with disabilities in the form of social pensions.

2 The scheme represents a significant step towards the
fulfilment of the Directive Principles in Article 41.

« Article 41 of the Constitution of India directs the State
to provide public assistance to its citizens in case of
unemployment, old age, sickness and disablement.

o Presently NSAP comprises of five schemes, namely -
¢ Indira Gandhi National Old Age Pension Scheme

(IGNOAPS);

| ¢ Indira Gandhi National Widow Pension Scheme
(IGNWPS);
« Indira Gandhi Nationa] Disability Pension Scheme
(IGNDPS); |
¢ National Family Benefit Scheme (NEBS); |
« Annapurna"
24,"How are the Directive Principles of State

Policy different from Fundamental Rights?","Former is for Union Government and
later is for state Government.","Former is a part of Constitution whereas
later is not.","Directive Principles are not enforceable
whereas Fundamental Right can _ be
enforced.",None of these.,UPSC CSE (Pre),2009.0,c,"Exp) Option c is the correct answer.

Directive Principles of State Policy and Fundamental

Rights are nat divided on the basis of level of government -

Union Government and State Governments. Both the Union

government and State governments shall protect fundamental

rights of the citizen aud frame policics or laws enshrined
in the DPSPs. Both are the part of the constitution. But
there is a fundamental difference between two. Directive

Principles are not enforceable whereas Fundamental Right

can be enforced. Therefore, the government (Central, state

and local) cannot be compelled to implement them, unlike

Fundamental rights."
25,"Which of the following is/are included in
the Directive Principles of State Policy

1. Prohibition of Trafficking in human
beings and forced labour.

2. Prohibition of consumption except for
medicinal purposes of intoxicating drinks
and of other drugs which are injurious to
health.

Select the correct answer using the code given

below?",1 only,2 only,Both 1 and 2,Neither nor 2,UPSC CSE (Pre),2008.0,b,"Exp) Option b is the correct answer.

Statement L is incorrect: Prohibition of Trafficking in

human beings and forced labour is given in Article 23 of the

Fundamental Rights (not in DPSP).

Statement 2 is correct: According to Article 47 of the DPSP,

“The State shal] also endeavour to bring about prohibition

of the consumption except for medicinal purposes of

intoxicating drinks and of drugs which are injurious to
health.”"
26,"Consider the following statements in respect
of financial emergency under Article 360 of
the Constitution of India:

1. A Proclamation of financial emergency
issued shall cease to operate at the
expiration of two months, unless, before
the expiration of that period, it has been
approved by the resolutions of both
Houses of Parliament.

2. Ifany Proclamation offinancialemergency
is in operation, it is competent for the
President of India to issue directions for
the reduction of salaries and allowances
of all or any class of persons, serving in
connection with the affairs of the Union
but excluding the Judges of the Supreme
Court and the High Courts.

Which of the statements given above is/are

correct?",1 only,2 only,Both I and 2,Neither 1 nor 2,UPSC CSE (Pre),2007.0,a,"Exp) Option a is the correct answer

According to Article 360(2) of the Indian Constitution, the

declaration of financial emergency must be ratified by both

UYouses of Parliament within two monihs of its issuance.

A financial emergency, if approved by both Houses of

Parliament, lasts indefinitely uatil it is repealed.

After the Parliament approves the state of emergency, the

Union assumes complete control of the country’s financial

affairs. The Union Government may provide financial

directives to any of the states, and the President may ask the
states:

e Yo cut the pay and benefits of all or any class of
government employees,

° To hold all money bills in reserve for consideration by
Parliament once they have been enacted by the State
Legislature.

e Jo reduce the salaries and allowances of central
government officials, including those of Supreme Court
and High Court judges.

Important Tipss |

¢ Article 360 empowers the president to proclaim a}
Financial Einergency if he is satisfied that a situation |
has arisen due to which the financial stability or credit |
of India or any part of its territory is threatened. |

¢ Once approved by both the Houses of Parliament, the |
Financial Emergency continues indefinitely till it is |
revoked. This implies two things:
e There is no maximum period prescribed for its

operation; and
« Repeated parliamentary approval is not a

for its continuation. A resolution approving the

proclamation of financial emergency can be passed
| by either House of Parliament only by a simple
Lo majority"
27,"Consider the following statements -

1. Article 301 is related to Right to Property.

2. Right to Property is a legal right but not a
Fundamental Right.

3. Article 300-A was inserted in Indian
Constitution by 44th Amendment during
the period of Congress Government.

Which of aforesaid statements is/are correct?",Only 2,2 and 3,l and 3,"1,2 and 3",UPSC CSE (Pre),2005.0,a,"Exp) Option a is the correct answer.
Statement 1 is incorrect: Article 30] pertains to freedom
of trade, commerce and intercourse within the territory of
India, It is not related to right to property.
Statement 2 is correct: Right to property is a legal right but
not a fundamental right. It was originally a fundamental
right under Article 19 (1) (f) and Article 31, but these
articles were repealed by the 44th Amendment Act of 1978.
A new article, Article 300-A, was inserted in Part XII of
the Constitution, which provides that no person shall be
deprived of his property save by authority of law.
Statement 3 is incorrect: Article 300-A was inserted in the
Indian Constitution by the 44th Amendment Act of 1978
during the period of Janta Party Government. The Janta
Party came to power in 1977 after defeating the Congress
Party led by Indira Gandhi. The Janta Party government
introduced several constitutional amendments to undo
the changes made by the previous government during the
Emergency period of 1975-77.

Important Tipss

¢ The right to property as a fundamental right was
abolished by the 44th Amendment Act in 1978, which
added Article 300A as a new provision in Part XII of
the constitution,

+ The reason for this amendment was to facilitate land
reforms and social justice by allowing the state to
acquire surplus land from landowners and distribute it
to the landless farmers. |

¢ The amendment also removed the obligation of
the state to pay compensation for acquiring private
property, although the Supreme Court has held that
compensation can be inferred from Article 300A"
28,"Which one of following Articles of the

Indian constitution provide that it shall be

the duty of the Union to protect every state

against external aggression and internal

disturbance?",Article 215,Article 275,Article 325,Article 355,UPSC CSE (Pre),2003.0,d,"Exp) Option d Is the correct answer

According to Article 355 of Indian Constitution, it shall be
the duty of the Union to protect every State against external
aggression and internal disturbance and to ensure that the
government of every State is carried on in accordance with
the provisions of this Constitution,

Important Tipss
« According to Article 215 of Indian Constitution, every
High Court shall be a court of record and shall have
all the powers of such a court including the power to
| punish for contempt of itself.
|» Article 275 provides for Grants from the Union to
| certain States. .
+ Article 325 of the Indian Constitution says that No
l person to be ineligible for inclusion in, or to claim to
be included in a special, electoral roll on grounds of
religion, race, caste or sex"
29,"The purpose of the inclusion of Directive
Principles of State Policy in the Indian
Constitution is to establish",Political Democracy,Social Democracy,Gandhian Democracy,Social and Economic Democracy,UPSC CSE (Pre),2002.0,d,"Exp) Option dis the correct answer.
The Directive Principles constitute a very comprehensive
economic, social and political programme for a modern
democratic State. They aim at realising the high ideals of
justice, liberty, equality and fraternity as outlined in the
Preamble to the Constitution. They embody the concept of a
‘welfare state’ and not that of a ‘police state’, which existed
during the colonial era. In brief, they seek to establish
‘economic and social democracy’ in the country."
