q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
11,"Consider the following statements:

1. The Parliament (Prevention of
Disqualification) Act, 1959 exempts
several posts from disqualification on the
grounds of ‘Office of Profit’
2. The above-mentioned Act was amended
five times.
3. The term ‘Office of Profit’ is well-defined
in the Constitution of India,
Which of the statements given above is/are
correct?",1 and 2 only,3 only,2 and 3 only,"1,2 and 3",UPSC CSE Pre.,2019,a,"Exp) Option a is the correct answer.

Statement 1 is correct. Section 3 of the Parliament

(Prevention of Disqualification) Act, 1959 lists certain

offices of profit under the central and state governments,

which do not disqualify the holders from being an MP. It

exempts posts like:

(i) Ministers of State and Deputy Ministers

(ii) Parliamentary Secretaries and Parliamentary Under
Secretaries,

(iii) Deputy Chief Whips in Parliament,

(iv) Vice-Chancellors of Universities,

(v) Officers in the National Cadet Corps, and the Territorial
Army, and

(vi) the Chairman and members of Advisory Committees set
up by the Government when they are not entitled to any
fee or remuneration other than compensatory Etc.

Statement 2 is correct. The Parliament (Prevention of

Disqualification) Act, 1959 has been amended 5 times since

its formulation (in 1960, 1992, 1993, 2006 and 2013).

Statement 3 is incorrect. Article 102 of the Constitution of

India provides that a person shall be disqualified from his

membership of parliament if he holds any office of profit

under the Government of India or the Government of any

State. However, the ‘Office of Profit’ is not defined in the

Constitution of India."
12,"For election to the Lok Sabha, a nomination
paper can be filed by:",anyone residing in India.,"a resident of the constituency from which
the clection is to be contested.","any citizen of India whose name appears
in the electoral roll of a constituency.",any citizen of India.,UPSC CSE Pre.,2017,c,"Exp) Option c is the correct answer.

According to section 4 (d) of the Representation of People

Act, 1951, for election to Lok Sabha, a nomination paper

can be filed by any citizen whose name appears in the

electoral rolls of any parliamentary constituency.

The Constitution lays down the following qualifications for a

person to be chosen a member of the Parliament:

1) He must be a citizen of India.

2) He must make and subscribe to an oath or affirmation
before the person authorised by the election commission
for this purpose. In his oath or affirmation, he swears

(a) To bear true faith and allegiance to the Constitution of
India

(b) To uphold the sovereignty and integrity of India

3) He must be not less than 30 years of age in the case of the
Rajya Sabha and not less than 25 years of age in the case
of the Lok Sabha.

4) He must possess other qualifications prescribed by
Parliament.

The Parliament has laid down the following additional

qualifications in the Representation of People Act (1951).

1) He must be registered as an elector for a parliamentary
constituency, This is same in the case of both, the Rajya
Sabha and the Lok Sabha.

2) He must be a member of a scheduled caste or scheduled
tribe in any state or union territory, if he wants to
contest a seat reserved for them. However, a member of
scheduled castes or scheduled tribes can also contest a
seat not reserved for them."
13,"Consider the following statements:


1. The Election Commission of India is a
five-member body.

2. Union Ministry of Home Affairs decides
the election schedule for the conduct of
both general elections and bye-elections.

3. Election Commission resolves the
disputes relating to splits/mergers of
recognized political parties.

Which of the statements given above is/are

correct?",1 and 2 only,2 only,2 and 3 only,3 only,UPSC CSE Pre.,2017,d,"Exp) Option d is the correct answer.
Statement | is incorrect. Election Commission consists of a
Chief Election Commissioner and such number of Election
Commissioners as the President may deem it necessary
subject to the law made by Parliament in this regard.
Currently, it consists of Chief Election Commissioner and
two Election Commissioners.
Statement 2 is incorrect, Election Commission (not Ministry
of Home Affairs) decides election schedule for the conduct
of both general elections and bye-elections.
Statement 3 is correct. Election Commission resolves the
disputes relating to splits/mergers of recognized political
parties."
14,"The National Green Tribunal Act, 2010 was
enacted in consonance with which of the
following provisions of the Constitution of

India? 

1. Right to healthy environment, construed
as a part of Right to life under Article 21

2. Provision of grants for raising the level
of administration in the Scheduled Areas
for the welfare of Scheduled Tribes under
Article 275(1)

3. Powers and functions of Gram Sabha as
mentioned under Article 243(A)

Select the correct answer using the codes

given below:",1 only,2 and 3 only,1 and 3 only,"1,2 and 3",UPSC CSE Pre.,2012,a,"Exp) Option a is the correct answer.
The National Green Tribunal Act, 2010 was enacted to
create the National Green Tribunal for the facilitation of the
judicial administration.
The National Green Tribunal Act, 2010 specifically aims
at the creation of a National Green Tribunal which would
help in the reduction of the burden of cases from the higher
judiciary and effectively and efficiently dispose of issues
relating to the environment, including basic rights of the
individual for free and safe environment, protection of the
flora and fauna, etc.

This act was created in consonance with the necd to effectively

manage and divert the increasing chunk of pending cases

from the other organs of the judiciary. This tribunal was also
created so that the basic right of the individuals to a safe
environment can be safeguarded as part of Article 21 of the

Constitution. As the aims of the National Green Tribunal

suggest, there is a huge importance attached to Article 21 of

Constitution concerning environmental matters.

The Act was not enacted in consonance with the provisions
of grants for raising the level of administration in the
Scheduled Areas for the welfare of Scheduled Tribes under
Article 275(1) and powers and functions of Gram Sabha as
mentioned under Article 243(A)"
15,"Consider the following statements:


1. Union Territories are not represented in
the Rajya Sabha.

2. It is within the purview of the Chief
Election Commissioner to adjudicate the
election disputes. .

3. According to the Constitution of India,
the Parliament consists of the Lok Sabha
and the Rajya Sabha only.

Which of the statements given above is/are

correct?",1 only,2 and 3 only,3 only,,UPSC CSE Pre.,2012,d,"Exp) Option d is the correct answer.

Statement 1 is incorrect. Union Territories does have
representation in the Rajya Sabha. Although, out of the
nine union territories, only three (Delhi, Puducherry and
Jammu & Kashmir) have representation in Rajya Sabha. The
populations of other six union territories are too small to
have any representative in the Rajya Sabha. The maximum
membership of Rajya Sabha as laid down in the Constitution
is 250. The present strength, however, is 245 members of
whom 233 are representatives of the States and Union
territories and 12 are nominated by the President. The
allocation of seats to be filled by representatives of the States
and Union territories as presently laid down in the Fourth
Schedule.

Statement 2 is incorrect. Chief Election Commissioner
does not adjudicate the election disputes. Special Election
Tribunals are to be constituted at the regional level under
Article 329B of the Constitution to ensure speedy disposal
of election petitions and disputes within a stipulated period
of six months.

However, currently no such tribunal has been established by
the parliament. So, at present, election petitions are filed in
the High Court of the particular state in which the election
was conducted.

Statement 3 is incorrect. According to the Constitution,
Parliament consists of the President and the two Houses—
Rajya Sabha and Lok Sabha."
16,"With reference to the Delimitation
Commission, consider the following
statements: 
1. The orders of the Delimitation

Commission cannot be challenged in a
Court of Law.

2. When the orders of the Delimitation
Commission are laid before the Lok Sabha
or State Legislative Assembly, they cannot
effect any modifications in the orders.

Which of the statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2012,c,"Exp) Option c is the correct answer.

The Delimitation Commission or Boundary Commission of
India is a commission established by the Government of India
under the provisions of the Delimitation Commission Act.
The main task of the commission is redrawing the boundaries
of the various assembly and Lok Sabha constituencies based
on a recent census. The representation from each State is not
changed during this exercise. However, the number of SC
and ST seats in a state are changed in accordance with the
census.

Both Statements 1 and 2 are correct. The Commission is
a powerful and independent body whose orders cannot be
challenged in a court of law. The orders are laid before the
Lok Sabha and the respective State Legislative Assemblies.
However, modifications are not permitted."
17,"Consider the following statements:



1. Central Administrative Tribunal (CAT)
was set up during the Prime Ministership
of Lal Bahadur Shastri.

2. The Members of CAT are drawn from °
both judicial and administrative streams.

Which of the statements given above is/are

correct?",1 only,2 only,Both I and 2,Neither 1 nor 2,UPSC CSE Pre.,2011,b,"Exp) Option b is the correct answer.

Statement 1 is incorrect. The Central Administrative
Tribunal (CAT) has been established for adjudication of
disputes with respect to recruitment and conditions of
service of persons appointed to public services and posts

in connection with the affairs of the Union or other local
authorities within the territory of India or under the control
of Government of India. CAT was set up in 1985 during
Rajiv Gandhi’s tenure. This was done in pursuance of the
amendment of Constitution of India by Articles 323A.
Statement 2 is correct. The Chairman of CAT who has been
a sitting or retired Judge of a High Court heads the Central
Administrative Tribunal. At present, there are 66 Hon'ble
Members in various Benches of the Tribunal out of which 33
are Judicial Members, including the Hon’ble Chairman and
33 are Administrative Members. Subject to other provisions
of the Act, a Bench consists of one Judicial Member and one
Administrative Member."
18,"Consider the following statements:

1. The Commonwealth has no charter,
treaty or constitution.

2. All the territories/countries once under
the British Empire (jurisdiction/rule/
mandate) automatically joined the
Commonwealth as its members.

Which of the statements given above is/are

correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre,2010,a,"Exp) Option a is the correct answer
Statement I is correct: The Commonwealth is a voluntary
association of member States and has no charter, treaty or
constitution,
Statement 2 is incorrect: For becoming a member of the
Commonwealth, a country needs to apply for its membership.
Further, not all the former British colonies are the member
of Commonwealth like the USA."
19,"Which Article of the Constitution provides
that every state shall endeavour to providean
adequate facility for instruction in mother-
tongue at primary stage of education?",Article 349,Article 350,Article 350-A,Article 351,UPSC CSE Pre,2001,c,".
Exp) Option c is the correct answer
Article 350A facilitates instruction in the mother tongue at
primary stage of education. The article 350A says that it shall
be the endeavor of every State and of every local authority
within the State to provide adequate facilities for instruction
in the mother tongue at the primary stage of education to
children belonging to linguistic minority groups. It also says
that the President may issue such directions to any State as
he considers necessary or proper for securing the provision
of such facilities.

Important Tips

Some important articles of the Indian Constitution are

following:

e Article 343 - Official Languages of the Union.

« Article 345 - Official Languages or languages of states.

e Article 348 - Languages to be used in the Supreme

court and in the High Courts.
« Article 351 - Directive for the Development of the
Hindi language _"
20,"Given below are two statements, one
labelled as Assertion (A) and the other
labelled as Reason (R):

Assertion (A): The reservation of thirty-three
percent of seats for women in Parliament
and State Legislature docs not require a
Constitutional amendment.
Reason (R): Political parties contesting
elections can allocate thirty-three percent
of scats they contest to women candidates
without any Constitutional amendment.
In the context of the above two statements
which one of the following is correct?","Both (A) and (R) are true, and (R) is the
correct explanation of (A).","Both (A) and (R) are true, but (R) is nota
correct explanation of (A).","(A) is true but, (R) is false.","(A) is false hut, (R) is true.",UPSC CSE Pre,1997,d,"Exp) Option d is the correct answer.
Assertion (A) is false- The reservation of 33% seats for
women in Parliament and State Legislature requires a
constitutional amendment. This is because the Constitution
of India does not explicitly provide for reservation of seats for
women. The Constitution (108th Amendment) Bill, 2008
proposes to reserve one-third of all seats in the Lok Sabha
and state legislative assemblies for women. The allocation of
reserved seats will be determined by an authority prescribed
by Parliament.

Reason (R) is true- Political parties can allocate 33% of seats
they contest to women candidates without any constitutional
amendment. However, this docs not mean that women will be
guaranteed 33% of seats in Parliament and State Legislature.
This is because the number of seats that women actually win
will depend on the number of women candidates that are
fielded by political parties and the number of votes that they
win."
21,"Which one of the following is not a principle
of Panchsheel?",Non-alignment,Peaceful Co-existence,"Mutual respect for cach other’s territorial

integrity and sovereignty","Mutual non-interference in each other’s
internal affairs",UPSC CSE Pre,1997,a,"Exp) Option a is the correct answer
The Panchsheel Agrcement is a pact of “Five Principles
of Peaceful Coexistence”. The first formal declaration of
these concepts was an Agreement on Trade and Commerce
between India and China’s Tibet region, signed on 29th
April 1954. It includes principles of mutual respect for
territorial integrity, non-aggression, non-interference in
internal affairs, equality & mutual benefit, and peaceful
coexistence. Non-alignment, a distinct policy, involves
maintaining neutrality without aligning with major power
blocs during the Cold War cra and is not part of Panchsheel.
Important Tips |
* The 5 principles were emphasized by Prime Minister
Jawaharlal Nehru and Premier Zhou Enlai in a
broadcast speech made at the time of Asian Prime
Ministers Conference in Colombo, Sri Lanka after
signing the Sino-Indian Agreement in Beijing, 1954.
e The five principles were subsequently modified in a
form of a statement of ten principles issued in April
1955 at the historic Asian-African Conference in
Bandung, Indonesia.
¢ The conference itself would lead to the foundation of
the Non-Aligned Movement which gave shape to the
idea that the post-colonial nations had something to
offer to the bipolar world of the Cold War."
22,"Match list-1 with list-IJ and select the
correct answer using the codes given below
the lists:

Fupictionaries)y (affirmations) @ 85 ¥
A. President of
India Information
B. Judges of 2. Faithful discharge of
Supreme | Duties
Court |
C. Members of | 3. Faith and Allegiance |
Parliament to the Constitution |
of India |
D. Ministers for | 4. Upholding the |
the Union sanctity of the |
| Constitution and |
_ Law
Code: 
A B C D",3 4 1 2,4 3 2 1,3 4 2 1,4 3 1 2,UPSC CSE Pre,1997,c,"Exp) Option c is the correct answer
A. President of India: 3. Faith and Allegiance to the
Constitution of India
B. Judges of Supreme Court: 4. Upholding the sanctity of
the Constitution and Law
C. Members of Parliament: 2. Faithful discharge of Duties
D. Ministers for the Union: 1. Secrecy of Information"
23,"Given below are two statements, one

labelled as Assertion (A) and the other
labelled as Reason (R):
Assertion (A): In India, the political parties
which formed the governments represented
the majority of seats secured in the elections
to the House of the People at the Centre and
the Legislative Assemblies in the States but
not the majority of votes.

Reason (R): The result of clections based on

the majority-vote-system is decided on the

basis of the relative majority of votes secured.

In the context of the above two statements

which one of the following is correct?","Both (A) and (R) are true, and (R) is the
correct explanation of (A).","Both (A) and (R) are true, but (R) is nota
correct explanation of (A).","(A) is true but, (R) is false.","(A) is false but, (R) is true.",UPSC CSE Pre,1994,a,"Exp) Option a is the correct answer.
Assertion (A) is true- In India, the political parties that form
the government do not always have the majority of votes.
For example, in the 2014 Lok Sabha elections, the Bharatiya
Janata Party (BJP) won 282 seats, which was only 31.1% of
the total votes cast. However, the BJP was able to form the
government because it had the most seats.
Reason (R) is true and (R) is the correct explanation of
(A)- The majority-vote-system is a system where the party

with the most votes wins. However, this does not mean that
the party with the most votes will also have the majority of
seats, This is because the number of seats a party wins is
based on the number of votes it wins in each constituency.
So, it is possible for a party to win the most votes overall, but
not have the majority of seats."
24,"According to the United Nations Charter
which of the following statements is not
true regarding exercise of veto power in the
Security Council?","For the Security Council decision on

every procedural matter there should
be 9 affirmative votes of its members
including the 5 votes of five permanent
members.","Every permanent member of the Security
Council may by use of Veto Power,
withhold acceptance on any decision.","The word ‘Veto’ has been used under
Article 27 of the UN Charter so that any
permanent member may stop a resolution
going to be passed with a majority.","Any member of the Security Council may
use Veto Power to stop a resolution going
to be passed with a majority.",UPSC CSE Pre,1994,d,"Exp) Option d is the correct answer
The veto power is only available to the five permanent
members of the UN Security Council. Any other member of
the Security Council cannot use veto power.
Ades | Other. Examination//: Previous)’ Years’
es an Questions ”* ESE as EPEIDGY BAER Ose"
25,"With reference to the National Calendar,
which of the statements is/are correct?

1. The National Calendar of India is based
on Vikram Era.

2. The National Calendar is adopted from
January 26, 1950.

Select the correct answer using the codes

given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,U.P.P.C.S. (Pre),2019,d,"Exp) Option d is the correct answer
The national calendar based on the Saka Era, with Chaitra
as its first month and a normal year of 365 days was adopted
from 22 March 1957 along with the Gregorian calendar for
the official purposes:
; Important Tips
e The Vikrama era (57 BC) is said in the Jain book |
Kalakacaryakatha to have been founded after a victory
of King Vikramaditya over the Saka. |
¢ The Saka era was started by Kanishka] from 78 CE.
| ¢ The Hijri year started from 622 AD."
26,"Which one of the following is correct
about the languages mentioned in the
Constitution of India?","State can compel the linguistic minorities
to choose their mother tongue as a
medium of instruction in primary
schools.","‘Angika’ is now included in the 8th
Schedule of the Constitution.",Hindi is National language of India.,"Bodo is a recognized language in the 8th
Schedule of the Constitution.",U.P.P.C.S. (Mains),2016,d,"Exp) Option d is the correct answer
The Eighth Schedule of the Indian Constitution includes 22
languages. Originally, it had 14 languages but presently there
are 22 languages. The 22 languages are (1) Assamese, (2)
Bengali, (3) Gujarati, (4) Hindi, (5) Kannada, (6) Kashmiri,
(7) Urdu (8) Malayalam, (9) ‘Telugu, (10) Marathi, (11)
Taimil,(12) Oriya, (13) Punjabi, (14) Sanskrit, (15) Sindhi,
(16) Nepali(17) Manipuri, (18) Konkani,(19) Bodo, (20)
Santhali, (21) Maithili and (22) Dogri.
oe
Important Tips 1
Eighth Schedule: |
« The Eighth Schedule to the Constitution of India lists |
the official languages of India. The Eighth Schedule }
recognises a total of 22 languages.
« However, it can be noted that there are no fixed criteria
for any language to be considered for inclusion in the
Highth Schedule. |
* Part XVII of the Indian constitution deals with the o
fficial languages in Articles 343 to 351.
¢ The Constitutional provisions relating to the Eighth |
Schedule occur in Articles 344(1) and 351 of the
Constitution. |"
27,"Study the following statements and select
the correct answer from the code given
below:

Assertion (A): India has a _ written

Constitution.

Reason (R): Growth of strong regional parties

is an indicator of regional aspirations.

Code:","Both (A) and (R) are true, and (R) is the
correct explanation of (A).","Both (A) and (R) are true, but (R) is not
the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.",U.P.P.C.S. (Pre) (Re-Exam),2015,b,":
Exp) Option b is the correct answer.
Assertion (A) is true- India does have a written constitution.
The Constitution of India was adopted on 26 January 1950,
and it is the supreme law of the land.
Reason (R) is true, but (R) is not the correct explanation
of (A)- The growth of strong regional parties is an indicator
of regional aspirations. This means that people in different
regions of India have different needs and interests, and they
want to be represented by political parties that will fight for
their interests. However, The fact that India has a written
constitution does not necessarily mean that there will be
strong regional parties. There are many other factors that
can contribute to the growth of regional parties, such as
economic inequality, linguistic diversity, and historical
factors,"
