q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
11,The Ninth Schedule was introduced in the Constitution of India during the prime ministership of:,Jawaharlal Nehru,Lal Bahadur Shastri,Indira Gandhi,Morarji Desai,"UPSC CSE Pre,",2019.0,a,"Exp) Option a is the correct answer.
First Constitutional (Amendment) Act of 1951, introduced
the Ninth Schedule in the Constitution of India during the
prime-ministership of Jawaharlal Nehru.
This amendment made laws placed in Ninth Schedule
immune to judicial review, even if they violate any
Fundamental Rights.

Important Tips
The Ninth Schedule was brought in the Indian Constitution
on 18 June 1951 to abolish Zamindari system. The Ninth
Schedule contains a list of laws that cannot be challenged
in courts. Out of 284 such laws which are shielded from
judicial review, 90 per cent of laws are about agriculture
and landholding."
12,"Which of the following are regarded as the main features of the “Rule of Law”?
1. Limitation of Powers
2. Equality before law
3. People’s responsibility to the Government
4. Liberty and civil rights
Select the correct answer using the code given below:",1 and 3 only,2 and 4 only,"1,2 and 4 only","1,2,3 and 4","UPSC CSE Pre,",2018.0,c,"Exp) Option c is the correct answer.
In order to understand the concept of rule of law, it is to
be comprehended that the state is governed not by the
ruler or the nominated representatives of the people but
by the law. The term ‘Rule of Law’ is nowhere defined in
the Indian Constitution but this term is often used by the
Indian judiciary in their judgments. Rule of law has been
declared by the Supreme Court as one of the basic features
of the Constitution so it cannot be amended even by the
constitutional amendment. Rule of law is seen as an integral
part of good governance.
The “Rule of Law” is a principle of governance which
implies that the creation of laws, their enforcement, and
the relationships among legal rules are themselves legally
regulated, so that no one—including the most highly placed
official—is above the law. Thus, ensuring equality before law.
(Option 2 is correct)
People’s responsibility to the Government cannot be
attributed to “Rule of Law”. (Option 3 is incorrect)
Limitation of powers ensures no man is punished except
for a breach of law, thus restricting discretion of the
government of the day. It would also help in safeguarding
rights of the individual. (Option 1 and 4 are correct)"
13,"Consider the following statements:
“1. The Parliament of India can place a particular law in the Ninth Schedule of the Constitution of India.
2. The validity of a law placed in the Ninth Schedule cannot be examined by any court and no judgement can be made on it.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre.,2018.0,a,"Exp) Option a is the correct answer.
Statement I is correct. The Ninth Schedule contains a list
of central and state laws. ‘The Schedule became a part of
the Constitution in 1951, when the document was amended
for the first time. The Parliament has the power to place a
particular law in the Ninth Schedule of the Constitution of
India.
Statement 2 is incorrect. The mandate of ninth schedule is
to prevent judicial scrutiny but in a landmark ruling in IR
Coelho versus State of Tamil Nadu, 2007, the Supreme Court
of India ruled that all laws (including those in the Ninth
Schedule) would be open to Judicial Review if they violated
the basic structure of the constitution. The Supreme Court
judgment laid that the laws placed under Ninth Schedule
after April 24, 1973 shall be open to challenge in court if
they violated fundamental rights guaranteed under Article
14. 19, 20 and 21 of the Constitution."
14,Democracy’s superior virtue lies in the fact that it calls into activity,the intelligence and character of ordinary men and women.,the methods for strengthening executive leadership.,a superior individual with dynamism and vision.,a band of dedicated party workers.,UPSC CSE Pre.,2017.0,a,"Exp) Option a is the correct answer.
The word democracy comes from the Greek word “demos”,
meaning people, and “kratos” meaning power; so, democracy

can be thought of as “power of the people”: a way of
governing which depends on the will of the people. The most
obvious ways to participate in government are to vote, or to
stand for office and become a representative of the people.
Democracy, however, is about far more than just voting, and
there are numerous other ways of engaging with politics
and government. The effective functioning of democracy, in
fact, depends on ordinary people using these other means as
much as possible. The take-off point for a democracy is the
idea of consent, i.e., the desire, approval and participation of
people. It is the decision of people that creates a democratic
government and decides about its functioning. So, since
democracy requires voter’s decision making- hence
intelligence and character of common people are called in."
15,The mind of the makers of the Constitution of India is reflected in which of the following?,The Preamble,The Fundamental Rights,The Directive Principles of State Policy,The Fundamental Duties,UPSC CSE Pre.,2017.0,a,"Exp) Option a is the correct answer.

The mind of the makers of the Constitution of India is
reflected in the Preamble. The Preamble to a Constitution
embodies the fundamental values and the philosophy, on
which the Constitution is based. It embodies the aims and
objectives, which the founding fathers of the Constitution
enjoined the polity to strive to achieve.

The Preamble embodies the basic philosophy and fundamental
values-political, moral and religious-on which the Constitution is
based, It contains the grand and noble vision of the Constituent
Assembly, and reflects the dreams and aspirations of the founding
fathers of the Constitution. In the words of Sir Alladi Krishnaswami
Iyer, a member of the Constituent Assembly who played a significant
role in making the Constitution, “The Preamble to our Constitution
expresses what we had thought or dreamt so long’ ,"
16,Which- one of the following objectives is not embodied in the Preamble to the Constitution of India?,Liberty of thought,Economic liberty,Liberty of expression,Liberty of belief,UPSC CSE Pre.,2017.0,b,"Exp) Option b is the correct answer.

The text of the Preamble of the Constitution of India reads
as - ‘
WE, THE PEOPLE OF INDIA, having solemnly resolved to
constitute India into a SOVEREIGN SOCIALIST SECULAR
DEMOCRATIC REPUBLIC and to secure to all its citizens:
JUSTICE, social, economic and political; LIBERTY of
thought, expression, belief, faith and worship;

EQUALITY of status and of opportunity;

and to promote among them all FRATERNITY assuring the
dignity of the individual and the unity and integrity of the
Nation;

IN OUR CONSTITUENT ASSEMBLY this twenty-sixth day
of November, 1949, do HEREBY ADOPT, ENACT AND
GIVE TO OURSELVES THIS CONSTITUTION.

Thus, Preamble to the Constitution of India embodies liberty.
of thought, expression, belief, faith and worship but not
economic liberty."
17,One of the implications of equality in society is the absence of,Privileges,Restraints,Competition,Ideology,UPSC CSE Pre.,2017.0,a,"Exp) Option a is the correct answer. .
“Equality means equal rights for all the people and the
abolition of all special rights and privileges”. -Barker :

Thus, negatively equality implies abolition of all special
privileges and facilities which may be available to some classes
or some persons in society. It also stands for the abolition
of all man-made inequalities and discriminations. Positively
Equality stands for equal rights, equitable distribution
of resources, equal opportunities for development and
relative equality with due recognition of merit, abilities and
capacities of various persons.
Important Tips
Privileges mean a special advantage to only a particular
person/ group. Equality requires the state of being equal,
particularly in standing, rights, or opportunities and thus
absence of any privileges.
In society there are present two types of inequalities:
1. Natural inequalities, and
2. Man-made unnatural inequalities.
The former means natural differences among human
beings. These have to be accepted by all. The man-made
inequalities are those which are there because of some
social conditions and discriminations. These are of the
nature of socioeconomic inequalities resulting from the
operation of social system. The discriminations practiced
and inequalities maintained in the name of caste, colour,
creed, religion, sex, place of birth and the like are all
unnatural man- made inequalities. Equality means end of
all such inequalities and discriminations."
18,The provisions of the fifth and Sixth Schedule in the Constitution of India are made to,Protect the interests of Scheduled Tribes,Determine the boundaries between States,"Determine the powers, authority and responsible of Panchayats",Protect the interests of all the border States,UPSC CSE Pre,2015.0,a,"Exp) Option a is the correct answer.
Both the Fifth Schedule and the Sixth Schedule aim
to protect the interests of Scheduled Tribes. The Fifth
Schedule of the Constitution of India contains special
provisions for the administration and control of Scheduled
Areas in several states. Scheduled Areas are those areas where
a substantial number of Scheduled Tribes (STs) reside, The
Sixth Schedule of the Constitution of India contains special
provisions fer the administration of tribal areas in the
northeastern states."
19,Which one of the following Schedules of the Constitution of India contains provisions regarding anti-defection?,Second Schedule,Fifth Schedule,Eighth Schedule,Tenth Schedule,UPSC CSE Pre.,2014.0,d,"Exp) Option d is the correct answer.
The Tenth Schedule of the Indian Constitution popularly
referred to as the ‘Anti-Defection Law’ was inserted by
the 52nd Amendment (1985) to the Constitution, It was
formulated to bring stability in the Indian political system."
20,"The Government enacted, the Panchayat Extension to Scheduled Areas (PESA) Act in 1996. Which ne of the following is not identified as its objective?",To provided self-governance,To recognize traditional rights,To create autonomous regions in tribal areas,To free tribal people from exploitation,UPSC CSE Pre.,2013.0,c,"Exp) Option c is the correct answer.
PESA Act is a Central legislation that extends the Provisions
of the Panchayats, as given in Part IX of the Constitution
to the Fifth Schedule Areas with certain modifications
and exemptions. These areas have preponderance of tribal
population. This Act is called “The Provisions of the
Panchayats (Extension to the Scheduled Areas) Act, 1996"".
In short form this is popular as “PESA’.
The PESA Act was enacted to extend the provisions of 73""
and 74"" Amendment Acts to the Fifth Schedule areas. Thus, it was meant to provide institutions of local self-governance
in the Scheduled Areas and to recognise the traditional
rights of the tribals. The provisions of this Act address
some of the most complex problems of exploitation and
marginalisation of the tribals.
The act did not have any provisions of creating any
autonomous regions.
Important Tips
The States with Fifth Schedule Areas that are covered
under PESA are Andhra Pradesh, Chhattisgarh, Gujarat,
Himachal Pradesh, Jharkhand, Madhya Pradesh,
Maharashtra, Odisha, Rajasthan and Telangana."
21,‘Economic Justice’ as one of the objectives of the Indian Constitutional has been provided in,the Preamble and the Fundamental Rights,the Preamble and the Directive Principles of State Policy,the Fundamental Rights and the Directive Principles of State Policy,None of the above,UPSC CSE Pre.,2013.0,b,"Exp) Option b is the correct answer.
Economic justice denotes the non-discrimination between
people on the basis of economic factors. It involves the
elimination of glaring inequalities in wealth, income and
property. A combination of social justice and cconomic
justice denotes what is known as ‘distributive justice’.
The term ‘justice’ in the Preamble embraces three distinct
forms-—-social, economic and political, secured through
various provisions of Fundamental Rights and Directive
Principles.
The concept of Economic Justice is also mentioned under the
Directive Principles of State Policy. Article 39 says that the
State shall, in particular, direct its policy towards securing—
(a.) that the citizens, men and women equally, have the right
to an adequate means of livelihood; (b.) that the ownership
and control of the material resources of the community are
so distributed as best to subserve the common good; (c.)
that the operation of the economic system does not result
in the concentration of wealth and means of production to
the common detriment; (d.) that there is equal pay for equal
work for both men and women."
22,"Inthecontext of India, which of the following principles is/are, implied institutionally in
the parliamentary government?
1. Members of the Cabinet are Members of the Parliament.
2. Ministers hold the office till they enjoy confidence in the Parliament.
3. Cabinet is headed by the Head of the State.
Select the correct answer using the codes given below:",1 and 2 only,3 only,2 and 3 only .,"1,2 and 3",UPSC CSE Pre.,2013.0,a,"Exp) Option a is the correct answer.
In the context of India, there are mainly two principles which
can be implied institutionally in the Parllamentary form of
government:
Statement J. is correct. A Member of the Cabinet must be a
Member of the Parliament. If a person who is not a member of
the parliament and is appointed as a minister then he/she has to
get elected to either of the two houses of parliament within six
months.
Statement 2 is correct. In a parliamentary form of government,
the council of ministers hold office till they enjoy the confidence
of the parliament (in India’s case that of Lok Sabha), Hence,
Ministers hold the office till they enjoy confidence in the
Parliament.
Statement 3 is incorrect. The President is Head of the
State in India, whereas the Cabinet is headed by the Prime
Minister of India."
23,"Which of the following provisions of the Constitution of India have a bearing on
Education?
1. Directive Principles of State Policy.
2. Rural and Urban Local Bodies.
3. Fifth Schedule
4. Sixth Schedule
5. Seventh Schedule
Select the correct answer using the codes given below:",1 and 2 only,"3, 4 and 5 only","1,2 and 5 only","1,2,3,4 and 5",UPSC CSE Pre.,2012.0,d,"Exp) Option d is the correct answer.
All the above provisions of the Constitution of India, have a
bearing on Education.
Directive Principles of State Policy - Article 45: To provide
early childhood care and education for all children until
they complete the age of six years. 86th Amendment changed
the subject-matter of Article 45 and made elementary
education a fundamental right under Article 21 A.
Rural and Urban Local Bodies — Education is one of the
subject matters under Schedules XI and XII. It empowers
local bodies to take steps to improve educational standards
in their regions.
Fifth and Sixth Schedule — The Fifth and Sixth Schedule of
the constitution provide protection to the tribals on account
of their economic disadvantages so that they could maintain
their tribal identity without any coercion or exploitation. This
includes promotion of education in their own language for their
upliftment.
Seventh Schedule - Under this, education is put under the
concurrent list which allows both centre and states to make
laws on the subject."
24,"Consider the following statements:
1. The discussions in the Third Round Table Conference eventually led to the passing of the Government of India Act, 1935.
2. The Government of India Act, 1935 provided for the establishment of an All-India Federation to be based-on a Union of the Provinces of British India and the Princely States.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,UPSC CSE Pre,2009.0,c,"Exp) Option c is the correct answer.
Stateinent J is correct: The discussions in the Third Round
Table Conference, held in November-December 1932,
eventually led to the passing of the Government of India Act,
1935. by the British Parliament.
Statement 2 is correct: The Government of India Act, 1935
provided for the establishment of an All-India Federation
to be based on a Union of the Provinces of British India
and the Princely States. However, the federation never came
into being as the princely states did not join it."
25,The right of the government to impose taxes and fees is provided in which List of Constitution?,VI Schedule,VII Schedule,IX Schedule,XI Schedule,UPSC CSE Pre,2009.0,b,"Exp) Option b is the correct answer.
The right of the government to impose taxes and fees
is provided In Entry 82 of the Union List of the Seventh
Schedule of the Constitution of India. ‘his means that the
Parliament has exclusive power to make laws on this subject.
Important Tips

Taxes levied by the Central government:
| 1. Customs duty

2. Excise duty

3. Income tax

4. Corporation tax

5. Service tax

6. GST (CGST)
| Taxes levied by the State government:
| 1. Sales tax

2. Motor Vehicle tax |

3. Land revenue

4. Stamp duty

5. Entertainment tax

6. GST (SGST)"
26,Which Schedule of the Constitution of India contains special provisions for the dministration and control of Scheduled Areas in several states?,Third,Fifth,Seventh,Ninth,UPSC CSE Pre,2008.0,b,"Exp) Option b is the correct answer.
The Schedule of the Constitution of India that contains
special provisions for the administration and control of
Scheduled Areas in several states is the Fifth Schedule.
The Fifth Schedule is dedicated to the administration and
governance of areas inhabited by Scheduled Tribes. It
outlines the powers and functions of the tribal advisory
councils, the governance structure, and the protection of
tribal rights and customs,"
27,"Consider the following:
Assertion (A): According to the Wavell Plan, the member of Hindu and Muslim members in the Executive Council was to be equal.
Reason (R): Wavell thought that this arrangement would have avoided the partition of India. Code:","Both A and R are individually true, and R is the correct explanation of","Both A and R are individually true, but R is not the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",UPSC CSE Pre,2007.0,c,"Exp) Option c is the correct answer.
Assertion is correct: According to the Wavell Plan, the
number of Hindu and Muslim members in the Executive
Council was to be equal. The Wavell Plan was a proposal
initiated by the British government to resolve the deadlock
in India. Jt was prepared by Lord Wavell, who became the
Viceroy of India in 1943. The plan proposed the complete
Indianization of the Executive Council, with seats reserved
for members on the basis of religion and caste.
Reason is incorrect: Wavell did not think that this
arrangement would have avoided the partition of India.
He was not concerned about the issue of partition of India.
Wavell’s most important task was to present a formula for
the solution of the Indian problem which was acceptable for
both the Congress and the Muslim League."
28,"Consider the following statements:
1. Article 371-A to 371-I were inserted in the Constitution of India to meet regional demands of Nagal and, Assam, Manipur, Andhra Pradesh, Sikkim, Mizoram,Arunachal Pradesh and Goa.
2. Constitution of India and the United States of America envisage a dual policy,(The Union and the States) but a single citizenship.
3. A Naturalized citizen of India can never be deprived of his citizenship. Which of the statements given above is/are correct?","1,2 and 3",1 and 3 only,3 only,1 only,UPSC CSE Pre,2005.0,d,"Exp) Option d is the correct answer.
Statement 1 is correct- Article 371-A to 371-I were inserted
in the Constitution of India to give special status to the
North Eastern States and protect their cultural and linguistic
identities,
Statement 2 is incorrect- The Constitution of India follows
a single citizenship principle, where every Indian citizen is
considered a citizen of the entire country. The United States,
on the other hand, follows a dual citizenship system.
Statement 3 is incorrect- The Indian Constitution allows
for the deprivation of citizenship for naturalized citizens
under certain circumstances, such as acquiring citizenship
through fraud or false representation or acquiring
citizenship of another country voluntarily.

Important Tips

Articles 371A to 3711 of the Indian Constitution provide
special provisions and safeguards for certain states and
regions, Here is a brief description of cach article:

1. Article 371A; It grants special provisions for the state

of Nagaland. ;

2. Article 371B: It provides special provisions for the
state of Assam.
3. Article 371C: It grants special provisions for the state
of Manipur.
4. Article 371D: It provides special provisions for the
state of Andhra Pradesh.
5. Article 371E: It grants special provisions for the state
of Sikkim.
6. Article 371F: It provides special provisions for the
state of Mizoram.
7. Article 371G: It grants special provisions for the state
of Arunachal Pradesh,
8. Article 371H: It provides special provisions for the
state of Goa.
9. Article 3711: It grants special provisions for the state
of Jammu and Kashmir."
29,"If a new state of the Indian Union is to be created, which one of the following Schedules of the Constitution must be amended?",First,Second,Third,Fourth,UPSC CSE Pre,2001.0,a,"Exp) Option a is the correct answer.
Any change or creation of a new state would require amending
the First Schedule to reflect the addition or alteration in the
list. The First Schedule contains the list of states and union
territories with their territories and capitals. Articles 1 to
4. are covered in the first schedule.
Important Tips
1. Article 1 of the Indian Constitution declares India as
a Union of States.
2. Article 2 allows for the admission or establishment
of new states within the Indian Union,
3. Article 3 provides the power to form new states or
alter existing state boundaries.
4. Article 4 allows for the creation or abolition of
Legislative Councils in states."
30,"In the following quotation: “WE THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a (Sovereign, Socialist, Secular, Democratic, Republic) and to secure to all its citizens.JUSTICE, social, economic and political; LIBERTY of thought, expression, belief, faith, and worship; EQUALITY of status and of opportunity: and to promote among them all; FRATERNITY assuring the dignity of the Individual and the unity and integrity of the Nation. In our  onstituent Assembly, this *X’ do hereby adopt, enact and give to ourselves this Constitution.”
‘x’ stands for:",Twenty-sixth day of January 1950,‘Twenty-sixth day of November 1949,Twenty-sixth day of January 1949,None of the above,UPSC CSE Pre,1997.0,b,"Exp) Option b is the correct answer.
The word “X” in the Preamble stands for the date on which
the Preamble was adopted, which is November 26, 1949. The
Constitution of India came into force on January 26, 1950."
31,Whogave the idea ofa Constituent Assembly firstly for the formation of Constitution for India,Swaraj party in 1934,Congress party in 1936,Muslim League in 1942,All Parties conference in 1946,UPSC CSE Pre,1996.0,a,"Exp) Option a is the correct answer.
At a conference held in May 1934, the Swaraj Party passed
a resolution reiterating that the only course should be to
convene a Constituent Assembly representing all sections
of the Indian people to frame an “acceptable Constitution”.
This was the first time that the Indian masses heard about
the demand for a Constituent Assembly
Note; In several digital sources, the Congress party in 1936
is mentioned as the correct answer. But it must be noted
that the Congress party accepted the idea of a Constituent
Assembly as its official demand in its session at Lucknow
in April 1936, presided by Jawaharlal Nehru. This was after
the demand made by Swaraj Party in 1934."
32,"In the Interim Government in 1946, the Vice-President of the Executive Council was",Jawaharlal Nehru,Dr. S. Radhakrishnan,C. Rajagopalachari,Dr. Rajendra Prasad,UPSC CSE Pre,1995.0,a,"Exp) Option a is the correct answer.
Jawaharlal Nehru was the Vice-President of the Executive
Council in the Interim Government formed in 1946,
under the provisions of the Cabinet Mission Plan of 1946.
The Interim Government was a provisional government
established on 2 September 1946, to assist the transition
of India from British rule to independence. It consisted of
15. members, representing different political parties and
interests, headed by the Viceroy of India as the President of
the Executive Council. Jawaharlal Nehru was designated as
the Vice-President of the Executive Council and also held
the portfolios of External Affairs and Commonwealth
Relations. He acted as the de facto Prime Minister of India
and led the Interim Government until 15 August 1947, when
India became independent.
Important Tips
« Dr. S. Radhakrishnan was not a member of the Interim
Government, but he was a member of the Constituent
Assembly and later became the first Vice-President and
second President of India.
e« C. Rajagopalachari was a member of the Interim
Government and held the portfolio of Education, Arts,
| Health and Lands. He later became the last Governor-
General of India from 1948 to 1950.
| ¢ Dr. Rajendra Prasad was not a member of the Interim
Government, but he was the President of the Constituent
Assembly and later became the first President of India."
