q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
11,The Indian Parliamentary System is different from the British Parliamentary System in that India has:,Both a real and a nominal executive,A system of collective responsibility,Bicameral legislature,The system of judicial review,UPSC CSE Pre,1998.0,d,"Exp) Option d is the correct answer.
India has system of judicial review unlike Britain. The
British system is based on the doctrine of the sovereignty
of Parliament, while the Parliament is not supreme in
India and enjoys limited and restricted powers due to a
written Constitution, federal system, judicial review and
fundamental rights. British judiciary cannot review or
declare the laws made by British Parliament invalid.
Whereas, Indian judiciary can review or declare the laws
made by Indian Parliament invalid.

Important Tips

The parliamentary system of government in India is largely

based on the British parliamentary system. However, it

never became a replica of the British system and differs
in the following respects:

« India has a republican system in place of British
monarchical system. In other words, the Head of the
State in India (that is, President) is elected, while the
Head of the State in Britain (that is, King or Queen)
enjoys a hereditary position.

« In Britain, the Prime Minister should be a member of
the Lower House (House of Commons) of Parliament.
In India, the Prime Minister may be a member of any
of the two Houses of Parliament.

«+ The members of Parliament alone are appointed as
ministers in Britain. In India, a person who is not
a member of Parliament can also be appointed as
minister, but for a maximum period of six months.

* Britain has the system of legal responsibility of
the minister while India has no such system. Unlike
in Britain, the ministers in India are not required to
countersign the official acts of the Head of the State.

Some of the common features of the constitutions of

India and the Britain are Parliamentary government,

Bicameral legislature, Rule of Law, both a real and a

nominal executive, a system of collective responsibility,

Single citizenship, Cabinet system, and Parliamentary

privileges, etc."
12,Agriculture Income Tax is assigned to the State Government by,The Finance Commission,The National Development Council,The Inter-State Council,The Constitution of India,UPSC CSE Pre,1995.0,d,"Exp) Option d is the correct answer

The Constitution of India empowers State Governments to

levy and collect Agriculture Income Tax through Article

246(3) read with Entry 46 of the State List in the Seventh

Schedule. It explicitly grants State Legislatures exclusive

authority to make laws regarding “Taxes on agricultural

income.”"
13,In which respect have the Centre-state relations been specifically termed as municipal relation -,Centres control of the state in the legislative sphere.,Centre’s control of the state in financial matters.,Centres control of the state in the administrative sector.,Centre’s control of the state in the planning process.,UPSC CSE Pre,1994.0,d,"Exp) Option d is the correct answer

Centre-State relations, specifically in the planning process,

have been compared to municipal relations, treating states

as subordinate entities. The centralized approach led by the

Planning Commission directed states to align with national

objectives. After the Planning Commission’s abolition in

2015 and NITI Aayog’s establishment, efforts were made

to promote cooperative federalism, granting states greater

involvement and collaborative planning."
14,Which one of the following determines that Indian Constitution is Federal?,A written and rigid Constitution,An independent Judiciary,Vesting of residuary powers with the Centre.,Distribution of powers between union and states.,UPSC CSE Pre,1994.0,d,"Exp) Option d is the correct answer.

Distribution of powers between union and states is most

important prerequisite for becoming a federal state. The

seventh schedule of the Indian constitution provides the

division of powers between state and central government.

The powers are divided between the national government

and the regional governments by the Constitution itself and

both operate in their respective jurisdictions independently.
Important Tips

1. Article 246 deals with the 7th Schedule of the Indian
Constitution that mentions three lists named as Union
List, State List and Concurrent List which specify the

| divisions of power between Union and States.

2. Presently, the Union List contains 98 subjects

| (originally 97), the State List contains 59 subjects
(originally 66) and the Concurrent List contains 52
subjects (originally 47).

| 3. Through the 42nd Amendment Act of 1976, five
subjects were transferred from the State to the
Concurrent List. They are:

A. Education;

B. Forests;

C. Protection of wild animals and birds;

1D. Weights and measures and;

E. Administration of justice, constitution and organisation
of all courts except the Supreme Court and the High
Courts.

| EG | Other.) Examination=/ Previous; ‘Years’

b rp cudl LQUCSTIONS.: ee) 77 se ay ae ee i ve"
15,"Given below are two statements, one is labelled as Assertion (A) and the other as 
Reason (R):
Assertion (A): The nature of Indian Political System embodies the elements of ‘continuity and change’.
Reason (R): The Indian Political System contains the elements of the following political system such as the modern style, the traditional style and saint style. 
Select the correct answer from the codes given below.",Both (A) and (R) are true and (R) is the correct explanation of (A).,Both (A) and (R) are true but (R) is not the correct explanation of (A).,(A) is true but (R) is false.,(A) is false but (R) is true.,U.P.P.C.S. (Pre),2020.0,a,"Exp) Option a is the correct answer.

The nature of the Indian Political System embodies the
elements of ‘continuity and change. Most provisions of
Constitution have been in continuity since its formation,
while many provisions have been changed as per the demand
of the time. For example, removal of “internal disturbance”
as ground for imposition of national cmergency alter its
misuse in 1975. The reason for ‘continuity and change’ in
Indian Political System is due to the fact that it contains
elements of different nature such as the modern style (eg.

Universal Adult Frenchise) the traditional style ( Eg,

federal form of government) and saint style (eg, Freedom of
conscience and free profession, practice, and propagation
of religion). Hence, both (A) and (R) are true and (R) is the
correct explanation of (A)."
16,"Given below are two statements, one is labelled as Assertion (A) and the other as
Reason (R):
Assertion (A): Indian federalism is called ‘Quasi-federal’,
Reason (R): India has an independent judiciary with power of Judicial Review. 
Select the correct answer from the codes given below.",Both (A) and (R) are true and (R) is the correct explanation of (A).,Both (A) and (R) are true but (R) is not the correct explanation of (A).,(A) is true but (R) is false.,(A) is false but (R) is true.,U.P.P.C.S. (Pre),2020.0,b,"Exp) Option b is the correct answer.

India is regarded as a quasi-federal state as described by
Prof. K.C. India is referred as a quasi federal state because
of strong central machiucry. In a Quasi federal system,
distribution of powers between the Center and the state
are not equal. Hence, Assertion (A) is correct.

The Constitution establishes an independent judiciary
headed by the Supreme Court. Jt protects the supremacy
of the Constitution by exercising the power of judicial —
review. Independent judiciary also checks arbitrary use of
power by executives. Hence, Reason (R) is correct.

But Assertion reflects that India has unitary features as
well and Reason is talking about the federal feature of the
Constitution. So both are true but R is not the reason of A.
Hence, both (A) and (R) are true but (R) is not the correct
explanation of (A)."
17,"With reference to the federal system in India, which of the statements is/are correct?
1. States have no right to secede from the Union under the constitution of India.
2. Just advocacy of secession will have the protection of freedom of expression.
Select the correct answer from the codes given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,U.P.P.C.S. (Pre),2019.0,a,"Exp) Option a is the correct answer.

Statement 1 is correct: The states have no right to secede
from the Union under the constitution of India. The
federation is an Union because it is indestructible. The
country is an integral whole and divided into different states
only for the convenience of administration.

Statement 2 is incorrect: 16 Constitution Amendment

Act of 1963 maintains that advocacy of secession will not

have the protection of the freedom of expression. Later
on, the advocacy of secession was also made officially
unlawiul in 1967, with the passage of the Unlawful Activities
(Prevention) Act."
18,"Of the following political features, which is/are common to India and the USA?
1. Residuary powers vested in the centre.
2. Residuary powers vested in the states.
3. President has the power of pocket veto.
4. The upper house has some nominated members,
Code:",3 only,3 and 4 only,"2,3 and 4 only","1, 3 and 4 only",U.P.P.C.S. (Pre),2017.0,a,"Exp) Option a is the correct answer.

Options 1 and 2 are incorrect: In India, residuary powcrs
vested in the centre, While in USA, residuary powers vested
in the states. So both have different mechanisms to deal with
residuary powers.

Option 3 is correct: Presidents of both countries - India
and USA- have the power to exercise pocket veto. In case
of Pocket veto, the President neither ratifies nor rejects
nor returns the bill, but simply keeps the bill pending.
The way they exercise this veto power is different in both
countries.

Option 4 is incorrect: In India, 12 members are nominated
by the president in the upper house. Whereas, there is
no provision of nominated member in US upper house
(Senate). In India, the number of representatives varies
from state to state. For example, Uttar Pradesh has 31
members while Tripura has 1 member only. However, in
USA, all states are given equal representation in the Senate
irrespective of their population. USA has 50 states and the
Senate has 100 members—2 from cach state."
19,"With reference to the Sovereignty of India,which of the following statements is/are correct?
1, India is a member of Commonwealth of Nations.
2. Sovereignty of India is curtailed due to its membership of Commonwealth of Nations.
Select the correct answer using the codes given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,U.P.P.C.S. (Mains),2017.0,a,"Exp) Option a is the correct answer.

Statement 1 is correct: India is a member of
‘Commonwealth of Nations. The organisation comprises
of 54 member nations. In 1949 after getting independence,
India declared the continuation of her full membership of
the Commonwealth of Nations and accepted the British
Crown as the head of the Commonwealth.

Statement 2 is incorrect: In 1949, India declared the
continuation of her full membership of the Commonwealth
of Nations and accepted the British Crown as the head of the
Commonwealth. This extraconstitutional declaration does
not curtail India’s sovereiguty in any manner."
20,Who among the following is empowered to establish the Inter-State council?,Parliament,President,Speaker of Lok Sabha,Prime Minister,U.P.P.C.S. (Pre),2017.0,b,"Exp) Option b is the correct answer
According to Article 263 of The Constitution of India,
President is empowered to establish the Inter-State
council, The objective of the ISC is to discuss or investigate
policies, subjects of common interest, and disputes among
States.
Important Tips

The Inter-State Council composes of the following
members:

¢ Prime Minister, Chairman.

+ Chief Ministers of all states.
|° Chief Ministers of the union territorics having
| legislative assemblies.

Erne nnn RRR
| ¢ Lieutenant Governors and Administrators of the union
| territories not having legislative assemblies.
| ¢ 6 Union Cabinet Ministers, including Union Home
Minister, to be nominated by the Prime Minister.
« Governors of the states being administered under
President’s rule.
Standing Committee
e¢ Union Home Minister, Chairman
« 5 Union Cabinet Ministers
« 9 Chief Ministers"
21,Which one of the following is not a feature of a zonal council?,It is a constitutional body,"Five Zonal Councils have set up under the State Reorganization Act, 1956","Chandigarh although not a state, is included in Zonal Council",It is an Advisory body,U.P.B.C.S. (Pre),2017.0,a,"Exp) Option a is the correct answer
Option ais not correct: A zonai council is not a constitutional
body. It is a statutory body established under the States
Reorganization Act, 1956.
Option b is correct: There are five Zonal Councils in India,
namely: Northern Zonal Council, Eastern Zonal Council,
Western Zonal Conncil, Southern Zonal Council, Central
Zonal Council and Southern Zonai Council.
Option c is correct: Chandigarh, the joint capital of Haryana
and Punjab, is inciuded in the Northern Zonal Council.
Option d is correct: Zonal councils are advisory bodies and
do not possess any executive or legislative authority. They
can only make recommendations to the Union Government
and to the state governments."
22,Which one of the following is not related to ‘Union-State relations in India?,Sarkaria Commission,Rajmannar Committee,Indrajit Gupta Committee,Punchhi Commission,"U.P.P.C.S, (Pre)",2015.0,c,"Exp) Option c is the correct answer
The Indrajit Gupta Committee, established in 1998,
focused on recommending state funding for elections in
India to curb the influence of money power in politics,
ensuring transparency, and accountability. It studied funding
sources, eligibility criteria, funding amount, and distribution
mechanisms for political parties.
Important Tips |
Rajmannar Commission:
Rajmannar Commission was set up by the then DMK |
Government of Tamil Nadu in 1969 under the Chairmanship |
of Dr PV. Rajamanar. It was appointed to look into the question |
regarding the relationship that should subsist between the |
| Centre and the States ina federal set-up. Jt submitted its report in |
| 1971. Its important recommendations are given in the following: |
je Readjustment of the VII schedule and residuary
power to the states. |
| ¢ The setting of an Inter-State council immediately |
| ¢ Finance commission to be made a permanent body
| ¢« Deletion of Articles 356, 357, and 365 which dealt
with the President’s rule.
¢ Abolition of All-India Services (IAS, IPS, and IFS).
¢ Planning Commission to be replaced by a statutory
body.
The Central government completely ignored its
recommendations. |"
23,"Which of the following is correct? 
The main feature of a Presidential form of Government is/are -",The Head of the Executive is the President.,The President appoints his Council of Ministers.,The President cannot dissolve the Legislature.,All of the above.,U.P.P.C.S. (Mains),2014.0,d,"Exp) Option d is the correct answer.

The American Constitution provides for the presidential form of

government. Some of features of the American presidential system

of government are - the Head of the Executive is the President; the

President appoints his Council of Ministers; the President cannot

dissolve the Legislature. Hence, option d is the correct answer.
Important Tips —

The Features of the American presidential system of

government:

« The American President is both the head of the
State and the head of government. As the head
of State, he occupies a ceremonial position. As the
head of government, he leads the executive organ of
government.

e« The President is elected by an electoral college for
a fixed tenure of four years. He cannot be removed
by the Congress except by impeachment for a grave
unconstitutional act.

¢ The President and his secretaries are not responsible |
to the Congress for their acts.

¢ The President and his secretaries neither possess |
membership in the Congress nor attend its sessions. |

« The President cannot dissolve the House of
Representatives-the lower house of the Congress. |

e The doctrine of separation of powers is the basis of|
the American presidential system. The legislative, |
executive and judicial powers of the government are

| separated and vested in the three independent organs |
of the government. |"
24,"Consider the following statements:
1. India is a democratic polity.
2, India is a sovereign state,
3. India has a democratic society.
4, India is a welfare state.
Which of the above statements are true?",1 and 2 only,"1, 2 and 3 only","2,3 and 4 only","1,2,3 and 4",U.B.B.C.S. (Mains),2012.0,d,"Exp) Option d is the correct answer.

India is a democratic polity as government is elected by the people.
Elections are held periodicaily. It provides opportunity to people
to remove any despotic government. India is a sovereign state
as it is free to conduct its own affairs (both internal and external).
India has a democratic society as all people are treated equal and
provided equal opportunities Under Article 14, 15 or 16. India is a
secular nation. It does not differentiate person based on caste, creed,
race or gender. It takes care well marginalized, minorities, tribals,
women, children, etc. It all makes Indian society democratic. The
Directive Principles of State Policy, enshrined in Part IV of the
Indian Constitution reflects that India is a welfare state."
25,Is a State of the Indian Union empowered under the Constitution to take foreign loans directly?,Yes,No,"Yes, but from international organizations on l",Yes. but only with the permission of the Reserve Bank of India,U.P.P.C.S. (Mains),2012.0,b,"Exp) Option b is the correct answer

As per the provisions of Article 293, a State of the
Indian Union cannot take foreign loans directly; they
can only borrow within India and require the consent of
the Government of India for any borrowing beyond the set
limits."
26,"Centre-State relations in India are dependent upon-
1. Constitutional provisions
2. Conventions and practices
3. Judicial interpretations
4. Mechanisms for dialogue
Select the correct answer from the codes given below:",land 2,"1,2 and 3","2,3 and 4",All the four,U.P.P.C.S. (Pre),2009.0,d,"Exp) Option d is the correct answer
Constitutional Provisions: Centre-State relations in India
are primarily governed by the provisions Jaid out in the
Indian Constitution. Articles 245 to 255 (Part XI) deal with
the distribution of legislative powers between the Centre and
the States. For instance, Article 246 delineates the subject
matters falling under the jurisdiction of the Union, States,
and concurrent list. This ensures a clear demarcation of
powers and responsibilities.
Conventions and Practices: Over time, certain unwritten
conventions and practices have evolved, shaping Centre-
State relations. For instance, the Sarkaria Commission
Report outlines various practices, like the appointment of
Governors and the use of Article 356 (President's Rule),
which influence interactions between the Centre and States.
Judicial Interpretations: The judiciary plays a vital role
in interpreting and clarifying constitutional provisions
related to Centre-State relations. Landmark judgments, iike
the Kesavananda Bharati case, have helped to define the
limitations and extent of powers of both entities.
Mechanisms for Dialogue: To facilitate cooperation and
coordination, various mechanisms for dialogue exist, such
as the Inter-State Council and NITI Aayog. These platforms
provide a forum for both levels of government to discuss and
resolve issues of mutual concern."
27,Article 249 of the Indian Constitution deals with,Emergency Power of the President,Dissolution of the Lok Sabha,Administrative Power of the Parliament,Legislative Powers of the Parliament with respect to subjects in the State List,U.P.P.C.S. (Mains),2009.0,d,"Exp) Option d is the correct answer
Article 249 of the Indian Constitution deals with the power of the
Parliament to legislate on matters in the State List under certain
circumstances. Article 249 provides a mechanism for the Union
Parliament to intervene in State List subjects temporarily when there
is a need for national interest. However, it is subject to certain checks
and balances to ensure that such intervention remains limited and
does not undermine the federal structure of the country.
a |
Important Tips

The key provisions of Article 249 are as follows:

* If the Council of States (Rajya Sabha) passes a
resolution, supported by not less than two-thirds
of its members present and voting, declaring that it
is necessary or expedient in the national interest that
Parliament should make laws on a specific matter in
the State List, then Parliament can do so.

« The resolution remains in force for a specific
period (not exceeding one year) as mentioned in the
resolution itself.

« If the resolution is approved to continue in force
through a similar process as mentioned in point 1, it
remains in force for an additional one-year period
from the date it would have otherwise ceased.

» Any law made by Parliament during this period,
which it would not have been competent to make but
for the resolution, ceases to have effect to the extent
of that incompetency after a period of six months
from the resolution’s expiration."
28,Ina Parliamentary system of Government-,Judiciary controls Executive,Exccutive controls Judiciary,Executive controls Legislature,Legislature controls Executive,U.P.P.C.S. (Mains ),2010.0,d,"Exp) Option d is the correct answer.

In the Parliamentary form of Government, the executive
is responsible to the legislature and is under its control.
The executive remains in office till it enjoys the confidence
of the legislature, especialiy the Lok Sabha. The ministers
(Executive) are collectively responsible to the Parliament
in general and to the Lok Sabha in particular (Article 75)."
29,"Here are two statements:
Assertion (A): Political Parties are lifeblood of democracy.
Reason (R): Normally people blame political parties for bad governance.
Which of the following is correct in the above context?","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is nota correct explanation of (A).","(A) is true, but (R) is wrong.",(A) and (R) both are wrong.,U.P.P.C.S. (Pre),2009.0,b,"Exp) Option b is the correct answer.

Political Parties are the lifeblood of democracy. The
political parties are responsible for the wide range of domains
including providing good governance, efficient delivery of
service, or required welfare measure. Any failure in the
system may mobilise people or other political parties to
condemn political party/ies in government.

However, Political Parties are the lifeblood of democracy
not only because people can blame political parties in
case of any failure. This can be one of the reason but not
the only reason for making political parties lifeblood of
democracy. Hence, both (A) and (R) are true, and (R) is not
the correct explanation of (A)."
30,Which one is the most prominent element of a state? U.P.P.C.S. (Pre) 2008],Flag,Capital,Sovereignty,Head of State,,,c,"Exp) Option c is the correct answer.

The word ‘sovereig implies that State is neither a dependency
nor a dominion of any other State, but an independent state.
Sovereignty is the most important clement of the state. It
confers legal status on the state’s actions. It’s sovereignty that
allows the state to exercise legitimate control over all the
laws, rules, policies, and decisions. The idea of sovereignty
goes back to Aristotle, who spoke of the “Supreme power of
the state.” There is no meaning of Flag, Capital or Head of
State, if state is not sovereign."
31,"Given below are two statements, one is labelled as Assertion (A) and the other as
Reason (R):
Assertion (A): Indian Constitution is quasi- federal.
Reason (R): Indian Constitution is neither federal nor unitary.
Select the correct answer using the codes given below:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","(A) is true, but (R) is false.","(A) is false, but (R) is true.","U.P.P.C.S, (Pre)",2007.0,a,"Exp) Option a is the correct answer.

India is regarded as a quasi-federal state because more
power is given to Centre. In a Quasi federal system, the
distribution of powers between the Center and the state are
not equal. Hence, Assertion (A) is correct.

Indian Constitution is also neither federal nor unitary. In
the words of D.D. Basu, the Constitution of India is neither
purely federal nor unitary, but is a combination of both.
Hence, Reason (R) is correct.

Indian constituion is consider as quasi federal as it is
neither federal nor unitary."
32,Sarkaria Commission was set up to review-,The relations between the President and the Prime Minister,The relations between the Legislature and the Executive,The relations between the Executive and the Judiciary,The relations between the Union and the States,U.P.P.C.S. (Mains),2006.0,d,"Exp) Option d is the correct answer

The Sarkaria Commission, established in 1983, aimed to
review the state-center relationship in India and propose
constitutional changes. Headed by Rajinder Singh Sarkaria, a
retired Supreme Court judge, it submitted a comprehensive
1600-page report with 247 specific recommendations in
1988,"
