q_no,q_statement,q_markdown,a,b,c,d,correct_option,explanation,exam,year,subject_name,section_name,topic_name,subtopic_name,microtopic_name,unit,is_check,for_review,added_at,updated_at
16,<p>Which one of the following objectives is not embodied in the Preamble to the Constitution of India?</p>,"Which one of the following objectives is not embodied in the Preamble to the
Constitution of India?",Liberty of thought,Economic liberty,Liberty of expression,Liberty of belief,b,"<p>Exp) Option b is the correct answer. The text of the Preamble of the Constitution of India reads as - &lsquo; WE, THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC and to secure to all its citizens: JUSTICE, social, economic and political; LIBERTY of thought, expression, belief, faith and worship; EQUALITY of status and of opportunity; and to promote among them all FRATERNITY assuring the dignity of the individual and the unity and integrity of the Nation; IN OUR CONSTITUENT ASSEMBLY this twenty-sixth day of November, 1949, do HEREBY ADOPT, ENACT AND GIVE TO OURSELVES THIS CONSTITUTION. Thus, Preamble to the Constitution of India embodies liberty. of thought, expression, belief, faith and worship but not economic liberty.</p>",UPSC CSE Prelims,2017,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312232+00:00,2025-06-20T08:26:33.147690+00:00
17,<p>One of the implications of equality in society is the absence of</p>,One of the implications of equality in society is the absence of,Privileges,Restraints,Competition,Ideology,a,"<p>Exp) Option a is the correct answer. . &ldquo;Equality means equal rights for all the people and the abolition of all special rights and privileges&rdquo;. -Barker : Thus, negatively equality implies abolition of all special privileges and facilities which may be available to some classes or some persons in society. It also stands for the abolition of all man-made inequalities and discriminations. Positively Equality stands for equal rights, equitable distribution of resources, equal opportunities for development and relative equality with due recognition of merit, abilities and capacities of various persons. Important Tips Privileges mean a special advantage to only a particular person/ group. Equality requires the state of being equal, particularly in standing, rights, or opportunities and thus absence of any privileges. In society there are present two types of inequalities: 1. Natural inequalities, and 2. Man-made unnatural inequalities. The former means natural differences among human beings. These have to be accepted by all. The man-made inequalities are those which are there because of some social conditions and discriminations. These are of the nature of socioeconomic inequalities resulting from the operation of social system. The discriminations practiced and inequalities maintained in the name of caste, colour, creed, religion, sex, place of birth and the like are all unnatural man- made inequalities. Equality means end of all such inequalities and discriminations.</p>",UPSC CSE Prelims,2017,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312259+00:00,2025-06-20T08:27:45.280945+00:00
18,<p>The provisions of the fifth and Sixth Schedule in the Constitution of India are made to</p>,"The provisions of the fifth and Sixth Schedule in the Constitution of India
are made to",Protect the interests of Scheduled Tribes,Determine the boundaries between States,"Determine the powers, authority and responsible of Panchayats",Protect the interests of all the border States,a,"<p>Exp) Option a is the correct answer. Both the Fifth Schedule and the Sixth Schedule aim to protect the interests of Scheduled Tribes. The Fifth Schedule of the Constitution of India contains special provisions for the administration and control of Scheduled Areas in several states. Scheduled Areas are those areas where a substantial number of Scheduled Tribes (STs) reside, The Sixth Schedule of the Constitution of India contains special provisions fer the administration of tribal areas in the northeastern states.</p>",UPSC CSE Prelims,2015,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312288+00:00,2025-06-20T08:29:04.156376+00:00
19,<p>Which one of the following Schedules of the Constitution of India contains provisions regarding anti-defection?</p>,"Which one of the following Schedules of the Constitution of India contains
provisions regarding anti-defection?",Second Schedule,Fifth Schedule,Eighth Schedule,Tenth Schedule,d,"<p>Exp) Option d is the correct answer. The Tenth Schedule of the Indian Constitution popularly referred to as the &lsquo;Anti-Defection Law&rsquo; was inserted by the 52nd Amendment (1985) to the Constitution, It was formulated to bring stability in the Indian political system.</p>",UPSC CSE Prelims,2014,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312315+00:00,2025-06-20T08:29:37.146217+00:00
20,"<p>The Government enacted, the Panchayat Extension to Scheduled Areas (PESA) Act in 1996. Which one of the following is not identified as its objective?</p>","The Government enacted, the Panchayat Extension to Scheduled Areas (PESA) Act
in 1996. Which one of the following is not identified as its objective?",To provided self-governance,To recognize traditional rights,To create autonomous regions in tribal areas,To free tribal people from exploitation,c,"Exp) Option c is the correct answer.
PESA Act is a Central legislation that extends the Provisions
of the Panchayats, as given in Part IX of the Constitution
to the Fifth Schedule Areas with certain modifications
and exemptions. These areas have preponderance of tribal
population. This Act is called “The Provisions of the
Panchayats (Extension to the Scheduled Areas) Act, 1996"".
In short form this is popular as “PESA’.
The PESA Act was enacted to extend the provisions of 73""
and 74"" Amendment Acts to the Fifth Schedule areas. Thus, it was meant to provide institutions of local self-governance
in the Scheduled Areas and to recognise the traditional
rights of the tribals. The provisions of this Act address
some of the most complex problems of exploitation and
marginalisation of the tribals.
The act did not have any provisions of creating any
autonomous regions.
Important Tips
The States with Fifth Schedule Areas that are covered
under PESA are Andhra Pradesh, Chhattisgarh, Gujarat,
Himachal Pradesh, Jharkhand, Madhya Pradesh,
Maharashtra, Odisha, Rajasthan and Telangana.",UPSC CSE Prelims,2013,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312341+00:00,2025-06-20T08:31:45.940732+00:00
21,<p>&lsquo;Economic Justice&rsquo; as one of the objectives of the Indian Constitutional has been provided in</p>,"Economic Justice' as one of the objectives of the Indian Constitutional has
been provided in",the Preamble and the Fundamental Rights,the Preamble and the Directive Principles of State Policy,the Fundamental Rights and the Directive Principles of State Policy,None of the above,b,"<p>Exp) Option b is the correct answer. Economic justice denotes the non-discrimination between people on the basis of economic factors. It involves the elimination of glaring inequalities in wealth, income and property. A combination of social justice and cconomic justice denotes what is known as &lsquo;distributive justice&rsquo;. The term &lsquo;justice&rsquo; in the Preamble embraces three distinct forms-&mdash;-social, economic and political, secured through various provisions of Fundamental Rights and Directive Principles. The concept of Economic Justice is also mentioned under the Directive Principles of State Policy. Article 39 says that the State shall, in particular, direct its policy towards securing&mdash; (a.) that the citizens, men and women equally, have the right to an adequate means of livelihood; (b.) that the ownership and control of the material resources of the community are so distributed as best to subserve the common good; (c.) that the operation of the economic system does not result in the concentration of wealth and means of production to the common detriment; (d.) that there is equal pay for equal work for both men and women.</p>",UPSC CSE Prelims,2013,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312366+00:00,2025-06-20T08:32:34.872455+00:00
22,"<p>In the context of India, which of the following principles is/are, implied institutionally in the parliamentary government?</p>

<ol>
	<li>&nbsp;Members of the Cabinet are Members of the Parliament.</li>
	<li>&nbsp;Ministers hold the office till they enjoy confidence in the Parliament.</li>
	<li>&nbsp;Cabinet is headed by the Head of the State.</li>
</ol>

<p>Select the correct answer using the codes given below:</p>","In the context of India, which of the following principles is/are, implied
institutionally in the parliamentary government?

  1.  Members of the Cabinet are Members of the Parliament.
  2.  Ministers hold the office till they enjoy confidence in the Parliament.
  3.  Cabinet is headed by the Head of the State.

Select the correct answer using the codes given below:",1 and 2 only,3 only,2 and 3 only .,"1,2 and 3",a,"Exp) Option a is the correct answer.
In the context of India, there are mainly two principles which
can be implied institutionally in the Parllamentary form of
government:
Statement J. is correct. A Member of the Cabinet must be a
Member of the Parliament. If a person who is not a member of
the parliament and is appointed as a minister then he/she has to
get elected to either of the two houses of parliament within six
months.
Statement 2 is correct. In a parliamentary form of government,
the council of ministers hold office till they enjoy the confidence
of the parliament (in India’s case that of Lok Sabha), Hence,
Ministers hold the office till they enjoy confidence in the
Parliament.
Statement 3 is incorrect. The President is Head of the
State in India, whereas the Cabinet is headed by the Prime
Minister of India.",UPSC CSE Prelims,2013,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312394+00:00,2025-06-20T08:39:53.232628+00:00
23,"<p>Which of the following provisions of the Constitution of India have a bearing on Education?</p>

<ol>
	<li>Directive Principles of State Policy.</li>
	<li>Rural and Urban Local Bodies.</li>
	<li>Fifth Schedule</li>
	<li>Sixth Schedule</li>
	<li>Seventh Schedule</li>
</ol>

<p>Select the correct answer using the codes given below:</p>","Which of the following provisions of the Constitution of India have a bearing
on Education?

  1. Directive Principles of State Policy.
  2. Rural and Urban Local Bodies.
  3. Fifth Schedule
  4. Sixth Schedule
  5. Seventh Schedule

Select the correct answer using the codes given below:",1 and 2 only,"3, 4 and 5 only","1,2 and 5 only","1,2,3,4 and 5",d,"<p>Exp) Option d is the correct answer. All the above provisions of the Constitution of India, have a bearing on Education. Directive Principles of State Policy - Article 45: To provide early childhood care and education for all children until they complete the age of six years. 86th Amendment changed the subject-matter of Article 45 and made elementary education a fundamental right under Article 21 A. Rural and Urban Local Bodies &mdash; Education is one of the subject matters under Schedules XI and XII. It empowers local bodies to take steps to improve educational standards in their regions. Fifth and Sixth Schedule &mdash; The Fifth and Sixth Schedule of the constitution provide protection to the tribals on account of their economic disadvantages so that they could maintain their tribal identity without any coercion or exploitation. This includes promotion of education in their own language for their upliftment. Seventh Schedule - Under this, education is put under the concurrent list which allows both centre and states to make laws on the subject.</p>",UPSC CSE Prelims,2012,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312419+00:00,2025-06-20T08:40:52.149208+00:00
24,"<p>Consider the following statements:</p>

<ol>
	<li>&nbsp;The discussions in the Third Round Table Conference eventually led to the passing of the Government of India Act, 1935.</li>
	<li>The Government of India Act, 1935 provided for the establishment of an All-India Federation to be based-on a Union of the Provinces of British India and the Princely States.</li>
</ol>

<p>Which of the statement(s) given above is/are correct?</p>","Consider the following statements:

  1.  The discussions in the Third Round Table Conference eventually led to the passing of the Government of India Act, 1935.
  2. The Government of India Act, 1935 provided for the establishment of an All-India Federation to be based-on a Union of the Provinces of British India and the Princely States.

Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c,"Exp) Option c is the correct answer.
Stateinent J is correct: The discussions in the Third Round
Table Conference, held in November-December 1932,
eventually led to the passing of the Government of India Act,
1935. by the British Parliament.
Statement 2 is correct: The Government of India Act, 1935
provided for the establishment of an All-India Federation
to be based on a Union of the Provinces of British India
and the Princely States. However, the federation never came
into being as the princely states did not join it.",UPSC CSE Prelims,2009,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312444+00:00,2025-06-20T08:44:29.337898+00:00
25,<p>The right of the government to impose taxes and fees is provided in which List of Constitution?</p>,"The right of the government to impose taxes and fees is provided in which List
of Constitution?",VI Schedule,VII Schedule,IX Schedule,XI Schedule,b,"Exp) Option b is the correct answer.
The right of the government to impose taxes and fees
is provided In Entry 82 of the Union List of the Seventh
Schedule of the Constitution of India. ‘his means that the
Parliament has exclusive power to make laws on this subject.
Important Tips

Taxes levied by the Central government:
| 1. Customs duty

2. Excise duty

3. Income tax

4. Corporation tax

5. Service tax

6. GST (CGST)
| Taxes levied by the State government:
| 1. Sales tax

2. Motor Vehicle tax |

3. Land revenue

4. Stamp duty

5. Entertainment tax

6. GST (SGST)",UPSC CSE Prelims,2009,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312468+00:00,2025-06-20T08:46:19.392467+00:00
